product_id,description,product_type,quantity_available
6425,table,diningroom,4
3234,table,diningroom,1
9088,sofa,livingroom,2
5069,chair,office,4
6753,tv,livingroom,3
7353,table,diningroom,2
6608,table,diningroom,3
4713,bed,bedroom,5
2641,computer,office,4
6025,computer,office,5
3029,computer,office,1
3305,bed,bedroom,2
4699,bed,bedroom,4
9148,tv,livingroom,3
8903,sofa,livingroom,0
4798,table,diningroom,4
8826,espressomachine,kitchen,3
1648,espressomachine,kitchen,5
7552,chair,office,2
705,computer,office,3
6591,chair,office,3
2280,tv,livingroom,0
3102,espressomachine,kitchen,5
2511,sofa,livingroom,2
7074,tv,livingroom,2
6734,chair,office,4
8219,sofa,livingroom,3
1452,table,diningroom,3
6901,tv,livingroom,2
2736,tv,livingroom,4
3933,computer,office,0
8969,table,diningroom,4
2818,computer,office,1
4181,espressomachine,kitchen,4
7898,tv,livingroom,3
7782,computer,office,1
9607,table,diningroom,4
7136,computer,office,3
782,computer,office,3
3827,tv,livingroom,4
5745,computer,office,0
8733,bed,bedroom,1
9362,sofa,livingroom,5
4758,tv,livingroom,2
7942,sofa,livingroom,3
4354,sofa,livingroom,5
1878,espressomachine,kitchen,0
686,bed,bedroom,2
4693,bed,bedroom,3
7094,espressomachine,kitchen,3
5461,espressomachine,kitchen,5
9671,computer,office,5
7772,sofa,livingroom,2
4004,computer,office,2
996,table,diningroom,3
7347,bed,bedroom,1
9834,table,diningroom,2
2832,espressomachine,kitchen,1
1510,computer,office,1
387,bed,bedroom,5
2170,bed,bedroom,0
5126,tv,livingroom,1
3567,table,diningroom,0
513,sofa,livingroom,0
6094,table,diningroom,5
5489,chair,office,4
4725,table,diningroom,3
9879,espressomachine,kitchen,4
2733,espressomachine,kitchen,3
2721,bed,bedroom,0
3033,sofa,livingroom,4
2178,sofa,livingroom,1
5511,chair,office,4
6823,computer,office,5
7142,table,diningroom,0
7351,sofa,livingroom,3
1633,table,diningroom,2
8363,sofa,livingroom,2
8369,tv,livingroom,4
3237,chair,office,5
2350,table,diningroom,5
9090,chair,office,4
4931,bed,bedroom,3
1877,chair,office,1
7228,espressomachine,kitchen,1
4560,chair,office,3
6012,computer,office,2
9969,sofa,livingroom,0
7381,sofa,livingroom,5
3087,sofa,livingroom,0
6164,bed,bedroom,0
6541,sofa,livingroom,0
1634,chair,office,4
5510,bed,bedroom,0
4070,espressomachine,kitchen,2
5693,computer,office,5
6326,computer,office,1
9261,tv,livingroom,4
567,chair,office,5
144,sofa,livingroom,5
802,bed,bedroom,1
7022,computer,office,4
2042,table,diningroom,4
3153,espressomachine,kitchen,3
280,tv,livingroom,4
558,tv,livingroom,3
4727,tv,livingroom,3
6636,chair,office,0
2177,tv,livingroom,3
8758,computer,office,2
792,computer,office,3
149,espressomachine,kitchen,0
6595,computer,office,5
3562,espressomachine,kitchen,5
8827,tv,livingroom,4
6931,chair,office,5
6472,espressomachine,kitchen,4
7705,espressomachine,kitchen,4
3479,chair,office,2
4986,tv,livingroom,5
2863,bed,bedroom,1
8520,espressomachine,kitchen,1
6249,sofa,livingroom,3
6435,chair,office,4
2331,bed,bedroom,3
3446,table,diningroom,4
5648,computer,office,3
858,computer,office,3
8069,bed,bedroom,5
9737,sofa,livingroom,1
9838,chair,office,1
912,tv,livingroom,5
2368,sofa,livingroom,3
5,tv,livingroom,4
9953,tv,livingroom,3
3202,espressomachine,kitchen,2
5924,bed,bedroom,4
595,table,diningroom,2
835,chair,office,3
4078,sofa,livingroom,4
9563,espressomachine,kitchen,5
3422,espressomachine,kitchen,2
1709,table,diningroom,2
5393,sofa,livingroom,1
3970,computer,office,1
415,chair,office,4
738,computer,office,0
5931,table,diningroom,3
9098,tv,livingroom,1
3806,computer,office,4
8161,tv,livingroom,4
4876,bed,bedroom,1
2577,tv,livingroom,1
4335,bed,bedroom,2
645,table,diningroom,3
8207,bed,bedroom,3
9254,table,diningroom,0
5887,espressomachine,kitchen,5
7284,bed,bedroom,0
7216,chair,office,0
7331,bed,bedroom,2
580,computer,office,0
6964,espressomachine,kitchen,3
7711,computer,office,4
3639,tv,livingroom,1
5897,tv,livingroom,0
4952,table,diningroom,5
1913,bed,bedroom,2
922,tv,livingroom,3
8620,chair,office,0
66,espressomachine,kitchen,2
7345,table,diningroom,3
5546,tv,livingroom,2
8224,bed,bedroom,5
1832,chair,office,0
6064,computer,office,5
4008,bed,bedroom,5
1135,espressomachine,kitchen,5
7649,tv,livingroom,5
3850,espressomachine,kitchen,0
7454,computer,office,3
7880,table,diningroom,4
6752,sofa,livingroom,2
3028,bed,bedroom,3
429,computer,office,3
6991,tv,livingroom,5
654,tv,livingroom,5
5809,chair,office,4
4967,espressomachine,kitchen,1
6199,chair,office,1
6994,tv,livingroom,2
3487,sofa,livingroom,4
7149,bed,bedroom,0
8403,chair,office,0
5891,table,diningroom,1
7160,chair,office,0
3764,sofa,livingroom,0
5577,tv,livingroom,3
240,tv,livingroom,3
3348,bed,bedroom,5
3942,tv,livingroom,0
3388,espressomachine,kitchen,0
7057,espressomachine,kitchen,2
757,sofa,livingroom,3
6495,chair,office,0
3968,chair,office,1
270,chair,office,3
1270,espressomachine,kitchen,2
5319,bed,bedroom,5
8988,computer,office,4
3705,table,diningroom,5
3596,espressomachine,kitchen,2
418,bed,bedroom,4
5039,espressomachine,kitchen,2
3605,table,diningroom,5
4364,table,diningroom,5
5564,sofa,livingroom,1
6623,table,diningroom,5
8223,chair,office,2
9711,table,diningroom,5
7292,chair,office,4
7285,bed,bedroom,3
2272,bed,bedroom,5
4097,tv,livingroom,1
2269,sofa,livingroom,3
9254,espressomachine,kitchen,2
5479,table,diningroom,3
4475,chair,office,0
6128,chair,office,4
4248,espressomachine,kitchen,5
3914,chair,office,1
7871,bed,bedroom,3
5972,chair,office,4
4217,sofa,livingroom,1
4634,espressomachine,kitchen,5
2848,sofa,livingroom,2
2693,chair,office,4
9128,computer,office,5
6868,tv,livingroom,3
4406,chair,office,1
6714,computer,office,1
6002,bed,bedroom,3
6781,tv,livingroom,0
8890,tv,livingroom,2
8269,bed,bedroom,5
463,chair,office,0
1972,sofa,livingroom,5
353,chair,office,2
2299,chair,office,2
5354,table,diningroom,1
2387,espressomachine,kitchen,4
6527,table,diningroom,1
3829,sofa,livingroom,0
6268,bed,bedroom,2
1367,sofa,livingroom,5
8851,bed,bedroom,1
9652,espressomachine,kitchen,1
4698,bed,bedroom,5
7928,espressomachine,kitchen,5
8051,tv,livingroom,0
1394,tv,livingroom,5
9012,sofa,livingroom,4
7862,bed,bedroom,3
1583,tv,livingroom,3
5057,sofa,livingroom,1
9094,tv,livingroom,0
8542,table,diningroom,2
1488,tv,livingroom,3
6683,chair,office,4
3130,tv,livingroom,4
1580,table,diningroom,4
3247,sofa,livingroom,3
2750,tv,livingroom,2
5563,table,diningroom,5
8642,espressomachine,kitchen,1
5232,computer,office,3
384,bed,bedroom,5
8305,table,diningroom,5
9879,espressomachine,kitchen,5
4010,sofa,livingroom,1
9622,sofa,livingroom,2
6752,bed,bedroom,0
3350,computer,office,5
9176,computer,office,0
573,table,diningroom,2
3886,tv,livingroom,2
6446,table,diningroom,4
5271,table,diningroom,1
4702,chair,office,2
8948,chair,office,0
8040,bed,bedroom,4
6681,tv,livingroom,4
1443,bed,bedroom,3
4310,espressomachine,kitchen,2
8798,chair,office,3
9166,bed,bedroom,5
1309,computer,office,4
2975,sofa,livingroom,0
5471,table,diningroom,3
6543,computer,office,5
2704,sofa,livingroom,3
2823,bed,bedroom,1
3241,sofa,livingroom,5
384,espressomachine,kitchen,4
7456,table,diningroom,4
9504,computer,office,3
878,espressomachine,kitchen,5
9006,computer,office,0
9084,bed,bedroom,5
1828,chair,office,4
7620,espressomachine,kitchen,5
1324,espressomachine,kitchen,5
9373,table,diningroom,0
823,sofa,livingroom,3
8662,tv,livingroom,3
6828,sofa,livingroom,3
7364,tv,livingroom,2
450,table,diningroom,3
2037,computer,office,0
1765,computer,office,5
9045,bed,bedroom,1
2107,espressomachine,kitchen,1
7016,espressomachine,kitchen,4
5956,computer,office,2
2642,espressomachine,kitchen,5
2436,sofa,livingroom,4
1809,chair,office,0
2208,tv,livingroom,2
7079,chair,office,4
7277,chair,office,0
2704,espressomachine,kitchen,4
9474,computer,office,4
9111,sofa,livingroom,4
7370,tv,livingroom,3
6606,chair,office,4
730,computer,office,1
9047,bed,bedroom,2
4263,bed,bedroom,4
4148,computer,office,3
3784,sofa,livingroom,0
7007,sofa,livingroom,3
4609,chair,office,0
8147,sofa,livingroom,2
176,chair,office,3
4926,table,diningroom,5
7148,sofa,livingroom,1
6463,espressomachine,kitchen,4
7800,tv,livingroom,2
3691,espressomachine,kitchen,0
4731,tv,livingroom,1
6814,chair,office,3
8895,espressomachine,kitchen,2
6134,table,diningroom,1
4628,bed,bedroom,0
8351,tv,livingroom,1
7231,table,diningroom,0
8770,bed,bedroom,5
8794,computer,office,0
9085,chair,office,1
6831,computer,office,4
1393,espressomachine,kitchen,0
620,sofa,livingroom,5
5981,sofa,livingroom,4
9159,espressomachine,kitchen,2
7083,tv,livingroom,4
8636,sofa,livingroom,0
8287,tv,livingroom,5
1205,tv,livingroom,0
9171,espressomachine,kitchen,4
5527,espressomachine,kitchen,2
4316,table,diningroom,3
2164,sofa,livingroom,1
7857,tv,livingroom,3
8151,espressomachine,kitchen,0
4668,espressomachine,kitchen,2
7036,table,diningroom,4
8936,espressomachine,kitchen,3
8200,bed,bedroom,5
8920,table,diningroom,0
2365,espressomachine,kitchen,5
4160,chair,office,5
8370,sofa,livingroom,3
4480,sofa,livingroom,5
5193,bed,bedroom,2
2002,chair,office,4
1489,espressomachine,kitchen,5
2371,table,diningroom,4
2833,table,diningroom,4
7947,computer,office,1
43,sofa,livingroom,1
1069,chair,office,0
9165,espressomachine,kitchen,0
128,table,diningroom,3
7741,bed,bedroom,0
5084,chair,office,5
2386,chair,office,5
1608,sofa,livingroom,0
834,bed,bedroom,1
4713,sofa,livingroom,0
5692,computer,office,0
5916,bed,bedroom,1
5325,tv,livingroom,3
9225,chair,office,1
7543,sofa,livingroom,0
8175,tv,livingroom,1
4227,computer,office,5
4513,espressomachine,kitchen,2
8475,table,diningroom,0
9100,sofa,livingroom,5
1240,bed,bedroom,2
8356,bed,bedroom,5
8993,table,diningroom,3
9310,tv,livingroom,2
9668,sofa,livingroom,4
2466,sofa,livingroom,5
787,sofa,livingroom,4
2238,tv,livingroom,0
6677,chair,office,2
3067,tv,livingroom,2
6767,bed,bedroom,1
101,sofa,livingroom,3
707,sofa,livingroom,5
1274,chair,office,3
6800,chair,office,1
4348,espressomachine,kitchen,4
9770,bed,bedroom,2
628,table,diningroom,3
8671,bed,bedroom,0
4760,chair,office,1
8520,table,diningroom,3
5376,table,diningroom,1
9146,tv,livingroom,5
2907,computer,office,1
1621,tv,livingroom,4
2109,computer,office,1
2496,espressomachine,kitchen,3
4702,table,diningroom,2
7260,computer,office,4
1789,espressomachine,kitchen,2
6544,espressomachine,kitchen,0
8032,espressomachine,kitchen,5
3572,chair,office,3
512,table,diningroom,5
4304,chair,office,4
