_id,description,product_type,quantity_available
prod0001,shed,yard,88
prod0002,chair,dining_room,81
prod0003,painting,living_room,46
prod0004,shovel,yard,51
prod0005,table,dining_room,84
prod0006,shovel,yard,52
prod0007,sofa,living_room,10
prod0008,sofa,living_room,36
prod0009,shovel,yard,19
prod0010,chair,dining_room,15
prod0011,shears,yard,90
prod0012,shed,yard,48
prod0013,sofa,living_room,39
prod0014,ladder,yard,77
prod0015,painting,living_room,13
prod0016,ladder,yard,78
prod0017,shed,yard,42
prod0018,shovel,yard,34
prod0019,shears,yard,82
prod0020,shears,yard,89
prod0021,shears,yard,73
prod0022,desk,office,81
prod0023,ladder,yard,67
prod0024,chair,dining_room,1
prod0025,chair,dining_room,56
prod0026,sofa,living_room,43
prod0027,shovel,yard,76
prod0028,ladder,yard,5
prod0029,lawnmower,yard,63
prod0030,shovel,yard,49
prod0031,chair,dining_room,77
prod0032,desk,office,5
prod0033,rug,living_room,65
prod0034,chair,dining_room,100
prod0035,chair,dining_room,37
prod0036,shears,yard,7
prod0037,rug,living_room,97
prod0038,ladder,yard,82
prod0039,table,dining_room,22
prod0040,table,dining_room,56
prod0041,ladder,yard,17
prod0042,lamp,living_room,33
prod0043,desk,office,52
prod0044,desk,office,71
prod0045,shovel,yard,78
prod0046,painting,living_room,79
prod0047,chair,dining_room,20
prod0048,chair,dining_room,2
prod0049,shears,yard,46
prod0050,table,dining_room,44
prod0051,desk,office,82
prod0052,shovel,yard,42
prod0053,sofa,living_room,24
prod0054,lawnmower,yard,59
prod0055,shed,yard,57
prod0056,shears,yard,25
prod0057,sofa,living_room,98
prod0058,ladder,yard,28
prod0059,desk,office,10
prod0060,chair,dining_room,17
prod0061,table,dining_room,63
prod0062,painting,living_room,78
prod0063,rug,living_room,80
prod0064,lawnmower,yard,65
prod0065,shed,yard,90
prod0066,painting,living_room,33
prod0067,shed,yard,6
prod0068,chair,dining_room,75
prod0069,painting,living_room,79
prod0070,table,dining_room,64
prod0071,lamp,living_room,9
prod0072,shears,yard,13
prod0073,desk,office,46
prod0074,lawnmower,yard,52
prod0075,painting,living_room,86
prod0076,lamp,living_room,72
prod0077,chair,dining_room,94
prod0078,lamp,living_room,68
prod0079,table,dining_room,29
prod0080,table,dining_room,27
prod0081,table,dining_room,43
prod0082,shovel,yard,17
prod0083,desk,office,80
prod0084,table,dining_room,70
prod0085,sofa,living_room,59
prod0086,table,dining_room,10
prod0087,shed,yard,33
prod0088,lamp,living_room,83
prod0089,table,dining_room,41
prod0090,shed,yard,59
prod0091,table,dining_room,50
prod0092,lamp,living_room,86
prod0093,shovel,yard,77
prod0094,sofa,living_room,10
prod0095,painting,living_room,89
prod0096,table,dining_room,38
prod0097,chair,dining_room,1
prod0098,lamp,living_room,33
prod0099,table,dining_room,53
prod0100,lamp,living_room,88
prod0101,lawnmower,yard,75
prod0102,painting,living_room,83
prod0103,painting,living_room,28
prod0104,painting,living_room,49
prod0105,shears,yard,64
prod0106,lamp,living_room,71
prod0107,shovel,yard,22
prod0108,lamp,living_room,83
prod0109,chair,dining_room,91
prod0110,desk,office,12
prod0111,lawnmower,yard,75
prod0112,painting,living_room,76
prod0113,shovel,yard,28
prod0114,chair,dining_room,47
prod0115,shovel,yard,78
prod0116,table,dining_room,56
prod0117,chair,dining_room,39
prod0118,rug,living_room,97
prod0119,sofa,living_room,16
prod0120,sofa,living_room,75
prod0121,shears,yard,8
prod0122,shovel,yard,45
prod0123,chair,dining_room,17
prod0124,ladder,yard,24
prod0125,table,dining_room,85
prod0126,shovel,yard,10
prod0127,desk,office,31
prod0128,shed,yard,55
prod0129,sofa,living_room,3
prod0130,table,dining_room,45
prod0131,shed,yard,55
prod0132,chair,dining_room,9
prod0133,painting,living_room,94
prod0134,ladder,yard,70
prod0135,rug,living_room,96
prod0136,ladder,yard,65
prod0137,shovel,yard,24
prod0138,desk,office,93
prod0139,chair,dining_room,70
prod0140,shovel,yard,56
prod0141,painting,living_room,0
prod0142,lamp,living_room,92
prod0143,shovel,yard,15
prod0144,ladder,yard,50
prod0145,shears,yard,54
prod0146,chair,dining_room,24
prod0147,desk,office,97
prod0148,table,dining_room,16
