('OBL', 'GJL', 'ZBL', 'SKS', 'CAT')
('OBL', 'GJL', 'ZBL', 'CAT', 'SKS')
('OBL', 'GJL', 'SKS', 'ZBL', 'CAT')
('OBL', 'GJL', 'SKS', 'CAT', 'ZBL')
('OBL', 'GJL', 'CAT', 'ZBL', 'SKS')
('OBL', 'GJL', 'CAT', 'SKS', 'ZBL')
('OBL', 'ZBL', 'GJL', 'SKS', 'CAT')
('OBL', 'ZBL', 'GJL', 'CAT', 'SKS')
('OBL', 'ZBL', 'SKS', 'GJL', 'CAT')
('OBL', 'ZBL', 'SKS', 'CAT', 'GJL')
('OBL', 'ZBL', 'CAT', 'GJL', 'SKS')
('OBL', 'ZBL', 'CAT', 'SKS', 'GJL')
('OBL', 'SKS', 'GJL', 'ZBL', 'CAT')
('OBL', 'SKS', 'GJL', 'CAT', 'ZBL')
('OBL', 'SKS', 'ZBL', 'GJL', 'CAT')
('OBL', 'SKS', 'ZBL', 'CAT', 'GJL')
('OBL', 'SKS', 'CAT', 'GJL', 'ZBL')
('OBL', 'SKS', 'CAT', 'ZBL', 'GJL')
('OBL', 'CAT', 'GJL', 'ZBL', 'SKS')
('OBL', 'CAT', 'GJL', 'SKS', 'ZBL')
('OBL', 'CAT', 'ZBL', 'GJL', 'SKS')
('OBL', 'CAT', 'ZBL', 'SKS', 'GJL')
('OBL', 'CAT', 'SKS', 'GJL', 'ZBL')
('OBL', 'CAT', 'SKS', 'ZBL', 'GJL')
('GJL', 'OBL', 'ZBL', 'SKS', 'CAT')
('GJL', 'OBL', 'ZBL', 'CAT', 'SKS')
('GJL', 'OBL', 'SKS', 'ZBL', 'CAT')
('GJL', 'OBL', 'SKS', 'CAT', 'ZBL')
('GJL', 'OBL', 'CAT', 'ZBL', 'SKS')
('GJL', 'OBL', 'CAT', 'SKS', 'ZBL')
('GJL', 'ZBL', 'OBL', 'SKS', 'CAT')
('GJL', 'ZBL', 'OBL', 'CAT', 'SKS')
('GJL', 'ZBL', 'SKS', 'OBL', 'CAT')
('GJL', 'ZBL', 'SKS', 'CAT', 'OBL')
('GJL', 'ZBL', 'CAT', 'OBL', 'SKS')
('GJL', 'ZBL', 'CAT', 'SKS', 'OBL')
('GJL', 'SKS', 'OBL', 'ZBL', 'CAT')
('GJL', 'SKS', 'OBL', 'CAT', 'ZBL')
('GJL', 'SKS', 'ZBL', 'OBL', 'CAT')
('GJL', 'SKS', 'ZBL', 'CAT', 'OBL')
('GJL', 'SKS', 'CAT', 'OBL', 'ZBL')
('GJL', 'SKS', 'CAT', 'ZBL', 'OBL')
('GJL', 'CAT', 'OBL', 'ZBL', 'SKS')
('GJL', 'CAT', 'OBL', 'SKS', 'ZBL')
('GJL', 'CAT', 'ZBL', 'OBL', 'SKS')
('GJL', 'CAT', 'ZBL', 'SKS', 'OBL')
('GJL', 'CAT', 'SKS', 'OBL', 'ZBL')
('GJL', 'CAT', 'SKS', 'ZBL', 'OBL')
('ZBL', 'OBL', 'GJL', 'SKS', 'CAT')
('ZBL', 'OBL', 'GJL', 'CAT', 'SKS')
('ZBL', 'OBL', 'SKS', 'GJL', 'CAT')
('ZBL', 'OBL', 'SKS', 'CAT', 'GJL')
('ZBL', 'OBL', 'CAT', 'GJL', 'SKS')
('ZBL', 'OBL', 'CAT', 'SKS', 'GJL')
('ZBL', 'GJL', 'OBL', 'SKS', 'CAT')
('ZBL', 'GJL', 'OBL', 'CAT', 'SKS')
('ZBL', 'GJL', 'SKS', 'OBL', 'CAT')
('ZBL', 'GJL', 'SKS', 'CAT', 'OBL')
('ZBL', 'GJL', 'CAT', 'OBL', 'SKS')
('ZBL', 'GJL', 'CAT', 'SKS', 'OBL')
('ZBL', 'SKS', 'OBL', 'GJL', 'CAT')
('ZBL', 'SKS', 'OBL', 'CAT', 'GJL')
('ZBL', 'SKS', 'GJL', 'OBL', 'CAT')
('ZBL', 'SKS', 'GJL', 'CAT', 'OBL')
('ZBL', 'SKS', 'CAT', 'OBL', 'GJL')
('ZBL', 'SKS', 'CAT', 'GJL', 'OBL')
('ZBL', 'CAT', 'OBL', 'GJL', 'SKS')
('ZBL', 'CAT', 'OBL', 'SKS', 'GJL')
('ZBL', 'CAT', 'GJL', 'OBL', 'SKS')
('ZBL', 'CAT', 'GJL', 'SKS', 'OBL')
('ZBL', 'CAT', 'SKS', 'OBL', 'GJL')
('ZBL', 'CAT', 'SKS', 'GJL', 'OBL')
('SKS', 'OBL', 'GJL', 'ZBL', 'CAT')
('SKS', 'OBL', 'GJL', 'CAT', 'ZBL')
('SKS', 'OBL', 'ZBL', 'GJL', 'CAT')
('SKS', 'OBL', 'ZBL', 'CAT', 'GJL')
('SKS', 'OBL', 'CAT', 'GJL', 'ZBL')
('SKS', 'OBL', 'CAT', 'ZBL', 'GJL')
('SKS', 'GJL', 'OBL', 'ZBL', 'CAT')
('SKS', 'GJL', 'OBL', 'CAT', 'ZBL')
('SKS', 'GJL', 'ZBL', 'OBL', 'CAT')
('SKS', 'GJL', 'ZBL', 'CAT', 'OBL')
('SKS', 'GJL', 'CAT', 'OBL', 'ZBL')
('SKS', 'GJL', 'CAT', 'ZBL', 'OBL')
('SKS', 'ZBL', 'OBL', 'GJL', 'CAT')
('SKS', 'ZBL', 'OBL', 'CAT', 'GJL')
('SKS', 'ZBL', 'GJL', 'OBL', 'CAT')
('SKS', 'ZBL', 'GJL', 'CAT', 'OBL')
('SKS', 'ZBL', 'CAT', 'OBL', 'GJL')
('SKS', 'ZBL', 'CAT', 'GJL', 'OBL')
('SKS', 'CAT', 'OBL', 'GJL', 'ZBL')
('SKS', 'CAT', 'OBL', 'ZBL', 'GJL')
('SKS', 'CAT', 'GJL', 'OBL', 'ZBL')
('SKS', 'CAT', 'GJL', 'ZBL', 'OBL')
('SKS', 'CAT', 'ZBL', 'OBL', 'GJL')
('SKS', 'CAT', 'ZBL', 'GJL', 'OBL')
('CAT', 'OBL', 'GJL', 'ZBL', 'SKS')
('CAT', 'OBL', 'GJL', 'SKS', 'ZBL')
('CAT', 'OBL', 'ZBL', 'GJL', 'SKS')
('CAT', 'OBL', 'ZBL', 'SKS', 'GJL')
('CAT', 'OBL', 'SKS', 'GJL', 'ZBL')
('CAT', 'OBL', 'SKS', 'ZBL', 'GJL')
('CAT', 'GJL', 'OBL', 'ZBL', 'SKS')
('CAT', 'GJL', 'OBL', 'SKS', 'ZBL')
('CAT', 'GJL', 'ZBL', 'OBL', 'SKS')
('CAT', 'GJL', 'ZBL', 'SKS', 'OBL')
('CAT', 'GJL', 'SKS', 'OBL', 'ZBL')
('CAT', 'GJL', 'SKS', 'ZBL', 'OBL')
('CAT', 'ZBL', 'OBL', 'GJL', 'SKS')
('CAT', 'ZBL', 'OBL', 'SKS', 'GJL')
('CAT', 'ZBL', 'GJL', 'OBL', 'SKS')
('CAT', 'ZBL', 'GJL', 'SKS', 'OBL')
('CAT', 'ZBL', 'SKS', 'OBL', 'GJL')
('CAT', 'ZBL', 'SKS', 'GJL', 'OBL')
('CAT', 'SKS', 'OBL', 'GJL', 'ZBL')
('CAT', 'SKS', 'OBL', 'ZBL', 'GJL')
('CAT', 'SKS', 'GJL', 'OBL', 'ZBL')
('CAT', 'SKS', 'GJL', 'ZBL', 'OBL')
('CAT', 'SKS', 'ZBL', 'OBL', 'GJL')
