product_id,description,product_type,quantity_available
prd001,myself quality behind,junk,669
prd002,record behavior away,trash,163
prd003,quite leg opportunity,waters,919
prd004,plan fast against,trash,696
prd005,design store whole,trash,867
prd006,really above choose,waters,104
prd007,music high list,sweat-meats,171
prd008,model I film,trash,430
prd009,few itself season,trash,650
prd010,from plan minute,booboo,737
prd011,citizen technology finally,trash,713
prd012,present animal a,booboo,73
prd013,board end still,sweat-meats,814
prd014,place everybody its,booboo,339
prd015,next story section,waters,683
prd016,kid success check,waters,79
prd017,similar certain citizen,trash,497
prd018,act day tend,junk,525
prd019,adult in often,waters,549
prd020,increase move base,booboo,196
prd021,step perform per,sweat-meats,683
prd022,because single customer,junk,903
prd023,tonight low five,trash,530
prd024,argue six middle,booboo,14
prd025,finally develop several,booboo,121
prd026,mention star bag,booboo,799
prd027,he land father,waters,377
prd028,painting share material,booboo,189
prd029,simple fight consumer,trash,226
prd030,support collection few,sweat-meats,592
prd031,heavy simply see,waters,772
prd032,wear degree home,waters,682
prd033,weight these structure,waters,610
prd034,think yard reduce,sweat-meats,197
prd035,north country detail,waters,571
prd036,cold lot upon,waters,286
prd037,finally true between,trash,875
prd038,wife class economic,sweat-meats,298
prd039,member thus effect,booboo,830
prd040,although enter nation,junk,968
prd041,like during interview,sweat-meats,670
prd042,religious statement public,trash,932
prd043,nearly someone door,junk,885
prd044,population reveal mean,sweat-meats,580
prd045,carry on yes,junk,213
prd046,big hospital local,waters,400
prd047,answer your apply,sweat-meats,394
prd048,draw class past,junk,987
prd049,group majority discuss,junk,698
prd050,month home all,booboo,801
prd051,young in north,waters,322
prd052,example remain this,booboo,396
prd053,similar city tough,waters,580
prd054,small as safe,booboo,885
prd055,wife dog feel,sweat-meats,767
prd056,system budget eight,sweat-meats,172
prd057,protect nature work,sweat-meats,120
prd058,truth ok allow,booboo,708
prd059,answer answer area,junk,145
prd060,fast science use,sweat-meats,334
prd061,push impact gun,junk,40
prd062,yeah simple ahead,booboo,201
prd063,cup know price,waters,4
prd064,local almost ahead,junk,275
prd065,theory plan billion,waters,764
prd066,message enter plan,booboo,379
prd067,skill would technology,trash,114
prd068,option responsibility drive,junk,416
prd069,performance list analysis,sweat-meats,846
prd070,year same marriage,trash,53
prd071,its fact prepare,trash,13
prd072,home offer nature,waters,225
prd073,good buy service,junk,957
prd074,especially bed turn,sweat-meats,88
prd075,local discuss before,junk,850
prd076,suffer away pattern,sweat-meats,234
prd077,energy science actually,junk,759
prd078,role hold traditional,sweat-meats,15
prd079,already piece very,booboo,599
prd080,decade score detail,sweat-meats,419
prd081,give read serious,sweat-meats,383
prd082,put before popular,waters,755
prd083,American area blue,booboo,237
prd084,college create state,booboo,313
prd085,generation Democrat significant,trash,463
prd086,society fire world,junk,725
prd087,free central drive,trash,892
prd088,clearly send record,waters,115
prd089,part general itself,waters,82
prd090,hair pick four,booboo,851
prd091,rise particular artist,trash,972
prd092,recent last hair,junk,976
prd093,somebody piece situation,booboo,37
prd094,hand expert as,waters,609
prd095,work price best,waters,850
prd096,civil indeed break,trash,412
prd097,evidence new between,waters,86
prd098,tax mean old,trash,878
prd099,join probably agent,booboo,3
prd100,section fast another,waters,166
prd101,building table yeah,junk,973
prd102,system population role,trash,615
prd103,baby bit between,junk,695
prd104,base sense practice,trash,63
prd105,across turn cut,junk,800
prd106,board even political,booboo,58
prd107,benefit peace debate,trash,170
prd108,day quite drive,waters,666
prd109,analysis forward where,booboo,756
