rental_id,customer_id,product_id,quantity
r0001,user769,prd475,47
r0002,user971,prd931,38
r0003,user185,prd626,16
r0004,user414,prd123,65
r0005,user103,prd436,57
r0006,user330,prd902,55
r0007,user29,prd407,29
r0008,user34,prd248,84
r0009,user500,prd820,61
r0010,user534,prd130,42
r0011,user278,prd289,50
r0012,user733,prd586,74
r0013,user475,prd247,98
r0014,user426,prd594,10
r0015,user678,prd917,94
r0016,user462,prd73,40
r0017,user693,prd18,66
r0018,user758,prd927,49
r0019,user214,prd482,23
r0020,user603,prd587,83
r0021,user155,prd664,77
r0022,user286,prd175,13
r0023,user126,prd676,40
r0024,user433,prd830,57
r0025,user205,prd1,13
r0026,user414,prd320,99
r0027,user613,prd289,66
r0028,user15,prd296,89
r0029,user666,prd598,20
r0030,user54,prd69,29
r0031,user108,prd662,95
r0032,user487,prd205,17
r0033,user756,prd181,35
r0034,user54,prd985,90
r0035,user305,prd134,86
r0036,user172,prd374,10
r0037,user833,prd503,29
r0038,user535,prd610,49
r0039,user807,prd519,65
r0040,user825,prd996,98
r0041,user506,prd569,89
r0042,user481,prd363,58
r0043,user172,prd709,70
r0044,user786,prd432,85
r0045,user14,prd245,54
r0046,user785,prd971,15
r0047,user966,prd117,72
r0048,user385,prd999,32
r0049,user912,prd584,51
r0050,user17,prd662,35
r0051,user739,prd138,51
r0052,user638,prd160,24
r0053,user191,prd931,37
r0054,user756,prd930,93
r0055,user754,prd467,90
r0056,user745,prd111,15
r0057,user713,prd77,81
r0058,user708,prd213,98
r0059,user793,prd99,33
r0060,user185,prd983,21
r0061,user272,prd39,43
r0062,user792,prd401,69
r0063,user629,prd116,36
r0064,user319,prd109,43
r0065,user823,prd950,20
r0066,user811,prd674,18
r0067,user353,prd207,12
r0068,user463,prd607,53
r0069,user473,prd657,29
r0070,user427,prd675,90
r0071,user512,prd165,58
r0072,user227,prd260,61
r0073,user331,prd223,60
r0074,user891,prd489,63
r0075,user8,prd191,17
r0076,user444,prd124,31
r0077,user231,prd268,15
r0078,user981,prd498,93
r0079,user792,prd873,36
r0080,user84,prd435,47
r0081,user403,prd825,62
r0082,user579,prd493,82
r0083,user180,prd529,72
r0084,user429,prd613,97
r0085,user861,prd960,73
r0086,user19,prd452,45
r0087,user11,prd37,39
r0088,user167,prd81,41
r0089,user952,prd244,27
r0090,user555,prd499,25
r0091,user718,prd185,47
r0092,user357,prd590,74
r0093,user791,prd951,50
r0094,user975,prd141,85
r0095,user382,prd502,65
r0096,user600,prd852,26
r0097,user760,prd754,75
r0098,user841,prd956,94
r0099,user39,prd797,38
r0100,user299,prd235,13
r0101,user99,prd74,90
r0102,user658,prd89,50
r0103,user430,prd982,92
r0104,user764,prd528,6
r0105,user973,prd112,35
r0106,user891,prd221,93
r0107,user504,prd21,29
r0108,user506,prd671,1
r0109,user801,prd275,65
