product_id,user_id
prd557,User991
prd859,User254
prd037,User335
prd028,User676
prd441,User808
prd825,User092
prd063,User552
prd859,User646
prd728,User311
prd036,User619
prd012,User179
prd344,User848
prd031,User990
prd415,User589
prd581,User129
prd160,User964
prd733,User290
prd445,User355
prd829,User654
prd007,User529
prd000,User138
prd465,User070
prd262,User198
prd995,User100
prd982,User974
prd363,User236
prd192,User186
prd763,User783
prd468,User478
prd484,User000
prd488,User164
prd686,User666
prd287,User828
prd262,User230
prd063,User993
prd584,User412
prd443,User939
prd614,User784
prd369,User666
prd541,User008
prd743,User541
prd984,User040
prd029,User103
prd476,User097
prd758,User883
prd984,User718
prd283,User258
prd858,User778
prd336,User870
prd037,User761
prd922,User878
prd228,User740
prd298,User930
prd205,User897
prd641,User620
prd280,User020
prd922,User400
prd518,User266
prd840,User624
prd867,User151
prd710,User713
prd455,User048
prd229,User774
prd540,User865
prd822,User584
prd050,User519
prd804,User192
prd799,User649
prd781,User498
prd067,User861
prd301,User297
prd383,User437
prd792,User414
prd139,User215
prd371,User952
prd875,User247
prd266,User252
prd1000,User304
prd469,User387
prd199,User453
prd232,User163
prd309,User1000
prd956,User390
prd158,User751
prd360,User653
prd735,User040
prd053,User670
prd613,User629
prd057,User027
prd912,User490
prd003,User554
prd689,User980
prd964,User384
prd714,User837
prd575,User648
prd564,User005
prd077,User336
prd105,User155
prd749,User585
prd490,User232
prd208,User814
prd975,User364
prd406,User042
prd994,User630
prd236,User678
prd635,User151
prd499,User621
prd825,User800
prd115,User252
prd170,User319
prd341,User386
prd066,User284
prd096,User303
prd543,User593
prd667,User530
prd525,User659
prd004,User597
prd487,User184
prd237,User157
prd009,User686
prd542,User467
prd349,User006
prd276,User981
prd614,User919
prd857,User490
prd847,User688
prd499,User284
prd872,User008
prd425,User113
prd493,User150
prd527,User633
prd386,User796
prd479,User884
prd764,User352
prd723,User818
prd544,User512
prd207,User588
prd783,User673
prd585,User000
prd793,User344
prd933,User890
prd531,User625
prd610,User578
prd140,User197
prd138,User918
prd524,User519
prd227,User087
prd161,User347
prd083,User326
prd007,User413
prd619,User576
prd203,User904
prd989,User882
prd342,User734
prd718,User671
prd241,User229
prd201,User614
prd722,User671
prd895,User253
prd387,User698
prd538,User208
prd771,User496
prd056,User029
prd199,User897
prd064,User292
prd953,User833
prd032,User610
prd742,User958
prd554,User992
prd957,User758
prd479,User886
prd952,User531
prd573,User941
prd415,User061
prd384,User396
prd603,User302
prd946,User242
prd621,User946
prd048,User844
prd759,User289
prd341,User083
prd368,User958
prd377,User918
prd752,User962
prd576,User726
prd186,User124
prd627,User812
prd250,User196
prd545,User225
prd902,User938
prd049,User1001
prd941,User275
prd174,User100
prd721,User493
prd564,User766
prd964,User319
prd285,User180
prd999,User877
prd251,User477
prd439,User146
prd669,User864
prd664,User513
prd991,User162
prd627,User685
prd649,User881
prd104,User033
prd299,User545
prd939,User337
prd262,User532
prd986,User382
prd331,User379
prd137,User472
prd309,User078
prd599,User919
prd347,User077
prd612,User197
prd705,User463
prd018,User667
prd580,User777
prd989,User808
prd188,User806
prd273,User990
prd414,User735
prd476,User222
prd701,User805
prd735,User854
prd017,User412
prd205,User273
prd429,User018
prd955,User127
prd963,User1000
prd681,User294
prd939,User741
prd380,User291
prd998,User661
prd526,User620
prd912,User109
prd943,User194
prd065,User740
prd549,User080
prd176,User548
prd629,User904
prd929,User543
prd171,User893
prd587,User372
prd176,User959
prd401,User093
prd550,User438
prd799,User381
prd834,User835
prd356,User909
prd251,User956
prd384,User059
prd950,User074
prd204,User524
prd336,User292
prd761,User844
prd726,User015
prd003,User785
prd144,User837
prd207,User248
prd925,User356
prd294,User093
prd377,User800
prd209,User451
prd740,User341
prd612,User845
prd057,User452
prd966,User100
prd863,User369
prd916,User048
prd573,User958
prd543,User240
prd948,User285
prd350,User093
prd729,User856
prd270,User776
prd297,User745
prd458,User588
prd099,User063
prd787,User767
prd469,User247
prd419,User988
prd473,User397
prd968,User382
prd685,User336
prd256,User273
prd969,User800
prd991,User604
prd867,User575
prd411,User242
prd945,User658
prd731,User449
prd726,User092
prd371,User145
prd310,User068
prd024,User243
prd134,User072
prd099,User383
prd469,User692
prd676,User450
prd082,User257
prd007,User351
prd697,User800
prd655,User532
prd333,User194
prd445,User435
prd786,User596
prd252,User458
prd600,User616
prd732,User955
prd606,User494
prd584,User200
prd343,User412
prd356,User035
prd455,User126
prd890,User624
prd148,User341
prd948,User519
prd482,User611
prd331,User219
prd338,User101
prd530,User311
prd554,User403
prd343,User620
prd043,User513
prd224,User138
prd166,User605
prd258,User351
prd304,User073
prd000,User737
prd383,User033
prd662,User827
prd287,User389
prd742,User333
prd690,User166
prd204,User835
prd978,User433
prd658,User907
prd497,User445
prd371,User551
prd854,User829
prd240,User687
prd215,User866
prd790,User455
prd637,User698
prd566,User1000
prd251,User293
prd016,User488
prd250,User365
prd979,User606
prd516,User798
prd364,User608
prd556,User981
prd420,User494
prd060,User955
prd652,User053
prd912,User229
prd644,User993
prd193,User766
prd134,User935
prd751,User754
prd174,User102
prd656,User260
prd184,User755
prd223,User050
prd681,User735
prd078,User050
prd263,User276
prd709,User187
prd191,User488
prd755,User375
prd548,User557
prd575,User759
prd933,User921
prd056,User331
prd883,User693
prd685,User944
prd890,User904
prd189,User165
prd804,User488
prd817,User692
prd353,User184
prd834,User324
prd349,User314
prd679,User013
prd810,User734
prd854,User512
prd764,User257
prd768,User046
prd191,User408
prd203,User617
prd412,User295
prd076,User989
prd425,User016
prd262,User242
prd963,User260
prd629,User074
prd378,User175
prd478,User982
prd436,User059
prd350,User325
prd972,User822
prd747,User353
prd490,User320
prd291,User658
prd434,User780
prd025,User565
prd112,User326
prd781,User166
prd813,User735
prd758,User641
prd205,User313
prd434,User381
prd405,User887
prd967,User707
prd080,User126
prd832,User252
prd937,User819
prd039,User609
prd750,User156
prd485,User192
prd501,User427
prd901,User444
prd842,User372
prd992,User679
prd016,User030
prd533,User318
prd685,User855
prd290,User257
prd351,User090
prd635,User624
prd288,User664
prd845,User537
prd177,User684
prd870,User325
prd321,User167
prd973,User341
prd614,User736
prd549,User519
prd922,User088
prd972,User638
prd176,User154
prd423,User208
prd218,User363
prd024,User302
prd358,User505
prd829,User174
prd873,User051
prd829,User004
prd317,User713
