product_id,description,product_type,quantity_available
prd1,60-inch TV stand,den,9
prd2,Desk Light,diningroom,10
prd3,Queen size bed frame,kitchen,13
prd4,Throw Pillow,kitchen,14
prd5,L-shaped sofa,livingroom,7
prd6,Queen size bed frame,kitchen,3
prd7,King size bed frame,den,14
prd8,Queen size bed frame,livingroom,16
prd9,Coffee Table,diningroom,5
prd10,Desk,bedroom,14
prd11,Sectional sofa,kitchen,1
prd12,54-inch TV stand,diningroom,18
prd13,Double size bed frame,kitchen,14
prd14,72-inch TV stand,diningroom,18
prd15,Desk Light,den,9
prd16,Throw Pillow,den,11
prd17,Coffee Table,livingroom,15
prd18,Sectional sofa,diningroom,19
prd19,Table with leaves,livingroom,1
prd20,Coffee Table,den,2
prd21,54-inch TV stand,diningroom,9
prd22,King size bed frame,diningroom,7
prd23,60-inch TV stand,den,13
prd24,Table with leaves,den,12
prd25,80-inch TV stand,livingroom,13
prd26,Queen size bed frame,bedroom,16
prd27,54-inch TV stand,bedroom,8
prd28,80-inch TV stand,kitchen,11
prd29,60-inch TV stand,den,13
prd30,Desk,diningroom,13
prd31,72-inch TV stand,diningroom,1
prd32,54-inch TV stand,bedroom,15
prd33,80-inch TV stand,kitchen,11
prd34,72-inch TV stand,bedroom,7
prd35,King size bed frame,den,19
prd36,80-inch TV stand,den,8
prd37,Desk Light,kitchen,13
prd38,Single size bed frame,bedroom,13
prd39,60-inch TV stand,kitchen,9
prd40,Double size bed frame,livingroom,4
prd41,King size bed frame,kitchen,19
prd42,Desk,den,4
prd43,Desk,kitchen,19
prd44,72-inch TV stand,den,7
prd45,Desk Light,livingroom,16
prd46,Double size bed frame,livingroom,8
prd47,60-inch TV stand,kitchen,2
prd48,Desk,bedroom,16
prd49,Desk Light,bedroom,16
prd50,Throw Pillow,den,12
prd51,Queen size bed frame,den,10
prd52,L-shaped sofa,den,2
prd53,Single size bed frame,livingroom,12
prd54,Single size bed frame,diningroom,10
prd55,Desk Light,diningroom,19
prd56,72-inch TV stand,diningroom,16
prd57,King size bed frame,livingroom,10
prd58,80-inch TV stand,kitchen,17
prd59,King size bed frame,den,11
prd60,Queen size bed frame,diningroom,8
prd61,54-inch TV stand,den,8
prd62,Throw Pillow,bedroom,1
prd63,Queen size bed frame,diningroom,1
prd64,L-shaped sofa,den,4
prd65,King size bed frame,livingroom,2
prd66,60-inch TV stand,diningroom,10
prd67,Table with leaves,diningroom,4
prd68,54-inch TV stand,diningroom,4
prd69,60-inch TV stand,kitchen,16
prd70,Throw Pillow,den,5
prd71,54-inch TV stand,bedroom,10
prd72,Throw Pillow,diningroom,3
prd73,Desk,den,13
prd74,King size bed frame,diningroom,1
prd75,Double size bed frame,den,1
prd76,60-inch TV stand,diningroom,14
prd77,Table with leaves,livingroom,12
prd78,King size bed frame,kitchen,3
prd79,Single size bed frame,den,11
prd80,80-inch TV stand,diningroom,16
prd81,Single size bed frame,diningroom,10
prd82,80-inch TV stand,kitchen,13
