product_id,description,product_type,quantity_available
prd1,54-inch TV stand,kitchen,2
prd2,Double size bed frame,bedroom,7
prd3,L-shaped sofa,diningroom,16
prd4,80-inch TV stand,bedroom,18
prd5,72-inch TV stand,livingroom,19
prd6,72-inch TV stand,bedroom,4
prd7,Desk,den,7
prd8,Table with leaves,den,6
prd9,Queen size bed frame,livingroom,11
prd10,Double size bed frame,diningroom,17
prd11,Table with leaves,den,14
prd12,Double size bed frame,bedroom,11
prd13,Throw Pillow,den,3
prd14,Queen size bed frame,bedroom,5
prd15,Coffee Table,den,11
prd16,Throw Pillow,livingroom,16
prd17,72-inch TV stand,den,3
prd18,54-inch TV stand,den,9
prd19,Sectional sofa,den,13
prd20,Sectional sofa,den,17
prd21,60-inch TV stand,kitchen,1
prd22,L-shaped sofa,diningroom,6
prd23,L-shaped sofa,kitchen,14
prd24,Sectional sofa,livingroom,8
prd25,Single size bed frame,bedroom,18
prd26,Table with leaves,bedroom,4
prd27,54-inch TV stand,livingroom,2
prd28,Coffee Table,den,8
prd29,Throw Pillow,livingroom,3
prd30,Queen size bed frame,kitchen,5
prd31,54-inch TV stand,kitchen,7
prd32,Double size bed frame,kitchen,7
prd33,Desk Light,diningroom,7
prd34,80-inch TV stand,kitchen,19
prd35,King size bed frame,bedroom,14
prd36,Queen size bed frame,den,16
prd37,Desk Light,diningroom,9
prd38,L-shaped sofa,livingroom,15
prd39,Single size bed frame,bedroom,9
prd40,Double size bed frame,kitchen,1
prd41,80-inch TV stand,livingroom,18
prd42,72-inch TV stand,kitchen,7
prd43,Sectional sofa,kitchen,14
prd44,Desk,den,17
prd45,Desk Light,diningroom,6
prd46,Coffee Table,diningroom,16
prd47,Single size bed frame,bedroom,8
prd48,Queen size bed frame,den,16
prd49,King size bed frame,bedroom,3
prd50,80-inch TV stand,livingroom,5
prd51,Desk,livingroom,8
prd52,Coffee Table,den,18
prd53,L-shaped sofa,bedroom,8
prd54,54-inch TV stand,den,3
prd55,Queen size bed frame,kitchen,8
prd56,Throw Pillow,diningroom,9
prd57,60-inch TV stand,bedroom,8
prd58,54-inch TV stand,den,1
prd59,King size bed frame,livingroom,9
prd60,72-inch TV stand,den,2
prd61,54-inch TV stand,kitchen,17
prd62,Sectional sofa,bedroom,4
prd63,King size bed frame,diningroom,19
prd64,King size bed frame,livingroom,10
prd65,72-inch TV stand,kitchen,1
prd66,54-inch TV stand,kitchen,7
prd67,Single size bed frame,livingroom,13
prd68,Desk Light,diningroom,8
prd69,King size bed frame,diningroom,5
prd70,Desk,diningroom,19
prd71,80-inch TV stand,diningroom,16
prd72,Double size bed frame,kitchen,1
prd73,54-inch TV stand,diningroom,11
prd74,54-inch TV stand,bedroom,19
prd75,Single size bed frame,bedroom,15
prd76,Double size bed frame,den,19
prd77,Single size bed frame,livingroom,6
prd78,King size bed frame,den,11
prd79,Coffee Table,den,2
prd80,60-inch TV stand,diningroom,10
prd81,Double size bed frame,bedroom,7
prd82,Coffee Table,kitchen,6
prd83,Desk,bedroom,2
prd84,Desk,diningroom,8
prd85,Queen size bed frame,bedroom,12
prd86,Coffee Table,den,2
prd87,80-inch TV stand,livingroom,19
prd88,Table with leaves,den,2
prd89,Throw Pillow,bedroom,19
prd90,Sectional sofa,bedroom,13
prd91,80-inch TV stand,kitchen,16
prd92,Coffee Table,kitchen,8
prd93,Sectional sofa,den,13
prd94,80-inch TV stand,diningroom,18
prd95,Double size bed frame,bedroom,7
prd96,Throw Pillow,bedroom,5
prd97,L-shaped sofa,den,17
prd98,Sectional sofa,kitchen,10
prd99,60-inch TV stand,diningroom,3
prd100,Double size bed frame,bedroom,8
