rental_id,customer_id,product_id,quantity
r1,user886,prd735,4
r2,user990,prd507,6
r3,user587,prd26,3
r4,user508,prd872,6
r5,user773,prd310,7
r6,user236,prd53,5
r7,user484,prd376,5
r8,user816,prd350,5
r9,user118,prd966,2
r10,user44,prd967,3
r11,user184,prd564,5
r12,user575,prd347,1
r13,user818,prd264,1
r14,user652,prd955,2
r15,user178,prd192,7
r16,user476,prd204,7
r17,user818,prd91,3
r18,user824,prd232,3
r19,user18,prd69,7
r20,user954,prd848,5
r21,user310,prd369,6
r22,user766,prd884,3
r23,user440,prd545,5
r24,user437,prd256,3
r25,user815,prd964,2
r26,user584,prd777,3
r27,user956,prd281,1
r28,user433,prd684,6
r29,user827,prd576,7
r30,user911,prd438,4
r31,user217,prd956,3
r32,user834,prd772,7
r33,user257,prd369,5
r34,user214,prd125,7
r35,user171,prd583,2
r36,user537,prd778,1
r37,user363,prd538,4
r38,user736,prd213,3
r39,user423,prd578,5
r40,user79,prd933,4
r41,user15,prd59,2
r42,user57,prd300,5
r43,user605,prd287,5
r44,user502,prd690,3
r45,user635,prd513,3
r46,user963,prd302,1
r47,user478,prd823,1
r48,user363,prd639,1
r49,user845,prd247,7
r50,user858,prd704,5
r51,user833,prd60,1
r52,user871,prd74,5
r53,user820,prd51,6
r54,user815,prd235,1
r55,user668,prd135,6
r56,user812,prd422,6
r57,user352,prd41,7
r58,user464,prd622,1
r59,user156,prd365,6
r60,user140,prd64,5
r61,user21,prd653,3
r62,user794,prd362,6
r63,user562,prd739,6
r64,user513,prd564,6
r65,user231,prd492,4
r66,user672,prd101,1
r67,user997,prd171,2
r68,user556,prd483,6
r69,user303,prd335,3
r70,user925,prd476,2
r71,user480,prd280,4
r72,user954,prd931,1
r73,user735,prd319,2
r74,user159,prd996,3
r75,user486,prd367,6
r76,user470,prd177,7
r77,user407,prd238,4
r78,user768,prd574,6
r79,user158,prd473,6
r80,user508,prd68,1
r81,user353,prd982,1
r82,user188,prd928,2
r83,user482,prd936,6
r84,user341,prd770,6
r85,user557,prd390,6
r86,user749,prd755,4
r87,user721,prd296,1
r88,user418,prd142,5
r89,user800,prd142,6
r90,user643,prd928,3
r91,user774,prd647,1
r92,user175,prd452,5
r93,user721,prd190,3
r94,user477,prd710,5
r95,user125,prd646,1
r96,user803,prd283,6
r97,user652,prd653,7
r98,user52,prd771,5
r99,user541,prd204,1
r100,user137,prd778,2
