product_id,description,product_type,quantity_available
prd0000,dresser,bedroom,4
prd0001,tv,livingroom,0
prd0002,mattress,bedroom,1
prd0003,chair,livingroom,5
prd0004,bed,bedroom,3
prd0005,bed,bedroom,0
prd0006,table,diningroom,3
prd0007,chair,livingroom,0
prd0008,coffee table,livingroom,5
prd0009,coffee table,livingroom,0
prd0010,tv,livingroom,5
prd0011,tv,livingroom,0
prd0012,tv,livingroom,4
prd0013,bed,bedroom,5
prd0014,coffee table,livingroom,3
prd0015,tv,livingroom,3
prd0016,tv,livingroom,4
prd0017,coffee table,livingroom,3
prd0018,mattress,bedroom,1
prd0019,dresser,bedroom,1
prd0020,chair,livingroom,3
prd0021,coffee table,livingroom,4
prd0022,bed,bedroom,1
prd0023,bed,bedroom,2
prd0024,bed,bedroom,5
prd0025,chair,livingroom,0
prd0026,bed,bedroom,0
prd0027,table,diningroom,5
prd0028,tv,livingroom,5
prd0029,tv,livingroom,3
prd0030,dresser,bedroom,3
prd0031,dresser,bedroom,5
prd0032,mattress,bedroom,2
prd0033,chair,livingroom,5
prd0034,coffee table,livingroom,1
prd0035,chair,livingroom,2
prd0036,mattress,bedroom,1
prd0037,tv,livingroom,3
prd0038,bed,bedroom,1
prd0039,coffee table,livingroom,0
prd0040,bed,bedroom,5
prd0041,mattress,bedroom,1
prd0042,dresser,bedroom,1
prd0043,coffee table,livingroom,0
prd0044,mattress,bedroom,1
prd0045,bed,bedroom,1
prd0046,tv,livingroom,4
prd0047,dresser,bedroom,3
prd0048,bed,bedroom,0
prd0049,chair,livingroom,0
prd0050,chair,livingroom,4
prd0051,bed,bedroom,5
prd0052,bed,bedroom,4
prd0053,dresser,bedroom,4
prd0054,coffee table,livingroom,5
prd0055,table,diningroom,0
prd0056,table,diningroom,4
prd0057,dresser,bedroom,4
prd0058,chair,livingroom,5
prd0059,coffee table,livingroom,0
prd0060,coffee table,livingroom,1
prd0061,table,diningroom,4
prd0062,mattress,bedroom,0
prd0063,mattress,bedroom,0
prd0064,chair,livingroom,4
prd0065,mattress,bedroom,2
prd0066,table,diningroom,2
prd0067,dresser,bedroom,3
prd0068,coffee table,livingroom,5
prd0069,mattress,bedroom,1
prd0070,dresser,bedroom,2
prd0071,coffee table,livingroom,1
prd0072,chair,livingroom,3
prd0073,chair,livingroom,1
prd0074,bed,bedroom,2
prd0075,coffee table,livingroom,5
prd0076,tv,livingroom,2
prd0077,chair,livingroom,3
prd0078,bed,bedroom,5
prd0079,dresser,bedroom,0
prd0080,chair,livingroom,1
prd0081,tv,livingroom,4
prd0082,dresser,bedroom,4
prd0083,dresser,bedroom,2
prd0084,chair,livingroom,0
prd0085,mattress,bedroom,3
prd0086,bed,bedroom,0
prd0087,tv,livingroom,2
prd0088,bed,bedroom,4
prd0089,chair,livingroom,1
prd0090,coffee table,livingroom,3
prd0091,coffee table,livingroom,2
prd0092,chair,livingroom,3
prd0093,table,diningroom,1
prd0094,dresser,bedroom,4
prd0095,tv,livingroom,1
prd0096,bed,bedroom,2
prd0097,coffee table,livingroom,1
prd0098,tv,livingroom,2
prd0099,tv,livingroom,3
prd0100,tv,livingroom,2
prd0101,mattress,bedroom,0
prd0102,tv,livingroom,5
prd0103,tv,livingroom,0
prd0104,dresser,bedroom,3
prd0105,chair,livingroom,5
prd0106,bed,bedroom,4
prd0107,coffee table,livingroom,1
prd0108,dresser,bedroom,2
prd0109,chair,livingroom,3
prd0110,mattress,bedroom,3
prd0111,chair,livingroom,1
prd0112,mattress,bedroom,5
prd0113,chair,livingroom,5
prd0114,chair,livingroom,5
prd0115,chair,livingroom,3
prd0116,tv,livingroom,3
prd0117,chair,livingroom,2
prd0118,dresser,bedroom,2
prd0119,tv,livingroom,4
prd0120,dresser,bedroom,1
prd0121,table,diningroom,0
prd0122,bed,bedroom,5
prd0123,bed,bedroom,0
prd0124,table,diningroom,5
prd0125,tv,livingroom,1
prd0126,bed,bedroom,0
prd0127,coffee table,livingroom,2
prd0128,tv,livingroom,4
prd0129,dresser,bedroom,5
prd0130,mattress,bedroom,5
prd0131,table,diningroom,0
prd0132,dresser,bedroom,5
prd0133,dresser,bedroom,3
prd0134,tv,livingroom,1
prd0135,chair,livingroom,0
prd0136,chair,livingroom,5
prd0137,mattress,bedroom,0
prd0138,coffee table,livingroom,2
prd0139,chair,livingroom,1
prd0140,table,diningroom,5
prd0141,table,diningroom,4
prd0142,dresser,bedroom,0
