product_id,description,product_type,quantity_available
prd001,60-in TV,livingroom,0
prd002,L-shaped sofa,livingroom,1
prd003,Bicycle,recreation,4
prd004,Jacket,apparrel,2
prd005,object,rand_categ,2
prd006,object,rand_categ,1
prd007,object,rand_categ,9
prd008,object,rand_categ,3
prd009,object,rand_categ,1
prd010,object,rand_categ,10
prd011,object,rand_categ,1
prd012,object,rand_categ,2
prd013,object,rand_categ,6
prd014,object,rand_categ,10
prd015,object,rand_categ,8
prd016,object,rand_categ,10
prd017,object,rand_categ,3
prd018,object,rand_categ,3
prd019,object,rand_categ,1
prd020,object,rand_categ,7
prd021,object,rand_categ,6
prd022,object,rand_categ,3
prd023,object,rand_categ,1
prd024,object,rand_categ,6
prd025,object,rand_categ,9
prd026,object,rand_categ,6
prd027,object,rand_categ,7
prd028,object,rand_categ,6
prd029,object,rand_categ,8
prd030,object,rand_categ,4
prd031,object,rand_categ,5
prd032,object,rand_categ,1
prd033,object,rand_categ,6
prd034,object,rand_categ,7
prd035,object,rand_categ,1
prd036,object,rand_categ,4
prd037,object,rand_categ,4
prd038,object,rand_categ,1
prd039,object,rand_categ,3
prd040,object,rand_categ,9
prd041,object,rand_categ,7
prd042,object,rand_categ,2
prd043,object,rand_categ,7
prd044,object,rand_categ,3
prd045,object,rand_categ,8
prd046,object,rand_categ,2
prd047,object,rand_categ,7
prd048,object,rand_categ,4
prd049,object,rand_categ,5
prd050,object,rand_categ,10
prd051,object,rand_categ,1
prd052,object,rand_categ,4
prd053,object,rand_categ,5
prd054,object,rand_categ,8
prd055,object,rand_categ,8
prd056,object,rand_categ,4
prd057,object,rand_categ,8
prd058,object,rand_categ,6
prd059,object,rand_categ,4
prd060,object,rand_categ,1
prd061,object,rand_categ,10
prd062,object,rand_categ,10
prd063,object,rand_categ,2
prd064,object,rand_categ,3
prd065,object,rand_categ,1
prd066,object,rand_categ,3
prd067,object,rand_categ,7
prd068,object,rand_categ,6
prd069,object,rand_categ,9
prd070,object,rand_categ,10
prd071,object,rand_categ,8
prd072,object,rand_categ,6
prd073,object,rand_categ,2
prd074,object,rand_categ,2
prd075,object,rand_categ,1
prd076,object,rand_categ,8
prd077,object,rand_categ,10
prd078,object,rand_categ,10
prd079,object,rand_categ,7
prd080,object,rand_categ,9
prd081,object,rand_categ,10
prd082,object,rand_categ,10
prd083,object,rand_categ,6
prd084,object,rand_categ,10
prd085,object,rand_categ,6
prd086,object,rand_categ,3
prd087,object,rand_categ,5
prd088,object,rand_categ,5
prd089,object,rand_categ,10
prd090,object,rand_categ,9
prd091,object,rand_categ,4
prd092,object,rand_categ,1
prd093,object,rand_categ,10
prd094,object,rand_categ,1
prd095,object,rand_categ,10
prd096,object,rand_categ,6
prd097,object,rand_categ,3
prd098,object,rand_categ,8
prd099,object,rand_categ,9
prd100,object,rand_categ,9
prd101,object,rand_categ,7
prd102,object,rand_categ,1
prd103,object,rand_categ,1
prd104,object,rand_categ,5
prd105,object,rand_categ,7
prd106,object,rand_categ,4
prd107,object,rand_categ,1
prd108,object,rand_categ,3
prd109,object,rand_categ,8
prd110,object,rand_categ,8
prd111,object,rand_categ,3
prd112,object,rand_categ,9
prd113,object,rand_categ,5
prd114,object,rand_categ,3
prd115,object,rand_categ,8
prd116,object,rand_categ,2
prd117,object,rand_categ,6
prd118,object,rand_categ,10
prd119,object,rand_categ,2
prd120,object,rand_categ,5
prd121,object,rand_categ,9
prd122,object,rand_categ,2
prd123,object,rand_categ,6
prd124,object,rand_categ,5
prd125,object,rand_categ,4
prd126,object,rand_categ,3
prd127,object,rand_categ,6
prd128,object,rand_categ,7
prd129,object,rand_categ,9
prd130,object,rand_categ,3
prd131,object,rand_categ,5
prd132,object,rand_categ,6
prd133,object,rand_categ,8
prd134,object,rand_categ,10
prd135,object,rand_categ,9
prd136,object,rand_categ,7
prd137,object,rand_categ,9
prd138,object,rand_categ,9
prd139,object,rand_categ,3
prd140,object,rand_categ,10
prd141,object,rand_categ,9
prd142,object,rand_categ,10
prd143,object,rand_categ,7
prd144,object,rand_categ,2
prd145,object,rand_categ,6
prd146,object,rand_categ,6
prd147,object,rand_categ,7
prd148,object,rand_categ,6
prd149,object,rand_categ,7
prd150,object,rand_categ,10
prd151,object,rand_categ,5
prd152,object,rand_categ,7
prd153,object,rand_categ,5
prd154,object,rand_categ,4
prd155,object,rand_categ,2
prd156,object,rand_categ,1
prd157,object,rand_categ,7
prd158,object,rand_categ,3
prd159,object,rand_categ,6
prd160,object,rand_categ,6
prd161,object,rand_categ,10
prd162,object,rand_categ,2
prd163,object,rand_categ,10
prd164,object,rand_categ,9
prd165,object,rand_categ,2
prd166,object,rand_categ,6
prd167,object,rand_categ,10
prd168,object,rand_categ,6
prd169,object,rand_categ,7
prd170,object,rand_categ,6
prd171,object,rand_categ,8
prd172,object,rand_categ,8
prd173,object,rand_categ,9
prd174,object,rand_categ,1
prd175,object,rand_categ,6
prd176,object,rand_categ,7
prd177,object,rand_categ,8
prd178,object,rand_categ,3
prd179,object,rand_categ,9
prd180,object,rand_categ,2
prd181,object,rand_categ,7
prd182,object,rand_categ,7
prd183,object,rand_categ,8
prd184,object,rand_categ,9
prd185,object,rand_categ,7
prd186,object,rand_categ,9
prd187,object,rand_categ,10
prd188,object,rand_categ,4
prd189,object,rand_categ,5
prd190,object,rand_categ,4
prd191,object,rand_categ,4
prd192,object,rand_categ,7
prd193,object,rand_categ,8
prd194,object,rand_categ,1
prd195,object,rand_categ,10
prd196,object,rand_categ,6
prd197,object,rand_categ,10
prd198,object,rand_categ,10
prd199,object,rand_categ,7
prd200,object,rand_categ,9
prd201,object,rand_categ,5
prd202,object,rand_categ,3
prd203,object,rand_categ,5
prd204,object,rand_categ,8
prd205,object,rand_categ,4
prd206,object,rand_categ,3
prd207,object,rand_categ,10
prd208,object,rand_categ,10
prd209,object,rand_categ,7
prd210,object,rand_categ,8
prd211,object,rand_categ,5
prd212,object,rand_categ,4
prd213,object,rand_categ,10
prd214,object,rand_categ,1
prd215,object,rand_categ,9
prd216,object,rand_categ,7
prd217,object,rand_categ,4
prd218,object,rand_categ,2
prd219,object,rand_categ,1
prd220,object,rand_categ,3
prd221,object,rand_categ,9
prd222,object,rand_categ,4
prd223,object,rand_categ,4
prd224,object,rand_categ,9
prd225,object,rand_categ,1
prd226,object,rand_categ,1
prd227,object,rand_categ,10
prd228,object,rand_categ,5
prd229,object,rand_categ,5
prd230,object,rand_categ,6
prd231,object,rand_categ,9
prd232,object,rand_categ,4
prd233,object,rand_categ,4
prd234,object,rand_categ,4
prd235,object,rand_categ,8
prd236,object,rand_categ,9
prd237,object,rand_categ,2
prd238,object,rand_categ,2
prd239,object,rand_categ,7
prd240,object,rand_categ,2
prd241,object,rand_categ,6
prd242,object,rand_categ,5
prd243,object,rand_categ,9
prd244,object,rand_categ,2
prd245,object,rand_categ,8
prd246,object,rand_categ,7
prd247,object,rand_categ,1
prd248,object,rand_categ,8
prd249,object,rand_categ,9
prd250,object,rand_categ,8
prd251,object,rand_categ,2
prd252,object,rand_categ,10
prd253,object,rand_categ,3
prd254,object,rand_categ,10
prd255,object,rand_categ,8
prd256,object,rand_categ,1
prd257,object,rand_categ,8
prd258,object,rand_categ,4
prd259,object,rand_categ,10
prd260,object,rand_categ,7
prd261,object,rand_categ,10
prd262,object,rand_categ,2
prd263,object,rand_categ,6
prd264,object,rand_categ,1
prd265,object,rand_categ,9
prd266,object,rand_categ,9
prd267,object,rand_categ,1
prd268,object,rand_categ,10
prd269,object,rand_categ,3
prd270,object,rand_categ,8
prd271,object,rand_categ,2
prd272,object,rand_categ,6
prd273,object,rand_categ,3
prd274,object,rand_categ,4
prd275,object,rand_categ,3
prd276,object,rand_categ,5
prd277,object,rand_categ,6
prd278,object,rand_categ,4
prd279,object,rand_categ,2
prd280,object,rand_categ,6
prd281,object,rand_categ,6
prd282,object,rand_categ,7
prd283,object,rand_categ,8
prd284,object,rand_categ,6
prd285,object,rand_categ,3
prd286,object,rand_categ,7
prd287,object,rand_categ,4
prd288,object,rand_categ,7
prd289,object,rand_categ,5
prd290,object,rand_categ,9
prd291,object,rand_categ,3
prd292,object,rand_categ,10
prd293,object,rand_categ,3
prd294,object,rand_categ,6
prd295,object,rand_categ,2
prd296,object,rand_categ,9
prd297,object,rand_categ,2
prd298,object,rand_categ,4
prd299,object,rand_categ,1
prd300,object,rand_categ,1
prd301,object,rand_categ,5
prd302,object,rand_categ,9
prd303,object,rand_categ,9
prd304,object,rand_categ,6
prd305,object,rand_categ,7
prd306,object,rand_categ,9
prd307,object,rand_categ,7
prd308,object,rand_categ,4
prd309,object,rand_categ,4
prd310,object,rand_categ,9
prd311,object,rand_categ,5
prd312,object,rand_categ,9
prd313,object,rand_categ,6
prd314,object,rand_categ,7
prd315,object,rand_categ,2
prd316,object,rand_categ,9
prd317,object,rand_categ,10
prd318,object,rand_categ,4
prd319,object,rand_categ,7
prd320,object,rand_categ,4
prd321,object,rand_categ,7
prd322,object,rand_categ,4
prd323,object,rand_categ,7
prd324,object,rand_categ,1
prd325,object,rand_categ,7
prd326,object,rand_categ,10
prd327,object,rand_categ,9
prd328,object,rand_categ,9
prd329,object,rand_categ,4
prd330,object,rand_categ,6
prd331,object,rand_categ,1
prd332,object,rand_categ,1
prd333,object,rand_categ,5
prd334,object,rand_categ,5
prd335,object,rand_categ,4
prd336,object,rand_categ,4
prd337,object,rand_categ,5
prd338,object,rand_categ,4
prd339,object,rand_categ,9
prd340,object,rand_categ,3
prd341,object,rand_categ,7
prd342,object,rand_categ,1
prd343,object,rand_categ,10
prd344,object,rand_categ,8
prd345,object,rand_categ,7
prd346,object,rand_categ,4
prd347,object,rand_categ,4
prd348,object,rand_categ,7
prd349,object,rand_categ,4
prd350,object,rand_categ,4
prd351,object,rand_categ,8
prd352,object,rand_categ,5
prd353,object,rand_categ,1
prd354,object,rand_categ,4
prd355,object,rand_categ,10
prd356,object,rand_categ,10
prd357,object,rand_categ,5
prd358,object,rand_categ,7
prd359,object,rand_categ,7
prd360,object,rand_categ,6
prd361,object,rand_categ,2
prd362,object,rand_categ,4
prd363,object,rand_categ,9
prd364,object,rand_categ,4
prd365,object,rand_categ,6
prd366,object,rand_categ,8
prd367,object,rand_categ,6
prd368,object,rand_categ,9
prd369,object,rand_categ,9
prd370,object,rand_categ,8
prd371,object,rand_categ,6
prd372,object,rand_categ,7
prd373,object,rand_categ,3
prd374,object,rand_categ,8
prd375,object,rand_categ,9
prd376,object,rand_categ,5
prd377,object,rand_categ,10
prd378,object,rand_categ,5
prd379,object,rand_categ,1
prd380,object,rand_categ,5
prd381,object,rand_categ,2
prd382,object,rand_categ,1
prd383,object,rand_categ,3
prd384,object,rand_categ,3
prd385,object,rand_categ,5
prd386,object,rand_categ,6
prd387,object,rand_categ,3
prd388,object,rand_categ,10
prd389,object,rand_categ,10
prd390,object,rand_categ,8
prd391,object,rand_categ,4
prd392,object,rand_categ,3
prd393,object,rand_categ,3
prd394,object,rand_categ,6
prd395,object,rand_categ,6
prd396,object,rand_categ,7
prd397,object,rand_categ,7
prd398,object,rand_categ,4
prd399,object,rand_categ,1
prd400,object,rand_categ,1
prd401,object,rand_categ,3
prd402,object,rand_categ,6
prd403,object,rand_categ,2
prd404,object,rand_categ,7
prd405,object,rand_categ,6
prd406,object,rand_categ,6
prd407,object,rand_categ,5
prd408,object,rand_categ,4
prd409,object,rand_categ,1
prd410,object,rand_categ,10
prd411,object,rand_categ,7
prd412,object,rand_categ,1
prd413,object,rand_categ,5
prd414,object,rand_categ,2
prd415,object,rand_categ,7
prd416,object,rand_categ,9
prd417,object,rand_categ,4
prd418,object,rand_categ,9
prd419,object,rand_categ,6
prd420,object,rand_categ,8
prd421,object,rand_categ,4
prd422,object,rand_categ,1
prd423,object,rand_categ,2
prd424,object,rand_categ,4
prd425,object,rand_categ,8
prd426,object,rand_categ,3
prd427,object,rand_categ,5
prd428,object,rand_categ,4
prd429,object,rand_categ,6
prd430,object,rand_categ,10
prd431,object,rand_categ,10
prd432,object,rand_categ,1
prd433,object,rand_categ,9
prd434,object,rand_categ,9
prd435,object,rand_categ,1
prd436,object,rand_categ,5
prd437,object,rand_categ,7
prd438,object,rand_categ,8
prd439,object,rand_categ,2
prd440,object,rand_categ,4
prd441,object,rand_categ,1
prd442,object,rand_categ,6
prd443,object,rand_categ,1
prd444,object,rand_categ,5
prd445,object,rand_categ,8
prd446,object,rand_categ,2
prd447,object,rand_categ,2
prd448,object,rand_categ,6
prd449,object,rand_categ,3
prd450,object,rand_categ,5
prd451,object,rand_categ,2
prd452,object,rand_categ,10
prd453,object,rand_categ,9
prd454,object,rand_categ,6
prd455,object,rand_categ,7
prd456,object,rand_categ,7
prd457,object,rand_categ,8
prd458,object,rand_categ,9
prd459,object,rand_categ,2
prd460,object,rand_categ,9
prd461,object,rand_categ,6
prd462,object,rand_categ,3
prd463,object,rand_categ,7
prd464,object,rand_categ,9
prd465,object,rand_categ,1
prd466,object,rand_categ,9
prd467,object,rand_categ,3
prd468,object,rand_categ,3
prd469,object,rand_categ,9
prd470,object,rand_categ,5
prd471,object,rand_categ,8
prd472,object,rand_categ,3
prd473,object,rand_categ,4
prd474,object,rand_categ,2
prd475,object,rand_categ,4
prd476,object,rand_categ,2
prd477,object,rand_categ,9
prd478,object,rand_categ,5
prd479,object,rand_categ,4
prd480,object,rand_categ,5
prd481,object,rand_categ,6
prd482,object,rand_categ,8
prd483,object,rand_categ,8
prd484,object,rand_categ,3
prd485,object,rand_categ,9
prd486,object,rand_categ,8
prd487,object,rand_categ,3
prd488,object,rand_categ,9
prd489,object,rand_categ,7
prd490,object,rand_categ,7
prd491,object,rand_categ,1
prd492,object,rand_categ,7
prd493,object,rand_categ,9
prd494,object,rand_categ,5
prd495,object,rand_categ,2
prd496,object,rand_categ,2
prd497,object,rand_categ,4
prd498,object,rand_categ,8
prd499,object,rand_categ,4
prd500,object,rand_categ,1
prd501,object,rand_categ,10
prd502,object,rand_categ,7
prd503,object,rand_categ,1
prd504,object,rand_categ,4
prd505,object,rand_categ,9
prd506,object,rand_categ,7
prd507,object,rand_categ,4
prd508,object,rand_categ,1
prd509,object,rand_categ,2
prd510,object,rand_categ,6
prd511,object,rand_categ,8
prd512,object,rand_categ,5
prd513,object,rand_categ,3
prd514,object,rand_categ,2
prd515,object,rand_categ,8
prd516,object,rand_categ,8
prd517,object,rand_categ,5
prd518,object,rand_categ,8
prd519,object,rand_categ,3
prd520,object,rand_categ,10
prd521,object,rand_categ,5
prd522,object,rand_categ,3
prd523,object,rand_categ,1
prd524,object,rand_categ,1
prd525,object,rand_categ,10
prd526,object,rand_categ,4
prd527,object,rand_categ,7
prd528,object,rand_categ,3
prd529,object,rand_categ,6
prd530,object,rand_categ,6
prd531,object,rand_categ,3
prd532,object,rand_categ,7
prd533,object,rand_categ,10
prd534,object,rand_categ,1
prd535,object,rand_categ,1
prd536,object,rand_categ,4
prd537,object,rand_categ,9
prd538,object,rand_categ,8
prd539,object,rand_categ,7
prd540,object,rand_categ,2
prd541,object,rand_categ,1
prd542,object,rand_categ,3
prd543,object,rand_categ,6
prd544,object,rand_categ,4
prd545,object,rand_categ,10
prd546,object,rand_categ,5
prd547,object,rand_categ,3
prd548,object,rand_categ,10
prd549,object,rand_categ,10
prd550,object,rand_categ,10
prd551,object,rand_categ,10
prd552,object,rand_categ,4
prd553,object,rand_categ,4
prd554,object,rand_categ,8
prd555,object,rand_categ,6
prd556,object,rand_categ,3
prd557,object,rand_categ,7
prd558,object,rand_categ,3
prd559,object,rand_categ,7
prd560,object,rand_categ,8
prd561,object,rand_categ,4
prd562,object,rand_categ,5
prd563,object,rand_categ,1
prd564,object,rand_categ,9
prd565,object,rand_categ,7
prd566,object,rand_categ,5
prd567,object,rand_categ,4
prd568,object,rand_categ,6
prd569,object,rand_categ,5
prd570,object,rand_categ,6
prd571,object,rand_categ,9
prd572,object,rand_categ,7
prd573,object,rand_categ,2
prd574,object,rand_categ,9
prd575,object,rand_categ,2
prd576,object,rand_categ,2
prd577,object,rand_categ,3
prd578,object,rand_categ,6
prd579,object,rand_categ,9
prd580,object,rand_categ,5
prd581,object,rand_categ,6
prd582,object,rand_categ,3
prd583,object,rand_categ,5
prd584,object,rand_categ,4
prd585,object,rand_categ,5
prd586,object,rand_categ,3
prd587,object,rand_categ,3
prd588,object,rand_categ,8
prd589,object,rand_categ,9
prd590,object,rand_categ,9
prd591,object,rand_categ,6
prd592,object,rand_categ,10
prd593,object,rand_categ,10
prd594,object,rand_categ,9
prd595,object,rand_categ,1
prd596,object,rand_categ,4
prd597,object,rand_categ,1
prd598,object,rand_categ,4
prd599,object,rand_categ,7
prd600,object,rand_categ,4
prd601,object,rand_categ,9
prd602,object,rand_categ,5
prd603,object,rand_categ,10
prd604,object,rand_categ,6
prd605,object,rand_categ,3
prd606,object,rand_categ,9
prd607,object,rand_categ,8
prd608,object,rand_categ,1
prd609,object,rand_categ,8
prd610,object,rand_categ,7
prd611,object,rand_categ,10
prd612,object,rand_categ,4
prd613,object,rand_categ,1
prd614,object,rand_categ,4
prd615,object,rand_categ,6
prd616,object,rand_categ,2
prd617,object,rand_categ,10
prd618,object,rand_categ,6
prd619,object,rand_categ,7
prd620,object,rand_categ,8
prd621,object,rand_categ,9
prd622,object,rand_categ,4
prd623,object,rand_categ,5
prd624,object,rand_categ,4
prd625,object,rand_categ,8
prd626,object,rand_categ,3
prd627,object,rand_categ,4
prd628,object,rand_categ,10
prd629,object,rand_categ,4
prd630,object,rand_categ,10
prd631,object,rand_categ,10
prd632,object,rand_categ,10
prd633,object,rand_categ,8
prd634,object,rand_categ,9
prd635,object,rand_categ,7
prd636,object,rand_categ,1
prd637,object,rand_categ,10
prd638,object,rand_categ,5
prd639,object,rand_categ,1
prd640,object,rand_categ,8
prd641,object,rand_categ,7
prd642,object,rand_categ,10
prd643,object,rand_categ,10
prd644,object,rand_categ,6
prd645,object,rand_categ,5
prd646,object,rand_categ,7
prd647,object,rand_categ,6
prd648,object,rand_categ,4
prd649,object,rand_categ,4
prd650,object,rand_categ,10
prd651,object,rand_categ,6
prd652,object,rand_categ,4
prd653,object,rand_categ,7
prd654,object,rand_categ,9
prd655,object,rand_categ,2
prd656,object,rand_categ,2
prd657,object,rand_categ,6
prd658,object,rand_categ,4
prd659,object,rand_categ,6
prd660,object,rand_categ,5
prd661,object,rand_categ,6
prd662,object,rand_categ,10
prd663,object,rand_categ,6
prd664,object,rand_categ,4
prd665,object,rand_categ,10
prd666,object,rand_categ,4
prd667,object,rand_categ,7
prd668,object,rand_categ,5
prd669,object,rand_categ,10
prd670,object,rand_categ,2
prd671,object,rand_categ,2
prd672,object,rand_categ,5
prd673,object,rand_categ,4
prd674,object,rand_categ,10
prd675,object,rand_categ,4
prd676,object,rand_categ,4
prd677,object,rand_categ,8
prd678,object,rand_categ,2
prd679,object,rand_categ,10
prd680,object,rand_categ,7
prd681,object,rand_categ,5
prd682,object,rand_categ,5
prd683,object,rand_categ,2
prd684,object,rand_categ,10
prd685,object,rand_categ,10
