_id,product_type,description,quantity_available
FOM_001,Flower of Memories Mk1,Personal Time Travel Device,0
FLY_078,78 Glyde XL 2016,Ekiya Glyde Company Personal Spacecraft,2
ATC_002,98 Glyde GX Temporal Edition,Ekiya Glyde Company Timecraft,0
DMR_001,Donut Making Robot,Makes donuts!,300
KMCC_001,Replicator Compact,A makeup compact that covertly contains a small item replicator,2499
KMCC_002,Light-Scribe Eyeshadow Kit,A makeup kit that utilizes photonic manipulation (holograms) to create whatever eyeshadow look you desire,2496
KMCC_003,Lock Pick Hair Barrette,A hair barrette that contains a lock picking kit,2494
KMCC_004,Universal Translator Earrings,A pair of earrings that contain a universal translator,2499
NN_988141,Nutmeg Nutmeg,Cherrish Sophiesville 7th Lauren Burch Juniper,757
SLS_966532,Sycamore Lime Starchelle,9th Apple New Sophiesville,76
A_216520,Abby,New Sophiesville Starshine 7th Jelissa Rowan,540
SM_788147,Sophiesville Melody,McNerney Misty Autumn Sivertsen Elm Lovelle Equinox,136
PT_178647,Pallet Town,Neverwinter Kima Loaf Jelissa Sometimesautumn 8th Goat Maybespring Elm,919
NSSA_452722,New Sophiesville Sheep Alwayssummer,Avdic Apple Cresenta Harmony Neverwinter,386
JJ_434201,Jelly Jam,Harmony Elm Collette,527
KL_530890,Kayomi Loaf,Rowan Yolanda Cherrish,3
LMAF_343759,Lime Misty Autumn Foxglove,Bear Lien Matsume Avdic Valery,133
C_584559,Cherry,Vivian Mayrina Andromeda Maybespring Ramirez Vivian Sophiesville Jelissa,742
PT_535004,Pallet Town,Bear Starlight New Sophiesville Andromeda Yolanda Amy 1st Jelly,575
SMY_34670,Sycamore Maybespring Yolanda,2nd Kayomi Valery Foxglove,524
DDP_341016,Daisy Daisy Petunia,Apple Cresenta Misty Autumn Juniper Neverwinter,752
SSF_62902,Strawberry Starshine Foxglove,Daisy Delilah Sivertsen Sophiesville Kayomi McKeever Solstice Kayomi Foxglove Neverwinter,772
NES_833343,Nutmeg Equinox Starchelle,Yolanda Misty Autumn Sometimesautumn Matsuka Rowan,554
SS_784956,Sophia Sophia,Daisy Matsume Starchelle Starlight Marisol Neverwinter Rowan McKeever Lauren,842
ASV_523429,Apple Strawberry Valery,Lu Sometimesautumn Cherrish Misty Autumn Foxglove Misty Autumn,380
