_id,customer_id,product_id
rental_0001,user8231,FLY_078
rental_0002,user8231,KMCC_001
rental_0003,user8231,KMCC_003
rental_0004,user8231,KMCC_004
rental_0005,user1768,FLY_078
rental_0006,user1768,KMCC_003
rental_0007,user0001,FOM_001
rental_0008,user0001,ATC_002
rental_0009,user0001,KMCC_002
rental_0010,user0001,KMCC_003
rental_0011,user0002,FOM_001
rental_0012,user0002,ATC_002
rental_0013,user0002,KMCC_002
rental_0014,user0002,KMCC_003
rental_0015,user0003,FOM_001
rental_0016,user0003,ATC_002
rental_0017,user0003,KMCC_002
rental_0018,user0003,KMCC_003
rental_0019,user0004,KMCC_002
rental_0020,user0005,FLY_078
rental_0021,user0005,KMCC_003
rental_0022,user0642,MDV_562441
rental_0023,user0756,S_824935
rental_0024,user0842,AW_406919
rental_0025,user0109,LNSB_443846
rental_0026,user0782,M_87482
rental_0027,user0214,DDP_341016
rental_0028,user0668,3K_395919
rental_0029,user0670,M_244844
rental_0030,user0482,F_318629
rental_0031,user0054,KC_364364
rental_0032,user0729,PT_408714
rental_0033,user0729,AS_398594
rental_0034,user0940,LDS_238946
rental_0035,user0321,M_898209
rental_0036,user0377,D_889229
rental_0037,user0924,MA_980290
rental_0038,user0999,NS_80289
rental_0039,user0790,LPT_985336
rental_0040,user0491,4DS_897790
rental_0041,user0710,NES_833343
rental_0042,user0674,HJ_602746
rental_0043,user0729,SL_965214
rental_0044,user0322,MAE_593880
rental_0045,user0583,LPL_63595
rental_0046,user0816,AC_23815
rental_0047,user0205,ASS_438081
rental_0048,user0491,SSA_445385
rental_0049,user0984,RAC_211325
rental_0050,user0369,38F_276956
rental_0051,user0993,RA_892291
rental_0052,user0117,S_929469
rental_0053,user0603,2J_398434
rental_0054,user0734,PAS_857099
rental_0055,user0945,78_876301
rental_0056,user0225,KNSJ_841886
rental_0057,user0741,AC_953074
rental_0058,user0530,SL_26361
rental_0059,user0665,MA_116048
rental_0060,user0626,7NA_489182
rental_0061,user0519,N_830543
rental_0062,user0012,NSD9_36058
rental_0063,user0873,MB_467907
rental_0064,user0281,B_361479
rental_0065,user0119,C6J_16176
rental_0066,user0446,LNSN_921812
rental_0067,user0759,N_247829
rental_0068,user0250,G_790313
rental_0069,user0276,SS_489268
rental_0070,user0878,LAS_851991
rental_0071,user0820,J_24363
rental_0072,user0528,A_471897
rental_0073,user0250,M_421639
rental_0074,user0954,S_598814
rental_0075,user0377,SM_788147
rental_0076,user0049,PT4_776670
rental_0077,user0011,LRM_106058
rental_0078,user0777,KAM_372703
rental_0079,user0632,C_454326
rental_0080,user0786,KS_311580
rental_0081,user0017,AC_953074
rental_0082,user0420,5_37579
rental_0083,user0357,PT_535004
rental_0084,user0549,KR_933709
rental_0085,user0268,FAL_484187
rental_0086,user0844,J_8196
rental_0087,user0023,J_654707
rental_0088,user0690,L_516632
rental_0089,user0750,KAM_372703
rental_0090,user0525,K2_221312
rental_0091,user0112,AL_720853
rental_0092,user0227,LSS_512239
rental_0093,user0219,SSN_568904
rental_0094,user0505,S4M_437174
rental_0095,user0125,N_108012
rental_0096,user0129,KM_552974
rental_0097,user0218,8R_917532
rental_0098,user0242,SCA_386818
rental_0099,user0389,LK_896732
rental_0100,user0339,AMAS_888049
rental_0101,user0734,MA_17151
rental_0102,user0293,ML_465585
rental_0103,user0019,FV_784110
rental_0104,user0067,JS_139797
rental_0105,user0684,PTMS_789326
rental_0106,user0380,MANM_701288
rental_0107,user0906,MC_531421
rental_0108,user0838,ARMA_851090
rental_0109,user0538,BS_160732
rental_0110,user0050,PT_806734
rental_0111,user0388,M_17969
rental_0112,user0922,BA_153115
rental_0113,user0125,SSM_693905
rental_0114,user0343,PT_806734
rental_0115,user0660,4J_342092
rental_0116,user0919,D_694659
rental_0117,user0134,3K_395919
rental_0118,user0561,LEM_544229
rental_0119,user0534,SSA_962077
rental_0120,user0741,NM_702517
rental_0121,user0729,NSKS_884985
rental_0122,user0090,S5_194792
rental_0123,user0328,V_954173
rental_0124,user0763,E_419919
rental_0125,user0842,S9B_514669
rental_0126,user0954,A_831065
rental_0127,user0189,PSY_280806
rental_0128,user0796,SL9_22492
rental_0129,user0040,SL_33762
rental_0130,user0355,YMK_637108
rental_0131,user0928,LS_535651
rental_0132,user0651,LMK_574554
rental_0133,user0780,S_404350
rental_0134,user0076,EC_532443
rental_0135,user0056,MA_446815
rental_0136,user0419,L_217287
rental_0137,user0480,PT_947000
rental_0138,user0326,4NH_981028
rental_0139,user0399,SJR_508996
rental_0140,user0768,SG_644159
rental_0141,user0460,L_109521
rental_0142,user0327,SL_542006
rental_0143,user0867,8R_917532
rental_0144,user0859,CL_35853
rental_0145,user0560,JMP_792330
rental_0146,user0449,MAD_287730
rental_0147,user0552,DM_210551
rental_0148,user0093,MA_17151
rental_0149,user0328,MLM_920970
rental_0150,user0721,N_830543
rental_0151,user0843,S_567357
rental_0152,user0760,1_413400
rental_0153,user0647,M_420025
rental_0154,user0650,7NA_489182
rental_0155,user0719,AS_525057
rental_0156,user0965,AS_525514
rental_0157,user0373,AL_228750
rental_0158,user0329,SS_281156
rental_0159,user0856,E_389545
rental_0160,user0013,H_372167
rental_0161,user0050,M_556260
rental_0162,user0108,VK_670015
rental_0163,user0359,S7_708814
rental_0164,user0326,M_40076
rental_0165,user0497,DS_458105
rental_0166,user0569,C_395291
rental_0167,user0980,S_840286
rental_0168,user0348,5A_989783
rental_0169,user0886,NSN_395969
rental_0170,user0629,CK_539387
rental_0171,user0041,DE_953504
rental_0172,user0072,L_735451
rental_0173,user0855,S_197727
rental_0174,user0195,S_567357
rental_0175,user0562,MLC_543804
rental_0176,user0617,S_249078
rental_0177,user0245,MAE_593880
rental_0178,user0756,PA_302144
rental_0179,user0629,OMS_1483
rental_0180,user0772,L_301887
rental_0181,user0452,SA6_232430
rental_0182,user0216,MS_923132
rental_0183,user0485,NA_876717
rental_0184,user0073,SSA_962077
rental_0185,user0125,L_189387
rental_0186,user0413,SK_520887
rental_0187,user0215,MMA_897581
rental_0188,user0910,MC_169921
rental_0189,user0946,EM_716064
rental_0190,user0095,JFS_910292
rental_0191,user0850,C_584559
rental_0192,user0387,RFM_100176
rental_0193,user0135,TKPT_770300
rental_0194,user0089,N_806218
rental_0195,user0716,R_679692
rental_0196,user0290,SCS_786351
rental_0197,user0084,K_38502
rental_0198,user0831,N_830543
rental_0199,user0984,NSMS_929271
rental_0200,user0741,PJ_625563
rental_0201,user0813,KL_530890
rental_0202,user0747,MJ_850350
rental_0203,user0967,AMA_986656
rental_0204,user0253,RKB_349369
rental_0205,user0019,A_253469
rental_0206,user0536,M_171513
rental_0207,user0361,JNNS_881478
rental_0208,user0231,SH_917537
rental_0209,user0440,JAE_727802
rental_0210,user0605,A_342615
rental_0211,user0939,JMM_55895
rental_0212,user0136,LES_182837
rental_0213,user0919,SM_900833
rental_0214,user0359,SL_26361
rental_0215,user0061,AL_619979
rental_0216,user0537,T_256303
rental_0217,user0138,1S_441831
rental_0218,user0536,G_267367
rental_0219,user0833,K_901203
rental_0220,user0841,E_256858
rental_0221,user0940,K_739320
rental_0222,user0022,K_4306
rental_0223,user0466,ALS_788699
rental_0224,user0744,M7R_841449
rental_0225,user0246,AKN_577185
rental_0226,user0685,NAL_12517
rental_0227,user0741,S_197047
rental_0228,user0644,GMPT_127484
rental_0229,user0872,8M_976532
rental_0230,user0085,68S_236841
rental_0231,user0028,E5S_627826
rental_0232,user0027,A_99458
rental_0233,user0640,NSS_74222
rental_0234,user0273,GLM_519325
rental_0235,user0500,CFR_569085
rental_0236,user0284,K_638772
rental_0237,user0012,CRH_867265
rental_0238,user0694,NSA_41301
rental_0239,user0380,CSS_494457
rental_0240,user0447,S33_470603
rental_0241,user0944,NN_988141
rental_0242,user0623,SNM_897696
rental_0243,user0095,V4MA_687396
rental_0244,user0680,T_848983
rental_0245,user0239,NSKS_884985
rental_0246,user0341,MA_170976
rental_0247,user0272,A6N_926614
rental_0248,user0338,SM_556660
rental_0249,user0869,MSA_33587
rental_0250,user0426,JN_855094
rental_0251,user0383,88R_77801
rental_0252,user0802,AMC_760178
rental_0253,user0886,AAS_383566
rental_0254,user0513,MNSW_870436
rental_0255,user0242,A_428768
rental_0256,user0221,7M_932642
rental_0257,user0956,FD_38376
rental_0258,user0295,AC_459060
rental_0259,user0543,S_840286
rental_0260,user0471,SPT_984594
rental_0261,user0487,LSB_39094
rental_0262,user0527,SM7_550208
rental_0263,user0467,SPT_342447
rental_0264,user0778,CLL_98324
rental_0265,user0348,LDM_366272
rental_0266,user0166,7M_932642
rental_0267,user0497,JR_474830
rental_0268,user0791,FCM_329795
rental_0269,user0565,S_839847
rental_0270,user0013,S_203845
rental_0271,user0639,L_760490
rental_0272,user0812,PKS_826122
rental_0273,user0761,E5R_766118
rental_0274,user0360,KK_708977
rental_0275,user0651,SSF_62902
rental_0276,user0545,LSB_39094
rental_0277,user0669,2_392816
rental_0278,user0770,M_615901
rental_0279,user0734,S_29430
rental_0280,user0617,SL_33762
rental_0281,user0195,MAE_593880
rental_0282,user0272,JK_660601
rental_0283,user0333,T_256303
rental_0284,user0625,J_738906
rental_0285,user0097,E_389545
rental_0286,user0865,SMM_520734
rental_0287,user0273,PT_178647
rental_0288,user0815,MA_322577
rental_0289,user0226,M_420025
rental_0290,user0078,S_605999
rental_0291,user0784,OS_859802
rental_0292,user0686,BNS_560705
rental_0293,user0759,E_643647
rental_0294,user0713,L_992169
rental_0295,user0242,N_806218
rental_0296,user0652,C_687307
rental_0297,user0278,MVS_489465
rental_0298,user0787,R_732871
rental_0299,user0817,L_853543
rental_0300,user0255,V_858956
rental_0301,user0418,GJ_958258
rental_0302,user0826,S9P_57859
rental_0303,user0999,W_941574
rental_0304,user0736,S9K_969563
rental_0305,user0613,MCL_991153
rental_0306,user0217,JME_20298
rental_0307,user0281,L_528009
rental_0308,user0453,KCS_554738
rental_0309,user0836,SSL_539208
rental_0310,user0629,W_978251
rental_0311,user0184,8PT_90876
rental_0312,user0225,P_475283
rental_0313,user0652,SSL_539208
rental_0314,user0200,MAE_593880
rental_0315,user0980,CLL_98324
rental_0316,user0057,7_289486
rental_0317,user0466,MAC_430165
rental_0318,user0202,MHM_888897
rental_0319,user0466,MAA_318769
rental_0320,user0121,LS_43912
rental_0321,user0363,LMA_181615
rental_0322,user0909,M_846733
rental_0323,user0430,RF_221542
rental_0324,user0200,MA_446815
rental_0325,user0394,AC_23815
rental_0326,user0636,S_249078
rental_0327,user0590,MAK_571319
rental_0328,user0992,Y_424254
rental_0329,user0311,FM_687621
rental_0330,user0050,AS_525057
rental_0331,user0859,AL_619979
rental_0332,user0773,S_465373
rental_0333,user0844,4NH_981028
rental_0334,user0725,FD_38376
rental_0335,user0340,K_739320
rental_0336,user0920,L_632299
rental_0337,user0358,N_230990
rental_0338,user0418,N_247829
rental_0339,user0328,KA1_828426
rental_0340,user0987,SSL_539208
rental_0341,user0661,DM_220321
rental_0342,user0285,AL_640969
rental_0343,user0471,AC_594452
rental_0344,user0878,2H_981356
rental_0345,user0818,M_224211
rental_0346,user0806,N_724682
rental_0347,user0116,ML_199176
rental_0348,user0810,MLM_920970
rental_0349,user0845,SKS_229519
rental_0350,user0131,DSS_95810
rental_0351,user0254,NC_544972
rental_0352,user0800,K_320455
rental_0353,user0915,LEK_555938
rental_0354,user0765,LNSB_443846
rental_0355,user0044,NM9_849902
rental_0356,user0564,LK_333733
rental_0357,user0603,MD_340943
rental_0358,user0780,AL_228750
rental_0359,user0787,J8_61785
rental_0360,user0301,PTY_174191
rental_0361,user0319,S9_916071
rental_0362,user0662,N_830543
rental_0363,user0220,S_183851
rental_0364,user0174,MLC_543804
rental_0365,user0821,LDS_238946
rental_0366,user0577,MNSW_870436
rental_0367,user0425,NC_929394
rental_0368,user0238,A_647101
rental_0369,user0406,DE_953504
rental_0370,user0826,VMM_801394
rental_0371,user0842,ELL_328370
rental_0372,user0955,M_302412
rental_0373,user0270,KAM_372703
rental_0374,user0541,3M_774404
rental_0375,user0712,MDV_562441
rental_0376,user0443,S_216036
rental_0377,user0507,NLS_684695
rental_0378,user0105,L_593191
rental_0379,user0384,SSA_800994
rental_0380,user0990,AL_186144
rental_0381,user0954,S_629668
rental_0382,user0440,NLS_313418
rental_0383,user0262,M_224211
rental_0384,user0929,MM_315260
rental_0385,user0313,1S_67947
rental_0386,user0473,KNSJ_841886
rental_0387,user0905,V_914292
rental_0388,user0073,L_516632
rental_0389,user0032,AL9_887267
rental_0390,user0151,F_929215
rental_0391,user0162,ASA_560210
rental_0392,user0821,BKA_941928
rental_0393,user0331,SLS_966532
rental_0394,user0425,KMC_226546
rental_0395,user0324,KKC_212212
rental_0396,user0891,KJC_885087
rental_0397,user0495,LAH_119335
rental_0398,user0218,1E_505473
rental_0399,user0963,MKS_496083
rental_0400,user0129,AC_459060
rental_0401,user0558,D_459049
rental_0402,user0307,K2_221312
rental_0403,user0540,CMAM_580915
rental_0404,user0513,SS_107485
rental_0405,user0066,SM_250895
rental_0406,user0733,CLL_98324
rental_0407,user0254,L_991586
rental_0408,user0563,K_628774
rental_0409,user0923,EAE_856589
rental_0410,user0403,SM9_710707
rental_0411,user0800,SSL_539208
rental_0412,user0083,J_897103
rental_0413,user0372,A_186439
rental_0414,user0776,D_563851
rental_0415,user0297,J_738906
rental_0416,user0571,FDS_32017
rental_0417,user0138,9_255913
rental_0418,user0912,SS_552271
rental_0419,user0334,GNS_669834
rental_0420,user0905,AL_186144
rental_0421,user0161,MAM_419197
rental_0422,user0253,R_185717
rental_0423,user0901,AMC_760178
rental_0424,user0188,SM_250895
rental_0425,user0864,M_267211
rental_0426,user0731,M_244844
rental_0427,user0746,L_11727
rental_0428,user0723,R_36999
rental_0429,user0373,M_459812
rental_0430,user0027,JR_535098
rental_0431,user0256,ASA_560210
rental_0432,user0118,CL8_603670
rental_0433,user0187,N_806218
rental_0434,user0031,A_164059
rental_0435,user0593,K2_221312
rental_0436,user0386,S_465373
rental_0437,user0067,SS_584119
rental_0438,user0891,38F_276956
rental_0439,user0677,KSK_231047
rental_0440,user0628,C_314818
rental_0441,user0279,68S_236841
rental_0442,user0860,RAS_637820
rental_0443,user0369,SML_44307
rental_0444,user0407,8MMA_596531
rental_0445,user0864,AC_594452
rental_0446,user0637,A_57669
rental_0447,user0183,J_521879
rental_0448,user0562,FAK_726785
rental_0449,user0688,NCMA_75871
rental_0450,user0585,A_164059
rental_0451,user0657,ML_199176
rental_0452,user0683,M_276338
rental_0453,user0589,MMA_897581
rental_0454,user0285,CA_547176
rental_0455,user0789,E_284488
rental_0456,user0128,MMA_897581
rental_0457,user0541,9_255913
rental_0458,user0584,N_518459
rental_0459,user0528,3_807257
rental_0460,user0421,SSE_322597
rental_0461,user0994,M_945859
rental_0462,user0430,SS_860614
rental_0463,user0558,SSM_346391
rental_0464,user0040,SSA_445385
rental_0465,user0097,6K_996513
rental_0466,user0269,N_369854
rental_0467,user0462,JAE_727802
rental_0468,user0901,ASL_661837
rental_0469,user0786,SM9_710707
rental_0470,user0991,SJPT_120897
rental_0471,user0337,L_11727
rental_0472,user0180,S_348302
rental_0473,user0655,MPTPT_774995
rental_0474,user0794,L_70681
rental_0475,user0538,N_369854
rental_0476,user0475,DB_559370
rental_0477,user0079,PTMM_802954
rental_0478,user0052,6B6_514172
rental_0479,user0673,AL_720853
rental_0480,user0817,LC_868946
rental_0481,user0343,L_528009
rental_0482,user0807,L_301887
rental_0483,user0210,SN_945880
rental_0484,user0358,A_428768
rental_0485,user0055,NS_442634
rental_0486,user0880,L7_36473
rental_0487,user0702,AY_163098
rental_0488,user0249,MAMMA_499058
rental_0489,user0068,C6J_16176
rental_0490,user0726,JK_452271
rental_0491,user0657,ACS_736365
