id,user_id,product_id
rent001,user001,prd001
rent002,user002,prd002
rent003,user003,prd003
rent004,user004,prd004
rent005,user005,prd005
rent006,user006,prd006
rent007,user007,prd007
rent008,user008,prd008
rent009,user009,prd009
rent010,user010,prd010
rent011,user011,prd011
rent012,user012,prd012
rent013,user013,prd013
rent014,user014,prd014
rent015,user015,prd015
rent016,user016,prd016
rent017,user017,prd017
rent018,user018,prd018
rent019,user019,prd019
rent020,user020,prd020
rent021,user021,prd021
rent022,user022,prd022
rent023,user023,prd023
rent024,user024,prd024
rent025,user025,prd025
rent026,user026,prd026
rent027,user027,prd027
rent028,user028,prd028
rent029,user029,prd029
rent030,user030,prd030
rent031,user031,prd031
rent032,user032,prd032
rent033,user033,prd033
rent034,user034,prd034
rent035,user035,prd035
rent036,user036,prd036
rent037,user037,prd037
rent038,user038,prd038
rent039,user039,prd039
rent040,user040,prd040
rent041,user041,prd041
rent042,user042,prd042
rent043,user043,prd043
rent044,user044,prd044
rent045,user045,prd045
rent046,user046,prd046
rent047,user047,prd047
rent048,user048,prd048
rent049,user049,prd049
rent050,user050,prd050
rent051,user051,prd051
rent052,user052,prd052
rent053,user053,prd053
rent054,user054,prd054
rent055,user055,prd055
rent056,user056,prd056
rent057,user057,prd057
rent058,user058,prd058
rent059,user059,prd059
rent060,user060,prd060
rent061,user061,prd061
rent062,user062,prd062
rent063,user063,prd063
rent064,user064,prd064
rent065,user065,prd065
rent066,user066,prd066
rent067,user067,prd067
rent068,user068,prd068
rent069,user069,prd069
rent070,user070,prd070
rent071,user071,prd071
rent072,user072,prd072
rent073,user073,prd073
rent074,user074,prd074
rent075,user075,prd075
rent076,user076,prd076
rent077,user077,prd077
rent078,user078,prd078
rent079,user079,prd079
rent080,user080,prd080
rent081,user081,prd081
rent082,user082,prd082
rent083,user083,prd083
rent084,user084,prd084
rent085,user085,prd085
rent086,user086,prd086
rent087,user087,prd087
rent088,user088,prd088
rent089,user089,prd089
rent090,user090,prd090
