ProductID,Description,ProductType,QuantityAvailable
prd00001,60-inch TV stand,livingroom,3
prd00002,L-shaped sofa,livingroom,1
prd00003,W,jrWQaKsoUYMAVmc,2
prd00004,qiRiEzuuq,SMJylZvlfZh,8
prd00005,ahUuppsszxLVjxX,kqVeYde,6
prd00006,ugpu,XBCLiq,1
prd00007,tLAVYItoFfQ,dz,6
prd00008,SLbzeqMaWXB,qrLDVVYzWeL,1
prd00009,hfZBu,mWCsjrcMgB,8
prd00010,nUXnWlKO,R,8
prd00011,tyCUjbP,WWkrOVNbJC,7
prd00012,HuDAs,mtyVNzogxxe,10
prd00013,gnMLRM,i,2
prd00014,vB,DHRo,8
prd00015,PTyzCXrTQrrBbw,qbfSeRZOREV,5
prd00016,MItlqWiX,t,1
prd00017,owArSpOYgvgnn,wjsBjl,8
prd00018,yMoUbid,KbFSOrbjtgS,2
prd00019,oZgRhxEbBIl,GMIPXeWMv,2
prd00020,CTzVLhw,sxsUXulwUjmEh,8
prd00021,pJCySZYywn,rapxgifhYNkF,1
prd00022,FFTYxhTTESO,pdtDInlgRf,10
prd00023,y,SaUZtJE,6
prd00024,zTKpBempScoRPgq,sYfyOk,6
prd00025,owfhstRd,QTXXEtWTIhiVEl,5
prd00026,flN,wvobvb,6
prd00027,nwvLppPifeO,BFkYYCwDOOYeeZf,2
prd00028,MtlnCL,ZXUMtdXpPj,9
prd00029,vGQxeY,IhaiyhPHcGTpxi,1
prd00030,DL,EcDPQkxs,6
prd00031,XvYA,aUZZypCQqTqbJg,2
prd00032,icMMszLveI,xk,5
prd00033,kAxsTD,AA,2
prd00034,nNgs,kEDxeCsglZpd,2
prd00035,rSkH,PXZcnntrjMqIhyZ,5
prd00036,GvwcpSedBKcloU,ZITWeg,4
prd00037,OfhsVwiYNnWInej,xpKABbQKcmZAbnx,6
prd00038,sXOSY,aIdtEIyOHvL,9
prd00039,ibLCxebGPbUIiFB,yfVEvWChqKMFwj,9
prd00040,SfvglklHvFtv,hHIGid,3
prd00041,EQbOWKyEg,A,8
prd00042,qxiXqpgZ,LQMGS,9
prd00043,gIoCRPgg,NzedUCIEyAfCTSA,6
prd00044,uTHBFeqoR,dfURl,9
prd00045,MKfbTY,gYi,1
prd00046,aegVyojY,zAhQqEJJ,6
prd00047,vjsrNSaqp,nDRMGuRIoBlvKeH,10
prd00048,JHnczgsRkg,NMSQhRrEXWDoJD,9
prd00049,HX,k,6
prd00050,O,jkshwDuPg,1
prd00051,YyRXir,VYRNJl,6
