RentalID,UserID,ProductID
rnt00001,user00002,prd00001
rnt00002,user00001,prd00002
rnt00003,user00288,prd00168
rnt00004,user00670,prd00655
rnt00005,user00126,prd00245
rnt00006,user00302,prd00551
rnt00007,user00553,prd00177
rnt00008,user00735,prd00556
rnt00009,user00842,prd00817
rnt00010,user00383,prd00591
rnt00011,user00323,prd00536
rnt00012,user00032,prd00370
rnt00013,user00748,prd00504
rnt00014,user00854,prd00196
rnt00015,user00607,prd00776
rnt00016,user00587,prd00889
rnt00017,user00479,prd00678
rnt00018,user00047,prd00563
rnt00019,user00544,prd00032
rnt00020,user00123,prd00629
rnt00021,user00079,prd00265
rnt00022,user00196,prd00698
rnt00023,user00748,prd00430
rnt00024,user00771,prd00470
rnt00025,user00786,prd00698
rnt00026,user00922,prd00979
rnt00027,user00784,prd00675
rnt00028,user00420,prd00094
rnt00029,user00703,prd00529
rnt00030,user00678,prd00012
rnt00031,user00088,prd00636
rnt00032,user00675,prd00260
rnt00033,user00942,prd00997
rnt00034,user00539,prd00524
rnt00035,user00788,prd00709
rnt00036,user00773,prd00113
rnt00037,user00944,prd00779
rnt00038,user00336,prd00189
rnt00039,user00252,prd00263
rnt00040,user00276,prd00001
rnt00041,user00264,prd00176
rnt00042,user00982,prd00220
rnt00043,user00533,prd00963
rnt00044,user00129,prd00014
rnt00045,user00195,prd00357
rnt00046,user00714,prd00824
rnt00047,user00769,prd00926
rnt00048,user00067,prd00135
rnt00049,user00541,prd00585
rnt00050,user00209,prd00595
rnt00051,user00601,prd00721
rnt00052,user00539,prd00480
rnt00053,user00802,prd00357
rnt00054,user00483,prd00871
rnt00055,user00384,prd00145
rnt00056,user00309,prd00298
rnt00057,user00450,prd00174
rnt00058,user00792,prd00502
rnt00059,user00627,prd00393
rnt00060,user00932,prd00656
rnt00061,user00546,prd00215
rnt00062,user00041,prd00262
rnt00063,user00324,prd00047
rnt00064,user00381,prd00744
rnt00065,user00339,prd00001
rnt00066,user00456,prd00125
rnt00067,user00649,prd00379
rnt00068,user00988,prd00113
rnt00069,user00897,prd00941
rnt00070,user00506,prd00614
rnt00071,user00141,prd00629
rnt00072,user00938,prd00092
rnt00073,user00485,prd00892
rnt00074,user00865,prd00363
rnt00075,user00786,prd00622
rnt00076,user00486,prd00922
rnt00077,user00107,prd00143
rnt00078,user00054,prd00959
rnt00079,user00584,prd00878
rnt00080,user00772,prd00221
rnt00081,user00486,prd00221
rnt00082,user00031,prd00969
rnt00083,user00345,prd00462
rnt00084,user00831,prd00393
rnt00085,user00187,prd00516
rnt00086,user00226,prd00430
rnt00087,user00993,prd00298
rnt00088,user00237,prd00585
rnt00089,user00496,prd00723
rnt00090,user00965,prd00172
rnt00091,user00211,prd00345
rnt00092,user00481,prd00038
rnt00093,user00246,prd00963
rnt00094,user00040,prd00531
rnt00095,user00472,prd00562
rnt00096,user00573,prd00513
rnt00097,user00142,prd00293
rnt00098,user00709,prd00935
rnt00099,user00390,prd00269
rnt00100,user00602,prd00957
