ProductID, Description, ProductType, QuantityAvailable
prd00001,ne,UaAbk,7
prd00002,HSWTAyNxV,Kp,1
prd00003,pNxthOYqmueA,DAIUAcO,5
prd00004,w,ZfaNmMibUDv,9
prd00005,xImMRkXBspaJHv,wOtXKGE,2
prd00006,WIuzxzZmVXPNz,GQpaNQzw,1
prd00007,KWwnUF,ZkSNBU,6
prd00008,lNdNVPKw,adFM,1
prd00009,otTotSqPvR,DOzX,10
prd00010,fKOuAltXIrPVwMY,ZxfcRarr,9
prd00011,LQIHyUjZlXqyMwf,xwYknZGoJ,3
prd00012,SxOjlmyqlFSbmG,ZiwwUmtttQ,3
prd00013,KFdfLUksutNuHT,jrjUUamgQfOrEH,3
prd00014,v,MJlJFTILQWAWqg,6
prd00015,G,fS,6
prd00016,RGlKSbCtc,vcEhiph,3
prd00017,F,Gw,3
prd00018,VcRo,LSyEnGy,6
prd00019,M,UYjSzcgUkVChq,9
prd00020,VNSUTijxlFppry,VYZCODyaAhmW,8
prd00021,NKgWOgaLPnuuCkF,wmStlMuncRyyb,8
prd00022,issFrOMG,llRKQjLSEijlj,2
prd00023,nB,viOFVHJcrQtERnR,10
prd00024,apXZ,DjZCVOMjRBRK,9
prd00025,hhsciVCy,EhCa,8
prd00026,dvZmmxlfe,FliRsbzzcggJPhk,7
prd00027,cHJK,U,2
prd00028,tkf,GT,2
prd00029,SWMcKUkpoHiVWT,ZgU,2
prd00030,YGrkYLcq,aEVxrr,7
prd00031,B,VyNnXeHpEZ,4
prd00032,fJxPYzcV,xX,3
prd00033,cGTmOizbU,xNgJQhHQ,6
prd00034,HZXkDvcGVu,vTaOC,9
prd00035,ikBdbq,uZbIqdIO,1
prd00036,pErCKlhQrL,ymDZiqvr,1
prd00037,BhFR,LNuynifgw,2
prd00038,hzlqtF,rWqwAHwLXTN,9
prd00039,lQCNVvFKErHXgW,HHjpUabonJs,4
prd00040,bkoKTIByrhzMJK,JhdXwP,8
prd00041,zSE,chI,1
prd00042,AmPMLqFc,Yqh,8
prd00043,HzROSzGQA,WnD,8
prd00044,rLQft,qoNmkmOGcWljp,2
prd00045,fyVL,hfsDZasYUQeeKsa,9
prd00046,CYTCyfvPMNeX,jnHtOWfwTrMH,10
prd00047,NoPeohdS,GeoeLTlEgpi,5
prd00048,ajmQqc,GGdi,7
prd00049,kovaOhqTB,fvoldqXSISK,1
prd00050,OHbYtmrqKlXN,IwkTRjDLhcrkTx,3
prd00051,zMDCXPq,slaCtHcRe,4
prd00052,oFPQSzhuVgoszcN,AhOreHarhVzJhs,2
prd00053,A,pCsApLkOIcs,1
prd00054,rfGBY,WDWkxC,1
prd00055,l,ScFtnpQ,5
prd00056,zkB,ovjhRbSpffB,9
prd00057,ibRKP,V,1
prd00058,ypbSfBfIhBtccRh,tunFZETHjauHJJx,10
prd00059,XfmISmvYOn,mWDHuI,1
prd00060,ktQwiRtuKXEe,lgM,2
prd00061,JyFkaNfYFgHD,vHXHtwUYEde,2
prd00062,fL,ZIpand,4
prd00063,YdQC,kAfezlB,8
prd00064,xcT,NXgZXCcogi,8
prd00065,ejoTlIP,aovDTqHZlSeXUTc,3
prd00066,MZOMiqP,AyeyuqJoUhuJN,8
prd00067,V,u,4
prd00068,GsjYq,cgBRtFQEYmXhpU,2
