p_id,description,product_type,quantity_available
p0000,yellow shiny helmet,weapon,6
p0001,yellow strong weapon,artifact,14
p0002,yellow shiny weapon,food,3
p0003,blue strong armor,weapon,15
p0004,green chiffon hat,weapon,0
p0005,red crazy helmet,artifact,4
p0006,white shiny bag,artifact,2
p0007,red leather armor,weapon,3
p0008,blue merry helmet,weapon,3
p0009,blue leather hat,artifact,14
p0010,green shiny hat,weapon,15
p0011,white crazy bag,food,6
p0012,green shiny pants,food,2
p0013,red merry helmet,food,9
p0014,red merry armor,food,0
p0015,white leather armor,food,1
p0016,white crazy armor,weapon,15
p0017,white shiny hat,food,10
p0018,green strong armor,artifact,11
p0019,red shiny bag,artifact,7
p0020,green strong hat,food,7
p0021,white chiffon hat,artifact,2
p0022,red shiny armor,weapon,10
p0023,white merry hat,artifact,16
p0024,green strong hat,weapon,8
p0025,blue crazy armor,weapon,5
p0026,green chiffon helmet,food,13
p0027,black merry armor,food,11
p0028,blue merry armor,food,0
p0029,red crazy armor,food,7
p0030,blue merry weapon,weapon,1
p0031,blue strong weapon,weapon,9
p0032,blue strong weapon,artifact,8
p0033,green shiny weapon,weapon,4
p0034,red strong hat,food,2
p0035,green merry helmet,weapon,3
p0036,red chiffon pants,weapon,4
p0037,yellow leather weapon,artifact,15
p0038,green strong helmet,artifact,2
p0039,green chiffon weapon,weapon,15
p0040,yellow strong hat,food,0
p0041,white leather hat,food,3
p0042,yellow strong helmet,food,14
p0043,green chiffon armor,artifact,2
p0044,green strong weapon,weapon,3
p0045,red leather hat,weapon,14
p0046,black chiffon helmet,artifact,4
p0047,red chiffon hat,weapon,6
p0048,red chiffon hat,weapon,8
p0049,black strong armor,artifact,7
p0050,red chiffon pants,food,5
p0051,green leather helmet,artifact,9
p0052,red crazy hat,weapon,1
p0053,red leather pants,food,1
p0054,white shiny hat,artifact,7
p0055,white crazy hat,food,3
p0056,green shiny armor,artifact,11
p0057,red strong bag,weapon,14
p0058,white strong armor,food,14
p0059,black strong armor,weapon,13
p0060,black crazy armor,food,16
p0061,white leather armor,food,1
p0062,red leather bag,weapon,2
p0063,yellow merry hat,weapon,7
p0064,white shiny pants,food,9
p0065,green chiffon weapon,weapon,14
p0066,blue chiffon armor,weapon,14
p0067,black crazy armor,artifact,3
p0068,black crazy weapon,artifact,15
p0069,black chiffon helmet,weapon,0
p0070,yellow strong bag,weapon,0
p0071,green strong hat,artifact,7
p0072,green strong helmet,food,10
p0073,black leather hat,weapon,15
p0074,green merry weapon,artifact,16
p0075,black strong bag,artifact,10
p0076,black merry hat,food,1
p0077,green shiny pants,artifact,16
p0078,green leather hat,food,2
p0079,green strong pants,food,7
p0080,red strong helmet,weapon,6
p0081,red leather pants,food,3
p0082,black strong armor,artifact,15
p0083,yellow leather bag,food,15
p0084,black strong hat,weapon,6
p0085,blue merry pants,weapon,14
p0086,blue shiny helmet,artifact,7
p0087,green merry hat,weapon,7
p0088,red shiny helmet,food,15
p0089,black leather helmet,food,11
p0090,black merry helmet,food,7
p0091,blue chiffon pants,weapon,3
p0092,green crazy helmet,artifact,1
p0093,red leather armor,food,1
p0094,white leather weapon,food,12
p0095,green merry hat,food,8
p0096,green strong helmet,weapon,6
p0097,red chiffon armor,food,9
