r_id,p_id,c_id
r0790,p0530,c0496
r0197,p0403,c0748
r0632,p0879,c0491
r0824,p0269,c0662
r0856,p0854,c0098
r0397,p0317,c0291
r0575,p0558,c0954
r0356,p0521,c0920
r0636,p0280,c0552
r0176,p0769,c0058
r0926,p0429,c0758
r0798,p0920,c0576
r0365,p0423,c0286
r0649,p0912,c0603
r0308,p0243,c0521
r0303,p0988,c0432
r0472,p0642,c0439
r0748,p0513,c0607
r0967,p0822,c0241
r0150,p0995,c0835
r0265,p0485,c0248
r0572,p0604,c0146
r0183,p0901,c0544
r0072,p0983,c0740
r0174,p0809,c0139
r0285,p0445,c0596
r0442,p0169,c0028
r0272,p0164,c0939
r0724,p0318,c0150
r0075,p0444,c0638
r0404,p0770,c0775
r0213,p0091,c0491
r0419,p0692,c0492
r0503,p0421,c0995
r0536,p0147,c0416
r0455,p0647,c0313
r0506,p0054,c0494
r0782,p0704,c0786
r0593,p0362,c0434
r0927,p0265,c0230
r0250,p0090,c0615
r0142,p0770,c0841
r0288,p0237,c0851
r0369,p0809,c0825
r0070,p0800,c0552
r0316,p0969,c0402
r0151,p0878,c0286
r0072,p0325,c0058
r0049,p0441,c0392
r0562,p0765,c0762
r0170,p0547,c0429
r0025,p0348,c0391
r0568,p0214,c0315
r0446,p0597,c0986
r0187,p0893,c0021
r0767,p1001,c0314
r0006,p0327,c0075
r0439,p0188,c0326
r0833,p0751,c0111
r0980,p0545,c0578
r0551,p0465,c0295
r0281,p0274,c0328
r0667,p0774,c0843
r0863,p0845,c0093
r0827,p0635,c0276
r0531,p0635,c0212
r0918,p0626,c0036
r0473,p0218,c0888
r0963,p0488,c0572
r0217,p0775,c0167
r0875,p0742,c0573
r0313,p0419,c0529
r0972,p0913,c0119
r0323,p0334,c0707
r0208,p0624,c0979
r0807,p0237,c0302
r0252,p0202,c0624
r0465,p0043,c0811
r0210,p0601,c0432
r0953,p0757,c0733
r0147,p0358,c0188
r0357,p0268,c0484
r0638,p0331,c0432
r0005,p0561,c0398
r0212,p0867,c0937
r0362,p0829,c0474
r0216,p0695,c0473
r0075,p0635,c0264
r0068,p0620,c0544
r0180,p0405,c0615
r0204,p0444,c0890
r0695,p0654,c0974
r0362,p0160,c0435
r0122,p0572,c0302
r0565,p0742,c0448
r0490,p0334,c0946
r0663,p0737,c0593
r0894,p0649,c0377
r0549,p0823,c0255
r0138,p0431,c0311
r0480,p0139,c0077
r0071,p0960,c0661
r0355,p0131,c0764
r0647,p0612,c0397
r0791,p0421,c0721
r0485,p0704,c0850
r0036,p0815,c0564
r0850,p0497,c0626
r0049,p0576,c0708
r0198,p0159,c0492
r0380,p0723,c0027
r0109,p0381,c0031
r0026,p0733,c0797
r0195,p0585,c0682
r0323,p0161,c0578
r0024,p0262,c0769
r0050,p0914,c0795
r0274,p0972,c0058
r0959,p0102,c0798
r0178,p0578,c0681
r0351,p0901,c0642
r0183,p0032,c0350
r0085,p0831,c0746
r0887,p0208,c0007
r0205,p0926,c0051
r0503,p0841,c0701
r0373,p0251,c0820
r0389,p0060,c0861
r0604,p0041,c0998
r0558,p0154,c0456
r0468,p0585,c0047
r0464,p0865,c0805
r0307,p0933,c0181
r0503,p0081,c0433
r0760,p0054,c0460
r0746,p0458,c0184
r0747,p0463,c0995
r0917,p0771,c0196
r0881,p0281,c0738
r0755,p0413,c0417
r0539,p0841,c0441
r0125,p0935,c0890
r0065,p0953,c0255
r0933,p0578,c0830
r0289,p0838,c0706
r0847,p0313,c0196
r0799,p0225,c0739
r0165,p0297,c0647
r0379,p0397,c0069
r0747,p0033,c0116
r0262,p0037,c0146
r0999,p0016,c0676
r0173,p0786,c0843
r0714,p0095,c0390
r0624,p0777,c0672
r0640,p0797,c0724
r0246,p0525,c0340
r0296,p0984,c0093
r0408,p0800,c0294
r0857,p0555,c0049
r0262,p0738,c0312
r0844,p0449,c0687
r0756,p0940,c0768
r0803,p0843,c0660
r0839,p0888,c0900
r0575,p0617,c0525
r0191,p0863,c0905
r0397,p0250,c0329
r0067,p0615,c0182
r0510,p0356,c0754
r0986,p0229,c0701
r0670,p0154,c0816
r0611,p0119,c0143
r0859,p0893,c0204
r0396,p0278,c0213
r0838,p0592,c0839
r0181,p0376,c0809
r0123,p0791,c0172
r0417,p0758,c0933
r0094,p0382,c0547
r0912,p0756,c0243
r0413,p0993,c0627
r0531,p0564,c0682
r0759,p0035,c0571
r0435,p0511,c0379
r0677,p0123,c0384
r0727,p0475,c0053
r0621,p0505,c0310
r0559,p0374,c0229
r0077,p0344,c0187
r0879,p0500,c0001
r0518,p0068,c0440
r0056,p0960,c0299
r0245,p0629,c0785
r0369,p0257,c0298
r0970,p0820,c0655
r0328,p0108,c0349
r0031,p0561,c0097
r0637,p0585,c0496
r0114,p0196,c0855
r0197,p0472,c0792
r0298,p0368,c0811
r0490,p0550,c0506
r0856,p0240,c0963
r0856,p0928,c0458
r0890,p0300,c0910
r0785,p0839,c0120
r0190,p0034,c0585
r0306,p0562,c0156
r0447,p0258,c0832
r0252,p0767,c0589
r0382,p0387,c0412
r0589,p0210,c0703
r0771,p0343,c0428
r0267,p0021,c0529
r0476,p0815,c0045
r0248,p0470,c0960
r0211,p0405,c0357
r0139,p0571,c0403
r0873,p0998,c0288
r0678,p0208,c0796
r0557,p0144,c0824
r0457,p0279,c0477
r0422,p0810,c0950
r0941,p0174,c0722
r0494,p0373,c0544
r0284,p0011,c0520
r0820,p0477,c0680
r0827,p0233,c0214
r0822,p0312,c0343
r0446,p0718,c0084
r0032,p0495,c0540
r0490,p0318,c0311
r0065,p0635,c0477
r0947,p0945,c0524
r0369,p0850,c0717
r0120,p0789,c0231
r0056,p0014,c0621
r0785,p0351,c0678
r0335,p0779,c0792
r0116,p0541,c0720
r0152,p0955,c0526
r0684,p0125,c0838
r0291,p0943,c0588
r0625,p0235,c0795
r0506,p0320,c0704
r0901,p0255,c0410
r0758,p0008,c0197
r0474,p0871,c0233
r0523,p0397,c0025
r0343,p0999,c0159
r0613,p0992,c0930
r0891,p0543,c0960
r0743,p0614,c0794
r0842,p0491,c0795
r0188,p0483,c0433
r0785,p0720,c0863
r0582,p0131,c0903
r0116,p0828,c0845
r0993,p0772,c0771
r0382,p0924,c0952
r0040,p0832,c0644
r0362,p0873,c0308
r0751,p0027,c0498
r0043,p0190,c0477
r0800,p0520,c0830
r0822,p0954,c0971
r0538,p0768,c0937
r0354,p0888,c0200
r0710,p0460,c0247
r0969,p0744,c0440
r0943,p0457,c0317
r0768,p0304,c0530
r0728,p0695,c0443
r0726,p0432,c0321
r0674,p0194,c0252
r0643,p0472,c0726
r0180,p0771,c0204
r0960,p0082,c0149
r0148,p0799,c0749
r0494,p0579,c0363
r0445,p0068,c0511
r0865,p0166,c0301
r0673,p0921,c0229
r0709,p0071,c0008
r0087,p0851,c0232
r0708,p0471,c0867
r0112,p0325,c0976
r0282,p0224,c0556
r0305,p0431,c0864
r0393,p0764,c0410
r0440,p0139,c0265
r0653,p0171,c0624
r0075,p0451,c0759
r0991,p0849,c0471
r0735,p0601,c0602
r0937,p0743,c0806
r0250,p0788,c0299
r0392,p0704,c0484
r0199,p0455,c0038
r0190,p0605,c0098
r0806,p0126,c0549
r0916,p0509,c0210
r0155,p0326,c0553
r0562,p0831,c0645
r0436,p0180,c0876
r0496,p0931,c0072
r0623,p0801,c0265
r0287,p0575,c0630
r0192,p0173,c0975
r0418,p0199,c0569
r0897,p0462,c0202
r0288,p0017,c0021
r0011,p0287,c0174
r0993,p0475,c0620
r0722,p0589,c0942
r0981,p0225,c0094
r0008,p0183,c0382
r0581,p0585,c0182
r0046,p0847,c0806
r0555,p0885,c0149
r0657,p0526,c0316
r0427,p0019,c0142
r0794,p0381,c0350
r0542,p0189,c0706
r0343,p0785,c0616
r0365,p0184,c0763
r0594,p0147,c0050
r0566,p0432,c0116
r0525,p0751,c0113
r0645,p0867,c0003
r0025,p0134,c0519
r0208,p0803,c0247
r0862,p0097,c0925
r0520,p0082,c0479
r0988,p0233,c0912
r0544,p0085,c0793
r0345,p0177,c0504
r0987,p0618,c0859
r0610,p0325,c0110
r0846,p0239,c0651
r0972,p0336,c0067
r0636,p0881,c0030
r0122,p0488,c0103
r0738,p0884,c0617
r0865,p0797,c0240
r0876,p0030,c0342
r0749,p0946,c0998
r0791,p0471,c0529
r0283,p0446,c0464
r0190,p0126,c0586
r0271,p0117,c0218
r0655,p0132,c0858
r0436,p0346,c0023
r0255,p0506,c0856
r0629,p0847,c0812
r0966,p0810,c0632
r0465,p0761,c0662
r0095,p0377,c0497
r0274,p0456,c0663
r0485,p0076,c0917
r0409,p0079,c0933
r0467,p0287,c0572
r0952,p0330,c0043
r0374,p0592,c0591
r0694,p0337,c0347
r0810,p0786,c0329
r0062,p0781,c0581
r0146,p0422,c0553
r0929,p0047,c0261
r0014,p0874,c0885
r0807,p0316,c0457
r0717,p0711,c0490
r0843,p0755,c0042
r0810,p0471,c0419
r0174,p0098,c0829
r0923,p0792,c0178
r0025,p0303,c0723
r0431,p0016,c1000
r0732,p0760,c0932
r0994,p0890,c0636
r0353,p0288,c0372
r0044,p0752,c0388
r0279,p0477,c0041
r0115,p0039,c0107
r0588,p0185,c0667
r0049,p0312,c0736
r0992,p0787,c0277
r0471,p0143,c0392
r0324,p0242,c0958
r0773,p0065,c0049
r0231,p0862,c0127
r0427,p0783,c0860
r0165,p0300,c0408
r0209,p0922,c0015
r0441,p0276,c0266
r0632,p0411,c0019
r0103,p0839,c0254
r0251,p0388,c0053
r0733,p0742,c0331
r0390,p0327,c0206
r0782,p0740,c0196
r0829,p0704,c0010
r0133,p0771,c0219
r0076,p0181,c0650
r0656,p0668,c0083
r0394,p0343,c0283
r0943,p0430,c0465
r0473,p0889,c0756
r0431,p0801,c0119
r0111,p0100,c0742
r0016,p0320,c0714
r0141,p0247,c0319
r0751,p0965,c0489
r0539,p0006,c0095
r0694,p0190,c0159
r0310,p0232,c0449
r0230,p0627,c0562
r0378,p0384,c0718
r0947,p0909,c0785
r0382,p0353,c0566
r0047,p0849,c0905
r0388,p0468,c0796
r0291,p0254,c0564
r0676,p0518,c0769
r0625,p0489,c0070
r0100,p0630,c0732
r0602,p0596,c0621
r0519,p0343,c0414
r0739,p0639,c0431
r0751,p0554,c0568
r0865,p0213,c0616
r0363,p0010,c0908
r0370,p0253,c0611
r0361,p0303,c0156
r0361,p0843,c0147
r0810,p0783,c0732
r0326,p0814,c0310
r0854,p0870,c0746
r0126,p0861,c0362
r0003,p0188,c0627
r0578,p0501,c0143
