"product_id","description","product_type","quantity_available"
"prd001","Generic Object","randcat","67"
"prd002","Generic Object","randcat","20"
"prd003","Generic Object","randcat","97"
"prd004","Generic Object","randcat","3"
"prd005","Generic Object","randcat","66"
"prd006","Generic Object","randcat","95"
"prd007","Generic Object","randcat","94"
"prd008","Generic Object","randcat","48"
"prd009","Generic Object","randcat","45"
"prd010","Generic Object","randcat","97"
"prd011","Generic Object","randcat","80"
"prd012","Generic Object","randcat","42"
"prd013","Generic Object","randcat","58"
"prd014","Generic Object","randcat","50"
"prd015","Generic Object","randcat","54"
"prd016","Generic Object","randcat","45"
"prd017","Generic Object","randcat","91"
"prd018","Generic Object","randcat","19"
"prd019","Generic Object","randcat","76"
"prd020","Generic Object","randcat","84"
"prd021","Generic Object","randcat","50"
"prd022","Generic Object","randcat","27"
"prd023","Generic Object","randcat","78"
"prd024","Generic Object","randcat","65"
"prd025","Generic Object","randcat","84"
"prd026","Generic Object","randcat","93"
"prd027","Generic Object","randcat","96"
"prd028","Generic Object","randcat","40"
"prd029","Generic Object","randcat","94"
"prd030","Generic Object","randcat","91"
"prd031","Generic Object","randcat","6"
"prd032","Generic Object","randcat","60"
"prd033","Generic Object","randcat","30"
"prd034","Generic Object","randcat","88"
"prd035","Generic Object","randcat","32"
"prd036","Generic Object","randcat","26"
"prd037","Generic Object","randcat","75"
"prd038","Generic Object","randcat","14"
"prd039","Generic Object","randcat","62"
"prd040","Generic Object","randcat","57"
"prd041","Generic Object","randcat","3"
"prd042","Generic Object","randcat","14"
"prd043","Generic Object","randcat","16"
"prd044","Generic Object","randcat","50"
"prd045","Generic Object","randcat","95"
"prd046","Generic Object","randcat","18"
"prd047","Generic Object","randcat","30"
"prd048","Generic Object","randcat","78"
"prd049","Generic Object","randcat","81"
"prd050","Generic Object","randcat","6"
"prd051","Generic Object","randcat","75"
"prd052","Generic Object","randcat","42"
"prd053","Generic Object","randcat","77"
"prd054","Generic Object","randcat","21"
"prd055","Generic Object","randcat","77"
"prd056","Generic Object","randcat","54"
"prd057","Generic Object","randcat","43"
"prd058","Generic Object","randcat","54"
"prd059","Generic Object","randcat","90"
"prd060","Generic Object","randcat","82"
"prd061","Generic Object","randcat","5"
"prd062","Generic Object","randcat","33"
"prd063","Generic Object","randcat","48"
"prd064","Generic Object","randcat","14"
"prd065","Generic Object","randcat","32"
"prd066","Generic Object","randcat","40"
"prd067","Generic Object","randcat","62"
"prd068","Generic Object","randcat","64"
"prd069","Generic Object","randcat","98"
"prd070","Generic Object","randcat","14"
"prd071","Generic Object","randcat","8"
"prd072","Generic Object","randcat","73"
"prd073","Generic Object","randcat","57"
"prd074","Generic Object","randcat","61"
"prd075","Generic Object","randcat","88"
"prd076","Generic Object","randcat","24"
"prd077","Generic Object","randcat","3"
"prd078","Generic Object","randcat","80"
"prd079","Generic Object","randcat","9"
"prd080","Generic Object","randcat","18"
"prd081","Generic Object","randcat","89"
"prd082","Generic Object","randcat","52"
"prd083","Generic Object","randcat","87"
"prd084","Generic Object","randcat","66"
"prd085","Generic Object","randcat","6"
"prd086","Generic Object","randcat","28"
"prd087","Generic Object","randcat","30"
"prd088","Generic Object","randcat","53"
"prd089","Generic Object","randcat","87"
"prd090","Generic Object","randcat","86"
"prd091","Generic Object","randcat","30"
"prd092","Generic Object","randcat","88"
"prd093","Generic Object","randcat","31"
"prd094","Generic Object","randcat","37"
"prd095","Generic Object","randcat","26"
"prd096","Generic Object","randcat","2"
"prd097","Generic Object","randcat","17"
"prd098","Generic Object","randcat","35"
"prd099","Generic Object","randcat","22"
"prd100","Generic Object","randcat","25"
"prd101","Generic Object","randcat","96"
"prd102","Generic Object","randcat","65"
"prd103","Generic Object","randcat","54"
"prd104","Generic Object","randcat","89"
"prd105","Generic Object","randcat","12"
"prd106","Generic Object","randcat","64"
"prd107","Generic Object","randcat","83"
"prd108","Generic Object","randcat","35"
"prd109","Generic Object","randcat","23"
"prd110","Generic Object","randcat","44"
"prd111","Generic Object","randcat","55"
"prd112","Generic Object","randcat","49"
"prd113","Generic Object","randcat","10"
"prd114","Generic Object","randcat","87"
"prd115","Generic Object","randcat","48"
"prd116","Generic Object","randcat","27"
"prd117","Generic Object","randcat","90"
"prd118","Generic Object","randcat","79"
"prd119","Generic Object","randcat","47"
"prd120","Generic Object","randcat","63"
"prd121","Generic Object","randcat","43"
"prd122","Generic Object","randcat","46"
"prd123","Generic Object","randcat","79"
"prd124","Generic Object","randcat","60"
"prd125","Generic Object","randcat","75"
"prd126","Generic Object","randcat","20"
"prd127","Generic Object","randcat","93"
"prd128","Generic Object","randcat","31"
"prd129","Generic Object","randcat","44"
"prd130","Generic Object","randcat","28"
"prd131","Generic Object","randcat","59"
"prd132","Generic Object","randcat","9"
"prd133","Generic Object","randcat","86"
"prd134","Generic Object","randcat","30"
"prd135","Generic Object","randcat","12"
"prd136","Generic Object","randcat","64"
"prd137","Generic Object","randcat","43"
"prd138","Generic Object","randcat","67"
"prd139","Generic Object","randcat","96"
"prd140","Generic Object","randcat","81"
"prd141","Generic Object","randcat","7"
"prd142","Generic Object","randcat","48"
"prd143","Generic Object","randcat","37"
"prd144","Generic Object","randcat","37"
"prd145","Generic Object","randcat","66"
"prd146","Generic Object","randcat","94"
"prd147","Generic Object","randcat","52"
"prd148","Generic Object","randcat","71"
"prd149","Generic Object","randcat","74"
"prd150","Generic Object","randcat","50"
"prd151","Generic Object","randcat","55"
"prd152","Generic Object","randcat","10"
"prd153","Generic Object","randcat","17"
"prd154","Generic Object","randcat","50"
"prd155","Generic Object","randcat","72"
"prd156","Generic Object","randcat","21"
"prd157","Generic Object","randcat","22"
"prd158","Generic Object","randcat","11"
"prd159","Generic Object","randcat","24"
"prd160","Generic Object","randcat","40"
"prd161","Generic Object","randcat","36"
"prd162","Generic Object","randcat","18"
"prd163","Generic Object","randcat","25"
"prd164","Generic Object","randcat","54"
"prd165","Generic Object","randcat","43"
"prd166","Generic Object","randcat","88"
"prd167","Generic Object","randcat","12"
"prd168","Generic Object","randcat","87"
"prd169","Generic Object","randcat","81"
"prd170","Generic Object","randcat","6"
"prd171","Generic Object","randcat","8"
"prd172","Generic Object","randcat","40"
"prd173","Generic Object","randcat","25"
"prd174","Generic Object","randcat","28"
"prd175","Generic Object","randcat","4"
"prd176","Generic Object","randcat","69"
"prd177","Generic Object","randcat","90"
"prd178","Generic Object","randcat","38"
"prd179","Generic Object","randcat","51"
"prd180","Generic Object","randcat","4"
"prd181","Generic Object","randcat","29"
"prd182","Generic Object","randcat","15"
"prd183","Generic Object","randcat","6"
"prd184","Generic Object","randcat","66"
"prd185","Generic Object","randcat","86"
"prd186","Generic Object","randcat","70"
"prd187","Generic Object","randcat","53"
"prd188","Generic Object","randcat","12"
"prd189","Generic Object","randcat","16"
"prd190","Generic Object","randcat","13"
"prd191","Generic Object","randcat","28"
"prd192","Generic Object","randcat","33"
"prd193","Generic Object","randcat","33"
"prd194","Generic Object","randcat","73"
"prd195","Generic Object","randcat","72"
"prd196","Generic Object","randcat","52"
"prd197","Generic Object","randcat","84"
"prd198","Generic Object","randcat","29"
"prd199","Generic Object","randcat","11"
"prd200","Generic Object","randcat","54"
"prd201","Generic Object","randcat","29"
"prd202","Generic Object","randcat","94"
"prd203","Generic Object","randcat","37"
"prd204","Generic Object","randcat","67"
"prd205","Generic Object","randcat","36"
"prd206","Generic Object","randcat","3"
"prd207","Generic Object","randcat","35"
"prd208","Generic Object","randcat","97"
"prd209","Generic Object","randcat","3"
"prd210","Generic Object","randcat","11"
"prd211","Generic Object","randcat","46"
"prd212","Generic Object","randcat","67"
"prd213","Generic Object","randcat","33"
"prd214","Generic Object","randcat","62"
"prd215","Generic Object","randcat","88"
"prd216","Generic Object","randcat","41"
"prd217","Generic Object","randcat","45"
"prd218","Generic Object","randcat","80"
"prd219","Generic Object","randcat","77"
"prd220","Generic Object","randcat","68"
"prd221","Generic Object","randcat","32"
"prd222","Generic Object","randcat","91"
"prd223","Generic Object","randcat","44"
"prd224","Generic Object","randcat","91"
"prd225","Generic Object","randcat","45"
"prd226","Generic Object","randcat","5"
"prd227","Generic Object","randcat","82"
"prd228","Generic Object","randcat","94"
"prd229","Generic Object","randcat","75"
"prd230","Generic Object","randcat","28"
"prd231","Generic Object","randcat","18"
"prd232","Generic Object","randcat","95"
"prd233","Generic Object","randcat","91"
"prd234","Generic Object","randcat","68"
"prd235","Generic Object","randcat","48"
"prd236","Generic Object","randcat","65"
"prd237","Generic Object","randcat","81"
"prd238","Generic Object","randcat","56"
"prd239","Generic Object","randcat","24"
"prd240","Generic Object","randcat","46"
"prd241","Generic Object","randcat","50"
"prd242","Generic Object","randcat","59"
"prd243","Generic Object","randcat","36"
"prd244","Generic Object","randcat","88"
"prd245","Generic Object","randcat","47"
"prd246","Generic Object","randcat","34"
"prd247","Generic Object","randcat","71"
"prd248","Generic Object","randcat","16"
"prd249","Generic Object","randcat","80"
"prd250","Generic Object","randcat","98"
"prd251","Generic Object","randcat","59"
"prd252","Generic Object","randcat","84"
"prd253","Generic Object","randcat","56"
"prd254","Generic Object","randcat","98"
"prd255","Generic Object","randcat","40"
"prd256","Generic Object","randcat","5"
"prd257","Generic Object","randcat","29"
"prd258","Generic Object","randcat","96"
"prd259","Generic Object","randcat","9"
"prd260","Generic Object","randcat","36"
"prd261","Generic Object","randcat","57"
"prd262","Generic Object","randcat","96"
"prd263","Generic Object","randcat","15"
"prd264","Generic Object","randcat","37"
"prd265","Generic Object","randcat","51"
"prd266","Generic Object","randcat","86"
"prd267","Generic Object","randcat","48"
"prd268","Generic Object","randcat","45"
"prd269","Generic Object","randcat","64"
"prd270","Generic Object","randcat","74"
"prd271","Generic Object","randcat","84"
"prd272","Generic Object","randcat","40"
"prd273","Generic Object","randcat","86"
"prd274","Generic Object","randcat","87"
"prd275","Generic Object","randcat","19"
"prd276","Generic Object","randcat","78"
"prd277","Generic Object","randcat","69"
"prd278","Generic Object","randcat","75"
"prd279","Generic Object","randcat","97"
"prd280","Generic Object","randcat","93"
"prd281","Generic Object","randcat","84"
"prd282","Generic Object","randcat","15"
"prd283","Generic Object","randcat","12"
"prd284","Generic Object","randcat","74"
"prd285","Generic Object","randcat","55"
"prd286","Generic Object","randcat","2"
"prd287","Generic Object","randcat","80"
"prd288","Generic Object","randcat","17"
"prd289","Generic Object","randcat","35"
"prd290","Generic Object","randcat","61"
"prd291","Generic Object","randcat","19"
"prd292","Generic Object","randcat","60"
"prd293","Generic Object","randcat","29"
"prd294","Generic Object","randcat","19"
"prd295","Generic Object","randcat","77"
"prd296","Generic Object","randcat","82"
"prd297","Generic Object","randcat","19"
"prd298","Generic Object","randcat","72"
"prd299","Generic Object","randcat","26"
"prd300","Generic Object","randcat","64"
"prd301","Generic Object","randcat","19"
"prd302","Generic Object","randcat","77"
"prd303","Generic Object","randcat","87"
"prd304","Generic Object","randcat","38"
"prd305","Generic Object","randcat","28"
"prd306","Generic Object","randcat","59"
"prd307","Generic Object","randcat","98"
"prd308","Generic Object","randcat","83"
"prd309","Generic Object","randcat","25"
"prd310","Generic Object","randcat","6"
"prd311","Generic Object","randcat","74"
"prd312","Generic Object","randcat","98"
"prd313","Generic Object","randcat","3"
"prd314","Generic Object","randcat","91"
"prd315","Generic Object","randcat","34"
"prd316","Generic Object","randcat","57"
"prd317","Generic Object","randcat","22"
"prd318","Generic Object","randcat","96"
"prd319","Generic Object","randcat","15"
"prd320","Generic Object","randcat","2"
"prd321","Generic Object","randcat","22"
"prd322","Generic Object","randcat","28"
"prd323","Generic Object","randcat","42"
"prd324","Generic Object","randcat","20"
"prd325","Generic Object","randcat","73"
"prd326","Generic Object","randcat","81"
"prd327","Generic Object","randcat","95"
"prd328","Generic Object","randcat","75"
"prd329","Generic Object","randcat","64"
"prd330","Generic Object","randcat","98"
"prd331","Generic Object","randcat","54"
"prd332","Generic Object","randcat","88"
"prd333","Generic Object","randcat","21"
"prd334","Generic Object","randcat","52"
"prd335","Generic Object","randcat","50"
"prd336","Generic Object","randcat","46"
"prd337","Generic Object","randcat","76"
"prd338","Generic Object","randcat","4"
"prd339","Generic Object","randcat","41"
"prd340","Generic Object","randcat","56"
"prd341","Generic Object","randcat","59"
"prd342","Generic Object","randcat","96"
"prd343","Generic Object","randcat","97"
"prd344","Generic Object","randcat","57"
"prd345","Generic Object","randcat","74"
"prd346","Generic Object","randcat","7"
"prd347","Generic Object","randcat","85"
