_id,description,product_type,quantity_available
prod0001,shovel,yard,12
prod0002,ladder,yard,89
prod0003,lawnmower,yard,95
prod0004,sofa,living_room,33
prod0005,desk,office,37
prod0006,ladder,yard,42
prod0007,painting,living_room,93
prod0008,lamp,living_room,70
prod0009,lamp,living_room,84
prod0010,shears,yard,77
prod0011,chair,dining_room,30
prod0012,shovel,yard,12
prod0013,table,dining_room,79
prod0014,shovel,yard,25
prod0015,painting,living_room,31
prod0016,ladder,yard,93
prod0017,desk,office,6
prod0018,lamp,living_room,8
prod0019,chair,dining_room,87
prod0020,table,dining_room,92
prod0021,shovel,yard,71
prod0022,shovel,yard,13
prod0023,sofa,living_room,91
prod0024,shed,yard,14
prod0025,painting,living_room,46
prod0026,table,dining_room,60
prod0027,desk,office,58
prod0028,rug,living_room,87
prod0029,chair,dining_room,57
prod0030,lamp,living_room,37
prod0031,shed,yard,25
prod0032,lawnmower,yard,40
prod0033,painting,living_room,89
prod0034,lawnmower,yard,22
prod0035,painting,living_room,59
prod0036,shears,yard,87
prod0037,lamp,living_room,19
prod0038,shears,yard,55
prod0039,chair,dining_room,92
prod0040,desk,office,54
prod0041,shovel,yard,78
prod0042,rug,living_room,1
prod0043,lawnmower,yard,37
prod0044,lamp,living_room,14
prod0045,chair,dining_room,53
prod0046,ladder,yard,18
prod0047,table,dining_room,69
prod0048,lawnmower,yard,82
prod0049,lamp,living_room,25
prod0050,rug,living_room,55
prod0051,shears,yard,75
prod0052,table,dining_room,82
prod0053,sofa,living_room,88
prod0054,shed,yard,58
prod0055,ladder,yard,27
prod0056,table,dining_room,83
prod0057,desk,office,54
prod0058,ladder,yard,52
prod0059,lamp,living_room,95
prod0060,chair,dining_room,33
prod0061,shed,yard,17
prod0062,lamp,living_room,3
prod0063,desk,office,55
prod0064,ladder,yard,72
prod0065,lamp,living_room,5
prod0066,lawnmower,yard,64
prod0067,lamp,living_room,40
prod0068,chair,dining_room,57
prod0069,shed,yard,29
prod0070,sofa,living_room,17
prod0071,desk,office,29
prod0072,sofa,living_room,84
prod0073,lawnmower,yard,52
prod0074,lamp,living_room,57
prod0075,chair,dining_room,36
prod0076,ladder,yard,36
prod0077,shed,yard,48
prod0078,lamp,living_room,0
prod0079,rug,living_room,25
prod0080,shovel,yard,62
prod0081,rug,living_room,66
prod0082,sofa,living_room,92
prod0083,rug,living_room,21
prod0084,shears,yard,91
prod0085,lamp,living_room,48
prod0086,ladder,yard,49
prod0087,shovel,yard,67
prod0088,shears,yard,17
prod0089,shovel,yard,4
prod0090,rug,living_room,20
prod0091,ladder,yard,76
prod0092,desk,office,84
prod0093,painting,living_room,30
prod0094,desk,office,61
prod0095,shed,yard,43
prod0096,shovel,yard,19
prod0097,sofa,living_room,41
prod0098,rug,living_room,57
prod0099,rug,living_room,25
prod0100,chair,dining_room,70
prod0101,desk,office,61
prod0102,table,dining_room,84
prod0103,rug,living_room,36
prod0104,shovel,yard,84
prod0105,lawnmower,yard,34
prod0106,table,dining_room,79
prod0107,table,dining_room,69
prod0108,shed,yard,81
prod0109,shovel,yard,65
prod0110,lawnmower,yard,24
prod0111,lamp,living_room,34
prod0112,lamp,living_room,62
prod0113,sofa,living_room,42
prod0114,painting,living_room,39
