_id,description,product_type,quantity_available
prod0001,shovel,yard,85
prod0002,rug,living_room,61
prod0003,ladder,yard,23
prod0004,shed,yard,32
prod0005,rug,living_room,20
prod0006,sofa,living_room,34
prod0007,painting,living_room,1
prod0008,sofa,living_room,38
prod0009,shovel,yard,20
prod0010,shears,yard,66
prod0011,sofa,living_room,84
prod0012,rug,living_room,63
prod0013,lawnmower,yard,37
prod0014,lawnmower,yard,99
prod0015,sofa,living_room,47
prod0016,lawnmower,yard,16
prod0017,lamp,living_room,72
prod0018,lamp,living_room,9
prod0019,ladder,yard,46
prod0020,shovel,yard,25
prod0021,rug,living_room,89
prod0022,painting,living_room,21
prod0023,lamp,living_room,88
prod0024,shears,yard,85
prod0025,painting,living_room,36
prod0026,lawnmower,yard,19
prod0027,rug,living_room,76
prod0028,shed,yard,21
prod0029,shears,yard,70
prod0030,rug,living_room,27
prod0031,painting,living_room,79
prod0032,chair,dining_room,77
prod0033,sofa,living_room,34
prod0034,shovel,yard,45
prod0035,shears,yard,68
prod0036,desk,office,5
prod0037,shears,yard,59
prod0038,chair,dining_room,92
prod0039,sofa,living_room,41
prod0040,table,dining_room,5
prod0041,chair,dining_room,43
prod0042,sofa,living_room,69
prod0043,ladder,yard,86
prod0044,chair,dining_room,79
prod0045,shovel,yard,14
prod0046,rug,living_room,49
prod0047,rug,living_room,50
prod0048,shears,yard,47
prod0049,desk,office,53
prod0050,desk,office,70
prod0051,ladder,yard,0
prod0052,table,dining_room,54
prod0053,ladder,yard,81
prod0054,desk,office,61
prod0055,lamp,living_room,71
prod0056,lamp,living_room,46
prod0057,shovel,yard,80
prod0058,sofa,living_room,81
prod0059,sofa,living_room,56
prod0060,lamp,living_room,3
prod0061,ladder,yard,21
prod0062,shed,yard,46
prod0063,desk,office,72
prod0064,desk,office,77
prod0065,shed,yard,33
prod0066,ladder,yard,79
prod0067,table,dining_room,39
prod0068,ladder,yard,85
prod0069,rug,living_room,69
prod0070,table,dining_room,51
prod0071,shovel,yard,82
prod0072,ladder,yard,69
prod0073,shovel,yard,64
prod0074,lamp,living_room,27
prod0075,ladder,yard,71
prod0076,shed,yard,72
