product_id,description,product_type,quantity_available,daily_rate
LR001,55in TV,Living Room,15,3
LR002,65in TV,Living Room,0,4
BD002,Queen Bed,Bedroom,12,2
BD001,Full Bed,Bedroom,40,1
OF001,Desk + Chair,Office,26,1
DN002,Dining Table + 6 Chair,Dining Room,8,3
DN001,Dining Table + 4 Chair,Dining Room,0,2
LR003,Sofa,Living Room,17,2
LR004,,Living Room,5,1
PID0009,P_Description0009,Living Room,23,4
PID0010,P_Description0010,Living Room,20,3
PID0011,P_Description0011,Bedroom,14,1
PID0012,P_Description0012,Dining Room,32,3
PID0013,P_Description0013,Office,31,4
PID0014,P_Description0014,Bedroom,1,3
PID0015,P_Description0015,Office,33,2
PID0016,P_Description0016,Dining Room,29,3
PID0017,P_Description0017,Office,1,4
PID0018,P_Description0018,Office,31,3
PID0019,P_Description0019,Office,3,2
PID0020,P_Description0020,Living Room,6,4
PID0021,P_Description0021,Bedroom,10,3
PID0022,P_Description0022,Bedroom,1,4
PID0023,P_Description0023,Living Room,24,5
PID0024,P_Description0024,Living Room,33,5
PID0025,P_Description0025,Dining Room,38,5
PID0026,P_Description0026,Bedroom,20,4
PID0027,P_Description0027,Kitchen,18,4
PID0028,P_Description0028,Dining Room,31,5
PID0029,P_Description0029,Dining Room,9,1
PID0030,P_Description0030,Dining Room,16,4
PID0031,P_Description0031,Bedroom,4,5
PID0032,P_Description0032,Living Room,28,4
PID0033,P_Description0033,Dining Room,40,4
PID0034,P_Description0034,Kitchen,20,4
PID0035,P_Description0035,Bedroom,9,2
PID0036,P_Description0036,Kitchen,28,1
PID0037,P_Description0037,Kitchen,6,5
PID0038,P_Description0038,Office,39,5
PID0039,P_Description0039,Kitchen,25,5
PID0040,P_Description0040,Dining Room,1,4
PID0041,P_Description0041,Dining Room,30,2
PID0042,P_Description0042,Bedroom,10,4
PID0043,P_Description0043,Dining Room,38,5
PID0044,P_Description0044,Bedroom,8,5
PID0045,P_Description0045,Office,2,2
PID0046,P_Description0046,Dining Room,2,2
PID0047,P_Description0047,Kitchen,21,4
PID0048,P_Description0048,Bedroom,24,3
PID0049,P_Description0049,Bedroom,7,2
PID0050,P_Description0050,Bedroom,30,4
PID0051,P_Description0051,Office,39,3
PID0052,P_Description0052,Dining Room,6,2
PID0053,P_Description0053,Dining Room,10,2
PID0054,P_Description0054,Bedroom,11,1
PID0055,P_Description0055,Living Room,24,1
PID0056,P_Description0056,Living Room,17,3
PID0057,P_Description0057,Living Room,26,5
PID0058,P_Description0058,Living Room,15,1
PID0059,P_Description0059,Kitchen,35,2
PID0060,P_Description0060,Office,13,3
PID0061,P_Description0061,Living Room,16,1
PID0062,P_Description0062,Dining Room,20,2
PID0063,P_Description0063,Living Room,37,3
PID0064,P_Description0064,Kitchen,37,2
PID0065,P_Description0065,Kitchen,13,2
PID0066,P_Description0066,Living Room,3,1
PID0067,P_Description0067,Office,15,1
PID0068,P_Description0068,Office,8,4
PID0069,P_Description0069,Dining Room,5,4
PID0070,P_Description0070,Office,7,2
PID0071,P_Description0071,Bedroom,1,2
PID0072,P_Description0072,Dining Room,30,2
PID0073,P_Description0073,Bedroom,27,1
PID0074,P_Description0074,Dining Room,25,3
PID0075,P_Description0075,Living Room,37,5
PID0076,P_Description0076,Kitchen,25,4
PID0077,P_Description0077,Office,20,3
PID0078,P_Description0078,Bedroom,1,1
PID0079,P_Description0079,Kitchen,1,4
PID0080,P_Description0080,Living Room,29,2
PID0081,P_Description0081,Dining Room,34,3
PID0082,P_Description0082,Kitchen,38,5
PID0083,P_Description0083,Office,34,1
PID0084,P_Description0084,Kitchen,1,1
PID0085,P_Description0085,Bedroom,37,5
PID0086,P_Description0086,Bedroom,36,3
PID0087,P_Description0087,Bedroom,7,3
PID0088,P_Description0088,Bedroom,23,4
PID0089,P_Description0089,Office,9,2
PID0090,P_Description0090,Bedroom,37,1
PID0091,P_Description0091,Kitchen,5,5
PID0092,P_Description0092,Dining Room,20,5
PID0093,P_Description0093,Living Room,15,1
PID0094,P_Description0094,Living Room,16,1
PID0095,P_Description0095,Living Room,30,3
PID0096,P_Description0096,Living Room,32,3
PID0097,P_Description0097,Living Room,29,1
PID0098,P_Description0098,Dining Room,26,5
PID0099,P_Description0099,Office,37,2
PID0100,P_Description0100,Dining Room,2,4
PID0101,P_Description0101,Office,12,3
PID0102,P_Description0102,Dining Room,23,5
PID0103,P_Description0103,Living Room,13,1
PID0104,P_Description0104,Office,15,1
PID0105,P_Description0105,Bedroom,25,4
PID0106,P_Description0106,Bedroom,34,3
PID0107,P_Description0107,Bedroom,26,3
PID0108,P_Description0108,Bedroom,11,4
PID0109,P_Description0109,Office,21,4
PID0110,P_Description0110,Living Room,9,3
PID0111,P_Description0111,Bedroom,16,4
PID0112,P_Description0112,Bedroom,4,2
PID0113,P_Description0113,Kitchen,37,3
PID0114,P_Description0114,Bedroom,17,4
PID0115,P_Description0115,Dining Room,27,5
PID0116,P_Description0116,Dining Room,40,2
PID0117,P_Description0117,Office,6,4
PID0118,P_Description0118,Kitchen,29,2
PID0119,P_Description0119,Dining Room,15,4
PID0120,P_Description0120,Living Room,34,4
PID0121,P_Description0121,Living Room,21,5
PID0122,P_Description0122,Bedroom,20,5
PID0123,P_Description0123,Living Room,19,1
PID0124,P_Description0124,Office,26,4
PID0125,P_Description0125,Office,11,2
PID0126,P_Description0126,Dining Room,6,3
PID0127,P_Description0127,Bedroom,34,2
PID0128,P_Description0128,Living Room,12,4
PID0129,P_Description0129,Kitchen,27,3
PID0130,P_Description0130,Dining Room,7,2
PID0131,P_Description0131,Kitchen,28,2
PID0132,P_Description0132,Bedroom,12,1
PID0133,P_Description0133,Office,2,4
PID0134,P_Description0134,Dining Room,35,3
PID0135,P_Description0135,Bedroom,16,2
PID0136,P_Description0136,Living Room,9,2
PID0137,P_Description0137,Dining Room,10,5
PID0138,P_Description0138,Office,29,5
PID0139,P_Description0139,Dining Room,25,5
PID0140,P_Description0140,Dining Room,17,2
PID0141,P_Description0141,Dining Room,25,1
PID0142,P_Description0142,Bedroom,23,4
PID0143,P_Description0143,Bedroom,5,1
PID0144,P_Description0144,Bedroom,19,2
PID0145,P_Description0145,Bedroom,19,1
PID0146,P_Description0146,Kitchen,18,4
PID0147,P_Description0147,Office,35,3
PID0148,P_Description0148,Office,13,1
PID0149,P_Description0149,Bedroom,22,5
PID0150,P_Description0150,Living Room,17,1
PID0151,P_Description0151,Office,6,4
PID0152,P_Description0152,Office,20,2
PID0153,P_Description0153,Kitchen,26,1
PID0154,P_Description0154,Bedroom,22,1
PID0155,P_Description0155,Office,19,4
PID0156,P_Description0156,Bedroom,15,5
PID0157,P_Description0157,Dining Room,39,3
PID0158,P_Description0158,Kitchen,15,3
PID0159,P_Description0159,Dining Room,2,5
PID0160,P_Description0160,Kitchen,35,2
PID0161,P_Description0161,Office,19,2
PID0162,P_Description0162,Bedroom,5,4
PID0163,P_Description0163,Bedroom,39,2
PID0164,P_Description0164,Dining Room,5,5
PID0165,P_Description0165,Office,8,4
PID0166,P_Description0166,Living Room,16,2
PID0167,P_Description0167,Living Room,32,5
PID0168,P_Description0168,Kitchen,2,4
PID0169,P_Description0169,Living Room,39,2
PID0170,P_Description0170,Bedroom,24,1
PID0171,P_Description0171,Bedroom,25,5
PID0172,P_Description0172,Living Room,25,3
PID0173,P_Description0173,Dining Room,35,4
PID0174,P_Description0174,Kitchen,7,2
PID0175,P_Description0175,Dining Room,4,4
PID0176,P_Description0176,Living Room,39,1
PID0177,P_Description0177,Dining Room,22,4
PID0178,P_Description0178,Bedroom,1,4
PID0179,P_Description0179,Office,39,1
PID0180,P_Description0180,Office,24,3
PID0181,P_Description0181,Office,38,2
PID0182,P_Description0182,Bedroom,27,3
PID0183,P_Description0183,Bedroom,16,4
PID0184,P_Description0184,Dining Room,28,2
PID0185,P_Description0185,Bedroom,33,1
PID0186,P_Description0186,Kitchen,31,4
PID0187,P_Description0187,Kitchen,12,4
PID0188,P_Description0188,Living Room,25,1
PID0189,P_Description0189,Dining Room,20,1
PID0190,P_Description0190,Living Room,11,3
PID0191,P_Description0191,Kitchen,26,5
PID0192,P_Description0192,Dining Room,32,3
PID0193,P_Description0193,Dining Room,16,4
PID0194,P_Description0194,Bedroom,28,3
PID0195,P_Description0195,Living Room,40,1
PID0196,P_Description0196,Dining Room,11,2
PID0197,P_Description0197,Dining Room,37,3
PID0198,P_Description0198,Bedroom,8,5
PID0199,P_Description0199,Living Room,8,1
PID0200,P_Description0200,Office,27,2
PID0201,P_Description0201,Office,17,4
PID0202,P_Description0202,Office,2,4
PID0203,P_Description0203,Living Room,0,1
PID0204,P_Description0204,Living Room,1,5
PID0205,P_Description0205,Office,1,5
PID0206,P_Description0206,Living Room,17,1
PID0207,P_Description0207,Kitchen,7,2
