id,description,product_type,quantity_available
prd001,TV,livingroom,3
prd002,Couch,livingroom,1
prd003,Chair,livingroom,0
prd004,something4,type4,4
prd005,something5,type5,5
prd006,something6,type6,6
prd007,something7,type7,7
prd008,something8,type8,8
prd009,something9,type9,9
prd010,something10,type10,10
prd011,something11,type11,11
prd012,something12,type12,12
prd013,something13,type13,13
prd014,something14,type14,14
prd015,something15,type15,15
prd016,something16,type16,16
prd017,something17,type17,17
prd018,something18,type18,18
prd019,something19,type19,19
prd020,something20,type20,20
prd021,something21,type21,21
prd022,something22,type22,22
prd023,something23,type23,23
prd024,something24,type24,24
prd025,something25,type25,25
prd026,something26,type26,26
prd027,something27,type27,27
prd028,something28,type28,28
prd029,something29,type29,29
prd030,something30,type30,30
prd031,something31,type31,31
prd032,something32,type32,32
prd033,something33,type33,33
prd034,something34,type34,34
prd035,something35,type35,35
prd036,something36,type36,36
prd037,something37,type37,37
prd038,something38,type38,38
prd039,something39,type39,39
prd040,something40,type40,40
prd041,something41,type41,41
prd042,something42,type42,42
prd043,something43,type43,43
prd044,something44,type44,44
prd045,something45,type45,45
prd046,something46,type46,46
prd047,something47,type47,47
prd048,something48,type48,48
prd049,something49,type49,49
prd050,something50,type50,50
prd051,something51,type51,51
prd052,something52,type52,52
prd053,something53,type53,53
prd054,something54,type54,54
prd055,something55,type55,55
prd056,something56,type56,56
prd057,something57,type57,57
prd058,something58,type58,58
prd059,something59,type59,59
prd060,something60,type60,60
prd061,something61,type61,61
prd062,something62,type62,62
prd063,something63,type63,63
prd064,something64,type64,64
prd065,something65,type65,65
prd066,something66,type66,66
prd067,something67,type67,67
prd068,something68,type68,68
prd069,something69,type69,69
prd070,something70,type70,70
prd071,something71,type71,71
prd072,something72,type72,72
prd073,something73,type73,73
prd074,something74,type74,74
prd075,something75,type75,75
prd076,something76,type76,76
prd077,something77,type77,77
prd078,something78,type78,78
prd079,something79,type79,79
prd080,something80,type80,80
prd081,something81,type81,81
prd082,something82,type82,82
prd083,something83,type83,83
prd084,something84,type84,84
prd085,something85,type85,85
prd086,something86,type86,86
prd087,something87,type87,87
prd088,something88,type88,88
prd089,something89,type89,89
prd090,something90,type90,90
prd091,something91,type91,91
prd092,something92,type92,92
prd093,something93,type93,93
prd094,something94,type94,94
prd095,something95,type95,95
prd096,something96,type96,96
prd097,something97,type97,97
prd098,something98,type98,98
prd099,something99,type99,99
prd100,something100,type100,100
prd101,something101,type101,101
prd102,something102,type102,102
prd103,something103,type103,103
prd104,something104,type104,104
prd105,something105,type105,105
prd106,something106,type106,106
prd107,something107,type107,107
prd108,something108,type108,108
prd109,something109,type109,109
prd110,something110,type110,110
prd111,something111,type111,111
prd112,something112,type112,112
prd113,something113,type113,113
prd114,something114,type114,114
prd115,something115,type115,115
prd116,something116,type116,116
prd117,something117,type117,117
prd118,something118,type118,118
prd119,something119,type119,119
prd120,something120,type120,120
prd121,something121,type121,121
prd122,something122,type122,122
prd123,something123,type123,123
prd124,something124,type124,124
prd125,something125,type125,125
prd126,something126,type126,126
prd127,something127,type127,127
prd128,something128,type128,128
prd129,something129,type129,129
prd130,something130,type130,130
prd131,something131,type131,131
prd132,something132,type132,132
prd133,something133,type133,133
prd134,something134,type134,134
prd135,something135,type135,135
prd136,something136,type136,136
prd137,something137,type137,137
prd138,something138,type138,138
prd139,something139,type139,139
prd140,something140,type140,140
prd141,something141,type141,141
prd142,something142,type142,142
prd143,something143,type143,143
prd144,something144,type144,144
prd145,something145,type145,145
prd146,something146,type146,146
prd147,something147,type147,147
prd148,something148,type148,148
prd149,something149,type149,149
prd150,something150,type150,150
prd151,something151,type151,151
prd152,something152,type152,152
prd153,something153,type153,153
prd154,something154,type154,154
prd155,something155,type155,155
prd156,something156,type156,156
prd157,something157,type157,157
prd158,something158,type158,158
prd159,something159,type159,159
prd160,something160,type160,160
prd161,something161,type161,161
prd162,something162,type162,162
prd163,something163,type163,163
prd164,something164,type164,164
prd165,something165,type165,165
prd166,something166,type166,166
prd167,something167,type167,167
prd168,something168,type168,168
prd169,something169,type169,169
prd170,something170,type170,170
prd171,something171,type171,171
prd172,something172,type172,172
prd173,something173,type173,173
prd174,something174,type174,174
prd175,something175,type175,175
prd176,something176,type176,176
prd177,something177,type177,177
prd178,something178,type178,178
prd179,something179,type179,179
prd180,something180,type180,180
prd181,something181,type181,181
prd182,something182,type182,182
prd183,something183,type183,183
prd184,something184,type184,184
prd185,something185,type185,185
prd186,something186,type186,186
prd187,something187,type187,187
prd188,something188,type188,188
prd189,something189,type189,189
prd190,something190,type190,190
prd191,something191,type191,191
prd192,something192,type192,192
prd193,something193,type193,193
prd194,something194,type194,194
prd195,something195,type195,195
prd196,something196,type196,196
prd197,something197,type197,197
prd198,something198,type198,198
prd199,something199,type199,199
prd200,something200,type200,200
prd201,something201,type201,201
prd202,something202,type202,202
prd203,something203,type203,203
prd204,something204,type204,204
prd205,something205,type205,205
prd206,something206,type206,206
prd207,something207,type207,207
prd208,something208,type208,208
prd209,something209,type209,209
prd210,something210,type210,210
prd211,something211,type211,211
prd212,something212,type212,212
prd213,something213,type213,213
prd214,something214,type214,214
prd215,something215,type215,215
prd216,something216,type216,216
prd217,something217,type217,217
prd218,something218,type218,218
prd219,something219,type219,219
prd220,something220,type220,220
prd221,something221,type221,221
prd222,something222,type222,222
prd223,something223,type223,223
prd224,something224,type224,224
prd225,something225,type225,225
prd226,something226,type226,226
prd227,something227,type227,227
prd228,something228,type228,228
prd229,something229,type229,229
prd230,something230,type230,230
prd231,something231,type231,231
prd232,something232,type232,232
prd233,something233,type233,233
prd234,something234,type234,234
prd235,something235,type235,235
prd236,something236,type236,236
prd237,something237,type237,237
prd238,something238,type238,238
prd239,something239,type239,239
prd240,something240,type240,240
prd241,something241,type241,241
prd242,something242,type242,242
prd243,something243,type243,243
prd244,something244,type244,244
prd245,something245,type245,245
prd246,something246,type246,246
prd247,something247,type247,247
prd248,something248,type248,248
prd249,something249,type249,249
prd250,something250,type250,250
prd251,something251,type251,251
prd252,something252,type252,252
prd253,something253,type253,253
prd254,something254,type254,254
prd255,something255,type255,255
prd256,something256,type256,256
prd257,something257,type257,257
prd258,something258,type258,258
prd259,something259,type259,259
prd260,something260,type260,260
prd261,something261,type261,261
prd262,something262,type262,262
prd263,something263,type263,263
prd264,something264,type264,264
prd265,something265,type265,265
prd266,something266,type266,266
prd267,something267,type267,267
prd268,something268,type268,268
prd269,something269,type269,269
prd270,something270,type270,270
prd271,something271,type271,271
prd272,something272,type272,272
prd273,something273,type273,273
prd274,something274,type274,274
prd275,something275,type275,275
prd276,something276,type276,276
prd277,something277,type277,277
prd278,something278,type278,278
prd279,something279,type279,279
prd280,something280,type280,280
prd281,something281,type281,281
prd282,something282,type282,282
prd283,something283,type283,283
prd284,something284,type284,284
prd285,something285,type285,285
prd286,something286,type286,286
prd287,something287,type287,287
prd288,something288,type288,288
prd289,something289,type289,289
prd290,something290,type290,290
prd291,something291,type291,291
prd292,something292,type292,292
prd293,something293,type293,293
prd294,something294,type294,294
prd295,something295,type295,295
prd296,something296,type296,296
prd297,something297,type297,297
prd298,something298,type298,298
prd299,something299,type299,299
prd300,something300,type300,300
prd301,something301,type301,301
prd302,something302,type302,302
prd303,something303,type303,303
prd304,something304,type304,304
prd305,something305,type305,305
prd306,something306,type306,306
prd307,something307,type307,307
prd308,something308,type308,308
prd309,something309,type309,309
prd310,something310,type310,310
prd311,something311,type311,311
prd312,something312,type312,312
prd313,something313,type313,313
prd314,something314,type314,314
prd315,something315,type315,315
prd316,something316,type316,316
prd317,something317,type317,317
prd318,something318,type318,318
prd319,something319,type319,319
prd320,something320,type320,320
prd321,something321,type321,321
prd322,something322,type322,322
prd323,something323,type323,323
prd324,something324,type324,324
prd325,something325,type325,325
prd326,something326,type326,326
prd327,something327,type327,327
prd328,something328,type328,328
prd329,something329,type329,329
prd330,something330,type330,330
prd331,something331,type331,331
prd332,something332,type332,332
prd333,something333,type333,333
prd334,something334,type334,334
prd335,something335,type335,335
prd336,something336,type336,336
prd337,something337,type337,337
prd338,something338,type338,338
prd339,something339,type339,339
prd340,something340,type340,340
prd341,something341,type341,341
prd342,something342,type342,342
prd343,something343,type343,343
prd344,something344,type344,344
prd345,something345,type345,345
prd346,something346,type346,346
prd347,something347,type347,347
prd348,something348,type348,348
prd349,something349,type349,349
prd350,something350,type350,350
prd351,something351,type351,351
prd352,something352,type352,352
prd353,something353,type353,353
prd354,something354,type354,354
prd355,something355,type355,355
prd356,something356,type356,356
prd357,something357,type357,357
prd358,something358,type358,358
prd359,something359,type359,359
prd360,something360,type360,360
prd361,something361,type361,361
prd362,something362,type362,362
prd363,something363,type363,363
prd364,something364,type364,364
prd365,something365,type365,365
prd366,something366,type366,366
prd367,something367,type367,367
prd368,something368,type368,368
prd369,something369,type369,369
prd370,something370,type370,370
prd371,something371,type371,371
prd372,something372,type372,372
prd373,something373,type373,373
prd374,something374,type374,374
prd375,something375,type375,375
prd376,something376,type376,376
prd377,something377,type377,377
prd378,something378,type378,378
prd379,something379,type379,379
prd380,something380,type380,380
prd381,something381,type381,381
prd382,something382,type382,382
prd383,something383,type383,383
prd384,something384,type384,384
prd385,something385,type385,385
prd386,something386,type386,386
prd387,something387,type387,387
prd388,something388,type388,388
prd389,something389,type389,389
prd390,something390,type390,390
prd391,something391,type391,391
prd392,something392,type392,392
prd393,something393,type393,393
prd394,something394,type394,394
prd395,something395,type395,395
prd396,something396,type396,396
prd397,something397,type397,397
prd398,something398,type398,398
prd399,something399,type399,399
prd400,something400,type400,400
prd401,something401,type401,401
prd402,something402,type402,402
prd403,something403,type403,403
prd404,something404,type404,404
prd405,something405,type405,405
prd406,something406,type406,406
prd407,something407,type407,407
prd408,something408,type408,408
prd409,something409,type409,409
prd410,something410,type410,410
prd411,something411,type411,411
prd412,something412,type412,412
prd413,something413,type413,413
prd414,something414,type414,414
prd415,something415,type415,415
prd416,something416,type416,416
prd417,something417,type417,417
prd418,something418,type418,418
prd419,something419,type419,419
prd420,something420,type420,420
prd421,something421,type421,421
prd422,something422,type422,422
prd423,something423,type423,423
prd424,something424,type424,424
prd425,something425,type425,425
prd426,something426,type426,426
prd427,something427,type427,427
prd428,something428,type428,428
prd429,something429,type429,429
prd430,something430,type430,430
prd431,something431,type431,431
prd432,something432,type432,432
prd433,something433,type433,433
prd434,something434,type434,434
prd435,something435,type435,435
prd436,something436,type436,436
prd437,something437,type437,437
prd438,something438,type438,438
prd439,something439,type439,439
prd440,something440,type440,440
prd441,something441,type441,441
prd442,something442,type442,442
prd443,something443,type443,443
prd444,something444,type444,444
prd445,something445,type445,445
prd446,something446,type446,446
prd447,something447,type447,447
prd448,something448,type448,448
prd449,something449,type449,449
prd450,something450,type450,450
prd451,something451,type451,451
prd452,something452,type452,452
prd453,something453,type453,453
prd454,something454,type454,454
prd455,something455,type455,455
prd456,something456,type456,456
prd457,something457,type457,457
prd458,something458,type458,458
prd459,something459,type459,459
prd460,something460,type460,460
prd461,something461,type461,461
prd462,something462,type462,462
prd463,something463,type463,463
prd464,something464,type464,464
prd465,something465,type465,465
prd466,something466,type466,466
prd467,something467,type467,467
