product_id,description,product_type,quantity_available
P00000,Petite Brass Murphy bed,dining room,74
P00001,Short Sandstone Sofa,bathroom,78
P00002,Small Copper Murphy bed,bathroom,47
P00003,Microscopic Travertine Bar Stool,closet,11
P00004,Colossal Walnut Bench,dining room,87
P00005,Large Quartzite Mattress,dining room,47
P00006,Miniature Aluminum Recliner,kitchen,4
P00007,Massive Slate Lift chair,closet,41
P00008,Immense Limestone Bench,bathroom,86
P00009,Little Quartzite Platform bed,dining room,68
P00010,Microscopic Magnesium Davenport,dining room,91
P00011,Small Aluminum Tuffet,dining room,23
P00012,Big Slate Bunk bed,kitchen,61
P00013,Little Ash Ottoman,living room,78
P00014,Fat Oak Bunk bed,dining room,9
P00015,Mammoth Adamantium Chair,living room,40
P00016,Tiny Mahogany Futon,closet,83
P00017,Small Quartzite Headboard,kitchen,43
P00018,Great Lead Klinai,attic,24
P00019,Immense Oak Headboard,living room,3
P00020,Tiny Nickel Chaise longue,den,1
P00021,Short Aluminum Chair,kitchen,54
P00022,Mammoth Tin Davenport,living room,32
P00023,Mammoth Zinc Chair,closet,73
P00024,Tiny Zinc Bar Stool,den,68
P00025,Large Magnesium Fainting couch,kitchen,8
P00026,Great Steel Lift chair,attic,6
P00027,Small Tin Canopy bed,den,11
P00028,Massive Limestone Fauteuil,den,76
P00029,Gigantic Basalt Davenport,kitchen,51
P00030,Small Beech Ottoman,den,30
P00031,Short Iron Tuffet,closet,44
P00032,Short Iron Bed,living room,78
P00033,Massive Bronze Murphy bed,closet,66
P00034,Massive Tungsten Bench,dining room,55
P00035,Petite Nickel Bench,den,72
P00036,Short Sandstone Waterbed,attic,87
P00037,Tiny Teak Daybed,living room,40
P00038,Mammoth Magnesium Recliner,kitchen,63
P00039,Great Aluminum Mattress,den,90
P00040,Tiny Beech Fainting couch,dining room,11
P00041,Fat Titanium Hammock,kitchen,42
P00042,Great Magnesium Divan,bathroom,62
P00043,Tall Pine Canopy bed,attic,86
P00044,Mammoth Magnesium Accubita,closet,31
P00045,Immense Quartzite Headboard,kitchen,2
P00046,Tall Elm Accubita,dining room,67
P00047,Miniature Teak Klinai,kitchen,38
P00048,Huge Magnesium Couch,living room,100
P00049,Short Oak Stool,bathroom,89
P00050,Petite Walnut Platform bed,dining room,41
P00051,Microscopic Lead Sleigh bed,attic,50
P00052,Big Basalt Canopy bed,den,81
P00053,Fat Tungsten Futon,living room,84
P00054,Tiny Sandstone Bunk bed,kitchen,94
P00055,Great Walnut Chaise longue,dining room,97
P00056,Huge Teak Four-poster bed,kitchen,19
P00057,Immense Cobalt Infant bed,dining room,95
P00058,Mammoth Titanium Recliner,kitchen,45
P00059,Large Bronze Murphy bed,den,81
P00060,Microscopic Cedar Canapé,attic,30
P00061,Little Mahogany Sofa,living room,28
P00062,Tall Steel Canopy bed,living room,97
P00063,Fat Tin Tuffet,living room,62
P00064,Gigantic Copper Bunk bed,dining room,82
P00065,Mammoth Steel Four-poster bed,attic,26
P00066,Short Quartzite Bar chair,kitchen,72
P00067,Short Nickel Sleigh bed,closet,50
P00068,Large Walnut Klinai,den,66
P00069,Petite Cedar Canopy bed,den,92
P00070,Puny Tin Platform bed,kitchen,17
P00071,Small Cedar Ottoman,bathroom,41
P00072,Tall Marble Bar Stool,living room,37
P00073,Microscopic Steel Bar chair,bathroom,95
P00074,Petite Tin Canapé,attic,85
P00075,Petite Cedar Futon,kitchen,13
P00076,Short Sandstone Divan,living room,99
P00077,Small Ash Klinai,den,17
P00078,Petite Steel Recliner,living room,19
P00079,Short Copper Davenport,closet,56
P00080,Tall Bronze Accubita,den,94
P00081,Microscopic Beech Tuffet,living room,9
P00082,Tiny Ash Platform bed,attic,99
P00083,Colossal Cobalt Bed,den,0
P00084,Puny Quartzite Futon,den,50
P00085,Petite Titanium Fauteuil,den,23
P00086,Huge Beech Bar Stool,living room,60
P00087,Puny Lead Stool,bathroom,75
P00088,Huge Tungsten Sofa,bathroom,22
P00089,Microscopic Teak Sleigh bed,closet,45
P00090,Massive Teak Bar chair,closet,20
