rental_id,product_id,customer_id,amount,time,price,total
R00000,P97123,C00000,95,185,210,3690750
R00001,P37663,C00001,10,359,174,624660
R00002,P16002,C00002,53,273,409,5917821
R00003,P76981,C00003,26,122,492,1560624
R00004,P00023,C00004,89,50,302,1343900
R00005,P3128,C00005,58,288,41,684864
R00006,P21728,C00006,86,214,27,496908
R00007,P12434,C00007,28,111,81,251748
R00008,P75754,C00008,51,298,288,4377024
R00009,P75067,C00009,29,279,476,3851316
R00010,P24489,C00010,29,349,32,323872
R00011,P10333,C00011,84,305,250,6405000
R00012,P43706,C00012,62,205,93,1182030
R00013,P19853,C00013,80,130,23,239200
R00014,P48300,C00014,28,23,364,234416
R00015,P23899,C00015,57,354,360,7264080
R00016,P98677,C00016,64,184,372,4380672
R00017,P46502,C00017,4,89,364,129584
R00018,P98301,C00018,48,185,258,2291040
R00019,P30963,C00019,25,89,359,798775
R00020,P58506,C00020,81,231,182,3405402
R00021,P00023,C00021,85,139,69,815235
R00022,P49931,C00022,28,22,317,195272
R00023,P87177,C00023,100,95,441,4189500
R00024,P18751,C00024,10,5,162,8100
R00025,P76571,C00025,22,211,432,2005344
R00026,P3152,C00026,46,306,108,1520208
R00027,P2782,C00027,48,310,57,848160
R00028,P87495,C00028,47,29,322,438886
R00029,P95651,C00029,61,277,70,1182790
R00030,P21742,C00030,60,83,43,214140
R00031,P15598,C00031,5,305,343,523075
R00032,P14031,C00032,0,333,439,0
R00033,P11762,C00033,6,287,110,189420
R00034,P84831,C00034,21,80,351,589680
R00035,P00023,C00035,94,162,84,1279152
R00036,P51981,C00036,2,95,248,47120
R00037,P19540,C00037,97,144,500,6984000
R00038,P78704,C00038,18,164,112,330624
R00039,P71583,C00039,59,21,136,168504
R00040,P43746,C00040,53,88,476,2220064
R00041,P3577,C00041,93,308,209,5986596
R00042,P69411,C00042,11,285,271,849585
R00043,P36156,C00043,3,251,308,231924
R00044,P88156,C00044,95,271,263,6770935
R00045,P16476,C00045,60,43,14,36120
R00046,P1353,C00046,39,20,67,52260
R00047,P38469,C00047,88,197,28,485408
R00048,P00023,C00048,89,238,247,5231954
R00049,P81974,C00049,34,314,407,4345132
R00050,P68648,C00050,68,117,132,1050192
R00051,P67493,C00051,45,184,231,1912680
R00052,P44794,C00052,39,166,245,1586130
R00053,P21960,C00053,75,161,232,2801400
R00054,P4968,C00054,2,333,91,60606
R00055,P27500,C00055,57,146,64,532608
R00056,P92243,C00056,13,355,305,1407575
R00057,P36457,C00057,62,173,97,1040422
R00058,P48105,C00058,63,152,222,2125872
R00059,P29987,C00059,28,232,468,3040128
R00060,P73162,C00060,83,336,161,4489968
R00061,P70267,C00061,94,89,98,819868
R00062,P63338,C00062,45,53,60,143100
R00063,P75147,C00063,67,349,11,257213
R00064,P71828,C00064,99,321,477,15158583
R00065,P3266,C00065,68,3,156,31824
R00066,P44122,C00066,0,237,246,0
R00067,P17194,C00067,10,152,33,50160
R00068,P61861,C00068,32,169,478,2585024
R00069,P35149,C00069,99,198,440,8624880
R00070,P59608,C00070,12,159,3,5724
R00071,P76991,C00071,12,29,144,50112
R00072,P27529,C00072,77,131,356,3590972
R00073,P73874,C00073,35,71,329,817565
R00074,P4590,C00074,72,77,214,1186416
R00075,P47893,C00075,26,349,145,1315730
R00076,P89562,C00076,35,33,213,246015
R00077,P4255,C00077,48,291,464,6481152
R00078,P4293,C00078,63,322,128,2596608
R00079,P80911,C00079,21,358,261,1962198
R00080,P18310,C00080,36,344,22,272448
R00081,P3683,C00081,10,10,366,36600
R00082,P1268,C00082,32,126,100,403200
R00083,P11892,C00083,61,330,141,2838330
R00084,P60538,C00084,83,323,331,8873779
R00085,P43478,C00085,53,113,175,1048075
R00086,P51036,C00086,36,65,164,383760
R00087,P64982,C00087,37,222,111,911754
R00088,P62304,C00088,13,265,240,826800
R00089,P41902,C00089,17,180,219,670140
R00090,P90490,C00090,67,193,455,5883605
R00091,P41582,C00091,34,354,28,337008
R00092,P80090,C00092,51,117,335,1998945
R00093,P52072,C00093,68,224,376,5727232
R00094,P7808,C00094,67,311,237,4938369
R00095,P56151,C00095,79,188,77,1143604
R00096,P52718,C00096,19,9,2,342
R00097,P89497,C00097,52,338,70,1230320
R00098,P71053,C00098,56,329,493,9083032
R00099,P34041,C00099,63,85,341,1826055
R00100,P18542,C00100,58,250,311,4509500
R00101,P14047,C00101,94,283,378,10055556
R00102,P33234,C00102,52,151,474,3721848
R00103,P6581,C00103,27,23,242,150282
R00104,P18264,C00104,81,105,246,2092230
R00105,P95333,C00105,68,119,213,1723596
R00106,P18734,C00106,86,69,344,2041296
R00107,P95394,C00107,60,299,195,3498300
R00108,P76750,C00108,5,111,206,114330
R00109,P64201,C00109,99,88,3,26136
R00110,P56771,C00110,34,142,419,2022932
R00111,P16339,C00111,35,50,25,43750
R00112,P69356,C00112,1,128,310,39680
R00113,P62595,C00113,30,102,187,572220
R00114,P43011,C00114,93,188,373,6521532
R00115,P68035,C00115,10,332,283,939560
R00116,P15880,C00116,72,51,86,315792
R00117,P74491,C00117,12,140,500,840000
R00118,P61942,C00118,1,207,359,74313
R00119,P28393,C00119,34,7,240,57120
R00120,P89544,C00120,1,272,71,19312
R00121,P19644,C00121,96,180,160,2764800
