product_id,description,product_type,quantity_available
prd0000,Pen,Necessity,79
prd0001,Chair,Necessity,40
prd0002,Chair,Convenience,73
prd0003,Movie,Convenience,25
prd0004,Mobile,Luxury,3
prd0005,Mobile,Luxury,64
prd0006,Bike,Luxury,36
prd0007,Aspirator,Convenience,79
prd0008,Guitar,Convenience,74
prd0009,Chair,Luxury,6
prd0010,Hat,Necessity,4
prd0011,Handbag,Necessity,46
prd0012,Truck,Convenience,89
prd0013,Ballon,Necessity,79
prd0014,Table,Necessity,44
prd0015,House,Necessity,71
prd0016,Toothpaste,Convenience,48
prd0017,Pencil,Luxury,52
prd0018,Bike,Necessity,89
prd0019,Table,Necessity,87
prd0020,Drum,Luxury,94
prd0021,Teapot,Necessity,39
prd0022,Dress,Convenience,42
prd0023,Acumulator,Luxury,73
prd0024,Lamp,Necessity,84
prd0025,Mobile,Necessity,4
prd0026,Book,Luxury,13
prd0027,Table,Luxury,66
prd0028,Acumulator,Luxury,54
prd0029,Laptop,Convenience,57
prd0030,Dress,Luxury,9
prd0031,Drum,Convenience,4
prd0032,Book,Necessity,13
prd0033,Toothpaste,Luxury,27
prd0034,Paperholder,Luxury,79
prd0035,Pencil,Luxury,35
prd0036,Lamp,Luxury,44
prd0037,Teapot,Necessity,38
prd0038,Car,Necessity,8
prd0039,Celphone,Necessity,68
prd0040,Laptop,Necessity,36
prd0041,Pen,Convenience,46
prd0042,Bike,Convenience,44
prd0043,Hat,Luxury,57
prd0044,Bookcase,Necessity,48
prd0045,Glasses,Convenience,62
prd0046,Orange,Convenience,52
prd0047,Oven,Convenience,71
prd0048,Guitar,Necessity,35
prd0049,Teapot,Necessity,43
prd0050,Pencil,Luxury,100
prd0051,Glasses,Necessity,16
prd0052,Rotor,Necessity,37
prd0053,Desk,Luxury,22
prd0054,Laser,Convenience,20
prd0055,Paperholder,Necessity,95
prd0056,Exchibit,Luxury,63
prd0057,Glasses,Necessity,57
prd0058,Expo,Convenience,66
prd0059,Garderope,Luxury,51
prd0060,Expo,Necessity,46
prd0061,Ballon,Necessity,16
prd0062,Rotor,Necessity,60
prd0063,Clock,Necessity,29
prd0064,Glasses,Necessity,98
prd0065,Apartment,Necessity,44
prd0066,Handbag,Luxury,67
prd0067,Handbag,Convenience,40
prd0068,Desk,Luxury,78
prd0069,Mobile,Necessity,85
prd0070,Horn,Convenience,98
prd0071,Table,Luxury,16
prd0072,Ornament,Necessity,21
prd0073,Ornament,Luxury,77
prd0074,Guitar,Convenience,87
prd0075,Ornament,Necessity,91
prd0076,Mobile,Convenience,82
prd0077,Aspirator,Necessity,6
prd0078,Oven,Luxury,17
prd0079,Table,Luxury,4
prd0080,Orange,Necessity,16
prd0081,Onion,Convenience,76
prd0082,Book,Luxury,37
prd0083,Pencil,Necessity,50
prd0084,Ballon,Luxury,59
prd0085,Orange,Luxury,3
prd0086,Radio,Convenience,35
prd0087,Truck,Necessity,96
prd0088,Dress,Luxury,64
prd0089,Mobile,Necessity,18
prd0090,Table,Necessity,83
prd0091,Radio,Convenience,68
prd0092,Expresso,Convenience,33
prd0093,Expo,Luxury,43
prd0094,Book,Luxury,8
prd0095,Radio,Luxury,36
prd0096,Movie,Necessity,24
prd0097,Matress,Convenience,53
prd0098,Car,Luxury,48
prd0099,Earings,Convenience,22
prd0100,Drum,Necessity,60
prd0101,Pencil,Luxury,3
prd0102,Laminate,Necessity,86
prd0103,Garderope,Necessity,39
prd0104,Pencil,Convenience,36
prd0105,Dress,Luxury,97
prd0106,Acumulator,Luxury,90
prd0107,Oven,Necessity,73
prd0108,Table,Convenience,15
prd0109,Truck,Convenience,38
