function name: __init__, time: 10.9992 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 50.5006 ms, records processed: 10 products, 0 customers, 0 rentals
function name: import_csv, time: 33.365 ms, records processed: 0 products, 10 customers, 0 rentals
function name: import_csv, time: 37.0896 ms, records processed: 0 products, 0 customers, 10 rentals
function name: import_data, time: 238.338 ms, records processed: 10 products, 10 customers, 10 rentals
function name: show_rentals, time: 19.8541 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 17.4954 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 47.4999 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 26.5903 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 42.4995 ms, records processed: 10 products, 10 customers, 10 rentals
function name: __init__, time: 8.5416 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 49.0477 ms, records processed: 50 products, 0 customers, 0 rentals
function name: import_csv, time: 44.508 ms, records processed: 0 products, 50 customers, 0 rentals
function name: import_csv, time: 87.5392 ms, records processed: 0 products, 0 customers, 50 rentals
function name: import_data, time: 277.7283 ms, records processed: 50 products, 50 customers, 50 rentals
function name: show_rentals, time: 17.504 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 23.4873 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 62.501 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 19.9971 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 49.9933 ms, records processed: 50 products, 50 customers, 50 rentals
function name: __init__, time: 8.0223 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 35.4047 ms, records processed: 100 products, 0 customers, 0 rentals
function name: import_csv, time: 39.2449 ms, records processed: 0 products, 100 customers, 0 rentals
function name: import_csv, time: 34.9157 ms, records processed: 0 products, 0 customers, 100 rentals
function name: import_data, time: 181.0875 ms, records processed: 100 products, 100 customers, 100 rentals
function name: show_rentals, time: 15.0034 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 14.9791 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 41.4979 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 15.9869 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 44.1682 ms, records processed: 100 products, 100 customers, 100 rentals
function name: __init__, time: 7.8368 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 54.1368 ms, records processed: 500 products, 0 customers, 0 rentals
function name: import_csv, time: 60.282 ms, records processed: 0 products, 500 customers, 0 rentals
function name: import_csv, time: 43.5905 ms, records processed: 0 products, 0 customers, 500 rentals
function name: import_data, time: 237.1938 ms, records processed: 500 products, 500 customers, 500 rentals
function name: show_rentals, time: 15.9922 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 18.9395 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 45.6436 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 18.9984 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 36.3426 ms, records processed: 500 products, 500 customers, 500 rentals
function name: __init__, time: 8.5306 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 61.8997 ms, records processed: 1000 products, 0 customers, 0 rentals
function name: import_csv, time: 62.921 ms, records processed: 0 products, 1000 customers, 0 rentals
function name: import_csv, time: 64.5225 ms, records processed: 0 products, 0 customers, 1000 rentals
function name: import_data, time: 296.0424 ms, records processed: 1000 products, 1000 customers, 1000 rentals
