CMDLINE /anaconda3/bin/python datagenerate.py
MEM 0.007812 1560140918.8215
MEM 12.562500 1560140918.9218
MEM 20.707031 1560140919.0263
MEM 27.718750 1560140919.1281
MEM 30.062500 1560140919.2304
MEM 30.062500 1560140919.3356
MEM 30.062500 1560140919.4361
MEM 30.066406 1560140919.5410
MEM 30.066406 1560140919.6437
MEM 30.066406 1560140919.7440
MEM 30.066406 1560140919.8445
MEM 30.066406 1560140919.9476
MEM 30.066406 1560140920.0491
MEM 30.066406 1560140920.1526
MEM 30.066406 1560140920.2532
MEM 30.066406 1560140920.3534
MEM 30.066406 1560140920.4535
MEM 30.066406 1560140920.5543
MEM 30.066406 1560140920.6545
MEM 30.066406 1560140920.7560
MEM 30.066406 1560140920.8599
MEM 30.066406 1560140920.9609
MEM 30.066406 1560140921.0645
MEM 30.066406 1560140921.1647
MEM 30.066406 1560140921.2690
MEM 30.066406 1560140921.3693
MEM 30.074219 1560140921.4702
MEM 30.074219 1560140921.5728
MEM 30.074219 1560140921.6765
MEM 30.074219 1560140921.7768
MEM 30.074219 1560140921.8785
MEM 30.074219 1560140921.9793
MEM 30.074219 1560140922.0799
MEM 30.074219 1560140922.1832
MEM 30.074219 1560140922.2864
MEM 30.074219 1560140922.3867
MEM 30.074219 1560140922.4876
MEM 30.074219 1560140922.5881
MEM 30.074219 1560140922.6886
MEM 30.074219 1560140922.7899
MEM 30.074219 1560140922.8927
MEM 30.074219 1560140922.9929
MEM 30.074219 1560140923.0930
MEM 30.074219 1560140923.1932
MEM 30.074219 1560140923.2935
