product_id,description,product_type,quantity_available
p101,TV,Electronics,5
p102,Lamp,Livingroom,5
p103,Dining Table,Diningroom,5
p104,Queen bed,bedroom,5
p105,Kung bed,bedroom,5
p106,Study Table,studyroom,5
p107,Bunk Bed,kidsroom,5
p108,Microwave,Electronics,5
p109,Fan,livingroom,5
p110,Heater,livingroom,5
p111,Speakers,Mediaroom,0
p112,Routers,Studyroom,0
p113,Speakers1,Mediaroom,4
p114,Speakers2,Mediaroom,4
p115,Speakers3,Mediaroom,4
p116,Speakers4,Mediaroom,4
p117,Speakers5,Mediaroom,4
p118,Speakers6,Mediaroom,4
p119,Speakers7,Mediaroom,4
p120,Speakers8,Mediaroom,4
p121,Speakers9,Mediaroom,4
p122,Speakers10,Mediaroom,4
p123,Speakers11,Mediaroom,4
p124,Speakers12,Mediaroom,4
p125,Speakers13,Mediaroom,4
p126,Speakers14,Mediaroom,4
p127,Speakers15,Mediaroom,4
p128,Speakers16,Mediaroom,4
p129,Speakers17,Mediaroom,4
p130,Speakers18,Mediaroom,4
p131,Speakers19,Mediaroom,4
p132,Speakers20,Mediaroom,4
p133,Speakers21,Mediaroom,4
p134,Speakers22,Mediaroom,4
p135,Speakers23,Mediaroom,4
p136,Speakers24,Mediaroom,4
p137,Speakers25,Mediaroom,4
p138,Speakers26,Mediaroom,4
p139,Speakers27,Mediaroom,4
p140,Speakers28,Mediaroom,4
p141,Speakers29,Mediaroom,4
p142,Speakers30,Mediaroom,4
p143,Speakers31,Mediaroom,4
p144,Speakers32,Mediaroom,4
p145,Speakers33,Mediaroom,4
p146,Speakers34,Mediaroom,4
p147,Speakers35,Mediaroom,4
p148,Speakers36,Mediaroom,4
p149,Speakers37,Mediaroom,4
p150,Speakers38,Mediaroom,4
p151,Speakers39,Mediaroom,4
p152,Speakers40,Mediaroom,4
p153,Speakers41,Mediaroom,4
p154,Speakers42,Mediaroom,4
p155,Speakers43,Mediaroom,4
p156,Speakers44,Mediaroom,4
p157,Speakers45,Mediaroom,4
p158,Speakers46,Mediaroom,4
p159,Speakers47,Mediaroom,4
p160,Speakers48,Mediaroom,4
p161,Speakers49,Mediaroom,4
p162,Speakers50,Mediaroom,4
p163,Speakers51,Mediaroom,4
p164,Speakers52,Mediaroom,4
p165,Speakers53,Mediaroom,4
p166,Speakers54,Mediaroom,4
p167,Speakers55,Mediaroom,4
p168,Speakers56,Mediaroom,4
p169,Speakers57,Mediaroom,4
p170,Speakers58,Mediaroom,4
p171,Speakers59,Mediaroom,4
p172,Speakers60,Mediaroom,4
p173,Speakers61,Mediaroom,4
p174,Speakers62,Mediaroom,4
p175,Speakers63,Mediaroom,4
p176,Speakers64,Mediaroom,4
p177,Speakers65,Mediaroom,4
p178,Speakers66,Mediaroom,4
p179,Speakers67,Mediaroom,4
p180,Speakers68,Mediaroom,4
p181,Speakers69,Mediaroom,4
p182,Speakers70,Mediaroom,4
p183,Speakers71,Mediaroom,4
p184,Speakers72,Mediaroom,4
p185,Speakers73,Mediaroom,4
p186,Speakers74,Mediaroom,4
p187,Speakers75,Mediaroom,4
p188,Speakers76,Mediaroom,4
p189,Speakers77,Mediaroom,4
p190,Speakers78,Mediaroom,4
p191,Speakers79,Mediaroom,4
p192,Speakers80,Mediaroom,4
p193,Speakers81,Mediaroom,4
p194,Speakers82,Mediaroom,4
p195,Speakers83,Mediaroom,4
p196,Speakers84,Mediaroom,4
p197,Speakers85,Mediaroom,4
p198,Speakers86,Mediaroom,4
p199,Speakers87,Mediaroom,4
p200,Speakers88,Mediaroom,4
p201,Speakers89,Mediaroom,4
p202,Speakers90,Mediaroom,4
p203,Speakers91,Mediaroom,4
p204,Speakers92,Mediaroom,4
p205,Speakers93,Mediaroom,4
p206,Speakers94,Mediaroom,4
p207,Speakers95,Mediaroom,4
p208,Speakers96,Mediaroom,4
p209,Speakers97,Mediaroom,4
p210,Speakers98,Mediaroom,4
p211,Speakers99,Mediaroom,4
p212,Speakers100,Mediaroom,4
p213,Speakers101,Mediaroom,4
p214,Speakers102,Mediaroom,4
p215,Speakers103,Mediaroom,4
p216,Speakers104,Mediaroom,4
p217,Speakers105,Mediaroom,4
p218,Speakers106,Mediaroom,4
p219,Speakers107,Mediaroom,4
p220,Speakers108,Mediaroom,4
p221,Speakers109,Mediaroom,4
p222,Speakers110,Mediaroom,4
p223,Speakers111,Mediaroom,4
p224,Speakers112,Mediaroom,4
p225,Speakers113,Mediaroom,4
p226,Speakers114,Mediaroom,4
p227,Speakers115,Mediaroom,4
p228,Speakers116,Mediaroom,4
p229,Speakers117,Mediaroom,4
p230,Speakers118,Mediaroom,4
p231,Speakers119,Mediaroom,4
p232,Speakers120,Mediaroom,4
p233,Speakers121,Mediaroom,4
p234,Speakers122,Mediaroom,4
p235,Speakers123,Mediaroom,4
p236,Speakers124,Mediaroom,4
p237,Speakers125,Mediaroom,4
p238,Speakers126,Mediaroom,4
p239,Speakers127,Mediaroom,4
p240,Speakers128,Mediaroom,4
p241,Speakers129,Mediaroom,4
p242,Speakers130,Mediaroom,4
p243,Speakers131,Mediaroom,4
p244,Speakers132,Mediaroom,4
p245,Speakers133,Mediaroom,4
p246,Speakers134,Mediaroom,4
p247,Speakers135,Mediaroom,4
p248,Speakers136,Mediaroom,4
p249,Speakers137,Mediaroom,4
p250,Speakers138,Mediaroom,4
p251,Speakers139,Mediaroom,4
p252,Speakers140,Mediaroom,4
p253,Speakers141,Mediaroom,4
p254,Speakers142,Mediaroom,4
p255,Speakers143,Mediaroom,4
p256,Speakers144,Mediaroom,4
p257,Speakers145,Mediaroom,4
p258,Speakers146,Mediaroom,4
p259,Speakers147,Mediaroom,4
p260,Speakers148,Mediaroom,4
p261,Speakers149,Mediaroom,4
p262,Speakers150,Mediaroom,4
p263,Speakers151,Mediaroom,4
p264,Speakers152,Mediaroom,4
p265,Speakers153,Mediaroom,4
p266,Speakers154,Mediaroom,4
p267,Speakers155,Mediaroom,4
p268,Speakers156,Mediaroom,4
p269,Speakers157,Mediaroom,4
p270,Speakers158,Mediaroom,4
p271,Speakers159,Mediaroom,4
p272,Speakers160,Mediaroom,4
p273,Speakers161,Mediaroom,4
p274,Speakers162,Mediaroom,4
p275,Speakers163,Mediaroom,4
p276,Speakers164,Mediaroom,4
p277,Speakers165,Mediaroom,4
p278,Speakers166,Mediaroom,4
p279,Speakers167,Mediaroom,4
p280,Speakers168,Mediaroom,4
p281,Speakers169,Mediaroom,4
p282,Speakers170,Mediaroom,4
p283,Speakers171,Mediaroom,4
p284,Speakers172,Mediaroom,4
p285,Speakers173,Mediaroom,4
p286,Speakers174,Mediaroom,4
p287,Speakers175,Mediaroom,4
p288,Speakers176,Mediaroom,4
p289,Speakers177,Mediaroom,4
p290,Speakers178,Mediaroom,4
p291,Speakers179,Mediaroom,4
p292,Speakers180,Mediaroom,4
p293,Speakers181,Mediaroom,4
p294,Speakers182,Mediaroom,4
p295,Speakers183,Mediaroom,4
p296,Speakers184,Mediaroom,4
p297,Speakers185,Mediaroom,4
p298,Speakers186,Mediaroom,4
p299,Speakers187,Mediaroom,4
p300,Speakers188,Mediaroom,4
p301,Speakers189,Mediaroom,4
p302,Speakers190,Mediaroom,4
p303,Speakers191,Mediaroom,4
p304,Speakers192,Mediaroom,4
p305,Speakers193,Mediaroom,4
p306,Speakers194,Mediaroom,4
p307,Speakers195,Mediaroom,4
p308,Speakers196,Mediaroom,4
p309,Speakers197,Mediaroom,4
p310,Speakers198,Mediaroom,4
p311,Speakers199,Mediaroom,4
p312,Speakers200,Mediaroom,4
p313,Speakers201,Mediaroom,4
p314,Speakers202,Mediaroom,4
p315,Speakers203,Mediaroom,4
p316,Speakers204,Mediaroom,4
p317,Speakers205,Mediaroom,4
p318,Speakers206,Mediaroom,4
p319,Speakers207,Mediaroom,4
p320,Speakers208,Mediaroom,4
p321,Speakers209,Mediaroom,4
p322,Speakers210,Mediaroom,4
p323,Speakers211,Mediaroom,4
p324,Speakers212,Mediaroom,4
p325,Speakers213,Mediaroom,4
p326,Speakers214,Mediaroom,4
p327,Speakers215,Mediaroom,4
p328,Speakers216,Mediaroom,4
p329,Speakers217,Mediaroom,4
p330,Speakers218,Mediaroom,4
p331,Speakers219,Mediaroom,4
p332,Speakers220,Mediaroom,4
p333,Speakers221,Mediaroom,4
p334,Speakers222,Mediaroom,4
p335,Speakers223,Mediaroom,4
p336,Speakers224,Mediaroom,4
p337,Speakers225,Mediaroom,4
p338,Speakers226,Mediaroom,4
p339,Speakers227,Mediaroom,4
p340,Speakers228,Mediaroom,4
p341,Speakers229,Mediaroom,4
p342,Speakers230,Mediaroom,4
p343,Speakers231,Mediaroom,4
p344,Speakers232,Mediaroom,4
p345,Speakers233,Mediaroom,4
p346,Speakers234,Mediaroom,4
p347,Speakers235,Mediaroom,4
p348,Speakers236,Mediaroom,4
p349,Speakers237,Mediaroom,4
p350,Speakers238,Mediaroom,4
p351,Speakers239,Mediaroom,4
p352,Speakers240,Mediaroom,4
p353,Speakers241,Mediaroom,4
p354,Speakers242,Mediaroom,4
p355,Speakers243,Mediaroom,4
p356,Speakers244,Mediaroom,4
p357,Speakers245,Mediaroom,4
p358,Speakers246,Mediaroom,4
p359,Speakers247,Mediaroom,4
p360,Speakers248,Mediaroom,4
p361,Speakers249,Mediaroom,4
p362,Speakers250,Mediaroom,4
p363,Speakers251,Mediaroom,4
p364,Speakers252,Mediaroom,4
p365,Speakers253,Mediaroom,4
p366,Speakers254,Mediaroom,4
p367,Speakers255,Mediaroom,4
p368,Speakers256,Mediaroom,4
p369,Speakers257,Mediaroom,4
p370,Speakers258,Mediaroom,4
p371,Speakers259,Mediaroom,4
p372,Speakers260,Mediaroom,4
p373,Speakers261,Mediaroom,4
p374,Speakers262,Mediaroom,4
p375,Speakers263,Mediaroom,4
p376,Speakers264,Mediaroom,4
p377,Speakers265,Mediaroom,4
p378,Speakers266,Mediaroom,4
p379,Speakers267,Mediaroom,4
p380,Speakers268,Mediaroom,4
p381,Speakers269,Mediaroom,4
p382,Speakers270,Mediaroom,4
p383,Speakers271,Mediaroom,4
p384,Speakers272,Mediaroom,4
p385,Speakers273,Mediaroom,4
p386,Speakers274,Mediaroom,4
p387,Speakers275,Mediaroom,4
p388,Speakers276,Mediaroom,4
p389,Speakers277,Mediaroom,4
p390,Speakers278,Mediaroom,4
p391,Speakers279,Mediaroom,4
p392,Speakers280,Mediaroom,4
p393,Speakers281,Mediaroom,4
p394,Speakers282,Mediaroom,4
p395,Speakers283,Mediaroom,4
p396,Speakers284,Mediaroom,4
p397,Speakers285,Mediaroom,4
p398,Speakers286,Mediaroom,4
p399,Speakers287,Mediaroom,4
p400,Speakers288,Mediaroom,4
p401,Speakers289,Mediaroom,4
p402,Speakers290,Mediaroom,4
p403,Speakers291,Mediaroom,4
p404,Speakers292,Mediaroom,4
p405,Speakers293,Mediaroom,4
p406,Speakers294,Mediaroom,4
p407,Speakers295,Mediaroom,4
p408,Speakers296,Mediaroom,4
p409,Speakers297,Mediaroom,4
p410,Speakers298,Mediaroom,4
p411,Speakers299,Mediaroom,4
p412,Speakers300,Mediaroom,4
p413,Speakers301,Mediaroom,4
p414,Speakers302,Mediaroom,4
p415,Speakers303,Mediaroom,4
p416,Speakers304,Mediaroom,4
p417,Speakers305,Mediaroom,4
p418,Speakers306,Mediaroom,4
p419,Speakers307,Mediaroom,4
p420,Speakers308,Mediaroom,4
p421,Speakers309,Mediaroom,4
p422,Speakers310,Mediaroom,4
p423,Speakers311,Mediaroom,4
p424,Speakers312,Mediaroom,4
p425,Speakers313,Mediaroom,4
p426,Speakers314,Mediaroom,4
p427,Speakers315,Mediaroom,4
p428,Speakers316,Mediaroom,4
p429,Speakers317,Mediaroom,4
p430,Speakers318,Mediaroom,4
p431,Speakers319,Mediaroom,4
p432,Speakers320,Mediaroom,4
p433,Speakers321,Mediaroom,4
p434,Speakers322,Mediaroom,4
p435,Speakers323,Mediaroom,4
p436,Speakers324,Mediaroom,4
p437,Speakers325,Mediaroom,4
p438,Speakers326,Mediaroom,4
p439,Speakers327,Mediaroom,4
p440,Speakers328,Mediaroom,4
p441,Speakers329,Mediaroom,4
p442,Speakers330,Mediaroom,4
p443,Speakers331,Mediaroom,4
p444,Speakers332,Mediaroom,4
p445,Speakers333,Mediaroom,4
p446,Speakers334,Mediaroom,4
p447,Speakers335,Mediaroom,4
p448,Speakers336,Mediaroom,4
p449,Speakers337,Mediaroom,4
p450,Speakers338,Mediaroom,4
p451,Speakers339,Mediaroom,4
p452,Speakers340,Mediaroom,4
p453,Speakers341,Mediaroom,4
p454,Speakers342,Mediaroom,4
p455,Speakers343,Mediaroom,4
p456,Speakers344,Mediaroom,4
p457,Speakers345,Mediaroom,4
p458,Speakers346,Mediaroom,4
p459,Speakers347,Mediaroom,4
p460,Speakers348,Mediaroom,4
p461,Speakers349,Mediaroom,4
p462,Speakers350,Mediaroom,4
p463,Speakers351,Mediaroom,4
p464,Speakers352,Mediaroom,4
p465,Speakers353,Mediaroom,4
p466,Speakers354,Mediaroom,4
p467,Speakers355,Mediaroom,4
p468,Speakers356,Mediaroom,4
p469,Speakers357,Mediaroom,4
p470,Speakers358,Mediaroom,4
p471,Speakers359,Mediaroom,4
p472,Speakers360,Mediaroom,4
p473,Speakers361,Mediaroom,4
p474,Speakers362,Mediaroom,4
p475,Speakers363,Mediaroom,4
p476,Speakers364,Mediaroom,4
p477,Speakers365,Mediaroom,4
p478,Speakers366,Mediaroom,4
p479,Speakers367,Mediaroom,4
p480,Speakers368,Mediaroom,4
p481,Speakers369,Mediaroom,4
p482,Speakers370,Mediaroom,4
p483,Speakers371,Mediaroom,4
p484,Speakers372,Mediaroom,4
p485,Speakers373,Mediaroom,4
p486,Speakers374,Mediaroom,4
p487,Speakers375,Mediaroom,4
p488,Speakers376,Mediaroom,4
p489,Speakers377,Mediaroom,4
p490,Speakers378,Mediaroom,4
p491,Speakers379,Mediaroom,4
p492,Speakers380,Mediaroom,4
p493,Speakers381,Mediaroom,4
p494,Speakers382,Mediaroom,4
p495,Speakers383,Mediaroom,4
p496,Speakers384,Mediaroom,4
p497,Speakers385,Mediaroom,4
p498,Speakers386,Mediaroom,4
p499,Speakers387,Mediaroom,4
p500,Speakers388,Mediaroom,4
p501,Speakers389,Mediaroom,4
p502,Speakers390,Mediaroom,4
p503,Speakers391,Mediaroom,4
p504,Speakers392,Mediaroom,4
p505,Speakers393,Mediaroom,4
p506,Speakers394,Mediaroom,4
p507,Speakers395,Mediaroom,4
p508,Speakers396,Mediaroom,4
p509,Speakers397,Mediaroom,4
p510,Speakers398,Mediaroom,4
p511,Speakers399,Mediaroom,4
p512,Speakers400,Mediaroom,4
p513,Speakers401,Mediaroom,4
p514,Speakers402,Mediaroom,4
p515,Speakers403,Mediaroom,4
p516,Speakers404,Mediaroom,4
p517,Speakers405,Mediaroom,4
p518,Speakers406,Mediaroom,4
p519,Speakers407,Mediaroom,4
p520,Speakers408,Mediaroom,4
p521,Speakers409,Mediaroom,4
p522,Speakers410,Mediaroom,4
p523,Speakers411,Mediaroom,4
p524,Speakers412,Mediaroom,4
p525,Speakers413,Mediaroom,4
p526,Speakers414,Mediaroom,4
p527,Speakers415,Mediaroom,4
p528,Speakers416,Mediaroom,4
p529,Speakers417,Mediaroom,4
p530,Speakers418,Mediaroom,4
p531,Speakers419,Mediaroom,4
p532,Speakers420,Mediaroom,4
p533,Speakers421,Mediaroom,4
p534,Speakers422,Mediaroom,4
p535,Speakers423,Mediaroom,4
p536,Speakers424,Mediaroom,4
p537,Speakers425,Mediaroom,4
p538,Speakers426,Mediaroom,4
p539,Speakers427,Mediaroom,4
p540,Speakers428,Mediaroom,4
p541,Speakers429,Mediaroom,4
p542,Speakers430,Mediaroom,4
p543,Speakers431,Mediaroom,4
p544,Speakers432,Mediaroom,4
p545,Speakers433,Mediaroom,4
p546,Speakers434,Mediaroom,4
p547,Speakers435,Mediaroom,4
p548,Speakers436,Mediaroom,4
p549,Speakers437,Mediaroom,4
p550,Speakers438,Mediaroom,4
p551,Speakers439,Mediaroom,4
p552,Speakers440,Mediaroom,4
p553,Speakers441,Mediaroom,4
p554,Speakers442,Mediaroom,4
p555,Speakers443,Mediaroom,4
p556,Speakers444,Mediaroom,4
p557,Speakers445,Mediaroom,4
p558,Speakers446,Mediaroom,4
p559,Speakers447,Mediaroom,4
p560,Speakers448,Mediaroom,4
p561,Speakers449,Mediaroom,4
p562,Speakers450,Mediaroom,4
p563,Speakers451,Mediaroom,4
p564,Speakers452,Mediaroom,4
p565,Speakers453,Mediaroom,4
p566,Speakers454,Mediaroom,4
p567,Speakers455,Mediaroom,4
p568,Speakers456,Mediaroom,4
p569,Speakers457,Mediaroom,4
p570,Speakers458,Mediaroom,4
p571,Speakers459,Mediaroom,4
p572,Speakers460,Mediaroom,4
p573,Speakers461,Mediaroom,4
p574,Speakers462,Mediaroom,4
p575,Speakers463,Mediaroom,4
p576,Speakers464,Mediaroom,4
p577,Speakers465,Mediaroom,4
p578,Speakers466,Mediaroom,4
p579,Speakers467,Mediaroom,4
p580,Speakers468,Mediaroom,4
p581,Speakers469,Mediaroom,4
p582,Speakers470,Mediaroom,4
p583,Speakers471,Mediaroom,4
p584,Speakers472,Mediaroom,4
p585,Speakers473,Mediaroom,4
p586,Speakers474,Mediaroom,4
p587,Speakers475,Mediaroom,4
p588,Speakers476,Mediaroom,4
p589,Speakers477,Mediaroom,4
p590,Speakers478,Mediaroom,4
p591,Speakers479,Mediaroom,4
p592,Speakers480,Mediaroom,4
p593,Speakers481,Mediaroom,4
p594,Speakers482,Mediaroom,4
p595,Speakers483,Mediaroom,4
p596,Speakers484,Mediaroom,4
p597,Speakers485,Mediaroom,4
p598,Speakers486,Mediaroom,4
p599,Speakers487,Mediaroom,4
p600,Speakers488,Mediaroom,4
p601,Speakers489,Mediaroom,4
p602,Speakers490,Mediaroom,4
p603,Speakers491,Mediaroom,4
p604,Speakers492,Mediaroom,4
p605,Speakers493,Mediaroom,4
p606,Speakers494,Mediaroom,4
p607,Speakers495,Mediaroom,4
p608,Speakers496,Mediaroom,4
p609,Speakers497,Mediaroom,4
p610,Speakers498,Mediaroom,4
p611,Speakers499,Mediaroom,4
p612,Speakers500,Mediaroom,4
p613,Speakers501,Mediaroom,4
p614,Speakers502,Mediaroom,4
p615,Speakers503,Mediaroom,4
p616,Speakers504,Mediaroom,4
