rental_id,product_id,customer_id,quantity
rent001,prd002,cust0355,4
rent002,prd003,cust0758,2
rent003,prd015,cust0460,3
rent004,prd006,cust0819,4
rent005,prd009,cust0442,3
rent006,prd001,cust0474,3
rent007,prd009,cust0691,3
rent008,prd012,cust0636,3
rent009,prd003,cust0588,4
rent010,prd001,cust0709,1
rent011,prd001,cust0957,2
rent012,prd001,cust0436,3
rent013,prd008,cust0096,4
rent014,prd014,cust0581,4
rent015,prd008,cust0855,3
rent016,prd008,cust0422,4
rent017,prd001,cust0683,2
rent018,prd010,cust0314,3
rent019,prd009,cust0593,4
rent020,prd015,cust0501,1
rent021,prd003,cust0957,2
rent022,prd006,cust0061,2
rent023,prd007,cust0080,3
rent024,prd015,cust0843,1
rent025,prd002,cust0238,2
rent026,prd010,cust0427,3
rent027,prd005,cust0414,4
rent028,prd007,cust0508,2
rent029,prd005,cust0911,1
rent030,prd002,cust0586,1
rent031,prd012,cust0581,1
rent032,prd004,cust0143,2
rent033,prd006,cust0032,1
rent034,prd008,cust0015,1
rent035,prd011,cust0579,1
rent036,prd001,cust0356,2
rent037,prd015,cust0711,2
rent038,prd001,cust0801,2
rent039,prd005,cust0925,4
rent040,prd008,cust0051,1
rent041,prd015,cust0888,2
rent042,prd002,cust0118,1
rent043,prd003,cust0813,1
rent044,prd002,cust0749,1
rent045,prd003,cust0472,2
rent046,prd012,cust0982,3
rent047,prd009,cust0056,2
rent048,prd011,cust0021,4
rent049,prd014,cust0584,4
rent050,prd012,cust0221,1
rent051,prd003,cust0253,2
rent052,prd001,cust0703,3
rent053,prd013,cust0291,4
rent054,prd009,cust0395,2
rent055,prd003,cust0120,3
rent056,prd003,cust0587,3
rent057,prd002,cust0076,1
rent058,prd003,cust0053,1
rent059,prd001,cust0415,4
rent060,prd005,cust0778,2
rent061,prd008,cust0128,4
rent062,prd009,cust0924,1
rent063,prd003,cust0324,1
rent064,prd014,cust0044,2
rent065,prd006,cust0097,4
rent066,prd011,cust0646,3
rent067,prd005,cust0700,3
rent068,prd012,cust0175,1
rent069,prd012,cust0882,3
rent070,prd005,cust0051,3
rent071,prd004,cust0959,2
rent072,prd003,cust0220,2
rent073,prd013,cust0552,3
rent074,prd001,cust0767,4
rent075,prd011,cust0664,2
rent076,prd010,cust0248,2
rent077,prd015,cust0091,1
rent078,prd010,cust0276,4
rent079,prd010,cust0798,2
rent080,prd007,cust0115,2
rent081,prd012,cust0992,4
rent082,prd001,cust0838,4
rent083,prd001,cust0729,3
rent084,prd003,cust0852,2
rent085,prd012,cust0636,3
rent086,prd011,cust0142,4
rent087,prd001,cust0874,4
rent088,prd011,cust0384,1
rent089,prd010,cust0906,4
rent090,prd005,cust0607,1
rent091,prd006,cust0346,4
rent092,prd002,cust0488,4
rent093,prd014,cust0142,3
rent094,prd007,cust0658,4
rent095,prd005,cust0746,3
rent096,prd001,cust0331,2
rent097,prd014,cust0263,4
rent098,prd015,cust0243,3
rent099,prd013,cust0430,3
rent100,prd003,cust0902,2
rent101,prd015,cust0631,3
rent102,prd006,cust0744,2
rent103,prd010,cust0543,3
rent104,prd008,cust0662,4
rent105,prd013,cust0347,2
rent106,prd006,cust0625,3
rent107,prd001,cust0901,3
rent108,prd012,cust0600,3
rent109,prd007,cust0286,2
rent110,prd001,cust0154,4
rent111,prd008,cust0821,2
rent112,prd012,cust0537,1
rent113,prd002,cust0063,2
rent114,prd007,cust0107,4
rent115,prd002,cust0354,4
rent116,prd015,cust0680,1
rent117,prd003,cust0606,1
rent118,prd003,cust0979,1
rent119,prd003,cust0309,3
rent120,prd005,cust0944,4
rent121,prd003,cust0332,4
rent122,prd013,cust0495,2
rent123,prd004,cust0780,3
rent124,prd010,cust0341,2
rent125,prd006,cust0672,1
rent126,prd014,cust0271,2
rent127,prd003,cust0615,3
rent128,prd010,cust0412,2
rent129,prd008,cust0474,4
rent130,prd001,cust0681,3
rent131,prd002,cust0013,4
rent132,prd002,cust0364,1
rent133,prd009,cust0126,1
rent134,prd003,cust0174,1
rent135,prd002,cust0285,1
rent136,prd002,cust0858,1
rent137,prd003,cust0386,2
rent138,prd001,cust0404,3
rent139,prd013,cust0905,4
rent140,prd002,cust0157,2
rent141,prd015,cust0111,2
rent142,prd012,cust0126,1
rent143,prd003,cust0138,1
rent144,prd006,cust0429,1
rent145,prd014,cust0613,2
rent146,prd012,cust0586,3
rent147,prd014,cust0071,4
rent148,prd005,cust0294,3
rent149,prd009,cust0062,4
rent150,prd002,cust0379,2
rent151,prd001,cust0450,1
rent152,prd005,cust0175,4
rent153,prd013,cust0158,2
rent154,prd015,cust0402,2
rent155,prd011,cust0836,4
rent156,prd008,cust0315,2
rent157,prd010,cust0729,4
rent158,prd015,cust0871,2
rent159,prd005,cust0271,4
rent160,prd001,cust0376,1
rent161,prd010,cust0777,3
rent162,prd002,cust0934,4
rent163,prd010,cust0652,1
rent164,prd004,cust0909,2
rent165,prd004,cust0210,4
rent166,prd005,cust0753,2
rent167,prd014,cust0173,1
rent168,prd008,cust0473,3
rent169,prd008,cust0221,2
rent170,prd007,cust0854,4
rent171,prd011,cust0357,2
rent172,prd004,cust0015,4
rent173,prd003,cust0724,1
rent174,prd008,cust0061,1
rent175,prd015,cust0035,1
rent176,prd015,cust0629,3
rent177,prd011,cust0721,1
rent178,prd003,cust0157,3
rent179,prd003,cust0556,2
rent180,prd015,cust0112,3
rent181,prd010,cust0286,4
rent182,prd003,cust0099,4
rent183,prd007,cust0128,4
rent184,prd014,cust0864,2
rent185,prd010,cust0948,3
rent186,prd009,cust0393,1
rent187,prd002,cust0251,4
rent188,prd006,cust0080,4
rent189,prd010,cust0827,4
rent190,prd014,cust0468,2
rent191,prd010,cust0474,3
rent192,prd001,cust0098,2
rent193,prd015,cust0667,1
rent194,prd005,cust0949,1
rent195,prd002,cust0793,2
rent196,prd001,cust0083,4
rent197,prd009,cust0968,3
rent198,prd003,cust0041,1
rent199,prd003,cust0497,4
rent200,prd014,cust0731,4
rent201,prd001,cust0917,2
rent202,prd002,cust0413,1
rent203,prd001,cust0506,2
rent204,prd003,cust0148,2
rent205,prd013,cust0696,3
rent206,prd001,cust0044,2
rent207,prd014,cust0421,3
rent208,prd012,cust0787,3
rent209,prd009,cust0986,3
rent210,prd009,cust0239,4
rent211,prd002,cust0857,4
rent212,prd003,cust0189,4
rent213,prd011,cust0284,4
rent214,prd001,cust0381,4
rent215,prd009,cust0752,2
rent216,prd010,cust0612,2
rent217,prd001,cust0316,2
rent218,prd009,cust0302,2
rent219,prd014,cust0410,3
rent220,prd008,cust0780,3
rent221,prd004,cust0730,1
rent222,prd008,cust0218,2
rent223,prd004,cust0948,2
rent224,prd014,cust0546,1
