product_id,description,product_type,quantity_available
e8804cd7-ce7e-47c4-b169-1c2cade6d06c,hASCi pzYbv,KZIIHdk,4
637ca610-f130-4b46-847e-93771e9f8ab6,NYjfk iZSKb,MBgISDC,4
aa9ccbdc-5103-4b24-b625-dc1a464a08d2,PFtaj EikcQ,vBMXqRx,9
fb37c66f-fcaf-4ba0-b646-5fc7dc087206,VCTKH tQHNb,dHxmmNW,3
730c2988-b484-4f0b-a3db-47f74a3893a6,LplbW EEfud,RzRrnQo,2
00a0c458-2f82-4003-85ce-e92937491cc4,GuWcy ALHgz,XqJzRwv,4
776da1d7-f108-4d3d-9f2d-c9dded57e9f0,JIdGV JsEoY,lHadema,6
b81360cc-c9b8-4f3c-803c-3260143c7663,TyQfZ AeQNM,VWTQMDu,7
481f6316-ad02-4a59-a6eb-bea10d425500,RtFwQ rJWlR,QZupjmN,3
388f9a70-427a-439e-a7f4-c6811f8b20f5,TyYLe toirY,xxdVdnq,8
8f14b646-f229-4c2b-8e23-fdd723a95613,KGHZy zvbYl,uqlBfuh,0
d9e42ec6-168b-43de-b752-84d36771dfb1,GJUgw TUbVB,SrLBInd,1
983b6025-1895-4dd5-8505-4474bcbc76b7,bPfoD OMSTW,ktDkiUj,3
b54cc1c9-331e-48fd-a428-f71933bb839b,lzwRZ vIpEE,ypJdCKM,3
7b361cbd-59e6-4b8f-9c06-ca7c814affb1,GnCHz dniGn,pKkyyzB,7
a668e1f1-6ad0-45e3-9323-dc1f9443025b,EPfkY tczGi,OlmvtCP,2
a0c9e18b-6a6c-4c8d-9b03-01929cd2b07d,PhjiI PofFq,HjcnONT,3
6def89bd-83e1-438b-a0ef-867b4b3e41f9,wSXxl PbMcO,nNOIPdE,9
db07fe4a-3b2a-4bd1-a62e-cc2317a1601d,ZuKHG dwiYc,qzuwJpI,0
6dd52f50-e49f-4a94-8d2b-1118ca2f7fff,klzox rreXP,gucVqXv,2
fdd0420a-b17a-400b-a0db-d4cdce43638e,pjIpf qOEJY,MxXavwQ,1
cee1de68-710a-4364-ace3-b380623bbf04,XaJVu ZgVrJ,wSWoLlu,8
2a4d7b0e-ab06-4da8-8796-488359d3a59c,kOOOt hOUug,gZiTDpv,2
016ca9d5-6ee3-4f20-be51-19e5441d63eb,QTsFE HXSSN,IjfniwM,2
