product_id,description,product_type,quantity_available
p0,description0,product_type8,10
p1,description1,product_type6,0
p2,description2,product_type8,1
p3,description3,product_type9,1
p4,description4,product_type5,3
p5,description5,product_type6,6
p6,description6,product_type2,4
p7,description7,product_type7,9
p8,description8,product_type2,9
p9,description9,product_type4,1
p10,description10,product_type9,10
p11,description11,product_type1,8
p12,description12,product_type1,7
p13,description13,product_type6,7
p14,description14,product_type1,10
p15,description15,product_type10,6
p16,description16,product_type7,4
p17,description17,product_type1,4
p18,description18,product_type5,4
p19,description19,product_type2,6
p20,description20,product_type5,1
p21,description21,product_type8,2
p22,description22,product_type2,2
p23,description23,product_type6,0
p24,description24,product_type2,7
p25,description25,product_type4,9
p26,description26,product_type10,2
p27,description27,product_type9,9
p28,description28,product_type8,0
p29,description29,product_type10,2
p30,description30,product_type6,5
p31,description31,product_type5,6
p32,description32,product_type10,8
p33,description33,product_type5,9
p34,description34,product_type6,3
p35,description35,product_type2,7
p36,description36,product_type8,6
p37,description37,product_type8,10
p38,description38,product_type6,7
p39,description39,product_type6,2
p40,description40,product_type9,3
p41,description41,product_type2,9
p42,description42,product_type5,3
p43,description43,product_type7,5
p44,description44,product_type5,0
p45,description45,product_type8,0
p46,description46,product_type2,9
p47,description47,product_type10,10
p48,description48,product_type10,8
p49,description49,product_type3,10
p50,description50,product_type1,6
p51,description51,product_type8,3
p52,description52,product_type9,10
p53,description53,product_type2,5
p54,description54,product_type9,4
p55,description55,product_type10,9
p56,description56,product_type8,3
p57,description57,product_type5,8
p58,description58,product_type6,9
p59,description59,product_type8,5
p60,description60,product_type8,0
p61,description61,product_type5,10
p62,description62,product_type10,1
p63,description63,product_type7,0
p64,description64,product_type2,1
p65,description65,product_type8,1
p66,description66,product_type4,10
p67,description67,product_type6,8
p68,description68,product_type7,4
p69,description69,product_type5,6
p70,description70,product_type9,4
p71,description71,product_type2,4
p72,description72,product_type7,2
p73,description73,product_type3,6
p74,description74,product_type5,4
p75,description75,product_type9,3
p76,description76,product_type5,10
p77,description77,product_type6,8
p78,description78,product_type2,2
p79,description79,product_type10,10
p80,description80,product_type4,2
p81,description81,product_type5,6
p82,description82,product_type8,2
p83,description83,product_type7,2
p84,description84,product_type9,7
p85,description85,product_type2,5
p86,description86,product_type3,4
p87,description87,product_type3,5
p88,description88,product_type5,7
p89,description89,product_type4,3
p90,description90,product_type7,9
p91,description91,product_type3,7
p92,description92,product_type8,8
p93,description93,product_type8,6
p94,description94,product_type5,8
p95,description95,product_type9,6
p96,description96,product_type7,3
p97,description97,product_type7,1
p98,description98,product_type3,2
p99,description99,product_type5,3
p100,description100,product_type3,4
p101,description101,product_type1,5
p102,description102,product_type7,8
p103,description103,product_type7,5
p104,description104,product_type7,2
p105,description105,product_type9,8
p106,description106,product_type5,2
p107,description107,product_type8,4
p108,description108,product_type2,2
p109,description109,product_type4,4
p110,description110,product_type2,10
p111,description111,product_type8,0
p112,description112,product_type1,9
p113,description113,product_type5,0
p114,description114,product_type2,4
p115,description115,product_type5,10
p116,description116,product_type2,9
p117,description117,product_type1,9
p118,description118,product_type10,10
p119,description119,product_type10,9
p120,description120,product_type2,1
p121,description121,product_type8,5
p122,description122,product_type3,9
p123,description123,product_type7,7
p124,description124,product_type8,3
p125,description125,product_type4,10
p126,description126,product_type7,6
p127,description127,product_type8,7
p128,description128,product_type8,4
p129,description129,product_type3,6
p130,description130,product_type2,7
p131,description131,product_type9,7
p132,description132,product_type7,3
p133,description133,product_type3,5
p134,description134,product_type1,3
p135,description135,product_type10,8
p136,description136,product_type7,5
p137,description137,product_type5,3
p138,description138,product_type2,0
p139,description139,product_type2,8
p140,description140,product_type4,4
p141,description141,product_type4,6
p142,description142,product_type8,0
p143,description143,product_type5,1
p144,description144,product_type6,1
p145,description145,product_type3,8
p146,description146,product_type7,6
p147,description147,product_type1,9
p148,description148,product_type5,3
p149,description149,product_type4,10
p150,description150,product_type7,3
p151,description151,product_type5,9
p152,description152,product_type1,5
p153,description153,product_type6,5
p154,description154,product_type1,2
p155,description155,product_type5,9
p156,description156,product_type5,10
p157,description157,product_type3,4
p158,description158,product_type5,1
p159,description159,product_type3,0
p160,description160,product_type3,1
p161,description161,product_type1,3
p162,description162,product_type8,8
p163,description163,product_type5,7
p164,description164,product_type2,2
p165,description165,product_type10,10
p166,description166,product_type7,7
p167,description167,product_type5,0
p168,description168,product_type5,6
p169,description169,product_type7,7
p170,description170,product_type10,6
p171,description171,product_type1,10
p172,description172,product_type6,3
p173,description173,product_type7,3
p174,description174,product_type2,2
p175,description175,product_type7,0
p176,description176,product_type9,10
p177,description177,product_type4,3
p178,description178,product_type5,10
p179,description179,product_type8,3
p180,description180,product_type1,4
p181,description181,product_type7,1
p182,description182,product_type10,7
p183,description183,product_type2,4
p184,description184,product_type4,1
p185,description185,product_type10,0
p186,description186,product_type7,5
p187,description187,product_type6,8
