rental_id,customer_id,product_id
r0,c0,p0
r1,c1,p1
r2,c2,p2
r3,c3,p3
r4,c4,p4
r5,c5,p5
r6,c6,p6
r7,c7,p7
r8,c8,p8
r9,c9,p9
r10,c10,p10
r11,c11,p11
r12,c12,p12
r13,c13,p13
r14,c14,p14
r15,c15,p15
r16,c16,p16
r17,c17,p17
r18,c18,p18
r19,c19,p19
r20,c20,p20
r21,c21,p21
r22,c22,p22
r23,c23,p23
r24,c24,p24
r25,c25,p25
r26,c26,p26
r27,c27,p27
r28,c28,p28
r29,c29,p29
r30,c30,p30
r31,c31,p31
r32,c32,p32
r33,c33,p33
r34,c34,p34
r35,c35,p35
r36,c36,p36
r37,c37,p37
r38,c38,p38
r39,c39,p39
r40,c40,p40
r41,c41,p41
r42,c42,p42
r43,c43,p43
r44,c44,p44
r45,c45,p45
r46,c46,p46
r47,c47,p47
r48,c48,p48
r49,c49,p49
r50,c50,p50
r51,c51,p51
r52,c52,p52
r53,c53,p53
r54,c54,p54
r55,c55,p55
r56,c56,p56
r57,c57,p57
r58,c58,p58
r59,c59,p59
r60,c60,p60
r61,c61,p61
r62,c62,p62
r63,c63,p63
r64,c64,p64
r65,c65,p65
r66,c66,p66
r67,c67,p67
r68,c68,p68
r69,c69,p69
r70,c70,p70
r71,c71,p71
r72,c72,p72
r73,c73,p73
r74,c74,p74
r75,c75,p75
r76,c76,p76
r77,c77,p77
r78,c78,p78
r79,c79,p79
r80,c80,p80
r81,c81,p81
r82,c82,p82
r83,c83,p83
r84,c84,p84
r85,c85,p85
r86,c86,p86
r87,c87,p87
r88,c88,p88
r89,c89,p89
r90,c90,p90
r91,c91,p91
r92,c92,p92
r93,c93,p93
r94,c94,p94
r95,c95,p95
r96,c96,p96
r97,c97,p97
r98,c98,p98
r99,c99,p99
r100,c100,p100
r101,c101,p101
r102,c102,p102
r103,c103,p103
r104,c104,p104
r105,c105,p105
r106,c106,p106
r107,c107,p107
r108,c108,p108
r109,c109,p109
r110,c110,p110
r111,c111,p111
r112,c112,p112
r113,c113,p113
r114,c114,p114
r115,c115,p115
r116,c116,p116
r117,c117,p117
r118,c118,p118
r119,c119,p119
r120,c120,p120
r121,c121,p121
r122,c122,p122
r123,c123,p123
r124,c124,p124
r125,c125,p125
r126,c126,p126
r127,c127,p127
r128,c128,p128
r129,c129,p129
r130,c130,p130
r131,c131,p131
r132,c132,p132
r133,c133,p133
r134,c134,p134
r135,c135,p135
r136,c136,p136
r137,c137,p137
r138,c138,p138
r139,c139,p139
r140,c140,p140
r141,c141,p141
r142,c142,p142
r143,c143,p143
r144,c144,p144
r145,c145,p145
r146,c146,p146
r147,c147,p147
r148,c148,p148
r149,c149,p149
r150,c150,p150
r151,c151,p151
r152,c152,p152
r153,c153,p153
r154,c154,p154
r155,c155,p155
r156,c156,p156
r157,c157,p157
r158,c158,p158
r159,c159,p159
r160,c160,p160
r161,c161,p161
r162,c162,p162
r163,c163,p163
r164,c164,p164
r165,c165,p165
r166,c166,p166
r167,c167,p167
r168,c168,p168
r169,c169,p169
r170,c170,p170
r171,c171,p171
r172,c172,p172
r173,c173,p173
r174,c174,p174
r175,c175,p175
r176,c176,p176
r177,c177,p177
r178,c178,p178
r179,c179,p179
r180,c180,p180
r181,c181,p181
r182,c182,p182
r183,c183,p183
r184,c184,p184
r185,c185,p185
r186,c186,p186
r187,c187,p187
r188,c188,p188
r189,c189,p189
r190,c190,p190
r191,c191,p191
r192,c192,p192
r193,c193,p193
r194,c194,p194
r195,c195,p195
r196,c196,p196
r197,c197,p197
r198,c198,p198
r199,c199,p199
r200,c200,p200
r201,c201,p201
r202,c202,p202
r203,c203,p203
r204,c204,p204
r205,c205,p205
r206,c206,p206
r207,c207,p207
r208,c208,p208
r209,c209,p209
r210,c210,p210
r211,c211,p211
r212,c212,p212
r213,c213,p213
r214,c214,p214
r215,c215,p215
r216,c216,p216
r217,c217,p217
r218,c218,p218
r219,c219,p219
r220,c220,p220
r221,c221,p221
r222,c222,p222
r223,c223,p223
r224,c224,p224
r225,c225,p225
r226,c226,p226
r227,c227,p227
r228,c228,p228
r229,c229,p229
r230,c230,p230
r231,c231,p231
r232,c232,p232
r233,c233,p233
r234,c234,p234
r235,c235,p235
r236,c236,p236
r237,c237,p237
r238,c238,p238
r239,c239,p239
r240,c240,p240
r241,c241,p241
r242,c242,p242
r243,c243,p243
r244,c244,p244
r245,c245,p245
r246,c246,p246
r247,c247,p247
r248,c248,p248
r249,c249,p249
r250,c250,p250
r251,c251,p251
r252,c252,p252
r253,c253,p253
r254,c254,p254
r255,c255,p255
r256,c256,p256
r257,c257,p257
r258,c258,p258
r259,c259,p259
r260,c260,p260
r261,c261,p261
r262,c262,p262
r263,c263,p263
r264,c264,p264
r265,c265,p265
r266,c266,p266
r267,c267,p267
r268,c268,p268
r269,c269,p269
r270,c270,p270
r271,c271,p271
r272,c272,p272
r273,c273,p273
r274,c274,p274
