prod_id,description,prod_type,qty_avail
prod0001,"Bar stool; size: L, color: green, finish: silver",bedroom,17
prod0002,"Dining table; size: S, color: white, finish: bare",kitchen,1
prod0003,"Dresser; size: XL, color: bronze, finish: chrome",bedroom,29
prod0004,"Stool; size: M, color: purple, finish: paint",bedroom,27
prod0005,"Dining table; size: XL, color: black, finish: wood",bedroom,25
prod0006,"Coffee table; size: S, color: black, finish: platinum",bedroom,14
prod0007,"Book shelf; size: S, color: blue, finish: gold",bedroom,3
prod0008,"Desk; size: M, color: blue, finish: wood",livingroom,25
prod0009,"Coffee table; size: L, color: bronze, finish: varnish",kitchen,25
prod0010,"Sofa; size: S, color: brown, finish: chrome",livingroom,19
prod0011,"Bed frame; size: M, color: white, finish: wood",kitchen,19
prod0012,"TV stand; size: S, color: purple, finish: silver",livingroom,21
prod0013,"Book shelf; size: XL, color: red, finish: oil",bedroom,22
prod0014,"End table; size: M, color: purple, finish: platinum",kitchen,18
prod0015,"L-shaped sofa; size: XL, color: green, finish: resin",bedroom,4
prod0016,"Desk; size: L, color: blue, finish: diamonds",kitchen,1
prod0017,"Bed frame; size: M, color: brown, finish: varnish",kitchen,15
prod0018,"Bed frame; size: S, color: black, finish: silver",bedroom,9
prod0019,"Bed frame; size: XL, color: brown, finish: silver",livingroom,29
prod0020,"Coffee table; size: M, color: white, finish: diamonds",livingroom,14
prod0021,"Stool; size: XL, color: blue, finish: silver",kitchen,29
prod0022,"Bed frame; size: S, color: green, finish: chrome",livingroom,7
prod0023,"Dresser; size: XL, color: silver, finish: silver",kitchen,9
prod0024,"End table; size: XL, color: silver, finish: paint",bedroom,14
prod0025,"End table; size: L, color: white, finish: oil",kitchen,15
prod0026,"Desk; size: M, color: red, finish: resin",kitchen,5
prod0027,"Desk; size: XL, color: white, finish: wood",livingroom,10
prod0028,"Dresser; size: XL, color: gold, finish: gold",kitchen,10
prod0029,"TV stand; size: L, color: purple, finish: bare",livingroom,25
prod0030,"TV stand; size: S, color: blue, finish: gold",kitchen,10
prod0031,"Stand; size: M, color: brown, finish: paint",kitchen,29
prod0032,"Sofa; size: XL, color: black, finish: bare",kitchen,14
prod0033,"Stool; size: XL, color: white, finish: silver",bedroom,13
prod0034,"Desk; size: XL, color: silver, finish: varnish",kitchen,7
prod0035,"End table; size: S, color: black, finish: platinum",bedroom,4
prod0036,"Stool; size: XL, color: silver, finish: gold",kitchen,14
prod0037,"Bar stool; size: L, color: purple, finish: oil",kitchen,7
prod0038,"Book shelf; size: S, color: brown, finish: lacquer",livingroom,8
prod0039,"Bar stool; size: XL, color: silver, finish: lacquer",bedroom,28
prod0040,"Desk; size: M, color: white, finish: diamonds",livingroom,15
prod0041,"Bed frame; size: S, color: red, finish: silver",livingroom,25
prod0042,"Dresser; size: L, color: purple, finish: oil",kitchen,1
prod0043,"Sofa; size: L, color: silver, finish: paint",livingroom,11
prod0044,"Sofa; size: S, color: bronze, finish: platinum",livingroom,26
prod0045,"Stand; size: L, color: bronze, finish: oil",livingroom,20
prod0046,"Book shelf; size: XL, color: white, finish: silver",livingroom,3
prod0047,"Book shelf; size: S, color: black, finish: lacquer",livingroom,17
prod0048,"TV stand; size: S, color: white, finish: varnish",kitchen,11
prod0049,"Stand; size: M, color: purple, finish: paint",bedroom,22
prod0050,"Book shelf; size: XL, color: green, finish: platinum",livingroom,6
prod0051,"Coffee table; size: L, color: green, finish: silver",bedroom,12
prod0052,"Coffee table; size: XL, color: white, finish: wood",livingroom,29
prod0053,"Dresser; size: XL, color: brown, finish: paint",kitchen,1
prod0054,"L-shaped sofa; size: M, color: silver, finish: varnish",kitchen,9
prod0055,"Desk; size: XL, color: purple, finish: resin",bedroom,19
prod0056,"Stand; size: L, color: red, finish: paint",bedroom,28
prod0057,"Stand; size: L, color: black, finish: platinum",kitchen,19
prod0058,"Dining table; size: M, color: green, finish: wood",bedroom,11
prod0059,"Dining table; size: S, color: black, finish: bare",livingroom,0
prod0060,"End table; size: S, color: silver, finish: gold",bedroom,10
prod0061,"Book shelf; size: M, color: silver, finish: gold",bedroom,26
prod0062,"Dresser; size: M, color: black, finish: gold",livingroom,5
prod0063,"Stool; size: L, color: black, finish: oil",bedroom,28
prod0064,"Sofa; size: S, color: brown, finish: platinum",bedroom,28
prod0065,"Bed frame; size: XL, color: silver, finish: varnish",bedroom,10
prod0066,"Dresser; size: L, color: red, finish: resin",bedroom,20
prod0067,"Bed frame; size: S, color: red, finish: bare",kitchen,1
prod0068,"Desk; size: L, color: purple, finish: silver",bedroom,28
prod0069,"Stand; size: L, color: silver, finish: oil",livingroom,14
prod0070,"TV stand; size: L, color: blue, finish: bare",bedroom,22
prod0071,"Book shelf; size: S, color: blue, finish: paint",livingroom,2
prod0072,"Sofa; size: M, color: white, finish: wood",livingroom,0
prod0073,"L-shaped sofa; size: L, color: black, finish: silver",livingroom,2
prod0074,"TV stand; size: L, color: green, finish: varnish",bedroom,25
prod0075,"L-shaped sofa; size: M, color: blue, finish: silver",bedroom,9
prod0076,"Coffee table; size: XL, color: gold, finish: silver",livingroom,28
prod0077,"Coffee table; size: S, color: bronze, finish: paint",kitchen,25
prod0078,"Sofa; size: L, color: blue, finish: lacquer",kitchen,26
prod0079,"End table; size: S, color: white, finish: platinum",livingroom,14
prod0080,"Desk; size: M, color: black, finish: resin",kitchen,17
prod0081,"L-shaped sofa; size: M, color: brown, finish: resin",livingroom,14
prod0082,"Dining table; size: M, color: brown, finish: paint",livingroom,11
prod0083,"End table; size: XL, color: blue, finish: bare",bedroom,5
prod0084,"Stand; size: L, color: green, finish: wood",livingroom,16
prod0085,"Book shelf; size: S, color: white, finish: lacquer",bedroom,24
prod0086,"Desk; size: S, color: gold, finish: chrome",bedroom,13
prod0087,"Bar stool; size: L, color: gold, finish: bare",livingroom,3
prod0088,"L-shaped sofa; size: M, color: black, finish: resin",kitchen,4
prod0089,"Book shelf; size: M, color: green, finish: oil",bedroom,17
prod0090,"End table; size: M, color: green, finish: platinum",kitchen,5
prod0091,"Desk; size: M, color: red, finish: resin",livingroom,26
prod0092,"Bar stool; size: S, color: silver, finish: diamonds",livingroom,4
prod0093,"Sofa; size: M, color: red, finish: chrome",kitchen,21
prod0094,"Bar stool; size: XL, color: white, finish: diamonds",livingroom,18
prod0095,"Dining table; size: S, color: purple, finish: varnish",livingroom,25
prod0096,"Book shelf; size: M, color: red, finish: bare",livingroom,15
prod0097,"End table; size: L, color: brown, finish: paint",bedroom,18
prod0098,"Desk; size: L, color: blue, finish: resin",livingroom,2
prod0099,"L-shaped sofa; size: L, color: white, finish: varnish",bedroom,20
prod0100,"Sofa; size: L, color: purple, finish: diamonds",bedroom,13
prod0101,"Stand; size: XL, color: black, finish: oil",kitchen,22
prod0102,"TV stand; size: M, color: black, finish: oil",kitchen,2
prod0103,"Dining table; size: XL, color: blue, finish: diamonds",livingroom,25
prod0104,"Dining table; size: M, color: red, finish: paint",livingroom,8
prod0105,"Stool; size: L, color: green, finish: silver",bedroom,11
prod0106,"Desk; size: S, color: green, finish: varnish",livingroom,21
prod0107,"Bar stool; size: S, color: black, finish: diamonds",livingroom,11
prod0108,"Bed frame; size: S, color: purple, finish: gold",bedroom,26
prod0109,"L-shaped sofa; size: M, color: blue, finish: chrome",bedroom,14
prod0110,"L-shaped sofa; size: S, color: black, finish: lacquer",bedroom,5
prod0111,"End table; size: XL, color: gold, finish: lacquer",livingroom,23
prod0112,"Dining table; size: M, color: purple, finish: oil",bedroom,13
prod0113,"TV stand; size: M, color: blue, finish: gold",kitchen,14
prod0114,"Stand; size: L, color: bronze, finish: silver",kitchen,15
prod0115,"Coffee table; size: M, color: green, finish: gold",kitchen,25
prod0116,"Dining table; size: M, color: white, finish: bare",kitchen,1
prod0117,"Desk; size: L, color: purple, finish: gold",bedroom,19
prod0118,"Stool; size: S, color: purple, finish: diamonds",bedroom,28
prod0119,"Book shelf; size: M, color: white, finish: resin",kitchen,15
prod0120,"Desk; size: S, color: brown, finish: resin",kitchen,3
prod0121,"Dining table; size: M, color: white, finish: chrome",livingroom,15
prod0122,"Desk; size: L, color: silver, finish: varnish",kitchen,15
prod0123,"End table; size: L, color: brown, finish: silver",kitchen,17
prod0124,"End table; size: S, color: brown, finish: platinum",livingroom,3
prod0125,"TV stand; size: L, color: green, finish: oil",kitchen,2
prod0126,"Dresser; size: XL, color: red, finish: chrome",kitchen,5
prod0127,"Bar stool; size: S, color: brown, finish: wood",livingroom,0
prod0128,"Dresser; size: L, color: brown, finish: resin",bedroom,13
prod0129,"Stool; size: XL, color: red, finish: gold",livingroom,12
prod0130,"Sofa; size: M, color: red, finish: silver",kitchen,27
prod0131,"Bed frame; size: L, color: purple, finish: wood",livingroom,6
prod0132,"Desk; size: M, color: black, finish: varnish",livingroom,10
prod0133,"Bar stool; size: XL, color: bronze, finish: resin",bedroom,18
prod0134,"Stool; size: L, color: black, finish: bare",bedroom,8
prod0135,"Bed frame; size: S, color: green, finish: silver",livingroom,10
prod0136,"Sofa; size: M, color: green, finish: bare",livingroom,17
prod0137,"Book shelf; size: XL, color: purple, finish: silver",kitchen,28
prod0138,"Sofa; size: S, color: bronze, finish: paint",livingroom,25
prod0139,"Desk; size: L, color: green, finish: platinum",livingroom,24
prod0140,"L-shaped sofa; size: M, color: white, finish: lacquer",livingroom,2
prod0141,"Book shelf; size: M, color: purple, finish: paint",livingroom,25
prod0142,"Dresser; size: M, color: silver, finish: paint",bedroom,16
prod0143,"Desk; size: M, color: gold, finish: bare",kitchen,15
prod0144,"End table; size: XL, color: silver, finish: gold",bedroom,29
prod0145,"Bar stool; size: L, color: brown, finish: platinum",bedroom,5
prod0146,"Bed frame; size: L, color: gold, finish: resin",livingroom,20
prod0147,"Stool; size: L, color: gold, finish: wood",kitchen,19
prod0148,"TV stand; size: M, color: silver, finish: lacquer",kitchen,17
prod0149,"Stool; size: M, color: purple, finish: oil",bedroom,0
prod0150,"Dining table; size: S, color: bronze, finish: oil",bedroom,12
prod0151,"TV stand; size: S, color: red, finish: chrome",livingroom,5
prod0152,"Sofa; size: XL, color: white, finish: silver",livingroom,17
prod0153,"Sofa; size: M, color: red, finish: lacquer",livingroom,15
prod0154,"Dresser; size: XL, color: gold, finish: paint",livingroom,22
prod0155,"End table; size: S, color: red, finish: varnish",bedroom,21
prod0156,"TV stand; size: L, color: black, finish: bare",bedroom,25
prod0157,"Coffee table; size: S, color: bronze, finish: bare",livingroom,28
prod0158,"TV stand; size: M, color: bronze, finish: chrome",bedroom,2
prod0159,"Bed frame; size: L, color: red, finish: silver",bedroom,25
prod0160,"Stand; size: L, color: brown, finish: oil",bedroom,28
prod0161,"Dresser; size: L, color: silver, finish: gold",livingroom,9
prod0162,"Bar stool; size: XL, color: purple, finish: diamonds",bedroom,9
prod0163,"Coffee table; size: M, color: red, finish: resin",livingroom,2
prod0164,"Book shelf; size: S, color: red, finish: platinum",bedroom,14
prod0165,"Dresser; size: L, color: brown, finish: chrome",livingroom,9
prod0166,"Book shelf; size: S, color: red, finish: wood",livingroom,8
prod0167,"End table; size: M, color: green, finish: varnish",livingroom,24
