rental_id,customer_id,product_id
rnt0000,user2064,prd7290
rnt0001,user8219,prd7497
rnt0002,user5596,prd3179
rnt0003,user9593,prd7419
rnt0004,user2822,prd4049
rnt0005,user8940,prd9363
rnt0006,user8020,prd1415
rnt0007,user4775,prd5550
rnt0008,user0610,prd6817
rnt0009,user3463,prd5479
rnt0010,user3988,prd3573
rnt0011,user3619,prd0777
rnt0012,user5987,prd9018
rnt0013,user5966,prd3934
rnt0014,user9694,prd1700
rnt0015,user1621,prd5738
rnt0016,user3311,prd6828
rnt0017,user7090,prd8439
rnt0018,user4284,prd7222
rnt0019,user4771,prd5555
rnt0020,user0515,prd7513
rnt0021,user2862,prd1475
rnt0022,user5149,prd6873
rnt0023,user3806,prd1822
rnt0024,user2389,prd9616
rnt0025,user9519,prd8774
rnt0026,user1291,prd5084
rnt0027,user4179,prd7423
rnt0028,user3207,prd1679
rnt0029,user6517,prd4547
rnt0030,user2737,prd3412
rnt0031,user2175,prd1125
rnt0032,user5332,prd3716
rnt0033,user8963,prd1443
rnt0034,user2303,prd6117
rnt0035,user6838,prd3410
rnt0036,user5969,prd4297
rnt0037,user6496,prd9206
rnt0038,user1597,prd2904
rnt0039,user1345,prd2291
rnt0040,user7146,prd0641
rnt0041,user1659,prd2272
rnt0042,user7252,prd4519
rnt0043,user5104,prd7705
rnt0044,user6705,prd2047
rnt0045,user3312,prd5896
rnt0046,user2036,prd3670
rnt0047,user8396,prd7485
rnt0048,user1239,prd8055
rnt0049,user6117,prd0533
rnt0050,user4983,prd5174
rnt0051,user5816,prd8888
rnt0052,user6097,prd6291
rnt0053,user2041,prd0932
rnt0054,user8191,prd8430
rnt0055,user5860,prd1120
rnt0056,user7476,prd0659
rnt0057,user4096,prd8259
rnt0058,user3748,prd3290
rnt0059,user4788,prd2074
rnt0060,user6571,prd7037
rnt0061,user3437,prd2988
rnt0062,user3237,prd8863
rnt0063,user1817,prd3262
rnt0064,user4942,prd8720
rnt0065,user7697,prd3157
rnt0066,user6993,prd7191
rnt0067,user9109,prd9235
rnt0068,user1899,prd6104
rnt0069,user9090,prd3018
rnt0070,user7856,prd0293
rnt0071,user4025,prd9295
rnt0072,user4185,prd8190
rnt0073,user3389,prd6940
rnt0074,user9519,prd1323
rnt0075,user3900,prd2537
rnt0076,user4259,prd1759
rnt0077,user4737,prd6058
rnt0078,user0029,prd2097
rnt0079,user7353,prd1948
rnt0080,user5523,prd8582
rnt0081,user0070,prd0760
rnt0082,user2982,prd3941
rnt0083,user3322,prd8042
rnt0084,user3486,prd1548
rnt0085,user7014,prd6637
rnt0086,user1752,prd7849
rnt0087,user9495,prd4314
rnt0088,user9337,prd1133
rnt0089,user7783,prd9772
rnt0090,user5145,prd6717
rnt0091,user9935,prd3897
rnt0092,user9756,prd3932
rnt0093,user4989,prd7571
rnt0094,user8650,prd7312
rnt0095,user6076,prd2495
rnt0096,user3084,prd7202
rnt0097,user8892,prd0669
rnt0098,user0846,prd9006
rnt0099,user1541,prd2585
rnt0100,user6645,prd6034
rnt0101,user7213,prd1649
rnt0102,user8089,prd6469
rnt0103,user2752,prd8473
rnt0104,user8494,prd4773
rnt0105,user4786,prd0033
rnt0106,user7234,prd3822
rnt0107,user3548,prd0926
rnt0108,user6865,prd0123
rnt0109,user6690,prd4239
rnt0110,user0791,prd1083
rnt0111,user4395,prd5736
rnt0112,user4540,prd5375
rnt0113,user5993,prd0837
rnt0114,user4178,prd8347
rnt0115,user6540,prd5200
rnt0116,user0039,prd5036
rnt0117,user1988,prd9923
rnt0118,user3590,prd8300
rnt0119,user6197,prd1937
rnt0120,user5448,prd0094
rnt0121,user6331,prd8806
rnt0122,user6442,prd0837
rnt0123,user9463,prd8831
rnt0124,user7872,prd1298
rnt0125,user2991,prd3285
rnt0126,user2154,prd4493
rnt0127,user1603,prd9408
rnt0128,user5678,prd8385
rnt0129,user0351,prd9693
rnt0130,user6560,prd4347
rnt0131,user5852,prd2586
rnt0132,user0288,prd9959
rnt0133,user7939,prd1075
rnt0134,user1739,prd2657
rnt0135,user8951,prd0537
rnt0136,user9132,prd2551
rnt0137,user9234,prd5008
rnt0138,user2012,prd1156
rnt0139,user5721,prd2402
rnt0140,user3291,prd2258
rnt0141,user2861,prd5860
rnt0142,user1551,prd6019
rnt0143,user8296,prd7278
rnt0144,user3863,prd7517
rnt0145,user1664,prd2568
rnt0146,user2472,prd4294
rnt0147,user3020,prd8117
rnt0148,user7270,prd2214
rnt0149,user0286,prd2761
rnt0150,user5766,prd7850
rnt0151,user0684,prd5356
rnt0152,user3773,prd6217
rnt0153,user8840,prd9300
rnt0154,user4979,prd4707
rnt0155,user2885,prd8123
rnt0156,user2595,prd4989
rnt0157,user8747,prd7266
rnt0158,user9961,prd5632
rnt0159,user8412,prd3701
rnt0160,user8589,prd9091
rnt0161,user1962,prd4569
rnt0162,user3558,prd5844
rnt0163,user4096,prd3322
rnt0164,user3625,prd3900
rnt0165,user3561,prd4355
rnt0166,user3363,prd4657
rnt0167,user2047,prd3643
rnt0168,user5103,prd5203
rnt0169,user5144,prd1340
rnt0170,user6727,prd3247
rnt0171,user7393,prd6753
rnt0172,user7487,prd2466
rnt0173,user0673,prd6580
rnt0174,user2030,prd1749
rnt0175,user2738,prd9855
rnt0176,user2582,prd7898
rnt0177,user6933,prd9223
rnt0178,user7013,prd4485
rnt0179,user1970,prd1350
rnt0180,user7999,prd6927
rnt0181,user7984,prd8681
rnt0182,user7972,prd6890
rnt0183,user3558,prd2764
rnt0184,user8384,prd0060
rnt0185,user7728,prd0308
rnt0186,user3096,prd9079
rnt0187,user7442,prd0061
rnt0188,user3714,prd8206
rnt0189,user0984,prd1719
rnt0190,user2373,prd0482
rnt0191,user0825,prd4212
rnt0192,user5672,prd8359
rnt0193,user3602,prd8255
rnt0194,user2167,prd0770
rnt0195,user9805,prd3766
rnt0196,user5337,prd7457
rnt0197,user5244,prd6712
rnt0198,user0324,prd8098
rnt0199,user5180,prd1160
rnt0200,user8470,prd6550
rnt0201,user7569,prd8466
rnt0202,user9229,prd6910
rnt0203,user9155,prd0061
rnt0204,user8478,prd9493
rnt0205,user0310,prd9100
rnt0206,user7120,prd3429
rnt0207,user9491,prd4798
rnt0208,user2324,prd4816
rnt0209,user0543,prd7314
rnt0210,user4573,prd9211
rnt0211,user8398,prd0464
rnt0212,user6545,prd9608
rnt0213,user7463,prd4408
rnt0214,user8137,prd5124
rnt0215,user4483,prd2184
rnt0216,user8206,prd3830
rnt0217,user9077,prd7489
rnt0218,user8756,prd0669
rnt0219,user5575,prd0534
rnt0220,user7052,prd4170
rnt0221,user0557,prd1980
rnt0222,user9166,prd7420
rnt0223,user3131,prd0099
rnt0224,user2137,prd0691
rnt0225,user1385,prd8486
rnt0226,user5832,prd3735
rnt0227,user8405,prd5603
