EA26,Paper,25.00
UL16,Fork,20.00
ZI13,Ostrich,4.00
TC11,Microscope,91.00
XO47,Cabinet,72.00
SB46,Cat,33.00
TF79,Peacock,68.00
ZU23,Shoulder,89.00
OQ84,Board,9.00
DK14,Dog,42.00
EW93,Bank,19.00
IA55,Wolf,41.00
RC55,Train station,13.00
UG66,Pigeon,36.00
HV5,Leggings,63.00
QM39,Suitcase,67.00
LV23,Vehicle,22.00
TG24,Hammer,44.00
QX43,Boxers,53.00
FB34,Bed,35.00
OH8,Jewelry,69.00
AW94,Panther,9.00
ZK71,Shower,36.00
CU17,Swan,93.00
JA86,Sunglasses,43.00
UL82,Dress,78.00
FL58,Jersey,52.00
PT66,Herbs,92.00
VN72,Sky,96.00
VV48,Shower,37.00
UD39,Bow,72.00
QE19,Bus stop,37.00
AH92,Guava,80.00
WY47,Sand,10.00
ZK89,Hammer,64.00
