LX58,Xylophone,53.00
JO26,Library,12.00
RN10,Grains,43.00
FV41,Scissors,97.00
PL33,Paper,13.00
RY10,Desktop,47.00
NR24,Cat,67.00
ZM19,Owl,91.00
SR16,Violin,98.00
BR11,Turkey,22.00
NK34,Microscope,38.00
LF27,Sheep,32.00
KH77,Bat,81.00
KR74,Perfume,84.00
AH37,Salt,72.00
HD52,Cookware,100.00
HM33,Bakery,51.00
UO88,Airport,66.00
MT15,Hen,93.00
NW54,Desk,44.00
SL45,Village,34.00
LN14,Fork,67.00
CY78,Guava,70.00
ZN57,Train station,22.00
EL18,Arrow,54.00
IF86,Candy,23.00
TZ88,Glasses,58.00
SY84,Sandals,71.00
XP44,Sweater,45.00
IE9,Truck,14.00
BZ34,Water melon,84.00
LR68,Washing machine,30.00
BU34,Toy,3.00
HT1,Guitar,28.00
PX2,Chest,23.00
UI23,Bucket,45.00
TO71,Dog,30.00
RZ41,Airport,101.00
JS66,Spoon,29.00
YV84,Bear,40.00
VH63,Film,72.00
VM34,Cardigan,6.00
CH49,Theater,55.00
SY36,Sofa,19.00
BA86,Wolf,33.00
GM43,Cow,27.00
DS41,Gift,21.00
IW79,Newspaper,56.00
IW49,Palm,13.00
MB20,Airport,41.00
KM5,Toy,37.00
HH59,Chaise lounge,26.00
LY56,Blender,23.00
UG99,Buckles,63.00
EN27,Stove,7.00
SD77,Notebook,73.00
UA99,Pyramid,54.00
EY68,Washing machine,100.00
IT79,Saxophone,58.00
MC73,Cow,87.00
LJ86,Tiger,20.00
UR21,Pharmacy,37.00
CY52,Plane,45.00
RB72,Air Conditioner,76.00
KY80,Boat,70.00
HZ82,Sandwich,35.00
IR5,Spoon,56.00
GI54,Bookstore,71.00
FC77,Board,40.00
UN69,Desk,70.00
PD35,Sparrow,21.00
FY72,Apple,69.00
OA40,Hamburger,16.00
VD33,Flag,96.00
HY31,Juicer,94.00
JL85,Hat,20.00
GU74,Perfume,4.00
BP37,Radio,65.00
XQ100,Oil,19.00
UA51,Antlers,67.00
