product_id,description,product_type,quantity_available
prd0000,Apple,Apple,10
prd0001,Air Conditioner,Air Conditioner,10
prd0002,Airport,Airport,3
prd0003,Ambulance,Ambulance,10
prd0004,Aircraft,Aircraft,10
prd0005,Apartment,Apartment,0
prd0006,Arrow,Arrow,1
prd0007,Antlers,Antlers,3
prd0008,Apron,Apron,3
prd0009,Alligator,Alligator,0
prd0010,Armchair,Armchair,3
prd0011,Ball,Ball,0
prd0012,Bermudas,Bermudas,0
prd0013,Beans,Beans,10
prd0014,Balloon,Balloon,3
prd0015,Bear,Bear,1
prd0016,Blouse,Blouse,3
prd0017,Bed,Bed,3
prd0018,Bow,Bow,3
prd0019,Bread,Bread,10
prd0020,Board,Board,1
prd0021,Bill,Bill,10
prd0022,Boxers,Boxers,10
prd0023,Belt,Belt,10
prd0024,Buffalo,Buffalo,10
prd0025,Bird,Bird,10
prd0026,Book,Book,3
prd0027,Butter,Butter,10
prd0028,Bulb,Bulb,1
prd0029,Buckles,Buckles,1
prd0030,Bat,Bat,0
prd0031,Bank,Bank,10
prd0032,Bag,Bag,10
prd0033,Bra,Bra,0
prd0034,Boots,Boots,3
prd0035,Blazer,Blazer,1
prd0036,Bikini,Bikini,10
prd0037,Bookcase,Bookcase,1
prd0038,Bookstore,Bookstore,1
prd0039,Bus stop,Bus stop,1
prd0040,Brass,Brass,0
prd0041,Blender,Blender,0
prd0042,Bucket,Bucket,0
prd0043,Bakery,Bakery,10
prd0044,Bow,Bow,3
prd0045,Bridge,Bridge,10
prd0046,Boat,Boat,3
prd0047,Car,Car,3
prd0048,Cow,Cow,0
prd0049,Cap,Cap,3
prd0050,Cooker,Cooker,10
prd0051,Cheese,Cheese,1
prd0052,Credenza,Credenza,3
prd0053,Carpet,Carpet,1
prd0054,Crow,Crow,10
prd0055,Crest,Crest,3
prd0056,Chest,Chest,10
prd0057,Chair,Chair,0
prd0058,Candy,Candy,0
prd0059,Cabinet,Cabinet,1
prd0060,Cat,Cat,0
prd0061,Coffee,Coffee,1
prd0062,Cookware,Cookware,3
prd0063,Chaise lounge,Chaise lounge,0
prd0064,Chicken,Chicken,1
prd0065,Cravat,Cravat,1
prd0066,Cane,Cane,0
prd0067,Costume,Costume,3
prd0068,Cardigan,Cardigan,10
prd0069,Chocolate,Chocolate,0
prd0070,Crib,Crib,1
prd0071,Couch,Couch,1
prd0072,Cello,Cello,0
prd0073,Computer,Computer,3
prd0074,Canoe,Canoe,3
prd0075,Clock,Clock,1
prd0076,Dog,Dog,1
prd0077,Deer,Deer,1
prd0078,Donkey,Donkey,10
prd0079,Desk,Desk,0
prd0080,Desktop,Desktop,10
prd0081,Dress,Dress,10
prd0082,Dolphin,Dolphin,1
prd0083,Drum,Drum,0
prd0084,Dresser,Dresser,10
prd0085,Egg,Egg,3
prd0086,Elephant,Elephant,1
prd0087,Earrings,Earrings,3
prd0088,Fox,Fox,10
prd0089,Frock,Frock,0
prd0090,Frog,Frog,3
prd0091,Fan,Fan,10
prd0092,Freezer,Freezer,1
prd0093,Fish,Fish,0
prd0094,Film,Film,10
prd0095,Flag,Flag,3
prd0096,Flower,Flower,1
prd0097,Fruit,Fruit,1
prd0098,Fork,Fork,0
prd0099,Gasoline,Gasoline,0
prd0100,Grapes,Grapes,3
prd0101,Goat,Goat,10
prd0102,Gown,Gown,0
prd0103,Garlic,Garlic,1
prd0104,Ginger,Ginger,1
prd0105,Giraffe,Giraffe,0
prd0106,Guava,Guava,3
prd0107,Grains,Grains,1
prd0108,Garage,Garage,0
prd0109,Gloves,Gloves,0
prd0110,Glasses,Glasses,3
prd0111,Gift,Gift,3
prd0112,Guitar,Guitar,0
prd0113,Hamburger,Hamburger,3
prd0114,House,House,3
prd0115,Horse,Horse,1
prd0116,Hen,Hen,10
prd0117,Horn,Horn,10
prd0118,Hat,Hat,10
prd0119,Hammer,Hammer,3
prd0120,Hostel,Hostel,10
prd0121,Hospital,Hospital,3
prd0122,Hotel,Hotel,0
prd0123,Heels,Heels,3
prd0124,Herbs,Herbs,10
prd0125,Host,Host,1
prd0126,Jacket,Jacket,0
prd0127,Jersey,Jersey,1
prd0128,Jewelry,Jewelry,1
prd0129,Jumper,Jumper,1
prd0130,Juicer,Juicer,10
prd0131,Keyboard,Keyboard,10
prd0132,Kangaroo,Kangaroo,3
prd0133,Koala,Koala,3
prd0134,Knife,Knife,0
prd0135,Lemon,Lemon,1
prd0136,Lion,Lion,0
prd0137,Leggings,Leggings,10
prd0138,Laptop,Laptop,1
prd0139,Library,Library,10
prd0140,Lamb,Lamb,3
prd0141,Lighter,Lighter,1
prd0142,Luggage,Luggage,3
prd0143,Lamp,Lamp,3
prd0144,Mouse,Mouse,0
prd0145,Monkey,Monkey,0
prd0146,Mango,Mango,3
prd0147,Mobile,Mobile,10
prd0148,Milk,Milk,1
prd0149,Music,Music,3
prd0150,Mirror,Mirror,0
prd0151,Model,Model,10
prd0152,Mall,Mall,1
prd0153,Museum,Museum,3
prd0154,Market,Market,3
prd0155,Moonlight,Moonlight,10
prd0156,Medicine,Medicine,10
prd0157,Microscope,Microscope,10
prd0158,Newspaper,Newspaper,0
prd0159,Notebook,Notebook,0
prd0160,Noodles,Noodles,10
prd0161,Necklace,Necklace,3
prd0162,Ostrich,Ostrich,10
