product_id,description,product_type,quantity_available
prd0000,Apple,Apple,3
prd0001,Air Conditioner,Air Conditioner,1
prd0002,Airport,Airport,3
prd0003,Ambulance,Ambulance,0
prd0004,Aircraft,Aircraft,0
prd0005,Apartment,Apartment,3
prd0006,Arrow,Arrow,3
prd0007,Antlers,Antlers,10
prd0008,Apron,Apron,10
prd0009,Alligator,Alligator,3
prd0010,Armchair,Armchair,0
prd0011,Ball,Ball,1
prd0012,Bermudas,Bermudas,10
prd0013,Beans,Beans,1
prd0014,Balloon,Balloon,3
prd0015,Bear,Bear,10
prd0016,Blouse,Blouse,1
prd0017,Bed,Bed,10
prd0018,Bow,Bow,10
prd0019,Bread,Bread,0
prd0020,Board,Board,10
prd0021,Bill,Bill,1
prd0022,Boxers,Boxers,1
prd0023,Belt,Belt,1
prd0024,Buffalo,Buffalo,3
prd0025,Bird,Bird,1
prd0026,Book,Book,3
prd0027,Butter,Butter,0
prd0028,Bulb,Bulb,10
prd0029,Buckles,Buckles,0
prd0030,Bat,Bat,10
prd0031,Bank,Bank,1
prd0032,Bag,Bag,0
prd0033,Bra,Bra,10
prd0034,Boots,Boots,10
prd0035,Blazer,Blazer,10
prd0036,Bikini,Bikini,0
prd0037,Bookcase,Bookcase,1
prd0038,Bookstore,Bookstore,1
prd0039,Bus stop,Bus stop,1
prd0040,Brass,Brass,10
prd0041,Blender,Blender,0
prd0042,Bucket,Bucket,10
prd0043,Bakery,Bakery,0
prd0044,Bow,Bow,0
prd0045,Bridge,Bridge,10
prd0046,Boat,Boat,0
prd0047,Car,Car,3
prd0048,Cow,Cow,3
prd0049,Cap,Cap,3
prd0050,Cooker,Cooker,1
prd0051,Cheese,Cheese,3
prd0052,Credenza,Credenza,3
prd0053,Carpet,Carpet,3
prd0054,Crow,Crow,10
prd0055,Crest,Crest,0
prd0056,Chest,Chest,1
prd0057,Chair,Chair,10
prd0058,Candy,Candy,0
prd0059,Cabinet,Cabinet,1
prd0060,Cat,Cat,0
prd0061,Coffee,Coffee,0
prd0062,Cookware,Cookware,0
prd0063,Chaise lounge,Chaise lounge,0
prd0064,Chicken,Chicken,0
prd0065,Cravat,Cravat,3
prd0066,Cane,Cane,10
prd0067,Costume,Costume,3
prd0068,Cardigan,Cardigan,0
prd0069,Chocolate,Chocolate,1
prd0070,Crib,Crib,3
prd0071,Couch,Couch,10
prd0072,Cello,Cello,1
prd0073,Computer,Computer,0
prd0074,Canoe,Canoe,3
prd0075,Clock,Clock,1
prd0076,Dog,Dog,1
prd0077,Deer,Deer,0
prd0078,Donkey,Donkey,3
prd0079,Desk,Desk,10
prd0080,Desktop,Desktop,3
prd0081,Dress,Dress,3
prd0082,Dolphin,Dolphin,3
prd0083,Drum,Drum,3
prd0084,Dresser,Dresser,1
prd0085,Egg,Egg,3
prd0086,Elephant,Elephant,0
prd0087,Earrings,Earrings,3
prd0088,Fox,Fox,3
prd0089,Frock,Frock,3
prd0090,Frog,Frog,3
prd0091,Fan,Fan,10
prd0092,Freezer,Freezer,0
prd0093,Fish,Fish,10
prd0094,Film,Film,10
prd0095,Flag,Flag,1
prd0096,Flower,Flower,3
prd0097,Fruit,Fruit,0
prd0098,Fork,Fork,10
prd0099,Gasoline,Gasoline,1
prd0100,Grapes,Grapes,0
prd0101,Goat,Goat,3
prd0102,Gown,Gown,1
prd0103,Garlic,Garlic,1
prd0104,Ginger,Ginger,1
prd0105,Giraffe,Giraffe,1
prd0106,Guava,Guava,1
prd0107,Grains,Grains,1
prd0108,Garage,Garage,10
prd0109,Gloves,Gloves,1
prd0110,Glasses,Glasses,10
prd0111,Gift,Gift,1
prd0112,Guitar,Guitar,3
prd0113,Hamburger,Hamburger,1
prd0114,House,House,0
prd0115,Horse,Horse,1
prd0116,Hen,Hen,0
