product_id,description,product_type,quantity_available
prd0000,Apple,Apple,1
prd0001,Air Conditioner,Air Conditioner,3
prd0002,Airport,Airport,10
prd0003,Ambulance,Ambulance,10
prd0004,Aircraft,Aircraft,1
prd0005,Apartment,Apartment,10
prd0006,Arrow,Arrow,10
prd0007,Antlers,Antlers,10
prd0008,Apron,Apron,0
prd0009,Alligator,Alligator,3
prd0010,Armchair,Armchair,10
prd0011,Ball,Ball,0
prd0012,Bermudas,Bermudas,0
prd0013,Beans,Beans,1
prd0014,Balloon,Balloon,1
prd0015,Bear,Bear,10
prd0016,Blouse,Blouse,1
prd0017,Bed,Bed,1
prd0018,Bow,Bow,3
prd0019,Bread,Bread,0
prd0020,Board,Board,1
prd0021,Bill,Bill,1
prd0022,Boxers,Boxers,10
prd0023,Belt,Belt,1
prd0024,Buffalo,Buffalo,3
prd0025,Bird,Bird,1
prd0026,Book,Book,1
prd0027,Butter,Butter,3
prd0028,Bulb,Bulb,0
prd0029,Buckles,Buckles,10
prd0030,Bat,Bat,10
prd0031,Bank,Bank,3
prd0032,Bag,Bag,0
prd0033,Bra,Bra,0
prd0034,Boots,Boots,0
prd0035,Blazer,Blazer,10
prd0036,Bikini,Bikini,3
prd0037,Bookcase,Bookcase,0
prd0038,Bookstore,Bookstore,3
prd0039,Bus stop,Bus stop,0
prd0040,Brass,Brass,0
prd0041,Blender,Blender,1
prd0042,Bucket,Bucket,1
prd0043,Bakery,Bakery,1
prd0044,Bow,Bow,0
prd0045,Bridge,Bridge,10
prd0046,Boat,Boat,3
prd0047,Car,Car,10
prd0048,Cow,Cow,10
prd0049,Cap,Cap,0
prd0050,Cooker,Cooker,3
prd0051,Cheese,Cheese,1
prd0052,Credenza,Credenza,1
prd0053,Carpet,Carpet,3
prd0054,Crow,Crow,3
prd0055,Crest,Crest,10
prd0056,Chest,Chest,10
prd0057,Chair,Chair,0
prd0058,Candy,Candy,3
prd0059,Cabinet,Cabinet,1
prd0060,Cat,Cat,1
prd0061,Coffee,Coffee,3
prd0062,Cookware,Cookware,1
prd0063,Chaise lounge,Chaise lounge,1
prd0064,Chicken,Chicken,1
prd0065,Cravat,Cravat,0
prd0066,Cane,Cane,3
prd0067,Costume,Costume,0
prd0068,Cardigan,Cardigan,0
prd0069,Chocolate,Chocolate,3
prd0070,Crib,Crib,10
prd0071,Couch,Couch,1
prd0072,Cello,Cello,0
prd0073,Computer,Computer,0
prd0074,Canoe,Canoe,10
prd0075,Clock,Clock,3
prd0076,Dog,Dog,10
prd0077,Deer,Deer,0
prd0078,Donkey,Donkey,10
prd0079,Desk,Desk,10
prd0080,Desktop,Desktop,1
prd0081,Dress,Dress,3
prd0082,Dolphin,Dolphin,10
prd0083,Drum,Drum,10
prd0084,Dresser,Dresser,10
prd0085,Egg,Egg,0
prd0086,Elephant,Elephant,0
prd0087,Earrings,Earrings,1
prd0088,Fox,Fox,1
prd0089,Frock,Frock,1
prd0090,Frog,Frog,1
prd0091,Fan,Fan,0
prd0092,Freezer,Freezer,1
prd0093,Fish,Fish,0
prd0094,Film,Film,3
prd0095,Flag,Flag,0
prd0096,Flower,Flower,0
prd0097,Fruit,Fruit,10
prd0098,Fork,Fork,1
prd0099,Gasoline,Gasoline,10
prd0100,Grapes,Grapes,1
prd0101,Goat,Goat,10
prd0102,Gown,Gown,3
prd0103,Garlic,Garlic,1
prd0104,Ginger,Ginger,1
prd0105,Giraffe,Giraffe,10
prd0106,Guava,Guava,1
prd0107,Grains,Grains,0
prd0108,Garage,Garage,3
prd0109,Gloves,Gloves,10
prd0110,Glasses,Glasses,1
prd0111,Gift,Gift,3
prd0112,Guitar,Guitar,0
prd0113,Hamburger,Hamburger,3
prd0114,House,House,10
prd0115,Horse,Horse,1
prd0116,Hen,Hen,10
prd0117,Horn,Horn,3
prd0118,Hat,Hat,0
prd0119,Hammer,Hammer,0
prd0120,Hostel,Hostel,3
prd0121,Hospital,Hospital,1
prd0122,Hotel,Hotel,0
prd0123,Heels,Heels,1
prd0124,Herbs,Herbs,3
prd0125,Host,Host,10
prd0126,Jacket,Jacket,3
prd0127,Jersey,Jersey,0
prd0128,Jewelry,Jewelry,3
prd0129,Jumper,Jumper,1
prd0130,Juicer,Juicer,10
prd0131,Keyboard,Keyboard,10
prd0132,Kangaroo,Kangaroo,0
prd0133,Koala,Koala,3
prd0134,Knife,Knife,10
prd0135,Lemon,Lemon,1
prd0136,Lion,Lion,10
prd0137,Leggings,Leggings,1
prd0138,Laptop,Laptop,0
prd0139,Library,Library,10
prd0140,Lamb,Lamb,3
prd0141,Lighter,Lighter,10
prd0142,Luggage,Luggage,3
prd0143,Lamp,Lamp,3
prd0144,Mouse,Mouse,10
prd0145,Monkey,Monkey,10
prd0146,Mango,Mango,10
prd0147,Mobile,Mobile,3
prd0148,Milk,Milk,3
prd0149,Music,Music,10
prd0150,Mirror,Mirror,1
prd0151,Model,Model,1
prd0152,Mall,Mall,3
prd0153,Museum,Museum,0
prd0154,Market,Market,3
prd0155,Moonlight,Moonlight,10
prd0156,Medicine,Medicine,10
prd0157,Microscope,Microscope,0
prd0158,Newspaper,Newspaper,10
prd0159,Notebook,Notebook,0
prd0160,Noodles,Noodles,10
prd0161,Necklace,Necklace,10
prd0162,Ostrich,Ostrich,0
prd0163,Oil,Oil,0
prd0164,Orange,Orange,10
prd0165,Onion,Onion,10
prd0166,Oven,Oven,0
prd0167,Owl,Owl,1
prd0168,Paper,Paper,0
prd0169,Panda,Panda,0
prd0170,Pants,Pants,10
prd0171,Palm,Palm,1
prd0172,Pasta,Pasta,0
prd0173,Pumpkin,Pumpkin,1
prd0174,Potato,Potato,0
prd0175,Panther,Panther,10
prd0176,Pad,Pad,0
prd0177,Pencil,Pencil,10
prd0178,Pipe,Pipe,3
prd0179,Pen,Pen,1
prd0180,Perfume,Perfume,10
prd0181,Pharmacy,Pharmacy,10
prd0182,Parrot,Parrot,3
prd0183,Plane,Plane,3
prd0184,Pigeon,Pigeon,1
prd0185,Phone,Phone,3
prd0186,Peacock,Peacock,3
prd0187,Pencil,Pencil,10
prd0188,Pig,Pig,10
prd0189,Pouch,Pouch,0
prd0190,Pagoda,Pagoda,10
prd0191,Pyramid,Pyramid,3
prd0192,Purse,Purse,3
prd0193,Pancake,Pancake,0
prd0194,Popcorn,Popcorn,0
prd0195,Piano,Piano,3
prd0196,Park,Park,1
prd0197,Plant,Plant,1
prd0198,Radio,Radio,10
prd0199,Razor,Razor,0
prd0200,Rainbow,Rainbow,10
prd0201,Ring,Ring,10
prd0202,Rabbit,Rabbit,10
prd0203,Rice,Rice,3
prd0204,Refrigerator,Refrigerator,10
prd0205,Remote Control,Remote Control,1
prd0206,Scale,Scale,0
prd0207,Shampoo,Shampoo,1
prd0208,Sink,Sink,3
prd0209,Salt,Salt,3
prd0210,Shark,Shark,0
prd0211,Sandals,Sandals,10
prd0212,Shoulder,Shoulder,3
prd0213,Spoon,Spoon,0
prd0214,Soap,Soap,1
prd0215,Sand,Sand,3
prd0216,Sheep,Sheep,1
prd0217,Stairs,Stairs,3
prd0218,Soup,Soup,1
prd0219,Shoes,Shoes,0
prd0220,Scissors,Scissors,10
prd0221,Sparrow,Sparrow,0
prd0222,Shirt,Shirt,3
prd0223,Suitcase,Suitcase,3
prd0224,Stove,Stove,3
prd0225,Stairs,Stairs,3
prd0226,Snowman,Snowman,10
prd0227,Shower,Shower,3
prd0228,Swan,Swan,3
prd0229,Suit,Suit,10
prd0230,Sweater,Sweater,10
prd0231,Smoke,Smoke,1
prd0232,Skirt,Skirt,3
prd0233,Sofa,Sofa,3
prd0234,Socks,Socks,3
prd0235,Sunglasses,Sunglasses,10
prd0236,Sandals,Sandals,1
prd0237,Slippers,Slippers,1
prd0238,Shorts,Shorts,3
prd0239,Sandwich,Sandwich,1
prd0240,Strawberry,Strawberry,3
prd0241,Spaghetti,Spaghetti,3
prd0242,Shrimp,Shrimp,3
prd0243,Saxophone,Saxophone,1
prd0244,Street,Street,3
prd0245,Supermarket,Supermarket,0
prd0246,Swimming pool,Swimming pool,0
prd0247,Star,Star,1
prd0248,Sky,Sky,3
prd0249,Sun,Sun,3
prd0250,Spoon,Spoon,0
prd0251,Ship,Ship,3
prd0252,Table,Table,0
prd0253,Turkey,Turkey,10
prd0254,Tie,Tie,10
prd0255,Truck,Truck,0
prd0256,Train,Train,3
prd0257,Taxi,Taxi,10
prd0258,Tiger,Tiger,10
prd0259,Trousers,Trousers,1
prd0260,Television,Television,1
prd0261,Teacher,Teacher,0
prd0262,Turtle,Turtle,0
prd0263,Tablet,Tablet,10
prd0264,Train station,Train station,10
prd0265,Toothpaste,Toothpaste,3
prd0266,Theater,Theater,10
prd0267,Trench coat,Trench coat,10
prd0268,Tea,Tea,1
prd0269,Tomato,Tomato,10
prd0270,Tunnel,Tunnel,3
prd0271,Temple,Temple,10
prd0272,Town,Town,0
prd0273,Toothbrush,Toothbrush,10
prd0274,Tree,Tree,0
prd0275,Toy,Toy,3
prd0276,Tissue,Tissue,1
prd0277,Telephone,Telephone,1
prd0278,Underwear,Underwear,1
prd0279,Umbrella,Umbrella,1
prd0280,Vest,Vest,10
prd0281,Villa,Villa,3
prd0282,Violin,Violin,1
prd0283,Village,Village,10
prd0284,Vehicle,Vehicle,10
prd0285,Vase,Vase,3
prd0286,Wallet,Wallet,3
prd0287,Wolf,Wolf,0
prd0288,Water melon,Water melon,3
prd0289,Whale,Whale,3
prd0290,Water,Water,3
prd0291,Watch,Watch,3
prd0292,Washing machine,Washing machine,1
prd0293,Wheelchair,Wheelchair,0
prd0294,Xylophone,Xylophone,3
prd0295,Zebra,Zebra,1
prd0296,Apple,Apple,1
prd0297,Air Conditioner,Air Conditioner,1
prd0298,Airport,Airport,3
prd0299,Ambulance,Ambulance,3
prd0300,Aircraft,Aircraft,10
prd0301,Apartment,Apartment,3
prd0302,Arrow,Arrow,1
prd0303,Antlers,Antlers,3
prd0304,Apron,Apron,10
prd0305,Alligator,Alligator,0
prd0306,Armchair,Armchair,3
prd0307,Ball,Ball,3
prd0308,Bermudas,Bermudas,10
prd0309,Beans,Beans,3
prd0310,Balloon,Balloon,10
prd0311,Bear,Bear,3
prd0312,Blouse,Blouse,1
prd0313,Bed,Bed,10
prd0314,Bow,Bow,1
prd0315,Bread,Bread,10
prd0316,Board,Board,0
prd0317,Bill,Bill,0
prd0318,Boxers,Boxers,10
prd0319,Belt,Belt,10
prd0320,Buffalo,Buffalo,0
prd0321,Bird,Bird,10
prd0322,Book,Book,1
prd0323,Butter,Butter,1
prd0324,Bulb,Bulb,10
prd0325,Buckles,Buckles,0
prd0326,Bat,Bat,10
prd0327,Bank,Bank,10
prd0328,Bag,Bag,0
prd0329,Bra,Bra,1
prd0330,Boots,Boots,3
prd0331,Blazer,Blazer,0
prd0332,Bikini,Bikini,3
prd0333,Bookcase,Bookcase,0
prd0334,Bookstore,Bookstore,0
prd0335,Bus stop,Bus stop,10
prd0336,Brass,Brass,10
prd0337,Blender,Blender,1
prd0338,Bucket,Bucket,1
prd0339,Bakery,Bakery,10
prd0340,Bow,Bow,3
prd0341,Bridge,Bridge,3
prd0342,Boat,Boat,3
prd0343,Car,Car,0
prd0344,Cow,Cow,10
prd0345,Cap,Cap,3
prd0346,Cooker,Cooker,0
prd0347,Cheese,Cheese,3
prd0348,Credenza,Credenza,1
prd0349,Carpet,Carpet,3
prd0350,Crow,Crow,10
prd0351,Crest,Crest,10
prd0352,Chest,Chest,3
prd0353,Chair,Chair,0
prd0354,Candy,Candy,3
prd0355,Cabinet,Cabinet,10
prd0356,Cat,Cat,1
prd0357,Coffee,Coffee,0
prd0358,Cookware,Cookware,1
prd0359,Chaise lounge,Chaise lounge,10
prd0360,Chicken,Chicken,3
prd0361,Cravat,Cravat,1
prd0362,Cane,Cane,3
prd0363,Costume,Costume,10
prd0364,Cardigan,Cardigan,0
prd0365,Chocolate,Chocolate,0
prd0366,Crib,Crib,3
prd0367,Couch,Couch,10
prd0368,Cello,Cello,1
prd0369,Computer,Computer,0
prd0370,Canoe,Canoe,3
prd0371,Clock,Clock,1
prd0372,Dog,Dog,1
prd0373,Deer,Deer,10
prd0374,Donkey,Donkey,0
prd0375,Desk,Desk,3
prd0376,Desktop,Desktop,0
prd0377,Dress,Dress,0
prd0378,Dolphin,Dolphin,3
prd0379,Drum,Drum,3
prd0380,Dresser,Dresser,3
prd0381,Egg,Egg,10
prd0382,Elephant,Elephant,0
prd0383,Earrings,Earrings,10
prd0384,Fox,Fox,3
prd0385,Frock,Frock,10
prd0386,Frog,Frog,10
prd0387,Fan,Fan,10
prd0388,Freezer,Freezer,0
prd0389,Fish,Fish,1
prd0390,Film,Film,3
prd0391,Flag,Flag,1
prd0392,Flower,Flower,0
prd0393,Fruit,Fruit,3
prd0394,Fork,Fork,3
prd0395,Gasoline,Gasoline,3
prd0396,Grapes,Grapes,10
prd0397,Goat,Goat,1
prd0398,Gown,Gown,10
prd0399,Garlic,Garlic,10
prd0400,Ginger,Ginger,1
prd0401,Giraffe,Giraffe,10
prd0402,Guava,Guava,0
prd0403,Grains,Grains,0
prd0404,Garage,Garage,3
prd0405,Gloves,Gloves,1
prd0406,Glasses,Glasses,3
prd0407,Gift,Gift,10
prd0408,Guitar,Guitar,3
prd0409,Hamburger,Hamburger,10
prd0410,House,House,0
prd0411,Horse,Horse,3
prd0412,Hen,Hen,1
prd0413,Horn,Horn,3
prd0414,Hat,Hat,1
prd0415,Hammer,Hammer,0
prd0416,Hostel,Hostel,0
prd0417,Hospital,Hospital,3
prd0418,Hotel,Hotel,10
prd0419,Heels,Heels,0
prd0420,Herbs,Herbs,10
prd0421,Host,Host,10
prd0422,Jacket,Jacket,3
prd0423,Jersey,Jersey,3
prd0424,Jewelry,Jewelry,10
prd0425,Jumper,Jumper,0
prd0426,Juicer,Juicer,0
prd0427,Keyboard,Keyboard,3
prd0428,Kangaroo,Kangaroo,0
prd0429,Koala,Koala,3
prd0430,Knife,Knife,0
prd0431,Lemon,Lemon,0
prd0432,Lion,Lion,10
prd0433,Leggings,Leggings,0
prd0434,Laptop,Laptop,1
prd0435,Library,Library,1
prd0436,Lamb,Lamb,1
prd0437,Lighter,Lighter,1
prd0438,Luggage,Luggage,1
prd0439,Lamp,Lamp,0
prd0440,Mouse,Mouse,0
prd0441,Monkey,Monkey,10
prd0442,Mango,Mango,10
prd0443,Mobile,Mobile,0
prd0444,Milk,Milk,3
prd0445,Music,Music,10
prd0446,Mirror,Mirror,0
prd0447,Model,Model,0
prd0448,Mall,Mall,1
prd0449,Museum,Museum,10
prd0450,Market,Market,10
prd0451,Moonlight,Moonlight,1
prd0452,Medicine,Medicine,10
prd0453,Microscope,Microscope,3
prd0454,Newspaper,Newspaper,0
prd0455,Notebook,Notebook,0
prd0456,Noodles,Noodles,3
prd0457,Necklace,Necklace,10
prd0458,Ostrich,Ostrich,1
prd0459,Oil,Oil,3
prd0460,Orange,Orange,0
prd0461,Onion,Onion,1
prd0462,Oven,Oven,3
prd0463,Owl,Owl,0
prd0464,Paper,Paper,1
prd0465,Panda,Panda,0
prd0466,Pants,Pants,3
prd0467,Palm,Palm,3
prd0468,Pasta,Pasta,0
prd0469,Pumpkin,Pumpkin,1
prd0470,Potato,Potato,0
prd0471,Panther,Panther,0
prd0472,Pad,Pad,1
prd0473,Pencil,Pencil,10
prd0474,Pipe,Pipe,1
prd0475,Pen,Pen,3
prd0476,Perfume,Perfume,0
prd0477,Pharmacy,Pharmacy,1
prd0478,Parrot,Parrot,3
prd0479,Plane,Plane,3
prd0480,Pigeon,Pigeon,0
prd0481,Phone,Phone,10
prd0482,Peacock,Peacock,0
prd0483,Pencil,Pencil,10
prd0484,Pig,Pig,10
prd0485,Pouch,Pouch,0
prd0486,Pagoda,Pagoda,1
prd0487,Pyramid,Pyramid,10
prd0488,Purse,Purse,10
prd0489,Pancake,Pancake,1
prd0490,Popcorn,Popcorn,1
prd0491,Piano,Piano,3
prd0492,Park,Park,3
prd0493,Plant,Plant,3
prd0494,Radio,Radio,1
prd0495,Razor,Razor,10
prd0496,Rainbow,Rainbow,10
prd0497,Ring,Ring,10
prd0498,Rabbit,Rabbit,3
prd0499,Rice,Rice,10
prd0500,Refrigerator,Refrigerator,10
prd0501,Remote Control,Remote Control,1
prd0502,Scale,Scale,0
prd0503,Shampoo,Shampoo,0
prd0504,Sink,Sink,1
prd0505,Salt,Salt,1
prd0506,Shark,Shark,1
prd0507,Sandals,Sandals,3
prd0508,Shoulder,Shoulder,10
prd0509,Spoon,Spoon,3
prd0510,Soap,Soap,3
prd0511,Sand,Sand,3
prd0512,Sheep,Sheep,10
prd0513,Stairs,Stairs,0
prd0514,Soup,Soup,3
prd0515,Shoes,Shoes,1
prd0516,Scissors,Scissors,1
prd0517,Sparrow,Sparrow,1
prd0518,Shirt,Shirt,3
prd0519,Suitcase,Suitcase,10
prd0520,Stove,Stove,1
prd0521,Stairs,Stairs,1
prd0522,Snowman,Snowman,10
prd0523,Shower,Shower,0
prd0524,Swan,Swan,0
prd0525,Suit,Suit,3
prd0526,Sweater,Sweater,0
prd0527,Smoke,Smoke,0
prd0528,Skirt,Skirt,0
prd0529,Sofa,Sofa,0
prd0530,Socks,Socks,0
prd0531,Sunglasses,Sunglasses,10
prd0532,Sandals,Sandals,1
prd0533,Slippers,Slippers,1
prd0534,Shorts,Shorts,1
prd0535,Sandwich,Sandwich,1
prd0536,Strawberry,Strawberry,3
prd0537,Spaghetti,Spaghetti,1
prd0538,Shrimp,Shrimp,10
prd0539,Saxophone,Saxophone,1
prd0540,Street,Street,10
prd0541,Supermarket,Supermarket,0
prd0542,Swimming pool,Swimming pool,0
prd0543,Star,Star,0
