product_id,description,product_type,quantity_available
prd0000,Apple,Apple,0
prd0001,Air Conditioner,Air Conditioner,10
prd0002,Airport,Airport,1
prd0003,Ambulance,Ambulance,0
prd0004,Aircraft,Aircraft,10
prd0005,Apartment,Apartment,1
prd0006,Arrow,Arrow,1
prd0007,Antlers,Antlers,0
prd0008,Apron,Apron,0
prd0009,Alligator,Alligator,0
prd0010,Armchair,Armchair,10
prd0011,Ball,Ball,3
prd0012,Bermudas,Bermudas,10
prd0013,Beans,Beans,10
prd0014,Balloon,Balloon,10
prd0015,Bear,Bear,10
prd0016,Blouse,Blouse,1
prd0017,Bed,Bed,1
prd0018,Bow,Bow,1
prd0019,Bread,Bread,0
prd0020,Board,Board,10
prd0021,Bill,Bill,0
prd0022,Boxers,Boxers,0
prd0023,Belt,Belt,3
prd0024,Buffalo,Buffalo,1
prd0025,Bird,Bird,10
prd0026,Book,Book,3
prd0027,Butter,Butter,3
prd0028,Bulb,Bulb,10
prd0029,Buckles,Buckles,10
prd0030,Bat,Bat,1
prd0031,Bank,Bank,3
prd0032,Bag,Bag,1
prd0033,Bra,Bra,1
prd0034,Boots,Boots,3
prd0035,Blazer,Blazer,10
prd0036,Bikini,Bikini,1
prd0037,Bookcase,Bookcase,0
prd0038,Bookstore,Bookstore,10
prd0039,Bus stop,Bus stop,3
prd0040,Brass,Brass,0
prd0041,Blender,Blender,3
prd0042,Bucket,Bucket,1
prd0043,Bakery,Bakery,1
prd0044,Bow,Bow,3
prd0045,Bridge,Bridge,0
prd0046,Boat,Boat,3
prd0047,Car,Car,0
prd0048,Cow,Cow,10
prd0049,Cap,Cap,1
prd0050,Cooker,Cooker,1
prd0051,Cheese,Cheese,10
prd0052,Credenza,Credenza,10
prd0053,Carpet,Carpet,0
prd0054,Crow,Crow,10
prd0055,Crest,Crest,0
prd0056,Chest,Chest,0
prd0057,Chair,Chair,3
prd0058,Candy,Candy,10
prd0059,Cabinet,Cabinet,1
prd0060,Cat,Cat,0
prd0061,Coffee,Coffee,1
prd0062,Cookware,Cookware,3
prd0063,Chaise lounge,Chaise lounge,1
prd0064,Chicken,Chicken,3
prd0065,Cravat,Cravat,0
prd0066,Cane,Cane,0
prd0067,Costume,Costume,1
prd0068,Cardigan,Cardigan,1
prd0069,Chocolate,Chocolate,0
prd0070,Crib,Crib,1
prd0071,Couch,Couch,10
prd0072,Cello,Cello,0
prd0073,Computer,Computer,3
prd0074,Canoe,Canoe,10
prd0075,Clock,Clock,10
prd0076,Dog,Dog,3
prd0077,Deer,Deer,0
prd0078,Donkey,Donkey,10
prd0079,Desk,Desk,1
prd0080,Desktop,Desktop,3
prd0081,Dress,Dress,3
prd0082,Dolphin,Dolphin,0
prd0083,Drum,Drum,10
prd0084,Dresser,Dresser,0
prd0085,Egg,Egg,10
prd0086,Elephant,Elephant,10
prd0087,Earrings,Earrings,0
prd0088,Fox,Fox,10
prd0089,Frock,Frock,1
prd0090,Frog,Frog,10
prd0091,Fan,Fan,1
prd0092,Freezer,Freezer,1
prd0093,Fish,Fish,10
prd0094,Film,Film,0
prd0095,Flag,Flag,1
prd0096,Flower,Flower,10
prd0097,Fruit,Fruit,0
prd0098,Fork,Fork,1
prd0099,Gasoline,Gasoline,0
prd0100,Grapes,Grapes,10
prd0101,Goat,Goat,10
prd0102,Gown,Gown,1
prd0103,Garlic,Garlic,1
prd0104,Ginger,Ginger,0
prd0105,Giraffe,Giraffe,0
prd0106,Guava,Guava,0
prd0107,Grains,Grains,1
prd0108,Garage,Garage,1
prd0109,Gloves,Gloves,0
prd0110,Glasses,Glasses,10
prd0111,Gift,Gift,10
prd0112,Guitar,Guitar,1
prd0113,Hamburger,Hamburger,10
prd0114,House,House,10
prd0115,Horse,Horse,0
prd0116,Hen,Hen,3
prd0117,Horn,Horn,3
prd0118,Hat,Hat,10
prd0119,Hammer,Hammer,0
prd0120,Hostel,Hostel,10
prd0121,Hospital,Hospital,3
prd0122,Hotel,Hotel,1
prd0123,Heels,Heels,1
prd0124,Herbs,Herbs,0
prd0125,Host,Host,3
prd0126,Jacket,Jacket,10
prd0127,Jersey,Jersey,1
prd0128,Jewelry,Jewelry,10
prd0129,Jumper,Jumper,3
prd0130,Juicer,Juicer,3
prd0131,Keyboard,Keyboard,10
prd0132,Kangaroo,Kangaroo,1
prd0133,Koala,Koala,10
prd0134,Knife,Knife,10
prd0135,Lemon,Lemon,10
prd0136,Lion,Lion,1
prd0137,Leggings,Leggings,3
prd0138,Laptop,Laptop,1
prd0139,Library,Library,0
prd0140,Lamb,Lamb,0
prd0141,Lighter,Lighter,0
prd0142,Luggage,Luggage,0
prd0143,Lamp,Lamp,10
prd0144,Mouse,Mouse,0
prd0145,Monkey,Monkey,1
prd0146,Mango,Mango,10
prd0147,Mobile,Mobile,1
prd0148,Milk,Milk,0
prd0149,Music,Music,1
prd0150,Mirror,Mirror,3
prd0151,Model,Model,1
prd0152,Mall,Mall,3
prd0153,Museum,Museum,10
prd0154,Market,Market,0
prd0155,Moonlight,Moonlight,3
prd0156,Medicine,Medicine,3
prd0157,Microscope,Microscope,10
prd0158,Newspaper,Newspaper,3
prd0159,Notebook,Notebook,3
prd0160,Noodles,Noodles,0
prd0161,Necklace,Necklace,0
prd0162,Ostrich,Ostrich,0
prd0163,Oil,Oil,1
prd0164,Orange,Orange,10
prd0165,Onion,Onion,3
prd0166,Oven,Oven,1
prd0167,Owl,Owl,0
prd0168,Paper,Paper,0
prd0169,Panda,Panda,0
prd0170,Pants,Pants,3
prd0171,Palm,Palm,1
prd0172,Pasta,Pasta,3
prd0173,Pumpkin,Pumpkin,10
prd0174,Potato,Potato,1
prd0175,Panther,Panther,3
prd0176,Pad,Pad,1
prd0177,Pencil,Pencil,3
prd0178,Pipe,Pipe,0
prd0179,Pen,Pen,10
prd0180,Perfume,Perfume,1
prd0181,Pharmacy,Pharmacy,3
prd0182,Parrot,Parrot,3
prd0183,Plane,Plane,1
prd0184,Pigeon,Pigeon,0
prd0185,Phone,Phone,10
prd0186,Peacock,Peacock,3
prd0187,Pencil,Pencil,10
prd0188,Pig,Pig,0
prd0189,Pouch,Pouch,1
prd0190,Pagoda,Pagoda,3
prd0191,Pyramid,Pyramid,10
prd0192,Purse,Purse,1
prd0193,Pancake,Pancake,1
prd0194,Popcorn,Popcorn,1
prd0195,Piano,Piano,1
prd0196,Park,Park,3
prd0197,Plant,Plant,1
prd0198,Radio,Radio,10
prd0199,Razor,Razor,1
prd0200,Rainbow,Rainbow,10
prd0201,Ring,Ring,0
prd0202,Rabbit,Rabbit,1
prd0203,Rice,Rice,0
prd0204,Refrigerator,Refrigerator,1
prd0205,Remote Control,Remote Control,0
prd0206,Scale,Scale,0
prd0207,Shampoo,Shampoo,10
prd0208,Sink,Sink,3
prd0209,Salt,Salt,1
prd0210,Shark,Shark,10
prd0211,Sandals,Sandals,1
prd0212,Shoulder,Shoulder,1
prd0213,Spoon,Spoon,0
prd0214,Soap,Soap,1
prd0215,Sand,Sand,1
prd0216,Sheep,Sheep,3
prd0217,Stairs,Stairs,3
prd0218,Soup,Soup,3
prd0219,Shoes,Shoes,10
prd0220,Scissors,Scissors,10
prd0221,Sparrow,Sparrow,3
prd0222,Shirt,Shirt,1
prd0223,Suitcase,Suitcase,10
prd0224,Stove,Stove,1
prd0225,Stairs,Stairs,0
prd0226,Snowman,Snowman,1
prd0227,Shower,Shower,0
prd0228,Swan,Swan,1
prd0229,Suit,Suit,10
prd0230,Sweater,Sweater,1
prd0231,Smoke,Smoke,10
prd0232,Skirt,Skirt,10
prd0233,Sofa,Sofa,3
prd0234,Socks,Socks,10
prd0235,Sunglasses,Sunglasses,0
prd0236,Sandals,Sandals,10
prd0237,Slippers,Slippers,1
prd0238,Shorts,Shorts,1
prd0239,Sandwich,Sandwich,1
prd0240,Strawberry,Strawberry,0
prd0241,Spaghetti,Spaghetti,1
prd0242,Shrimp,Shrimp,10
prd0243,Saxophone,Saxophone,3
prd0244,Street,Street,3
prd0245,Supermarket,Supermarket,3
prd0246,Swimming pool,Swimming pool,10
prd0247,Star,Star,1
prd0248,Sky,Sky,1
prd0249,Sun,Sun,1
prd0250,Spoon,Spoon,3
prd0251,Ship,Ship,3
prd0252,Table,Table,0
prd0253,Turkey,Turkey,10
prd0254,Tie,Tie,1
prd0255,Truck,Truck,1
prd0256,Train,Train,10
prd0257,Taxi,Taxi,1
prd0258,Tiger,Tiger,3
prd0259,Trousers,Trousers,0
prd0260,Television,Television,3
prd0261,Teacher,Teacher,10
prd0262,Turtle,Turtle,3
prd0263,Tablet,Tablet,1
prd0264,Train station,Train station,0
prd0265,Toothpaste,Toothpaste,10
prd0266,Theater,Theater,3
prd0267,Trench coat,Trench coat,3
prd0268,Tea,Tea,1
prd0269,Tomato,Tomato,3
prd0270,Tunnel,Tunnel,10
prd0271,Temple,Temple,10
prd0272,Town,Town,0
prd0273,Toothbrush,Toothbrush,3
prd0274,Tree,Tree,10
prd0275,Toy,Toy,0
prd0276,Tissue,Tissue,1
prd0277,Telephone,Telephone,3
prd0278,Underwear,Underwear,3
prd0279,Umbrella,Umbrella,1
prd0280,Vest,Vest,1
prd0281,Villa,Villa,0
prd0282,Violin,Violin,3
prd0283,Village,Village,3
prd0284,Vehicle,Vehicle,3
prd0285,Vase,Vase,0
prd0286,Wallet,Wallet,3
prd0287,Wolf,Wolf,3
prd0288,Water melon,Water melon,1
prd0289,Whale,Whale,0
prd0290,Water,Water,1
prd0291,Watch,Watch,10
prd0292,Washing machine,Washing machine,10
prd0293,Wheelchair,Wheelchair,3
prd0294,Xylophone,Xylophone,1
prd0295,Zebra,Zebra,0
prd0296,Apple,Apple,3
prd0297,Air Conditioner,Air Conditioner,3
prd0298,Airport,Airport,1
prd0299,Ambulance,Ambulance,3
prd0300,Aircraft,Aircraft,0
prd0301,Apartment,Apartment,3
prd0302,Arrow,Arrow,3
prd0303,Antlers,Antlers,10
prd0304,Apron,Apron,0
prd0305,Alligator,Alligator,0
prd0306,Armchair,Armchair,1
prd0307,Ball,Ball,10
prd0308,Bermudas,Bermudas,1
prd0309,Beans,Beans,1
prd0310,Balloon,Balloon,1
prd0311,Bear,Bear,3
prd0312,Blouse,Blouse,10
prd0313,Bed,Bed,10
prd0314,Bow,Bow,0
prd0315,Bread,Bread,3
prd0316,Board,Board,1
prd0317,Bill,Bill,10
prd0318,Boxers,Boxers,3
prd0319,Belt,Belt,10
prd0320,Buffalo,Buffalo,0
prd0321,Bird,Bird,3
prd0322,Book,Book,10
prd0323,Butter,Butter,10
prd0324,Bulb,Bulb,3
prd0325,Buckles,Buckles,3
prd0326,Bat,Bat,10
prd0327,Bank,Bank,0
prd0328,Bag,Bag,3
prd0329,Bra,Bra,0
prd0330,Boots,Boots,3
prd0331,Blazer,Blazer,0
prd0332,Bikini,Bikini,1
prd0333,Bookcase,Bookcase,3
prd0334,Bookstore,Bookstore,10
prd0335,Bus stop,Bus stop,10
prd0336,Brass,Brass,1
prd0337,Blender,Blender,3
prd0338,Bucket,Bucket,1
prd0339,Bakery,Bakery,3
prd0340,Bow,Bow,3
prd0341,Bridge,Bridge,1
prd0342,Boat,Boat,3
prd0343,Car,Car,10
prd0344,Cow,Cow,10
prd0345,Cap,Cap,3
prd0346,Cooker,Cooker,3
prd0347,Cheese,Cheese,1
prd0348,Credenza,Credenza,10
prd0349,Carpet,Carpet,0
prd0350,Crow,Crow,3
prd0351,Crest,Crest,0
prd0352,Chest,Chest,10
prd0353,Chair,Chair,0
prd0354,Candy,Candy,3
prd0355,Cabinet,Cabinet,1
prd0356,Cat,Cat,10
prd0357,Coffee,Coffee,1
prd0358,Cookware,Cookware,1
prd0359,Chaise lounge,Chaise lounge,0
prd0360,Chicken,Chicken,0
prd0361,Cravat,Cravat,10
prd0362,Cane,Cane,10
prd0363,Costume,Costume,10
prd0364,Cardigan,Cardigan,3
prd0365,Chocolate,Chocolate,0
prd0366,Crib,Crib,3
prd0367,Couch,Couch,1
prd0368,Cello,Cello,10
prd0369,Computer,Computer,1
prd0370,Canoe,Canoe,3
prd0371,Clock,Clock,10
prd0372,Dog,Dog,3
prd0373,Deer,Deer,0
prd0374,Donkey,Donkey,1
prd0375,Desk,Desk,1
prd0376,Desktop,Desktop,0
prd0377,Dress,Dress,3
prd0378,Dolphin,Dolphin,0
prd0379,Drum,Drum,1
prd0380,Dresser,Dresser,0
prd0381,Egg,Egg,0
prd0382,Elephant,Elephant,10
prd0383,Earrings,Earrings,10
prd0384,Fox,Fox,0
prd0385,Frock,Frock,10
prd0386,Frog,Frog,0
prd0387,Fan,Fan,3
prd0388,Freezer,Freezer,3
prd0389,Fish,Fish,10
prd0390,Film,Film,3
prd0391,Flag,Flag,10
prd0392,Flower,Flower,10
prd0393,Fruit,Fruit,0
prd0394,Fork,Fork,3
prd0395,Gasoline,Gasoline,0
prd0396,Grapes,Grapes,1
prd0397,Goat,Goat,10
prd0398,Gown,Gown,1
prd0399,Garlic,Garlic,1
prd0400,Ginger,Ginger,10
prd0401,Giraffe,Giraffe,3
prd0402,Guava,Guava,10
prd0403,Grains,Grains,10
prd0404,Garage,Garage,10
prd0405,Gloves,Gloves,0
prd0406,Glasses,Glasses,3
prd0407,Gift,Gift,3
prd0408,Guitar,Guitar,0
prd0409,Hamburger,Hamburger,1
prd0410,House,House,0
prd0411,Horse,Horse,10
prd0412,Hen,Hen,10
prd0413,Horn,Horn,3
prd0414,Hat,Hat,1
prd0415,Hammer,Hammer,0
prd0416,Hostel,Hostel,0
prd0417,Hospital,Hospital,1
prd0418,Hotel,Hotel,1
prd0419,Heels,Heels,1
prd0420,Herbs,Herbs,1
prd0421,Host,Host,1
prd0422,Jacket,Jacket,1
prd0423,Jersey,Jersey,10
prd0424,Jewelry,Jewelry,0
prd0425,Jumper,Jumper,10
prd0426,Juicer,Juicer,0
prd0427,Keyboard,Keyboard,0
prd0428,Kangaroo,Kangaroo,10
prd0429,Koala,Koala,1
prd0430,Knife,Knife,0
prd0431,Lemon,Lemon,10
prd0432,Lion,Lion,0
prd0433,Leggings,Leggings,3
prd0434,Laptop,Laptop,3
prd0435,Library,Library,3
prd0436,Lamb,Lamb,1
prd0437,Lighter,Lighter,10
prd0438,Luggage,Luggage,0
prd0439,Lamp,Lamp,0
prd0440,Mouse,Mouse,3
prd0441,Monkey,Monkey,3
prd0442,Mango,Mango,3
prd0443,Mobile,Mobile,1
prd0444,Milk,Milk,1
prd0445,Music,Music,3
prd0446,Mirror,Mirror,3
prd0447,Model,Model,1
prd0448,Mall,Mall,1
prd0449,Museum,Museum,10
prd0450,Market,Market,10
prd0451,Moonlight,Moonlight,10
prd0452,Medicine,Medicine,1
prd0453,Microscope,Microscope,10
prd0454,Newspaper,Newspaper,1
prd0455,Notebook,Notebook,0
prd0456,Noodles,Noodles,10
prd0457,Necklace,Necklace,3
prd0458,Ostrich,Ostrich,10
prd0459,Oil,Oil,3
prd0460,Orange,Orange,1
prd0461,Onion,Onion,3
prd0462,Oven,Oven,1
prd0463,Owl,Owl,10
prd0464,Paper,Paper,0
prd0465,Panda,Panda,0
prd0466,Pants,Pants,3
prd0467,Palm,Palm,1
prd0468,Pasta,Pasta,3
prd0469,Pumpkin,Pumpkin,1
prd0470,Potato,Potato,1
prd0471,Panther,Panther,1
prd0472,Pad,Pad,0
prd0473,Pencil,Pencil,10
prd0474,Pipe,Pipe,0
prd0475,Pen,Pen,1
prd0476,Perfume,Perfume,1
prd0477,Pharmacy,Pharmacy,1
prd0478,Parrot,Parrot,3
prd0479,Plane,Plane,10
prd0480,Pigeon,Pigeon,1
prd0481,Phone,Phone,0
prd0482,Peacock,Peacock,0
prd0483,Pencil,Pencil,1
prd0484,Pig,Pig,1
prd0485,Pouch,Pouch,1
prd0486,Pagoda,Pagoda,10
prd0487,Pyramid,Pyramid,10
prd0488,Purse,Purse,10
prd0489,Pancake,Pancake,10
prd0490,Popcorn,Popcorn,10
prd0491,Piano,Piano,1
prd0492,Park,Park,10
prd0493,Plant,Plant,1
prd0494,Radio,Radio,0
prd0495,Razor,Razor,3
prd0496,Rainbow,Rainbow,1
prd0497,Ring,Ring,1
prd0498,Rabbit,Rabbit,1
prd0499,Rice,Rice,0
prd0500,Refrigerator,Refrigerator,10
prd0501,Remote Control,Remote Control,0
prd0502,Scale,Scale,3
prd0503,Shampoo,Shampoo,3
prd0504,Sink,Sink,10
prd0505,Salt,Salt,3
prd0506,Shark,Shark,10
prd0507,Sandals,Sandals,3
prd0508,Shoulder,Shoulder,10
prd0509,Spoon,Spoon,1
prd0510,Soap,Soap,3
prd0511,Sand,Sand,10
prd0512,Sheep,Sheep,0
prd0513,Stairs,Stairs,3
prd0514,Soup,Soup,3
prd0515,Shoes,Shoes,10
prd0516,Scissors,Scissors,1
prd0517,Sparrow,Sparrow,1
prd0518,Shirt,Shirt,3
prd0519,Suitcase,Suitcase,3
prd0520,Stove,Stove,1
prd0521,Stairs,Stairs,1
prd0522,Snowman,Snowman,0
prd0523,Shower,Shower,0
prd0524,Swan,Swan,3
prd0525,Suit,Suit,10
prd0526,Sweater,Sweater,0
prd0527,Smoke,Smoke,0
prd0528,Skirt,Skirt,3
prd0529,Sofa,Sofa,1
prd0530,Socks,Socks,10
prd0531,Sunglasses,Sunglasses,10
prd0532,Sandals,Sandals,0
prd0533,Slippers,Slippers,0
prd0534,Shorts,Shorts,3
prd0535,Sandwich,Sandwich,10
prd0536,Strawberry,Strawberry,0
prd0537,Spaghetti,Spaghetti,10
prd0538,Shrimp,Shrimp,10
prd0539,Saxophone,Saxophone,1
prd0540,Street,Street,10
prd0541,Supermarket,Supermarket,3
prd0542,Swimming pool,Swimming pool,3
prd0543,Star,Star,1
prd0544,Sky,Sky,10
prd0545,Sun,Sun,0
prd0546,Spoon,Spoon,10
prd0547,Ship,Ship,10
prd0548,Table,Table,1
prd0549,Turkey,Turkey,3
prd0550,Tie,Tie,3
prd0551,Truck,Truck,3
prd0552,Train,Train,0
prd0553,Taxi,Taxi,10
prd0554,Tiger,Tiger,0
prd0555,Trousers,Trousers,3
prd0556,Television,Television,10
prd0557,Teacher,Teacher,0
prd0558,Turtle,Turtle,3
prd0559,Tablet,Tablet,0
prd0560,Train station,Train station,10
prd0561,Toothpaste,Toothpaste,0
prd0562,Theater,Theater,3
prd0563,Trench coat,Trench coat,10
prd0564,Tea,Tea,3
prd0565,Tomato,Tomato,10
prd0566,Tunnel,Tunnel,0
prd0567,Temple,Temple,3
prd0568,Town,Town,10
prd0569,Toothbrush,Toothbrush,1
prd0570,Tree,Tree,0
prd0571,Toy,Toy,3
prd0572,Tissue,Tissue,0
prd0573,Telephone,Telephone,10
prd0574,Underwear,Underwear,10
prd0575,Umbrella,Umbrella,1
prd0576,Vest,Vest,0
prd0577,Villa,Villa,1
prd0578,Violin,Violin,0
prd0579,Village,Village,10
prd0580,Vehicle,Vehicle,3
prd0581,Vase,Vase,10
prd0582,Wallet,Wallet,0
prd0583,Wolf,Wolf,1
prd0584,Water melon,Water melon,1
prd0585,Whale,Whale,0
prd0586,Water,Water,3
prd0587,Watch,Watch,0
prd0588,Washing machine,Washing machine,0
prd0589,Wheelchair,Wheelchair,10
prd0590,Xylophone,Xylophone,3
prd0591,Zebra,Zebra,10
prd0592,Apple,Apple,10
prd0593,Air Conditioner,Air Conditioner,0
prd0594,Airport,Airport,3
prd0595,Ambulance,Ambulance,10
prd0596,Aircraft,Aircraft,3
prd0597,Apartment,Apartment,0
prd0598,Arrow,Arrow,3
prd0599,Antlers,Antlers,10
prd0600,Apron,Apron,3
prd0601,Alligator,Alligator,10
prd0602,Armchair,Armchair,3
prd0603,Ball,Ball,1
prd0604,Bermudas,Bermudas,0
prd0605,Beans,Beans,0
prd0606,Balloon,Balloon,10
prd0607,Bear,Bear,10
prd0608,Blouse,Blouse,10
prd0609,Bed,Bed,0
prd0610,Bow,Bow,3
prd0611,Bread,Bread,0
prd0612,Board,Board,1
prd0613,Bill,Bill,3
prd0614,Boxers,Boxers,1
prd0615,Belt,Belt,0
prd0616,Buffalo,Buffalo,0
prd0617,Bird,Bird,1
prd0618,Book,Book,1
prd0619,Butter,Butter,3
prd0620,Bulb,Bulb,10
prd0621,Buckles,Buckles,0
prd0622,Bat,Bat,1
prd0623,Bank,Bank,0
prd0624,Bag,Bag,0
prd0625,Bra,Bra,0
prd0626,Boots,Boots,0
prd0627,Blazer,Blazer,10
prd0628,Bikini,Bikini,10
prd0629,Bookcase,Bookcase,1
prd0630,Bookstore,Bookstore,1
prd0631,Bus stop,Bus stop,3
prd0632,Brass,Brass,0
prd0633,Blender,Blender,0
prd0634,Bucket,Bucket,10
prd0635,Bakery,Bakery,10
prd0636,Bow,Bow,10
prd0637,Bridge,Bridge,3
prd0638,Boat,Boat,3
prd0639,Car,Car,10
prd0640,Cow,Cow,10
prd0641,Cap,Cap,1
prd0642,Cooker,Cooker,3
prd0643,Cheese,Cheese,1
prd0644,Credenza,Credenza,0
prd0645,Carpet,Carpet,0
prd0646,Crow,Crow,0
prd0647,Crest,Crest,10
prd0648,Chest,Chest,1
prd0649,Chair,Chair,1
prd0650,Candy,Candy,10
prd0651,Cabinet,Cabinet,1
prd0652,Cat,Cat,0
prd0653,Coffee,Coffee,10
prd0654,Cookware,Cookware,0
prd0655,Chaise lounge,Chaise lounge,1
prd0656,Chicken,Chicken,0
prd0657,Cravat,Cravat,1
prd0658,Cane,Cane,3
prd0659,Costume,Costume,3
prd0660,Cardigan,Cardigan,10
prd0661,Chocolate,Chocolate,3
prd0662,Crib,Crib,3
prd0663,Couch,Couch,1
prd0664,Cello,Cello,10
prd0665,Computer,Computer,1
prd0666,Canoe,Canoe,0
prd0667,Clock,Clock,3
prd0668,Dog,Dog,1
prd0669,Deer,Deer,3
prd0670,Donkey,Donkey,0
prd0671,Desk,Desk,0
prd0672,Desktop,Desktop,1
prd0673,Dress,Dress,0
prd0674,Dolphin,Dolphin,3
prd0675,Drum,Drum,10
prd0676,Dresser,Dresser,3
prd0677,Egg,Egg,1
prd0678,Elephant,Elephant,0
prd0679,Earrings,Earrings,0
prd0680,Fox,Fox,1
prd0681,Frock,Frock,1
prd0682,Frog,Frog,1
prd0683,Fan,Fan,10
prd0684,Freezer,Freezer,0
prd0685,Fish,Fish,1
prd0686,Film,Film,10
prd0687,Flag,Flag,10
prd0688,Flower,Flower,0
prd0689,Fruit,Fruit,1
prd0690,Fork,Fork,1
prd0691,Gasoline,Gasoline,1
prd0692,Grapes,Grapes,3
prd0693,Goat,Goat,1
prd0694,Gown,Gown,1
prd0695,Garlic,Garlic,0
prd0696,Ginger,Ginger,10
prd0697,Giraffe,Giraffe,1
prd0698,Guava,Guava,3
prd0699,Grains,Grains,3
prd0700,Garage,Garage,1
prd0701,Gloves,Gloves,1
prd0702,Glasses,Glasses,1
prd0703,Gift,Gift,0
