rental_id,customer_id,product_id
rnt00000,user8527,prd7289
rnt00001,user8901,prd8303
rnt00002,user2143,prd2397
rnt00003,user0681,prd8423
rnt00004,user2348,prd5939
rnt00005,user2985,prd3321
rnt00006,user0762,prd6939
rnt00007,user2516,prd3572
rnt00008,user0243,prd9721
rnt00009,user6369,prd3481
rnt00010,user2793,prd3673
rnt00011,user5909,prd6621
rnt00012,user8211,prd2415
rnt00013,user5205,prd2407
rnt00014,user8517,prd9424
rnt00015,user1638,prd6830
rnt00016,user4139,prd6376
rnt00017,user3827,prd5860
rnt00018,user9296,prd0889
rnt00019,user5108,prd8658
rnt00020,user5538,prd1509
rnt00021,user0596,prd7282
rnt00022,user0725,prd6965
rnt00023,user8998,prd4085
rnt00024,user5447,prd0184
rnt00025,user0452,prd2795
rnt00026,user2399,prd5389
rnt00027,user6904,prd6313
rnt00028,user8456,prd6336
rnt00029,user7275,prd3276
rnt00030,user6489,prd7741
rnt00031,user7834,prd3106
rnt00032,user2548,prd2668
rnt00033,user1522,prd8007
rnt00034,user2872,prd4536
rnt00035,user4806,prd9929
rnt00036,user2552,prd2093
rnt00037,user1407,prd3357
rnt00038,user4633,prd7127
rnt00039,user4363,prd9702
rnt00040,user9104,prd3020
rnt00041,user4715,prd2780
rnt00042,user6236,prd5232
rnt00043,user7038,prd1830
rnt00044,user6041,prd1329
rnt00045,user9085,prd5170
rnt00046,user6477,prd4106
rnt00047,user7800,prd3092
rnt00048,user2455,prd5604
rnt00049,user1745,prd4834
rnt00050,user6961,prd0264
rnt00051,user9284,prd5090
rnt00052,user7295,prd6839
rnt00053,user8274,prd4619
rnt00054,user5440,prd8852
rnt00055,user2637,prd1093
rnt00056,user1946,prd6401
rnt00057,user4808,prd9875
rnt00058,user6365,prd0144
rnt00059,user6371,prd1018
rnt00060,user6858,prd9884
rnt00061,user0224,prd8192
rnt00062,user1719,prd1319
rnt00063,user8796,prd1078
rnt00064,user9945,prd7103
rnt00065,user3042,prd3249
rnt00066,user0293,prd0176
rnt00067,user8349,prd0851
rnt00068,user6186,prd0256
rnt00069,user4373,prd0322
rnt00070,user4410,prd1185
rnt00071,user1742,prd4131
rnt00072,user5450,prd3024
rnt00073,user9731,prd7694
rnt00074,user4909,prd6588
rnt00075,user9557,prd1910
rnt00076,user7430,prd3706
rnt00077,user5863,prd6301
