product1,user1,2019-04-09,2017-05-13,9
product2,user2,2013-05-01,2012-04-13,6
product3,user3,2011-02-14,2016-07-18,5
product4,user4,2017-04-28,2010-12-21,3
product5,user5,2011-06-28,2014-01-17,8
product6,user6,2018-03-14,2018-05-15,1
product7,user7,2017-07-15,2019-12-17,1
product8,user8,2018-10-13,2018-10-08,10
product9,user9,2018-04-13,2018-04-15,4
product10,user10,2018-07-18,2013-04-04,2
product11,user11,2019-07-27,2011-09-27,3
product12,user12,2010-02-05,2014-12-17,1
product13,user13,2012-06-19,2017-06-22,7
product14,user14,2018-09-05,2012-06-12,1
product15,user15,2010-07-10,2014-10-08,3
product16,user16,2010-03-14,2015-02-04,6
product17,user17,2017-01-09,2019-11-03,7
product18,user18,2013-06-04,2018-10-31,7
product19,user19,2017-10-08,2016-10-13,9
product20,user20,2010-11-09,2012-12-20,9
product21,user21,2015-01-05,2012-01-21,9
product22,user22,2014-12-29,2018-01-14,3
product23,user23,2011-01-23,2012-10-22,6
product24,user24,2011-05-18,2017-05-16,10
product25,user25,2010-10-24,2017-01-28,5
product26,user26,2011-07-12,2013-06-08,6
product27,user27,2018-08-18,2019-10-26,7
product28,user28,2013-04-21,2010-12-17,9
product29,user29,2012-06-30,2010-08-21,1
product30,user30,2017-05-18,2015-01-02,5
product31,user31,2013-04-22,2010-11-15,3
product32,user32,2012-02-10,2012-01-20,5
product33,user33,2012-02-10,2018-08-27,7
product34,user34,2015-02-27,2015-11-06,3
product35,user35,2017-03-07,2012-04-23,6
product36,user36,2012-04-06,2015-08-07,8
product37,user37,2014-07-27,2015-02-26,6
product38,user38,2016-12-26,2016-02-21,5
product39,user39,2015-01-01,2014-01-07,1
product40,user40,2013-07-30,2012-10-16,5
product41,user41,2011-08-21,2011-06-13,7
product42,user42,2014-06-01,2016-08-14,6
product43,user43,2013-10-19,2011-03-02,7
product44,user44,2012-03-25,2014-12-18,8
product45,user45,2012-03-07,2012-01-18,5
product46,user46,2017-06-10,2010-04-04,9
product47,user47,2018-08-20,2018-06-22,3
product48,user48,2012-07-08,2019-01-16,9
product49,user49,2012-10-30,2016-01-10,9
product50,user50,2013-10-11,2015-08-07,7
product51,user51,2017-02-05,2010-09-28,5
product52,user52,2013-12-24,2019-05-16,9
product53,user53,2015-09-01,2014-08-08,1
product54,user54,2011-10-24,2014-01-22,5
product55,user55,2010-08-27,2013-10-13,10
product56,user56,2013-11-06,2010-12-14,3
product57,user57,2014-12-26,2017-11-17,10
