product_id,description,product_type,quantity_available
prd0001,Computer keyboard,office,100
prd0002,Deluxe office chair,office,50
prd0003,Mr. Coffee espresso machine,kitchen,15
prd0004,Large kitchen island,kitchen,0
prd0005,5th Product,kitchen,10
prd0006,6th Product,kitchen,20
prd0007,7th Product,kitchen,30
prd0008,8th Product,kitchen,40
prd0009,9th Product,kitchen,50
prd0010,10th Product,kitchen,60
prd0011,11th Product,kitchen,70
prd0012,12th Product,kitchen,80
prd0013,13th Product,kitchen,90
prd0014,14th Product,kitchen,100
prd0015,15th Product,kitchen,110
prd0016,16th Product,kitchen,120
prd0017,17th Product,kitchen,130
prd0018,18th Product,kitchen,140
prd0019,19th Product,kitchen,150
prd0020,20th Product,kitchen,160
prd0021,21st Product,kitchen,170
prd0022,22nd Product,kitchen,180
prd0023,23rd Product,kitchen,190
prd0024,24th Product,kitchen,200
prd0025,25th Product,kitchen,210
prd0026,26th Product,kitchen,220
prd0027,27th Product,kitchen,230
prd0028,28th Product,kitchen,240
prd0029,29th Product,kitchen,250
prd0030,30th Product,kitchen,260
prd0031,31st Product,kitchen,270
prd0032,32nd Product,kitchen,280
prd0033,33rd Product,kitchen,290
prd0034,34th Product,kitchen,300
prd0035,35th Product,kitchen,310
prd0036,36th Product,kitchen,320
prd0037,37th Product,kitchen,330
prd0038,38th Product,kitchen,340
prd0039,39th Product,kitchen,350
prd0040,40th Product,kitchen,360
prd0041,41st Product,kitchen,370
prd0042,42nd Product,kitchen,380
prd0043,43rd Product,kitchen,390
prd0044,44th Product,kitchen,400
prd0045,45th Product,kitchen,410
prd0046,46th Product,kitchen,420
prd0047,47th Product,kitchen,430
prd0048,48th Product,kitchen,440
prd0049,49th Product,kitchen,450
prd0050,50th Product,kitchen,460
prd0051,51st Product,kitchen,470
prd0052,52nd Product,kitchen,480
prd0053,53rd Product,kitchen,490
prd0054,54th Product,kitchen,500
prd0055,55th Product,kitchen,510
prd0056,56th Product,kitchen,520
prd0057,57th Product,kitchen,530
prd0058,58th Product,kitchen,540
prd0059,59th Product,kitchen,550
prd0060,60th Product,kitchen,560
prd0061,61st Product,kitchen,570
prd0062,62nd Product,kitchen,580
prd0063,63rd Product,kitchen,590
prd0064,64th Product,kitchen,600
prd0065,65th Product,kitchen,610
prd0066,66th Product,kitchen,620
prd0067,67th Product,kitchen,630
prd0068,68th Product,kitchen,640
prd0069,69th Product,kitchen,650
prd0070,70th Product,kitchen,660
prd0071,71st Product,kitchen,670
prd0072,72nd Product,kitchen,680
prd0073,73rd Product,kitchen,690
prd0074,74th Product,kitchen,700
prd0075,75th Product,kitchen,710
prd0076,76th Product,kitchen,720
prd0077,77th Product,kitchen,730
prd0078,78th Product,kitchen,740
prd0079,79th Product,kitchen,750
prd0080,80th Product,kitchen,760
prd0081,81st Product,kitchen,770
prd0082,82nd Product,kitchen,780
prd0083,83rd Product,kitchen,790
prd0084,84th Product,kitchen,800
prd0085,85th Product,kitchen,810
prd0086,86th Product,kitchen,820
prd0087,87th Product,kitchen,830
prd0088,88th Product,kitchen,840
prd0089,89th Product,kitchen,850
prd0090,90th Product,kitchen,860
prd0091,91st Product,kitchen,870
prd0092,92nd Product,kitchen,880
prd0093,93rd Product,kitchen,890
prd0094,94th Product,kitchen,900
prd0095,95th Product,kitchen,910
prd0096,96th Product,kitchen,920
prd0097,97th Product,kitchen,930
prd0098,98th Product,kitchen,940
prd0099,99th Product,kitchen,950
prd0100,100th Product,kitchen,960
prd0101,101st Product,kitchen,970
prd0102,102nd Product,kitchen,980
prd0103,103rd Product,kitchen,990
prd0104,104th Product,kitchen,1000
prd0105,105th Product,kitchen,1010
prd0106,106th Product,kitchen,1020
prd0107,107th Product,kitchen,1030
prd0108,108th Product,kitchen,1040
prd0109,109th Product,kitchen,1050
prd0110,110th Product,kitchen,1060
prd0111,111th Product,kitchen,1070
prd0112,112th Product,kitchen,1080
prd0113,113th Product,kitchen,1090
prd0114,114th Product,kitchen,1100
prd0115,115th Product,kitchen,1110
prd0116,116th Product,kitchen,1120
prd0117,117th Product,kitchen,1130
prd0118,118th Product,kitchen,1140
prd0119,119th Product,kitchen,1150
prd0120,120th Product,kitchen,1160
prd0121,121st Product,kitchen,1170
prd0122,122nd Product,kitchen,1180
prd0123,123rd Product,kitchen,1190
prd0124,124th Product,kitchen,1200
prd0125,125th Product,kitchen,1210
prd0126,126th Product,kitchen,1220
prd0127,127th Product,kitchen,1230
prd0128,128th Product,kitchen,1240
prd0129,129th Product,kitchen,1250
prd0130,130th Product,kitchen,1260
prd0131,131st Product,kitchen,1270
prd0132,132nd Product,kitchen,1280
prd0133,133rd Product,kitchen,1290
prd0134,134th Product,kitchen,1300
prd0135,135th Product,kitchen,1310
prd0136,136th Product,kitchen,1320
prd0137,137th Product,kitchen,1330
prd0138,138th Product,kitchen,1340
prd0139,139th Product,kitchen,1350
prd0140,140th Product,kitchen,1360
prd0141,141st Product,kitchen,1370
prd0142,142nd Product,kitchen,1380
prd0143,143rd Product,kitchen,1390
prd0144,144th Product,kitchen,1400
prd0145,145th Product,kitchen,1410
prd0146,146th Product,kitchen,1420
prd0147,147th Product,kitchen,1430
prd0148,148th Product,kitchen,1440
prd0149,149th Product,kitchen,1450
prd0150,150th Product,kitchen,1460
prd0151,151st Product,kitchen,1470
prd0152,152nd Product,kitchen,1480
prd0153,153rd Product,kitchen,1490
prd0154,154th Product,kitchen,1500
prd0155,155th Product,kitchen,1510
prd0156,156th Product,kitchen,1520
prd0157,157th Product,kitchen,1530
prd0158,158th Product,kitchen,1540
prd0159,159th Product,kitchen,1550
prd0160,160th Product,kitchen,1560
prd0161,161st Product,kitchen,1570
prd0162,162nd Product,kitchen,1580
prd0163,163rd Product,kitchen,1590
prd0164,164th Product,kitchen,1600
prd0165,165th Product,kitchen,1610
prd0166,166th Product,kitchen,1620
prd0167,167th Product,kitchen,1630
prd0168,168th Product,kitchen,1640
prd0169,169th Product,kitchen,1650
prd0170,170th Product,kitchen,1660
prd0171,171st Product,kitchen,1670
prd0172,172nd Product,kitchen,1680
prd0173,173rd Product,kitchen,1690
prd0174,174th Product,kitchen,1700
prd0175,175th Product,kitchen,1710
prd0176,176th Product,kitchen,1720
prd0177,177th Product,kitchen,1730
prd0178,178th Product,kitchen,1740
prd0179,179th Product,kitchen,1750
prd0180,180th Product,kitchen,1760
prd0181,181st Product,kitchen,1770
prd0182,182nd Product,kitchen,1780
prd0183,183rd Product,kitchen,1790
prd0184,184th Product,kitchen,1800
prd0185,185th Product,kitchen,1810
prd0186,186th Product,kitchen,1820
prd0187,187th Product,kitchen,1830
prd0188,188th Product,kitchen,1840
prd0189,189th Product,kitchen,1850
prd0190,190th Product,kitchen,1860
prd0191,191st Product,kitchen,1870
prd0192,192nd Product,kitchen,1880
prd0193,193rd Product,kitchen,1890
prd0194,194th Product,kitchen,1900
prd0195,195th Product,kitchen,1910
prd0196,196th Product,kitchen,1920
prd0197,197th Product,kitchen,1930
prd0198,198th Product,kitchen,1940
prd0199,199th Product,kitchen,1950
prd0200,200th Product,kitchen,1960
prd0201,201st Product,kitchen,1970
prd0202,202nd Product,kitchen,1980
prd0203,203rd Product,kitchen,1990
