product_id,description,product_type,quantity_available
prd0001,Computer keyboard,office,100
prd0002,Deluxe office chair,office,50
prd0003,Mr. Coffee espresso machine,kitchen,15
prd0004,Large kitchen island,kitchen,0
prd0005,Computer keyboard,office,5
prd0006,Deluxe office chair,office,10
prd0007,Mr. Coffee espresso machine,kitchen,15
prd0008,Large kitchen island,kitchen,20
prd0009,Computer keyboard,office,25
prd0010,Deluxe office chair,office,30
prd0011,Mr. Coffee espresso machine,kitchen,35
prd0012,Large kitchen island,kitchen,40
prd0013,Computer keyboard,office,45
prd0014,Deluxe office chair,office,50
prd0015,Mr. Coffee espresso machine,kitchen,55
prd0016,Large kitchen island,kitchen,60
prd0017,Computer keyboard,office,65
prd0018,Deluxe office chair,office,70
prd0019,Mr. Coffee espresso machine,kitchen,75
prd0020,Large kitchen island,kitchen,80
prd0021,Computer keyboard,office,85
prd0022,Deluxe office chair,office,90
prd0023,Mr. Coffee espresso machine,kitchen,95
prd0024,Large kitchen island,kitchen,100
prd0025,Computer keyboard,office,105
prd0026,Deluxe office chair,office,110
prd0027,Mr. Coffee espresso machine,kitchen,115
prd0028,Large kitchen island,kitchen,120
prd0029,Computer keyboard,office,125
prd0030,Deluxe office chair,office,130
prd0031,Mr. Coffee espresso machine,kitchen,135
prd0032,Large kitchen island,kitchen,140
prd0033,Computer keyboard,office,145
prd0034,Deluxe office chair,office,150
prd0035,Mr. Coffee espresso machine,kitchen,155
prd0036,Large kitchen island,kitchen,160
prd0037,Computer keyboard,office,165
prd0038,Deluxe office chair,office,170
prd0039,Mr. Coffee espresso machine,kitchen,175
prd0040,Large kitchen island,kitchen,180
prd0041,Computer keyboard,office,185
prd0042,Deluxe office chair,office,190
prd0043,Mr. Coffee espresso machine,kitchen,195
prd0044,Large kitchen island,kitchen,200
prd0045,Computer keyboard,office,205
prd0046,Deluxe office chair,office,210
prd0047,Mr. Coffee espresso machine,kitchen,215
prd0048,Large kitchen island,kitchen,220
prd0049,Computer keyboard,office,225
prd0050,Deluxe office chair,office,230
prd0051,Mr. Coffee espresso machine,kitchen,235
prd0052,Large kitchen island,kitchen,240
prd0053,Computer keyboard,office,245
prd0054,Deluxe office chair,office,250
prd0055,Mr. Coffee espresso machine,kitchen,255
prd0056,Large kitchen island,kitchen,260
prd0057,Computer keyboard,office,265
prd0058,Deluxe office chair,office,270
prd0059,Mr. Coffee espresso machine,kitchen,275
prd0060,Large kitchen island,kitchen,280
prd0061,Computer keyboard,office,285
prd0062,Deluxe office chair,office,290
prd0063,Mr. Coffee espresso machine,kitchen,295
prd0064,Large kitchen island,kitchen,300
prd0065,Computer keyboard,office,305
prd0066,Deluxe office chair,office,310
prd0067,Mr. Coffee espresso machine,kitchen,315
prd0068,Large kitchen island,kitchen,320
prd0069,Computer keyboard,office,325
prd0070,Deluxe office chair,office,330
prd0071,Mr. Coffee espresso machine,kitchen,335
prd0072,Large kitchen island,kitchen,340
prd0073,Computer keyboard,office,345
prd0074,Deluxe office chair,office,350
prd0075,Mr. Coffee espresso machine,kitchen,355
prd0076,Large kitchen island,kitchen,360
prd0077,Computer keyboard,office,365
prd0078,Deluxe office chair,office,370
prd0079,Mr. Coffee espresso machine,kitchen,375
prd0080,Large kitchen island,kitchen,380
prd0081,Computer keyboard,office,385
prd0082,Deluxe office chair,office,390
prd0083,Mr. Coffee espresso machine,kitchen,395
prd0084,Large kitchen island,kitchen,400
prd0085,Computer keyboard,office,405
prd0086,Deluxe office chair,office,410
prd0087,Mr. Coffee espresso machine,kitchen,415
prd0088,Large kitchen island,kitchen,420
prd0089,Computer keyboard,office,425
prd0090,Deluxe office chair,office,430
prd0091,Mr. Coffee espresso machine,kitchen,435
prd0092,Large kitchen island,kitchen,440
prd0093,Computer keyboard,office,445
prd0094,Deluxe office chair,office,450
prd0095,Mr. Coffee espresso machine,kitchen,455
prd0096,Large kitchen island,kitchen,460
prd0097,Computer keyboard,office,465
prd0098,Deluxe office chair,office,470
prd0099,Mr. Coffee espresso machine,kitchen,475
prd0100,Large kitchen island,kitchen,480
prd0101,Computer keyboard,office,485
prd0102,Deluxe office chair,office,490
prd0103,Mr. Coffee espresso machine,kitchen,495
prd0104,Large kitchen island,kitchen,500
prd0105,Computer keyboard,office,505
prd0106,Deluxe office chair,office,510
prd0107,Mr. Coffee espresso machine,kitchen,515
prd0108,Large kitchen island,kitchen,520
prd0109,Computer keyboard,office,525
prd0110,Deluxe office chair,office,530
prd0111,Mr. Coffee espresso machine,kitchen,535
prd0112,Large kitchen island,kitchen,540
prd0113,Computer keyboard,office,545
prd0114,Deluxe office chair,office,550
prd0115,Mr. Coffee espresso machine,kitchen,555
prd0116,Large kitchen island,kitchen,560
prd0117,Computer keyboard,office,565
prd0118,Deluxe office chair,office,570
prd0119,Mr. Coffee espresso machine,kitchen,575
prd0120,Large kitchen island,kitchen,580
prd0121,Computer keyboard,office,585
prd0122,Deluxe office chair,office,590
prd0123,Mr. Coffee espresso machine,kitchen,595
prd0124,Large kitchen island,kitchen,600
prd0125,Computer keyboard,office,605
prd0126,Deluxe office chair,office,610
prd0127,Mr. Coffee espresso machine,kitchen,615
prd0128,Large kitchen island,kitchen,620
prd0129,Computer keyboard,office,625
prd0130,Deluxe office chair,office,630
prd0131,Mr. Coffee espresso machine,kitchen,635
prd0132,Large kitchen island,kitchen,640
prd0133,Computer keyboard,office,645
prd0134,Deluxe office chair,office,650
prd0135,Mr. Coffee espresso machine,kitchen,655
prd0136,Large kitchen island,kitchen,660
prd0137,Computer keyboard,office,665
prd0138,Deluxe office chair,office,670
prd0139,Mr. Coffee espresso machine,kitchen,675
prd0140,Large kitchen island,kitchen,680
prd0141,Computer keyboard,office,685
prd0142,Deluxe office chair,office,690
prd0143,Mr. Coffee espresso machine,kitchen,695
prd0144,Large kitchen island,kitchen,700
prd0145,Computer keyboard,office,705
prd0146,Deluxe office chair,office,710
prd0147,Mr. Coffee espresso machine,kitchen,715
prd0148,Large kitchen island,kitchen,720
prd0149,Computer keyboard,office,725
prd0150,Deluxe office chair,office,730
prd0151,Mr. Coffee espresso machine,kitchen,735
prd0152,Large kitchen island,kitchen,740
prd0153,Computer keyboard,office,745
prd0154,Deluxe office chair,office,750
prd0155,Mr. Coffee espresso machine,kitchen,755
prd0156,Large kitchen island,kitchen,760
prd0157,Computer keyboard,office,765
prd0158,Deluxe office chair,office,770
prd0159,Mr. Coffee espresso machine,kitchen,775
prd0160,Large kitchen island,kitchen,780
prd0161,Computer keyboard,office,785
prd0162,Deluxe office chair,office,790
prd0163,Mr. Coffee espresso machine,kitchen,795
prd0164,Large kitchen island,kitchen,800
prd0165,Computer keyboard,office,805
prd0166,Deluxe office chair,office,810
prd0167,Mr. Coffee espresso machine,kitchen,815
prd0168,Large kitchen island,kitchen,820
prd0169,Computer keyboard,office,825
prd0170,Deluxe office chair,office,830
prd0171,Mr. Coffee espresso machine,kitchen,835
prd0172,Large kitchen island,kitchen,840
prd0173,Computer keyboard,office,845
prd0174,Deluxe office chair,office,850
prd0175,Mr. Coffee espresso machine,kitchen,855
prd0176,Large kitchen island,kitchen,860
prd0177,Computer keyboard,office,865
prd0178,Deluxe office chair,office,870
