Product ID,Description,Type,Total Quantity
p00006,clock,electronic,10
p00007,switch,electronic,10
p00008,ps4,electronic,2
p00009,ps3,electronic,3
p00010,laptop,electronic,4
p00011,dresser,furniture,6
p00012,armchair,furniture,7
p00013,furniture13,furniture,2
p00014,furniture14,furniture,3
p00015,furniture15,furniture,4
p00016,furniture16,furniture,10
p00017,furniture17,furniture,12
p00018,furniture18,furniture,43
p00019,furniture19,furniture,1
p00020,furniture20,furniture,1
p00021,furniture21,furniture,1
p00022,furniture22,furniture,2
p00023,furniture23,furniture,2
p00024,furniture24,furniture,2
p00025,furniture25,furniture,2
p00026,furniture26,furniture,2
p00027,furniture27,furniture,2
p00028,furniture28,furniture,2
p00029,furniture29,furniture,2
p00030,furniture30,furniture,2
p00031,furniture31,furniture,2
p00032,furniture32,furniture,2
p00033,furniture33,furniture,2
p00034,furniture34,furniture,2
p00035,furniture35,furniture,2
p00036,furniture36,furniture,2
p00037,furniture37,furniture,2
p00038,furniture38,furniture,2
p00039,furniture39,furniture,2
p00040,furniture40,furniture,2
p00041,furniture41,furniture,2
p00042,furniture42,furniture,2
p00043,furniture43,furniture,2
p00044,furniture44,furniture,2
p00045,furniture45,furniture,2
p00046,furniture46,furniture,2
p00047,furniture47,furniture,2
p00048,furniture48,furniture,2
p00049,furniture49,furniture,2
p00050,furniture50,furniture,2
p00051,furniture51,furniture,2
p00052,furniture52,furniture,2
p00053,furniture53,furniture,2
p00054,furniture54,furniture,2
p00055,furniture55,furniture,2
p00056,furniture56,furniture,2
p00057,furniture57,furniture,2
p00058,furniture58,furniture,2
p00059,furniture59,furniture,2
p00060,furniture60,furniture,2
p00061,furniture61,furniture,2
p00062,furniture62,furniture,2
p00063,furniture63,furniture,2
p00064,furniture64,furniture,2
p00065,furniture65,furniture,2
p00066,furniture66,furniture,2
p00067,furniture67,furniture,2
p00068,furniture68,furniture,2
p00069,furniture69,furniture,2
p00070,furniture70,furniture,2
p00071,furniture71,furniture,2
p00072,furniture72,furniture,2
p00073,furniture73,furniture,2
p00074,furniture74,furniture,2
p00075,furniture75,furniture,2
p00076,furniture76,furniture,2
p00077,furniture77,furniture,2
p00078,furniture78,furniture,2
p00079,furniture79,furniture,2
p00080,furniture80,furniture,2
p00081,furniture81,furniture,2
p00082,furniture82,furniture,2
p00083,furniture83,furniture,2
p00084,furniture84,furniture,2
p00085,furniture85,furniture,2
p00086,furniture86,furniture,2
