rental_id,user_id,product_id
rid430,user872,pid310
rid436,user840,pid633
rid196,user264,pid563
rid827,user239,pid846
rid397,user879,pid645
rid860,user740,pid977
rid233,user370,pid909
rid701,user794,pid980
rid742,user196,pid710
rid167,user174,pid149
rid596,user200,pid305
rid929,user461,pid671
rid384,user815,pid511
rid525,user133,pid408
rid849,user505,pid472
rid471,user220,pid693
rid263,user310,pid783
rid810,user761,pid251
rid600,user459,pid294
rid846,user965,pid268
rid148,user740,pid830
rid339,user832,pid347
rid793,user490,pid957
rid389,user603,pid965
rid214,user827,pid273
rid616,user617,pid947
rid102,user804,pid155
rid360,user654,pid524
rid106,user217,pid732
rid549,user639,pid301
rid243,user874,pid729
rid794,user344,pid366
rid281,user592,pid805
rid122,user912,pid845
rid716,user166,pid659
rid669,user531,pid414
rid777,user226,pid159
rid276,user498,pid897
rid371,user934,pid727
rid215,user182,pid238
rid729,user525,pid271
rid437,user258,pid828
rid269,user188,pid993
rid532,user741,pid469
rid497,user640,pid451
rid273,user194,pid226
rid159,user384,pid776
rid499,user357,pid515
rid975,user433,pid594
rid549,user820,pid717
rid800,user224,pid509
rid964,user808,pid229
rid978,user198,pid609
rid588,user812,pid571
rid268,user765,pid242
rid157,user322,pid419
rid572,user567,pid715
rid501,user326,pid570
rid462,user804,pid291
rid360,user762,pid623
rid580,user697,pid314
rid298,user653,pid134
rid784,user412,pid361
rid215,user269,pid110
rid905,user380,pid933
rid769,user282,pid173
rid470,user874,pid931
rid998,user659,pid847
rid412,user193,pid506
rid646,user312,pid733
rid372,user529,pid506
rid983,user826,pid118
rid552,user330,pid364
rid376,user438,pid203
rid460,user574,pid261
rid945,user156,pid673
rid223,user758,pid395
rid717,user361,pid824
rid782,user624,pid926
rid286,user435,pid415
rid899,user833,pid354
rid424,user752,pid778
rid998,user374,pid322
rid578,user359,pid155
rid231,user221,pid295
rid327,user283,pid194
rid879,user691,pid387
rid428,user968,pid436
rid181,user769,pid586
rid259,user711,pid569
rid486,user139,pid926
rid429,user168,pid124
rid526,user565,pid771
rid541,user527,pid933
rid702,user856,pid948
rid397,user557,pid756
rid733,user410,pid692
rid986,user127,pid733
rid127,user282,pid425
rid655,user599,pid221
rid516,user501,pid957
rid969,user640,pid623
rid571,user794,pid309
rid151,user359,pid300
rid375,user308,pid664
rid907,user632,pid620
rid358,user965,pid585
rid702,user751,pid621
rid680,user858,pid843
rid290,user925,pid386
rid600,user718,pid152
rid342,user941,pid937
rid606,user584,pid367
rid302,user767,pid382
rid188,user613,pid364
rid859,user504,pid817
rid319,user766,pid791
rid377,user420,pid849
rid974,user624,pid878
rid371,user729,pid145
rid662,user141,pid188
rid749,user862,pid192
rid860,user862,pid636
rid689,user825,pid418
rid687,user428,pid102
rid718,user226,pid494
rid105,user856,pid849
rid404,user989,pid808
rid507,user182,pid946
rid791,user859,pid267
rid952,user531,pid488
rid890,user988,pid969
rid635,user106,pid458
rid998,user156,pid828
rid955,user176,pid513
rid757,user538,pid622
rid206,user536,pid787
rid755,user332,pid108
rid229,user183,pid101
rid355,user261,pid208
rid886,user469,pid102
rid527,user788,pid909
rid114,user162,pid576
rid621,user710,pid221
rid616,user496,pid609
rid150,user715,pid174
rid764,user784,pid650
rid141,user717,pid798
rid874,user946,pid469
rid505,user533,pid272
rid245,user978,pid585
rid342,user100,pid442
rid139,user720,pid337
rid517,user796,pid145
rid930,user755,pid277
rid956,user448,pid129
rid539,user178,pid214
rid499,user585,pid748
rid510,user346,pid279
rid790,user250,pid952
rid681,user377,pid626
rid955,user520,pid319
rid218,user555,pid318
rid485,user440,pid886
rid755,user171,pid905
rid948,user936,pid539
rid671,user244,pid878
rid548,user130,pid545
rid110,user915,pid400
rid805,user185,pid158
rid732,user483,pid487
rid409,user314,pid543
rid952,user363,pid731
rid105,user817,pid614
rid831,user291,pid436
rid525,user479,pid704
rid267,user577,pid752
rid231,user173,pid276
rid711,user514,pid993
rid837,user204,pid706
rid830,user866,pid240
rid547,user812,pid651
rid943,user862,pid891
rid303,user676,pid547
rid591,user218,pid717
rid198,user911,pid842
rid878,user662,pid208
rid500,user495,pid270
rid360,user371,pid194
rid457,user603,pid216
rid604,user863,pid394
rid448,user867,pid577
rid883,user832,pid285
rid460,user923,pid785
rid932,user214,pid317
rid641,user798,pid961
rid365,user194,pid228
rid506,user456,pid740
rid523,user223,pid993
rid533,user602,pid719
rid275,user477,pid264
rid885,user377,pid265
rid906,user996,pid201
rid627,user835,pid268
rid595,user356,pid209
rid134,user677,pid346
rid806,user918,pid542
rid841,user717,pid919
rid933,user901,pid845
rid752,user749,pid296
rid497,user738,pid768
rid259,user810,pid673
rid333,user588,pid261
rid757,user723,pid191
rid756,user528,pid440
rid322,user390,pid529
rid300,user916,pid157
rid745,user742,pid460
rid748,user528,pid587
rid816,user317,pid794
rid300,user651,pid413
rid834,user713,pid969
rid157,user625,pid899
rid302,user472,pid559
rid790,user755,pid650
rid770,user476,pid116
rid132,user230,pid112
rid141,user388,pid210
rid251,user276,pid138
rid831,user500,pid159
rid268,user458,pid206
rid298,user351,pid877
rid402,user212,pid507
rid638,user959,pid974
rid919,user615,pid102
rid419,user985,pid738
rid432,user602,pid900
rid525,user882,pid886
rid942,user775,pid500
