product_id,description,market_price,rental_price,product_type,brand,voltage,material,size,quantity_available
F904304,St. jerome Desk,494.81,1.12,Furniture,[],[],Walnut,x-small,73
E022848,Sinnets Coffee Maker,428.6,0.91,Electric,Showstoppers,12VDC,[],[],19
F969162,Triacyl Stool,2495.67,6.39,Furniture,[],[],Tile,lawn orniment,59
F618480,Suasions Mirror,1471.42,3.18,Furniture,[],[],Walnut,medium,52
F935135,Egg-pie Stool,134.81,0.09,Furniture,[],[],Granite,large,62
E085183,Standard Washing Machine,400.63,0.58,Electric,Belligerency,10kV,[],[],75
F909819,Standard Stool,371.49,0.26,Furniture,[],[],Oak,lawn orniment,55
F072470,Standard Fixture,2163.92,0.36,Furniture,[],[],Tile,medium,81
E781346,Panoramas Fan,1966.18,5.32,Electric,Leaderships,110VAC,[],[],6
E727179,Standard Toothbrush,394.15,0.32,Electric,Sulphonamides,10kV,[],[],14
F442677,Standard Chair,1375.29,3.11,Furniture,[],[],Granite,extra-large,3
E249647,Standard Washing Machine,775.34,2.08,Electric,ComputerDiluter,440VAC,[],[],77
F085856,Standard Fixture,1413.42,2.48,Furniture,[],[],Granite,lawn orniment,53
E140748,Standard Kettle,1372.55,2.76,Electric,Acme,10kV,[],[],77
F332636,Standard Fixture,1037.6,2.48,Furniture,[],[],Formica,medium,20
E140007,Standard Kettle,1304.75,2.08,Electric,ComputerDiluter,220VAC,[],[],72
E203055,Standard Fan,2271.47,2.96,Electric,Nowayout,12VDC,[],[],86
F599189,Standard Desk,483.96,0.25,Furniture,[],[],Granite,medium,88
F582255,Standard Table,400.14,0.42,Furniture,[],[],Formica,x-small,67
E896517,Standard Microwave,1528.11,3.22,Electric,Nowayout,12VDC,[],[],21
F225725,Standard Desk,2281.61,5.26,Furniture,[],[],Granite,lawn orniment,49
E570770,Standard Toothbrush,1645.8,1.22,Electric,ComputerDiluter,10kV,[],[],14
F722993,Standard Stool,1913.29,4.49,Furniture,[],[],Walnut,small,42
F082441,Standard Chair,127.49,0.24,Furniture,[],[],Oak,medium,47
E800429,Standard Toothbrush,1590.38,2.85,Electric,Nowayout,220VAC,[],[],3
