product_id,description,market_price,rental_price,product_type,brand,voltage,material,size,quantity_available
F858167,Standard Fixture,673.69,0.9,Furniture,[],[],Tile,large,8
E204878,Standard Kettle,1317.49,2.09,Electric,Acme,220VAC,[],[],52
E107934,Standard Washing Machine,15.41,0.04,Electric,Suck-n-cut,12VDC,[],[],31
F806515,Standard Mirror,506.27,0.11,Furniture,[],[],Walnut,medium,3
F267111,Standard Chair,392.28,0.72,Furniture,[],[],Tile,extra-large,29
E901942,Standard Fan,226.16,0.03,Electric,ComputerDiluter,110VAC,[],[],0
F803437,Standard Stool,2040.63,4.67,Furniture,[],[],Oak,medium,69
E389888,Standard Coffee Maker,2105.67,3.3,Electric,ComputerDiluter,110VAC,[],[],84
F947063,Standard Mirror,1846.11,2.73,Furniture,[],[],Tile,x-small,37
E642824,Standard Fan,1404.4,1.82,Electric,ComputerDiluter,440VAC,[],[],34
F258796,Standard Table,183.1,0.39,Furniture,[],[],Maple,small,32
F420477,Standard Chair,774.38,0.27,Furniture,[],[],Granite,small,84
F403598,Standard Chair,244.45,0.57,Furniture,[],[],Oak,lawn orniment,20
F482235,Standard Mirror,709.08,0.1,Furniture,[],[],Maple,small,35
E248473,Standard Washing Machine,1045.83,2.61,Electric,Nowayout,12VDC,[],[],40
E849740,Standard Coffee Maker,2243.57,1.67,Electric,ComputerDiluter,110VAC,[],[],4
E934080,Standard Microwave,1796.03,2.41,Electric,ComputerDiluter,12VDC,[],[],77
E576751,Standard Kettle,732.87,1.78,Electric,Freebird,10kV,[],[],72
E321718,Standard Microwave,647.13,1.16,Electric,Suck-n-cut,440VAC,[],[],1
E358976,Standard Washing Machine,751.84,0.63,Electric,Suck-n-cut,220VAC,[],[],77
F456512,Standard Chair,1194.13,0.0,Furniture,[],[],Granite,x-small,1
F347768,Standard Desk,1803.42,2.37,Furniture,[],[],Granite,small,67
E288504,Standard Coffee Maker,2102.06,0.38,Electric,Suck-n-cut,10kV,[],[],91
F970234,Standard Mirror,439.88,0.62,Furniture,[],[],Oak,lawn orniment,55
F515283,Standard Desk,983.81,2.48,Furniture,[],[],Formica,lawn orniment,22
F533890,Standard Chair,1401.39,0.38,Furniture,[],[],Maple,small,83
F903232,Standard Table,767.04,0.23,Furniture,[],[],Granite,x-small,21
F938090,Standard Mirror,422.08,0.58,Furniture,[],[],Formica,x-small,31
E228459,Standard Coffee Maker,2332.15,5.56,Electric,Freebird,440VAC,[],[],42
F411784,Standard Mirror,1879.02,2.66,Furniture,[],[],Oak,x-small,60
F443750,Standard Desk,2257.24,5.16,Furniture,[],[],Maple,extra-large,68
E202665,Standard Microwave,25.71,0.02,Electric,Freebird,12VDC,[],[],10
F147048,Standard Table,299.74,0.67,Furniture,[],[],Oak,small,19
F078467,Standard Chair,2001.56,3.99,Furniture,[],[],Walnut,extra-large,52
E468400,Standard Fan,826.1,1.67,Electric,ComputerDiluter,220VAC,[],[],76
E636383,Standard Fan,1622.28,4.32,Electric,Suck-n-cut,110VAC,[],[],20
F306970,Standard Chair,1871.61,1.33,Furniture,[],[],Tile,x-small,8
F001259,Standard Chair,1291.71,3.49,Furniture,[],[],Granite,lawn orniment,14
F415576,Standard Fixture,1264.19,1.33,Furniture,[],[],Tile,lawn orniment,29
E373946,Standard Fan,838.27,2.04,Electric,Nowayout,220VAC,[],[],69
E770465,Standard Washing Machine,247.62,0.38,Electric,Suck-n-cut,110VAC,[],[],34
E388967,Standard Microwave,454.97,0.89,Electric,Freebird,12VDC,[],[],48
E491016,Standard Microwave,1368.01,3.55,Electric,Freebird,110VAC,[],[],21
E607710,Standard Fan,1879.28,4.11,Electric,Nowayout,110VAC,[],[],78
E651328,Standard Kettle,1769.91,1.52,Electric,Freebird,110VAC,[],[],25
E697393,Standard Kettle,1575.79,0.63,Electric,ComputerDiluter,220VAC,[],[],80
E432372,Standard Kettle,2457.27,5.87,Electric,Nowayout,10kV,[],[],36
F853808,Standard Mirror,945.58,1.77,Furniture,[],[],Granite,small,20
E412652,Standard Microwave,76.28,0.02,Electric,Acme,440VAC,[],[],87
