customer_id,product_id
C192460,E513082
C141452,E500355
C944450,E941431
C006939,E667284
C338334,E497852
C237557,F030274
C796489,F006531
C817077,F498468
C843828,F531663
C640003,E228459
C318211,F638352
C437787,F148609
C851977,E027771
C099382,F162326
C841052,E832295
C035064,F937674
C686167,F845862
C902720,F653354
C462932,F720312
C318211,F273149
C138123,F812897
C245648,F997949
C972096,E277851
C374375,E412652
C192684,E938921
C745036,E168105
C346459,F221481
C175875,E833499
C215129,F343950
C635790,E869308
C410611,E404720
C421440,F843914
C483680,E468400
C194250,F579107
C051912,E500661
C061770,E269004
C000265,E388967
C539698,E951150
C766260,E745493
C236645,E888761
C512891,E275539
C755258,F278795
C485953,F461916
C462932,F478570
C816283,F456827
C144228,F729046
C236690,F059979
C231723,F842942
C201573,F520869
C491097,F970234
C383155,F124470
C257372,E803312
C452229,E537330
C554795,E066243
C219576,F826961
C890875,E921683
C615720,E177654
C331510,F084381
C144228,F393007
C228052,F169826
C291202,E288414
C369724,E396778
C691925,E025438
C870247,E221405
C715276,F275408
C693419,E175041
C292975,F278537
C494904,E050239
C803699,E177654
C192460,F636791
C283889,F919089
C598408,E538677
C404512,E226708
C083672,E303029
C496462,F863978
C080959,F903879
C360419,E404720
C488276,E679255
C323014,E536294
C068537,E207026
C509737,E780520
C388874,E368560
C166014,E538677
C361467,F057388
C576458,E570686
C693419,F840384
C229683,F619825
C745655,F853808
C674566,E594492
C230430,F077059
C544577,E833949
C103037,F896343
C469869,F718973
C922033,F800040
C050586,F485354
C695076,F070984
C056197,E167199
C681591,E277851
C127694,E901708
C173694,E409912
C095963,F186731
C385389,E498720
C143715,E879316
C185030,E417488
C217222,E358976
C020153,F349548
C286529,E699523
C437787,E531324
C268803,F955640
C955863,E997255
C498428,F803437
C404512,F001259
C532308,F057796
C523865,E319752
C693966,E269004
C138123,F387300
C294152,F278701
C480590,E135525
C555149,F819973
C665033,E934136
C432473,F287252
C014320,E426845
C946234,E197974
C207683,F551578
C168065,E323501
C745655,E027771
C887759,F997949
C827925,E231975
C883196,E785701
C431289,F949041
C756338,E707822
C898829,F109719
C232168,F455117
C810620,E355531
C115287,E014493
C202376,F902911
C366964,E210081
C778584,F955640
C671315,E890708
C103037,F068718
C361467,E530517
C895595,E535164
C624562,F221481
C046502,E236362
C512196,F283180
C073492,F078081
C910464,F162326
C417594,F937674
C850914,E167267
C825846,E168105
C556466,F282970
C346126,F386883
C693966,E280148
C278120,F904086
C423105,F677518
C363508,F526897
C968392,F239510
C650097,E742579
C315607,F160118
C614804,F679654
C542247,E782703
C423472,F805900
C554795,F209268
C091736,F390732
C474387,F869092
C463733,E817765
C715613,F189298
C235210,E629949
C212813,E934136
C969692,E531324
C224598,E377586
C666241,F527174
C962402,F553078
C099372,E709341
C626843,E321718
C215129,F575786
C408963,F344490
C610608,E916477
C704498,E247652
C908548,E579985
C440546,F666759
C879157,E381842
C800579,F014680
C611351,E177206
C835401,F223020
C719983,E067333
C395671,F590719
C294577,F059070
C995162,F298549
C064417,F790783
C532308,F751569
C247470,E307644
C031007,F468149
C681591,E988189
C467636,E077346
C681573,F025140
C093253,F818718
C762004,F643416
C762004,E935092
C063125,F980756
C636384,F416588
C318788,F461916
C469869,E507510
C052701,E564689
C633815,F551578
C973314,E394415
C394183,E816227
C854299,F209268
C096767,F190150
C899205,F190098
C098758,E570686
C261030,E600463
C604957,F827272
C291202,F479603
C436194,E167199
C576458,F264613
C850914,E231975
C850040,F268606
C596723,F009744
C032724,E821460
C928633,F295524
C780346,E131498
C485231,F576747
C474387,E765559
C147238,F567112
C374375,E070620
C571720,F677518
C084098,F863978
C889084,E572241
C542247,F551578
C385389,F243620
C555149,E331555
C745036,F504175
C291342,E899698
C870625,E351596
C793917,E857475
C129161,F926913
C612543,F789296
C568388,E979725
C704498,F842942
C427700,E901942
C646459,F800179
C053141,F675490
C589940,F764514
C780965,F090420
C915345,F320156
C429276,E821460
C328391,E323501
C775556,F670683
C132365,F725987
C564548,F125250
C635241,F843914
C441030,F670683
C019561,F606253
C451978,F770145
C796260,F344490
C766260,F784602
C291202,E567426
C383155,E200724
C964723,E432114
C313293,F677518
C284927,F103867
C992805,E263411
C245648,F289578
C575488,F160118
C936231,E270770
C760562,E621030
C772438,F921856
C191920,F559812
C665030,F560681
C493340,E607710
C872440,E921683
C825471,F065661
C337347,E930834
C345620,F423953
C811177,F455117
C235210,E827762
