product_id,description,product_type,quantity_available
pid001,sofa,livingroom,5
pid002,washer,laundry,4
pid003,microwave,kitchen,0
pid004,edger,garage,2
pid005,desk,office,1
pid10,Appliance 10,Kitchen,55
pid11,Appliance 11,Kitchen,59
pid12,Appliance 12,Kitchen,30
pid13,Appliance 13,Kitchen,48
pid14,Appliance 14,Kitchen,37
pid15,Appliance 15,Kitchen,54
pid16,Appliance 16,Kitchen,45
pid17,Appliance 17,Kitchen,31
pid18,Appliance 18,Kitchen,48
pid19,Appliance 19,Kitchen,32
pid20,Appliance 20,Kitchen,45
pid21,Appliance 21,Kitchen,35
pid22,Appliance 22,Kitchen,37
pid23,Appliance 23,Kitchen,38
pid24,Appliance 24,Kitchen,58
pid25,Appliance 25,Kitchen,55
pid26,Appliance 26,Kitchen,33
pid27,Appliance 27,Kitchen,40
pid28,Appliance 28,Kitchen,37
pid29,Appliance 29,Kitchen,58
pid30,Appliance 30,Kitchen,50
pid31,Appliance 31,Kitchen,32
pid32,Appliance 32,Kitchen,37
pid33,Appliance 33,Kitchen,58
pid34,Appliance 34,Kitchen,42
pid35,Appliance 35,Kitchen,51
pid36,Appliance 36,Kitchen,38
pid37,Appliance 37,Kitchen,41
pid38,Appliance 38,Kitchen,40
pid39,Appliance 39,Kitchen,46
pid40,Appliance 40,Kitchen,41
pid41,Appliance 41,Kitchen,45
pid42,Appliance 42,Kitchen,41
pid43,Appliance 43,Kitchen,36
pid44,Appliance 44,Kitchen,41
pid45,Appliance 45,Kitchen,44
pid46,Appliance 46,Kitchen,40
pid47,Appliance 47,Kitchen,53
pid48,Appliance 48,Kitchen,41
pid49,Appliance 49,Kitchen,38
pid50,Appliance 50,Kitchen,47
pid51,Appliance 51,Kitchen,35
pid52,Appliance 52,Kitchen,34
pid53,Appliance 53,Kitchen,50
pid54,Appliance 54,Kitchen,31
pid55,Appliance 55,Kitchen,35
pid56,Appliance 56,Kitchen,35
pid57,Appliance 57,Kitchen,58
pid58,Appliance 58,Kitchen,56
pid59,Appliance 59,Kitchen,57
pid60,Appliance 60,Kitchen,59
pid61,Appliance 61,Kitchen,52
pid62,Appliance 62,Kitchen,35
pid63,Appliance 63,Kitchen,44
pid64,Appliance 64,Kitchen,38
pid65,Appliance 65,Kitchen,40
pid66,Appliance 66,Kitchen,41
pid67,Appliance 67,Kitchen,57
pid68,Appliance 68,Kitchen,46
pid69,Appliance 69,Kitchen,42
pid70,Appliance 70,Kitchen,32
pid71,Appliance 71,Kitchen,37
pid72,Appliance 72,Kitchen,35
pid73,Appliance 73,Kitchen,43
pid74,Appliance 74,Kitchen,53
pid75,Appliance 75,Kitchen,33
pid76,Appliance 76,Kitchen,45
pid77,Appliance 77,Kitchen,38
pid78,Appliance 78,Kitchen,50
pid79,Appliance 79,Kitchen,39
pid80,Appliance 80,Kitchen,50
pid81,Appliance 81,Kitchen,38
pid82,Appliance 82,Kitchen,41
pid83,Appliance 83,Kitchen,32
pid84,Appliance 84,Kitchen,58
pid85,Appliance 85,Kitchen,35
pid86,Appliance 86,Kitchen,36
pid87,Appliance 87,Kitchen,46
pid88,Appliance 88,Kitchen,41
pid89,Appliance 89,Kitchen,58
pid90,Appliance 90,Kitchen,33
pid91,Appliance 91,Kitchen,37
pid92,Appliance 92,Kitchen,33
pid93,Appliance 93,Kitchen,45
