product_id,description,type,number_available
2001,table_lamp,electronics,4
2002,television,electronics,2
2003,table_lamp,appliance,6
2004,stereo,decoration,2
2005,painting,appliance,5
2006,television,electronics,1
2007,table_lamp,furniture,6
2008,table_lamp,decoration,5
2009,microwave,electronics,1
2010,table_lamp,decoration,10
2011,table_lamp,furniture,3
2012,television,decoration,9
2013,television,electronics,2
2014,television,appliance,4
2015,painting,electronics,5
2016,end_table,furniture,9
2017,end_table,appliance,8
2018,microwave,appliance,7
2019,table_lamp,electronics,3
2020,table_lamp,decoration,9
2021,stereo,appliance,8
2022,microwave,electronics,9
2023,end_table,appliance,2
2024,stereo,appliance,1
2025,television,electronics,7
2026,stereo,decoration,9
2027,table_lamp,electronics,7
2028,end_table,electronics,9
2029,microwave,electronics,9
2030,painting,decoration,6
2031,end_table,appliance,10
2032,table_lamp,appliance,3
2033,painting,appliance,3
2034,table_lamp,appliance,5
2035,microwave,furniture,1
2036,table_lamp,furniture,9
2037,end_table,electronics,10
2038,table_lamp,electronics,4
2039,microwave,electronics,1
2040,stereo,decoration,8
2041,painting,furniture,5
2042,television,furniture,7
2043,painting,decoration,5
2044,table_lamp,decoration,6
2045,table_lamp,decoration,4
2046,television,appliance,2
2047,painting,appliance,9
2048,stereo,decoration,2
2049,table_lamp,furniture,5
2050,stereo,appliance,7
2051,stereo,appliance,9
2052,television,furniture,6
2053,stereo,electronics,6
2054,table_lamp,decoration,10
2055,end_table,electronics,9
2056,microwave,appliance,8
2057,table_lamp,appliance,3
2058,end_table,furniture,7
2059,television,electronics,4
2060,television,electronics,3
2061,television,appliance,5
2062,table_lamp,appliance,9
2063,end_table,appliance,8
2064,painting,electronics,9
2065,end_table,decoration,10
2066,table_lamp,appliance,9
2067,painting,electronics,8
2068,microwave,decoration,6
2069,microwave,appliance,7
2070,painting,decoration,7
2071,table_lamp,appliance,9
2072,painting,furniture,9
2073,table_lamp,decoration,1
2074,stereo,furniture,7
2075,end_table,decoration,3
2076,television,electronics,7
2077,television,electronics,10
2078,end_table,appliance,4
2079,table_lamp,electronics,3
2080,stereo,decoration,7
2081,table_lamp,furniture,5
2082,end_table,appliance,1
2083,television,decoration,3
2084,table_lamp,decoration,9
2085,end_table,electronics,7
2086,painting,decoration,2
2087,end_table,electronics,9
2088,table_lamp,furniture,1
2089,end_table,appliance,5
2090,end_table,appliance,5
2091,television,appliance,5
2092,microwave,electronics,10
2093,table_lamp,decoration,3
2094,microwave,electronics,9
2095,table_lamp,appliance,2
2096,microwave,appliance,6
2097,television,furniture,10
2098,end_table,decoration,9
2099,table_lamp,electronics,4
2100,table_lamp,appliance,9
2101,painting,decoration,4
2102,television,appliance,1
2103,microwave,appliance,7
2104,television,electronics,5
2105,painting,appliance,2
2106,stereo,furniture,9
2107,painting,furniture,3
2108,stereo,electronics,8
2109,end_table,furniture,4
2110,painting,electronics,1
2111,television,appliance,3
2112,microwave,electronics,8
2113,end_table,furniture,4
2114,stereo,electronics,8
2115,television,decoration,10
2116,table_lamp,decoration,1
2117,television,furniture,10
2118,television,appliance,2
2119,table_lamp,electronics,4
2120,end_table,decoration,2
2121,table_lamp,furniture,3
2122,microwave,appliance,10
2123,microwave,decoration,8
2124,table_lamp,appliance,1
2125,microwave,decoration,9
2126,painting,appliance,8
2127,stereo,electronics,10
2128,painting,electronics,2
2129,painting,decoration,5
2130,television,electronics,6
2131,end_table,appliance,7
2132,end_table,appliance,2
2133,end_table,furniture,1
2134,table_lamp,decoration,5
2135,table_lamp,appliance,1
2136,end_table,furniture,9
2137,painting,appliance,1
2138,television,decoration,3
2139,television,decoration,4
2140,table_lamp,decoration,5
2141,television,appliance,7
2142,end_table,electronics,4
2143,television,decoration,9
2144,table_lamp,electronics,8
2145,stereo,electronics,8
2146,painting,decoration,7
2147,end_table,decoration,1
2148,painting,appliance,4
2149,television,decoration,6
2150,painting,electronics,1
2151,painting,electronics,5
2152,painting,electronics,5
2153,table_lamp,furniture,6
2154,table_lamp,furniture,9
2155,television,appliance,7
2156,stereo,electronics,2
2157,table_lamp,electronics,3
2158,end_table,furniture,5
2159,painting,electronics,2
2160,microwave,appliance,4
2161,painting,decoration,2
2162,end_table,electronics,6
2163,end_table,decoration,4
2164,microwave,decoration,2
2165,table_lamp,furniture,7
2166,stereo,decoration,3
2167,stereo,decoration,2
2168,end_table,furniture,2
2169,stereo,appliance,5
2170,painting,furniture,1
2171,television,furniture,4
2172,stereo,electronics,5
2173,microwave,electronics,7
2174,table_lamp,furniture,3
2175,stereo,appliance,6
2176,television,electronics,8
2177,table_lamp,furniture,8
2178,stereo,appliance,7
2179,table_lamp,decoration,10
2180,microwave,appliance,10
2181,stereo,appliance,5
2182,stereo,furniture,3
2183,stereo,electronics,9
2184,microwave,decoration,7
2185,painting,decoration,6
2186,painting,electronics,4
2187,television,appliance,5
2188,television,electronics,4
2189,television,appliance,10
2190,microwave,appliance,1
2191,microwave,appliance,8
2192,painting,decoration,2
2193,end_table,decoration,4
2194,table_lamp,appliance,1
2195,table_lamp,decoration,4
2196,table_lamp,appliance,9
2197,microwave,furniture,4
2198,television,appliance,9
2199,end_table,electronics,9
2200,television,decoration,4
2201,microwave,electronics,3
2202,stereo,furniture,2
2203,table_lamp,appliance,8
2204,table_lamp,appliance,5
2205,end_table,appliance,4
2206,television,electronics,8
2207,table_lamp,appliance,1
2208,stereo,furniture,9
2209,table_lamp,appliance,1
2210,television,electronics,5
2211,stereo,electronics,6
2212,end_table,electronics,8
2213,table_lamp,appliance,8
2214,painting,electronics,4
2215,end_table,electronics,9
2216,stereo,electronics,4
2217,painting,electronics,5
2218,television,electronics,5
2219,television,appliance,5
2220,painting,electronics,3
2221,stereo,electronics,2
2222,table_lamp,appliance,9
2223,stereo,electronics,9
2224,television,appliance,9
2225,painting,appliance,6
2226,stereo,furniture,6
2227,television,decoration,7
2228,stereo,decoration,2
2229,table_lamp,furniture,6
2230,microwave,electronics,5
2231,end_table,furniture,10
2232,table_lamp,furniture,3
2233,end_table,electronics,2
2234,television,appliance,7
2235,painting,decoration,1
2236,television,furniture,6
2237,television,appliance,8
2238,microwave,electronics,7
2239,painting,decoration,4
2240,end_table,appliance,1
2241,painting,furniture,2
2242,stereo,appliance,3
2243,end_table,electronics,8
2244,end_table,appliance,7
2245,stereo,appliance,3
2246,painting,decoration,7
2247,painting,electronics,5
2248,television,appliance,7
2249,painting,electronics,10
2250,table_lamp,electronics,2
2251,television,furniture,3
2252,microwave,electronics,3
2253,television,furniture,9
2254,table_lamp,electronics,7
2255,end_table,electronics,3
2256,painting,decoration,6
2257,microwave,electronics,3
2258,stereo,appliance,4
2259,end_table,decoration,2
2260,painting,electronics,8
2261,television,decoration,6
2262,painting,electronics,4
2263,stereo,electronics,8
2264,end_table,decoration,6
2265,painting,electronics,9
2266,painting,decoration,5
2267,microwave,electronics,3
2268,table_lamp,electronics,6
2269,table_lamp,furniture,3
2270,microwave,furniture,4
2271,microwave,furniture,6
2272,stereo,appliance,3
2273,microwave,appliance,2
2274,television,appliance,4
2275,table_lamp,appliance,6
2276,microwave,furniture,10
2277,end_table,appliance,6
2278,television,electronics,4
2279,television,appliance,6
2280,table_lamp,electronics,8
2281,stereo,decoration,4
2282,stereo,electronics,9
2283,television,appliance,1
2284,end_table,electronics,8
2285,table_lamp,electronics,5
2286,stereo,appliance,7
2287,stereo,electronics,5
2288,stereo,appliance,2
2289,painting,appliance,8
2290,table_lamp,decoration,9
2291,microwave,appliance,9
2292,table_lamp,furniture,7
2293,television,decoration,4
2294,table_lamp,appliance,2
2295,microwave,furniture,8
2296,table_lamp,furniture,2
2297,end_table,electronics,2
2298,television,decoration,3
2299,end_table,furniture,9
2300,end_table,decoration,4
2301,television,furniture,9
2302,microwave,furniture,7
2303,painting,furniture,6
2304,television,furniture,9
2305,painting,electronics,4
2306,microwave,electronics,7
2307,microwave,appliance,4
2308,table_lamp,furniture,7
2309,television,furniture,3
2310,stereo,decoration,2
2311,table_lamp,electronics,10
2312,stereo,decoration,10
2313,microwave,electronics,9
2314,end_table,furniture,4
2315,table_lamp,electronics,9
2316,painting,electronics,5
2317,end_table,furniture,2
2318,television,electronics,9
2319,painting,appliance,7
2320,end_table,decoration,2
2321,table_lamp,appliance,10
2322,microwave,electronics,6
2323,end_table,furniture,2
2324,table_lamp,electronics,6
2325,microwave,appliance,1
2326,table_lamp,appliance,10
2327,television,electronics,6
2328,table_lamp,decoration,3
2329,painting,appliance,6
2330,stereo,decoration,5
2331,table_lamp,appliance,3
2332,table_lamp,furniture,8
2333,stereo,furniture,2
2334,television,decoration,10
2335,microwave,electronics,10
2336,painting,appliance,6
2337,stereo,furniture,2
2338,table_lamp,furniture,8
2339,end_table,furniture,6
2340,table_lamp,appliance,8
2341,painting,decoration,1
2342,painting,appliance,2
2343,end_table,decoration,10
2344,stereo,appliance,7
2345,table_lamp,electronics,5
2346,television,decoration,6
2347,microwave,decoration,4
2348,television,decoration,2
2349,end_table,decoration,4
2350,microwave,furniture,4
2351,television,decoration,1
2352,microwave,appliance,7
2353,painting,furniture,5
2354,microwave,furniture,4
2355,microwave,furniture,10
2356,microwave,appliance,3
2357,television,furniture,6
2358,stereo,appliance,2
2359,stereo,decoration,9
2360,stereo,furniture,9
2361,stereo,furniture,7
2362,table_lamp,appliance,5
2363,stereo,appliance,3
2364,painting,furniture,7
2365,painting,electronics,1
2366,microwave,decoration,6
2367,end_table,furniture,3
2368,table_lamp,furniture,3
2369,microwave,electronics,2
2370,microwave,appliance,3
2371,table_lamp,furniture,6
2372,microwave,furniture,8
2373,television,decoration,6
2374,stereo,furniture,10
2375,table_lamp,decoration,7
2376,stereo,decoration,5
2377,painting,appliance,4
2378,stereo,electronics,9
2379,television,decoration,7
2380,stereo,appliance,8
2381,end_table,appliance,3
2382,stereo,furniture,4
2383,microwave,electronics,4
2384,table_lamp,appliance,1
2385,television,appliance,2
2386,table_lamp,appliance,3
2387,end_table,decoration,1
2388,microwave,appliance,7
2389,stereo,furniture,1
2390,microwave,electronics,3
2391,end_table,decoration,5
2392,painting,furniture,4
2393,end_table,appliance,7
2394,microwave,decoration,8
2395,stereo,electronics,8
2396,microwave,appliance,6
2397,television,decoration,4
2398,microwave,furniture,10
2399,painting,appliance,1
2400,painting,furniture,7
2401,stereo,appliance,5
2402,stereo,decoration,8
2403,end_table,appliance,1
2404,table_lamp,decoration,5
2405,end_table,appliance,6
2406,end_table,electronics,4
2407,stereo,appliance,6
2408,painting,appliance,9
2409,microwave,furniture,6
2410,television,appliance,7
2411,table_lamp,furniture,9
2412,painting,decoration,9
2413,stereo,decoration,1
2414,painting,furniture,2
2415,television,decoration,10
2416,television,furniture,8
2417,table_lamp,furniture,8
2418,television,electronics,5
2419,television,electronics,8
2420,painting,electronics,2
2421,microwave,appliance,6
2422,television,furniture,5
2423,stereo,furniture,6
2424,microwave,decoration,4
2425,table_lamp,furniture,3
2426,microwave,appliance,4
2427,microwave,furniture,9
2428,stereo,decoration,6
2429,stereo,decoration,1
2430,microwave,electronics,7
2431,end_table,furniture,1
2432,table_lamp,appliance,6
2433,stereo,decoration,7
2434,table_lamp,furniture,6
2435,microwave,furniture,5
2436,end_table,furniture,3
2437,microwave,decoration,3
2438,microwave,furniture,3
2439,stereo,furniture,1
2440,microwave,appliance,6
2441,table_lamp,electronics,10
2442,microwave,electronics,2
2443,end_table,furniture,10
2444,stereo,appliance,3
2445,stereo,appliance,2
2446,stereo,appliance,5
2447,television,electronics,2
2448,painting,decoration,5
2449,end_table,electronics,9
2450,stereo,furniture,2
2451,microwave,appliance,10
2452,stereo,furniture,6
2453,end_table,electronics,4
2454,microwave,appliance,3
2455,television,electronics,4
2456,painting,electronics,4
2457,television,appliance,4
2458,microwave,furniture,10
2459,painting,appliance,7
2460,stereo,appliance,5
2461,table_lamp,electronics,10
2462,painting,electronics,10
2463,stereo,furniture,5
2464,stereo,appliance,9
2465,table_lamp,decoration,9
2466,table_lamp,furniture,2
2467,table_lamp,appliance,10
2468,stereo,decoration,6
2469,television,furniture,6
2470,stereo,appliance,6
2471,table_lamp,furniture,5
2472,microwave,electronics,4
2473,microwave,appliance,1
2474,stereo,appliance,2
2475,microwave,appliance,2
2476,painting,furniture,2
2477,painting,electronics,2
2478,table_lamp,furniture,7
2479,microwave,electronics,7
2480,microwave,electronics,6
2481,stereo,furniture,1
2482,end_table,furniture,4
2483,microwave,decoration,2
2484,stereo,furniture,2
2485,stereo,decoration,3
2486,painting,appliance,5
2487,microwave,furniture,4
2488,stereo,decoration,2
2489,painting,decoration,2
2490,television,decoration,1
2491,television,appliance,9
2492,painting,appliance,10
2493,television,decoration,4
2494,painting,furniture,2
2495,end_table,appliance,9
2496,end_table,furniture,7
2497,television,furniture,1
2498,television,furniture,7
2499,television,decoration,9
2500,end_table,appliance,3
2501,microwave,appliance,4
2502,end_table,electronics,7
2503,stereo,appliance,10
2504,television,appliance,10
2505,television,appliance,7
2506,table_lamp,appliance,2
2507,microwave,appliance,1
2508,painting,appliance,5
2509,microwave,furniture,1
2510,microwave,decoration,7
2511,television,electronics,2
2512,stereo,appliance,4
2513,stereo,electronics,4
2514,stereo,electronics,7
2515,stereo,electronics,3
2516,television,electronics,2
2517,end_table,furniture,6
2518,television,furniture,5
2519,microwave,decoration,1
2520,end_table,decoration,6
2521,microwave,electronics,9
2522,stereo,furniture,10
2523,stereo,decoration,6
2524,table_lamp,appliance,9
2525,table_lamp,decoration,9
2526,painting,furniture,4
2527,stereo,appliance,9
2528,television,electronics,3
2529,table_lamp,decoration,4
2530,table_lamp,electronics,7
2531,end_table,appliance,5
2532,painting,furniture,5
2533,stereo,furniture,3
2534,stereo,appliance,2
2535,stereo,decoration,1
2536,end_table,decoration,1
2537,stereo,decoration,1
2538,table_lamp,decoration,9
2539,table_lamp,decoration,6
2540,microwave,furniture,3
2541,painting,electronics,3
2542,stereo,furniture,7
2543,television,furniture,7
2544,stereo,furniture,2
2545,painting,electronics,6
2546,microwave,furniture,6
2547,table_lamp,appliance,5
2548,table_lamp,electronics,5
2549,stereo,electronics,2
2550,end_table,electronics,8
2551,stereo,furniture,9
2552,stereo,electronics,3
2553,television,electronics,9
2554,microwave,appliance,9
2555,stereo,decoration,7
2556,television,decoration,9
2557,television,furniture,4
2558,microwave,electronics,9
2559,television,electronics,6
2560,painting,furniture,1
