customer_id,product_id
1791,2866
1109,2580
1250,2607
1100,2855
1591,2342
1077,2328
1638,2452
1381,2307
1201,2723
1686,2396
1566,2608
1475,2474
1697,2781
1627,2434
1530,2832
1994,2422
1445,2634
1198,2317
1611,2588
1463,2909
1529,2086
1796,2901
1069,2970
1215,2739
1920,2278
1200,2336
1846,2706
1407,2962
1050,2511
1737,2231
1180,2185
1618,2518
1010,2772
1267,2869
1434,2708
1181,2658
1546,2534
1428,2983
1460,2560
1250,2079
1150,2159
1527,2936
1414,2473
1177,2071
1646,2949
1843,2556
1499,2512
1740,2081
1580,2131
1941,2330
1221,2882
1629,2007
1057,2754
1352,2812
1939,2516
1825,2146
1498,2593
1791,2215
1868,2616
1216,2329
1219,2286
1904,2911
1962,2805
1103,2011
1010,2761
1157,2937
1657,2759
1854,2427
1243,2846
1324,2762
1220,2962
1743,2561
1215,2238
1104,2921
1252,2494
1645,2557
1457,2086
1467,2452
1538,2161
1053,2248
1049,2478
1666,2686
1568,2442
1517,2149
1873,2899
1171,2651
1086,2691
1684,2857
1084,2600
1123,2999
1368,2936
1631,2762
1102,2132
1036,2857
1828,2421
1737,2743
1745,2290
1571,2306
1224,2789
1350,2679
1848,2725
1736,2641
1600,2766
1062,2723
1166,2251
1212,2162
1834,2589
1347,2777
1805,2998
1287,2080
1280,2743
1012,2145
1923,2466
1778,2730
1029,2333
1358,2434
1023,2371
1389,2563
1313,2247
1259,2642
1808,2018
1105,2895
1401,2914
1753,2688
1994,2404
1265,2144
1177,2838
1323,2267
1109,2856
1859,2455
1957,2505
1806,2898
1356,2121
1884,2350
1607,2228
1142,2592
1099,2520
1280,2605
1591,2184
1041,2473
1143,2233
1081,2914
1299,2216
1897,2958
1749,2232
1359,2140
1367,2043
1048,2178
1852,2099
1185,2268
1907,2678
1332,2292
1779,2464
1602,2811
1924,2496
1639,2985
1866,2790
1353,2020
1217,2463
1056,2840
1375,2953
1215,2871
1993,2148
1979,2555
1471,2173
1093,2321
1227,2031
1561,2308
1118,2056
1779,2246
1046,2318
1439,2468
1298,2726
1838,2523
1842,2354
1161,2695
1217,2581
1905,2351
1341,2516
1927,2027
1821,2048
1677,2188
1357,2858
1549,2146
1764,2494
1054,2132
1695,2818
1051,2522
1170,2570
1190,2164
1759,2717
1152,2638
1796,2319
1809,2263
1768,2108
1858,2644
1202,2457
1609,2435
1285,2397
1455,2509
1060,2057
1294,2766
1570,2462
1374,2153
1121,2615
1624,2906
1014,2796
1396,2191
1609,2438
1358,2461
1923,2877
1804,2818
1133,2697
1121,2322
1240,2228
1723,2119
1493,2462
1431,2697
1527,2516
1238,2083
1298,2244
1753,2316
1501,2248
1075,2486
1450,2715
1538,2413
1917,2865
1921,2168
1089,2732
1692,2610
1469,2526
1706,2764
1108,2495
1362,2102
1770,2274
1894,2010
1988,2674
1338,2302
1835,2140
1237,2897
1311,2026
1449,2846
1393,2847
1299,2647
1425,2384
1285,2025
1563,2239
1130,2675
1465,2562
1031,2161
1304,2030
1973,2095
1649,2311
1629,2904
1094,2265
1718,2198
1189,2355
1389,2365
1617,2763
1957,2952
1455,2716
1962,2187
1268,2679
1085,2725
1942,2762
1722,2024
1403,2138
1149,2757
1271,2756
1538,2691
1678,2860
1934,2835
1471,2898
1890,2864
1587,2992
1121,2278
1110,2403
1467,2942
1121,2071
1294,2148
1151,2889
1068,2130
1588,2905
1852,2798
1830,2176
1462,2878
1708,2383
1688,2229
1316,2777
1664,2913
1935,2351
1458,2131
1730,2366
1242,2323
1558,2724
1080,2134
1619,2213
1284,2879
1653,2585
1900,2805
1526,2419
1283,2922
1402,2468
1813,2803
1226,2700
1745,2500
1205,2514
1537,2148
1081,2773
1251,2543
1918,2526
1735,2001
1395,2796
1332,2910
1874,2348
1921,2257
1943,2110
1856,2496
1015,2678
1013,2154
1327,2003
1665,2868
1525,2383
1471,2311
1033,2800
1027,2630
1959,2383
1785,2133
1882,2561
1066,2563
1422,2304
1816,2346
1885,2850
1166,2461
1499,2108
1320,2114
1568,2553
1265,2647
1913,2403
1481,2290
1988,2470
1680,2058
1753,2980
1246,2037
1784,2006
1203,2344
1404,2063
1986,2856
1214,2515
1795,2284
1690,2409
1803,2020
1884,2872
1318,2288
1405,2761
1399,2954
1781,2297
1031,2051
1446,2951
1875,2393
1663,2146
1199,2090
1289,2758
1749,2927
1780,2251
1198,2960
1426,2143
1219,2907
1781,2860
1790,2296
1613,2073
1087,2125
1469,2122
1110,2398
1080,2288
1058,2421
1485,2597
1936,2931
1914,2383
1948,2522
1484,2569
1128,2589
1808,2599
1595,2509
1265,2957
1100,2777
1150,2490
1562,2918
1389,2822
1802,2593
1214,2801
1210,2525
1755,2800
1351,2192
1714,2656
1932,2986
1085,2769
1757,2124
1322,2499
1648,2788
1672,2145
1485,2349
1216,2387
1835,2809
1645,2749
1895,2557
1038,2483
1583,2259
1751,2917
1104,2349
1812,2227
1398,2443
1152,2742
1307,2373
1156,2040
1650,2178
1639,2894
1192,2817
1130,2610
1817,2210
1717,2900
1956,2075
1428,2242
1836,2743
1178,2617
1109,2551
1288,2188
1947,2573
1579,2370
1279,2492
1788,2052
1364,2519
1463,2849
1442,2018
1456,2046
1799,2798
1834,2695
1707,2054
1839,2330
1045,2460
1581,2241
1653,2114
1497,2684
1889,2649
1319,2598
1950,2469
1499,2056
1281,2584
1128,2174
1345,2444
1822,2737
1113,2756
1711,2155
1473,2401
1220,2915
1966,2865
1326,2519
1490,2936
1038,2119
1720,2209
1794,2003
1540,2919
1155,2908
1074,2817
1819,2547
1071,2311
1201,2349
1581,2898
1772,2863
1237,2476
1778,2699
1029,2322
1033,2587
1238,2733
1270,2171
1683,2456
1957,2145
1616,2765
1476,2929
1414,2816
1601,2761
1324,2392
1852,2910
1468,2221
1162,2949
1612,2374
1145,2696
1887,2763
1582,2523
1524,2589
1760,2270
1752,2434
1952,2922
1315,2848
1969,2227
1785,2096
1472,2468
1581,2349
1160,2463
1139,2786
1317,2757
1242,2451
1931,2864
1985,2716
1397,2098
1109,2634
1520,2404
1231,2964
1001,2786
1312,2730
1831,2429
1992,2258
1661,2335
1158,2628
1511,2044
1352,2149
1226,2939
1647,2871
1484,2586
1156,2733
1443,2232
1580,2010
1755,2626
1214,2294
1222,2122
1200,2230
1398,2182
1773,2830
1911,2016
1374,2445
1710,2469
1134,2075
1512,2388
1343,2538
1211,2097
1472,2417
1531,2941
1034,2646
1374,2926
1687,2594
1872,2202
1330,2575
1218,2795
1427,2423
1974,2501
1027,2423
1266,2255
1242,2765
1924,2676
1945,2642
1921,2226
1704,2914
1541,2773
1258,2662
1210,2103
1262,2862
1930,2691
1758,2369
1784,2424
1851,2863
1117,2929
1416,2270
1405,2706
1952,2419
1632,2868
1054,2178
1602,2900
1912,2340
1302,2943
1793,2010
1048,2217
1768,2562
1218,2823
1330,2073
1498,2825
1261,2380
1352,2468
1971,2220
1870,2330
1115,2861
1944,2541
1827,2951
1947,2996
1112,2006
1473,2995
1292,2345
1818,2485
1032,2973
1825,2859
1524,2679
1038,2014
1271,2051
1775,2230
1172,2175
1236,2365
1708,2905
1478,2567
1064,2795
1601,2940
1131,2569
1749,2709
1444,2042
1339,2713
1636,2596
1696,2614
1043,2463
1697,2186
1716,2347
1302,2917
1110,2907
1473,2547
1652,2600
1243,2305
1117,2930
1253,2153
1413,2401
1549,2722
1391,2035
1202,2686
1696,2573
1566,2490
1988,2638
1888,2802
1423,2059
1019,2538
1248,2155
1292,2938
1205,2501
1246,2593
1174,2529
1520,2662
1675,2492
1895,2087
1592,2805
1882,2529
1270,2600
1077,2380
1626,2251
1277,2553
1538,2781
1481,2699
1464,2517
1690,2631
1113,2040
1728,2760
1215,2680
1759,2240
1781,2923
1006,2605
1951,2585
1634,2292
1625,2346
1605,2340
1511,2025
1494,2402
1731,2474
1074,2057
1512,2098
1357,2334
1747,2475
1140,2758
1745,2780
1443,2673
1306,2812
1186,2147
1482,2914
1440,2561
1707,2795
1675,2416
1493,2026
1131,2670
1542,2782
1994,2235
1693,2320
1265,2455
1587,2578
1557,2558
1106,2752
1742,2895
1924,2484
1294,2597
1702,2933
1998,2269
1939,2819
1177,2249
1103,2961
1623,2843
1997,2155
1912,2078
1433,2820
1206,2321
1222,2083
1953,2913
1465,2371
1675,2054
1852,2509
1784,2458
1584,2573
1680,2531
1135,2921
1474,2389
1646,2803
1655,2412
1075,2958
1316,2761
1612,2725
1794,2081
1491,2627
1283,2605
1498,2306
1938,2397
1497,2167
1082,2206
1831,2095
1932,2642
1916,2169
1622,2004
1202,2395
1694,2885
1594,2478
1698,2834
1360,2390
1904,2971
1687,2707
1025,2065
1681,2474
1244,2749
1736,2676
1957,2375
1787,2644
1079,2335
1861,2977
1835,2295
1786,2209
1853,2524
1055,2649
1546,2456
1971,2093
1174,2665
1826,2866
1907,2417
1402,2271
1038,2169
1659,2046
1858,2599
1676,2414
1269,2150
1338,2506
1526,2571
1170,2844
1472,2908
1853,2945
1837,2228
1751,2995
1799,2208
1161,2635
1133,2880
1136,2126
1610,2578
1890,2882
1011,2920
1617,2928
1953,2733
1438,2472
1085,2041
1813,2802
1708,2367
1026,2880
1666,2296
1384,2602
1602,2461
1424,2289
1945,2806
1153,2778
1290,2149
1097,2681
1382,2565
1274,2012
1198,2586
1472,2444
1813,2956
1776,2682
1385,2336
1105,2208
1723,2022
1177,2739
1616,2032
1126,2934
1130,2682
1829,2036
1644,2707
1059,2213
1272,2836
1386,2522
1010,2024
1357,2247
1363,2719
1509,2831
1608,2029
1550,2985
1141,2107
1665,2556
1654,2798
1068,2228
1767,2679
1977,2297
1368,2581
1716,2811
1037,2401
1337,2860
1598,2401
1655,2367
1843,2070
1024,2026
1504,2961
1857,2978
1269,2781
1453,2931
1412,2164
1718,2785
1661,2393
1106,2739
1347,2959
1196,2123
1518,2851
1486,2679
1049,2201
1852,2404
1946,2790
1851,2242
1706,2553
1713,2046
1702,2016
1408,2897
1221,2337
1438,2694
1663,2331
1656,2642
1354,2834
1487,2241
1808,2782
1708,2079
1675,2416
1411,2505
1128,2190
1526,2506
1736,2982
1283,2984
1029,2869
1145,2702
1724,2420
1128,2554
1503,2889
1878,2405
1698,2202
1889,2570
1406,2042
1563,2214
1070,2998
1412,2397
1487,2547
1387,2833
1047,2326
1570,2771
1208,2982
1250,2700
1235,2041
1933,2292
1367,2931
1881,2105
1398,2426
1455,2526
1766,2846
1617,2738
1506,2594
1658,2552
1223,2975
1270,2617
1465,2103
1878,2854
1904,2841
1069,2925
1907,2235
1842,2174
1699,2739
1637,2216
1860,2527
1619,2467
1480,2271
1064,2171
1302,2780
1917,2960
1926,2670
1303,2898
1964,2819
1830,2483
1364,2846
1448,2969
1237,2923
1232,2225
1378,2588
1704,2055
1366,2803
1930,2727
1711,2249
1433,2871
1584,2403
1865,2969
1323,2929
1966,2215
1173,2036
1767,2191
1491,2041
1398,2970
1140,2198
1421,2778
1430,2501
1592,2692
1738,2791
1838,2916
1488,2870
1927,2125
1787,2923
1138,2830
1526,2342
1724,2369
1319,2850
1687,2565
1493,2544
1602,2404
1346,2578
1619,2455
1278,2649
1275,2825
1583,2803
1070,2267
1376,2270
1605,2415
1704,2375
1265,2163
1808,2562
1527,2846
1300,2044
1243,2597
1123,2557
1671,2591
1322,2699
1255,2835
1995,2780
1185,2521
1328,2081
1345,2091
1292,2159
1858,2283
1217,2904
1014,2011
1451,2610
1888,2895
1683,2665
1143,2160
1115,2668
1763,2936
1911,2566
1897,2298
1672,2056
1575,2175
1235,2832
1126,2644
1960,2299
1236,2913
1973,2376
1791,2581
1452,2772
1849,2802
1594,2902
1877,2516
1599,2791
1338,2452
1986,2275
1575,2588
1228,2720
1106,2160
1910,2515
1167,2010
1274,2957
1743,2406
1357,2854
1890,2205
1247,2434
1193,2713
1007,2522
1616,2960
1251,2749
1730,2257
1511,2825
1718,2159
1301,2749
1819,2989
1732,2253
1042,2406
