2020-05-04 09:40:25,799 charges_calc.py:73  WARNING Invalid end date of 2017-03-22 00:00:00 found in record RNT001
2020-05-04 09:40:25,800 charges_calc.py:82  WARNING Value Error on record RNT001, value {'product_code': 'PRD80', 'units_rented': 8, 'price_per_day': 31, 'rental_start': '6/12/17', 'rental_end': '3/22/17', 'total_days': -82, 'total_price': -2542} square of the total price
2020-05-04 09:40:25,801 charges_calc.py:73  WARNING Invalid end date of 2018-07-29 00:00:00 found in record RNT006
2020-05-04 09:40:25,802 charges_calc.py:82  WARNING Value Error on record RNT006, value {'product_code': 'PRD51', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '8/26/18', 'rental_end': '7/29/18', 'total_days': -28, 'total_price': -560} square of the total price
2020-05-04 09:40:25,809 charges_calc.py:73  WARNING Invalid end date of 2017-05-31 00:00:00 found in record RNT007
2020-05-04 09:40:25,809 charges_calc.py:82  WARNING Value Error on record RNT007, value {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 16, 'rental_start': '7/10/17', 'rental_end': '5/31/17', 'total_days': -40, 'total_price': -640} square of the total price
2020-05-04 09:40:25,810 charges_calc.py:73  WARNING Invalid end date of 2018-07-04 00:00:00 found in record RNT008
2020-05-04 09:40:25,810 charges_calc.py:82  WARNING Value Error on record RNT008, value {'product_code': 'PRD32', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '10/25/18', 'rental_end': '7/4/18', 'total_days': -113, 'total_price': -1356} square of the total price
2020-05-04 09:40:25,811 charges_calc.py:73  WARNING Invalid end date of 2016-07-28 00:00:00 found in record RNT009
2020-05-04 09:40:25,811 charges_calc.py:82  WARNING Value Error on record RNT009, value {'product_code': 'PRD13', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '11/3/18', 'rental_end': '7/28/16', 'total_days': -828, 'total_price': -4968} square of the total price
2020-05-04 09:40:25,812 charges_calc.py:73  WARNING Invalid end date of 2017-08-27 00:00:00 found in record RNT010
2020-05-04 09:40:25,812 charges_calc.py:82  WARNING Value Error on record RNT010, value {'product_code': 'PRD22', 'units_rented': 6, 'price_per_day': 27, 'rental_start': '3/15/18', 'rental_end': '8/27/17', 'total_days': -200, 'total_price': -5400} square of the total price
2020-05-04 09:40:25,813 charges_calc.py:73  WARNING Invalid end date of 2016-04-29 00:00:00 found in record RNT011
2020-05-04 09:40:25,813 charges_calc.py:82  WARNING Value Error on record RNT011, value {'product_code': 'PRD17', 'units_rented': 7, 'price_per_day': 26, 'rental_start': '9/29/17', 'rental_end': '4/29/16', 'total_days': -518, 'total_price': -13468} square of the total price
2020-05-04 09:40:25,813 charges_calc.py:73  WARNING Invalid end date of 2016-01-15 00:00:00 found in record RNT012
2020-05-04 09:40:25,814 charges_calc.py:82  WARNING Value Error on record RNT012, value {'product_code': 'PRD55', 'units_rented': 4, 'price_per_day': 18, 'rental_start': '10/24/17', 'rental_end': '1/15/16', 'total_days': -648, 'total_price': -11664} square of the total price
2020-05-04 09:40:25,814 charges_calc.py:73  WARNING Invalid end date of 2016-07-30 00:00:00 found in record RNT014
2020-05-04 09:40:25,815 charges_calc.py:82  WARNING Value Error on record RNT014, value {'product_code': 'PRD0', 'units_rented': 7, 'price_per_day': 37, 'rental_start': '1/30/17', 'rental_end': '7/30/16', 'total_days': -184, 'total_price': -6808} square of the total price
2020-05-04 09:40:25,815 charges_calc.py:73  WARNING Invalid end date of 2016-02-05 00:00:00 found in record RNT016
2020-05-04 09:40:25,816 charges_calc.py:82  WARNING Value Error on record RNT016, value {'product_code': 'PRD52', 'units_rented': 10, 'price_per_day': 11, 'rental_start': '6/18/18', 'rental_end': '2/5/16', 'total_days': -864, 'total_price': -9504} square of the total price
2020-05-04 09:40:25,819 charges_calc.py:73  WARNING Invalid end date of 2018-04-11 00:00:00 found in record RNT017
2020-05-04 09:40:25,819 charges_calc.py:82  WARNING Value Error on record RNT017, value {'product_code': 'PRD5', 'units_rented': 10, 'price_per_day': 36, 'rental_start': '4/28/18', 'rental_end': '4/11/18', 'total_days': -17, 'total_price': -612} square of the total price
2020-05-04 09:40:25,820 charges_calc.py:73  WARNING Invalid end date of 2016-01-13 00:00:00 found in record RNT018
2020-05-04 09:40:25,820 charges_calc.py:82  WARNING Value Error on record RNT018, value {'product_code': 'PRD59', 'units_rented': 9, 'price_per_day': 40, 'rental_start': '8/16/16', 'rental_end': '1/13/16', 'total_days': -216, 'total_price': -8640} square of the total price
2020-05-04 09:40:25,821 charges_calc.py:73  WARNING Invalid end date of 2016-05-10 00:00:00 found in record RNT019
2020-05-04 09:40:25,821 charges_calc.py:82  WARNING Value Error on record RNT019, value {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 39, 'rental_start': '12/16/17', 'rental_end': '5/10/16', 'total_days': -585, 'total_price': -22815} square of the total price
2020-05-04 09:40:25,823 charges_calc.py:73  WARNING Invalid end date of 2016-01-12 00:00:00 found in record RNT020
2020-05-04 09:40:25,823 charges_calc.py:82  WARNING Value Error on record RNT020, value {'product_code': 'PRD2', 'units_rented': 9, 'price_per_day': 33, 'rental_start': '6/20/18', 'rental_end': '1/12/16', 'total_days': -890, 'total_price': -29370} square of the total price
2020-05-04 09:40:25,824 charges_calc.py:73  WARNING Invalid end date of 2016-02-09 00:00:00 found in record RNT021
2020-05-04 09:40:25,825 charges_calc.py:82  WARNING Value Error on record RNT021, value {'product_code': 'PRD97', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '8/31/17', 'rental_end': '2/9/16', 'total_days': -569, 'total_price': -18777} square of the total price
2020-05-04 09:40:25,825 charges_calc.py:73  WARNING Invalid end date of 2016-05-28 00:00:00 found in record RNT025
2020-05-04 09:40:25,826 charges_calc.py:82  WARNING Value Error on record RNT025, value {'product_code': 'PRD28', 'units_rented': 5, 'price_per_day': 26, 'rental_start': '3/2/18', 'rental_end': '5/28/16', 'total_days': -643, 'total_price': -16718} square of the total price
2020-05-04 09:40:25,826 charges_calc.py:73  WARNING Invalid end date of 2016-04-21 00:00:00 found in record RNT026
2020-05-04 09:40:25,827 charges_calc.py:82  WARNING Value Error on record RNT026, value {'product_code': 'PRD40', 'units_rented': 6, 'price_per_day': 24, 'rental_start': '3/27/18', 'rental_end': '4/21/16', 'total_days': -705, 'total_price': -16920} square of the total price
2020-05-04 09:40:25,827 charges_calc.py:73  WARNING Invalid end date of 2017-05-06 00:00:00 found in record RNT028
2020-05-04 09:40:25,829 charges_calc.py:82  WARNING Value Error on record RNT028, value {'product_code': 'PRD63', 'units_rented': 10, 'price_per_day': 17, 'rental_start': '7/6/18', 'rental_end': '5/6/17', 'total_days': -426, 'total_price': -7242} square of the total price
