id,description,product_type,quantity_available
prd00001,desk,living room,16
prd00002,table,living room,15
prd00003,chair,bedroom,6
prd00004,bed,bedroom,7
prd00005,table,living room,17
prd00006,table,kitchen,1
prd00007,table,bedroom,7
prd00008,bed,living room,2
prd00009,chair,kitchen,9
prd00010,bed,living room,2
prd00011,chair,living room,16
prd00012,bed,living room,6
prd00013,desk,kitchen,11
prd00014,chair,bedroom,13
prd00015,bed,kitchen,12
prd00016,chair,living room,19
prd00017,desk,kitchen,0
prd00018,chair,bedroom,1
prd00019,chair,kitchen,1
prd00020,table,kitchen,16
prd00021,table,bedroom,6
prd00022,bed,bedroom,1
prd00023,table,kitchen,0
prd00024,TV,bedroom,6
prd00025,chair,living room,12
prd00026,TV,living room,8
prd00027,table,kitchen,10
prd00028,table,bedroom,0
prd00029,table,bedroom,8
prd00030,table,bedroom,9
prd00031,table,living room,14
prd00032,chair,kitchen,2
prd00033,table,kitchen,20
prd00034,desk,living room,10
prd00035,desk,kitchen,9
prd00036,chair,living room,1
prd00037,bed,living room,3
prd00038,chair,bedroom,0
prd00039,bed,kitchen,14
prd00040,TV,living room,18
prd00041,table,kitchen,14
prd00042,TV,kitchen,8
prd00043,TV,bedroom,15
prd00044,bed,kitchen,10
prd00045,TV,kitchen,20
prd00046,TV,bedroom,20
prd00047,bed,kitchen,19
prd00048,chair,living room,1
prd00049,desk,kitchen,0
prd00050,chair,kitchen,13
prd00051,desk,living room,2
prd00052,desk,living room,5
prd00053,bed,living room,4
prd00054,desk,kitchen,11
prd00055,desk,living room,1
prd00056,TV,living room,12
prd00057,desk,bedroom,19
prd00058,desk,bedroom,4
prd00059,bed,bedroom,4
prd00060,TV,kitchen,17
prd00061,desk,bedroom,1
prd00062,chair,bedroom,2
prd00063,table,kitchen,18
prd00064,desk,kitchen,19
prd00065,bed,living room,7
prd00066,desk,living room,0
prd00067,table,kitchen,4
prd00068,desk,bedroom,9
prd00069,table,bedroom,0
prd00070,desk,living room,11
prd00071,chair,kitchen,13
prd00072,chair,bedroom,6
prd00073,chair,kitchen,13
prd00074,bed,kitchen,6
prd00075,table,bedroom,18
prd00076,TV,kitchen,15
prd00077,chair,bedroom,1
prd00078,desk,bedroom,20
prd00079,bed,living room,18
prd00080,TV,living room,17
prd00081,table,living room,12
prd00082,chair,living room,8
prd00083,bed,living room,18
prd00084,bed,living room,17
prd00085,bed,bedroom,3
prd00086,table,kitchen,9
prd00087,table,bedroom,0
prd00088,TV,bedroom,8
prd00089,TV,bedroom,1
prd00090,bed,living room,8
prd00091,TV,living room,8
prd00092,table,kitchen,19
prd00093,chair,kitchen,8
prd00094,bed,bedroom,17
prd00095,desk,kitchen,17
prd00096,table,kitchen,10
prd00097,bed,bedroom,12
prd00098,chair,bedroom,3
prd00099,table,living room,17
prd00100,table,living room,10
prd00101,bed,living room,8
