rnt0000,prd0968,cust0923
rnt0001,prd0808,cust0930
rnt0002,prd0895,cust0909
rnt0003,prd0008,cust0777
rnt0004,prd0212,cust0448
rnt0005,prd0243,cust0627
rnt0006,prd0967,cust0678
rnt0007,prd0576,cust0720
rnt0008,prd0653,cust0424
rnt0009,prd0969,cust0689
rnt0010,prd0502,cust0487
rnt0011,prd0485,cust0626
rnt0012,prd0972,cust0648
rnt0013,prd0003,cust0132
rnt0014,prd0632,cust0976
rnt0015,prd0560,cust0049
rnt0016,prd0181,cust0605
rnt0017,prd0093,cust0987
rnt0018,prd0440,cust0494
rnt0019,prd0978,cust0376
rnt0020,prd0418,cust0920
rnt0021,prd0210,cust0813
rnt0022,prd0740,cust0718
rnt0023,prd0868,cust0048
rnt0024,prd0509,cust0500
rnt0025,prd0498,cust0496
rnt0026,prd0657,cust0160
rnt0027,prd0388,cust0308
rnt0028,prd0947,cust0754
rnt0029,prd0230,cust0535
rnt0030,prd0842,cust0611
rnt0031,prd0510,cust0024
rnt0032,prd0490,cust0363
rnt0033,prd0450,cust0506
rnt0034,prd0047,cust0202
rnt0035,prd0760,cust0227
rnt0036,prd0640,cust0827
rnt0037,prd0855,cust0203
rnt0038,prd0878,cust0213
rnt0039,prd0929,cust0413
rnt0040,prd0428,cust0367
rnt0041,prd0684,cust0051
rnt0042,prd0247,cust0913
rnt0043,prd0513,cust0640
rnt0044,prd0022,cust0633
rnt0045,prd0176,cust0683
rnt0046,prd0177,cust0549
rnt0047,prd0334,cust0681
rnt0048,prd0610,cust0590
rnt0049,prd0312,cust0213
rnt0050,prd0992,cust0267
rnt0051,prd0767,cust0855
rnt0052,prd0725,cust0784
rnt0053,prd0959,cust0757
rnt0054,prd0786,cust0603
rnt0055,prd0339,cust0796
rnt0056,prd0733,cust0984
rnt0057,prd0643,cust0153
rnt0058,prd0086,cust0467
rnt0059,prd0660,cust0440
rnt0060,prd0415,cust0348
rnt0061,prd0029,cust0855
rnt0062,prd0373,cust0531
rnt0063,prd0359,cust0042
rnt0064,prd0965,cust0394
rnt0065,prd0732,cust0442
rnt0066,prd0134,cust0562
rnt0067,prd0841,cust0191
rnt0068,prd0944,cust0615
rnt0069,prd0085,cust0491
rnt0070,prd0130,cust0533
rnt0071,prd0701,cust0783
rnt0072,prd0131,cust0224
rnt0073,prd0191,cust0313
rnt0074,prd0401,cust0025
rnt0075,prd0380,cust0763
rnt0076,prd0959,cust0941
rnt0077,prd0304,cust0601
rnt0078,prd0950,cust0412
rnt0079,prd0104,cust0841
rnt0080,prd0751,cust0579
rnt0081,prd0386,cust0394
rnt0082,prd0413,cust0721
rnt0083,prd0999,cust0368
