rental_id,user_id,product_id
rent_1,cust_1,prod_1
rent_2,cust_1,prod_3
rent_3,cust_2,prod_3
rent_4,cust_2,prod_4
rent_5,cust_3,prod_1
rent_6,cust_3,prod_3
rent_7,cust_3,prod_4
rent_8,cust_3,prod_5
rent_9,cust_532,prod_77
rent_10,cust_331,prod_450
rent_11,cust_55,prod_302
rent_12,cust_579,prod_97
rent_13,cust_824,prod_657
rent_14,cust_380,prod_140
rent_15,cust_570,prod_1000
rent_16,cust_594,prod_949
rent_17,cust_531,prod_917
rent_18,cust_622,prod_546
rent_19,cust_799,prod_411
rent_20,cust_435,prod_598
rent_21,cust_258,prod_559
rent_22,cust_357,prod_319
rent_23,cust_81,prod_234
rent_24,cust_479,prod_152
rent_25,cust_383,prod_163
rent_26,cust_116,prod_817
rent_27,cust_757,prod_243
rent_28,cust_447,prod_43
rent_29,cust_749,prod_678
rent_30,cust_983,prod_866
rent_31,cust_506,prod_448
rent_32,cust_875,prod_299
rent_33,cust_228,prod_520
rent_34,cust_640,prod_534
rent_35,cust_654,prod_376
rent_36,cust_2,prod_197
rent_37,cust_294,prod_267
rent_38,cust_187,prod_99
rent_39,cust_916,prod_183
rent_40,cust_840,prod_958
rent_41,cust_66,prod_759
rent_42,cust_428,prod_861
rent_43,cust_719,prod_542
rent_44,cust_428,prod_552
rent_45,cust_87,prod_70
rent_46,cust_563,prod_313
rent_47,cust_854,prod_221
rent_48,cust_809,prod_520
rent_49,cust_803,prod_171
rent_50,cust_979,prod_118
rent_51,cust_267,prod_37
rent_52,cust_108,prod_391
rent_53,cust_962,prod_19
rent_54,cust_963,prod_128
rent_55,cust_349,prod_420
rent_56,cust_253,prod_721
rent_57,cust_222,prod_530
rent_58,cust_975,prod_815
rent_59,cust_234,prod_799
rent_60,cust_267,prod_206
rent_61,cust_313,prod_605
rent_62,cust_747,prod_986
rent_63,cust_888,prod_261
rent_64,cust_299,prod_378
rent_65,cust_787,prod_735
rent_66,cust_349,prod_186
rent_67,cust_990,prod_88
rent_68,cust_863,prod_384
rent_69,cust_685,prod_192
rent_70,cust_677,prod_341
rent_71,cust_748,prod_946
rent_72,cust_927,prod_51
rent_73,cust_123,prod_304
rent_74,cust_35,prod_693
rent_75,cust_389,prod_507
rent_76,cust_377,prod_429
rent_77,cust_494,prod_48
rent_78,cust_399,prod_718
rent_79,cust_760,prod_43
rent_80,cust_482,prod_77
rent_81,cust_294,prod_562
rent_82,cust_538,prod_186
rent_83,cust_760,prod_488
rent_84,cust_309,prod_833
rent_85,cust_909,prod_853
rent_86,cust_234,prod_966
rent_87,cust_755,prod_815
rent_88,cust_139,prod_365
rent_89,cust_246,prod_149
rent_90,cust_603,prod_139
rent_91,cust_302,prod_352
rent_92,cust_889,prod_703
rent_93,cust_469,prod_165
rent_94,cust_276,prod_631
rent_95,cust_158,prod_509
rent_96,cust_712,prod_298
rent_97,cust_626,prod_881
rent_98,cust_866,prod_287
rent_99,cust_68,prod_245
rent_100,cust_769,prod_558
rent_101,cust_632,prod_298
rent_102,cust_181,prod_330
rent_103,cust_605,prod_343
rent_104,cust_278,prod_671
rent_105,cust_139,prod_298
rent_106,cust_838,prod_432
rent_107,cust_982,prod_549
rent_108,cust_197,prod_230
rent_109,cust_229,prod_821
rent_110,cust_595,prod_915
rent_111,cust_735,prod_1
rent_112,cust_469,prod_299
rent_113,cust_732,prod_283
rent_114,cust_421,prod_250
rent_115,cust_973,prod_417
rent_116,cust_189,prod_743
rent_117,cust_218,prod_909
rent_118,cust_831,prod_707
rent_119,cust_226,prod_449
rent_120,cust_429,prod_830
rent_121,cust_434,prod_147
rent_122,cust_327,prod_933
rent_123,cust_877,prod_797
rent_124,cust_518,prod_454
rent_125,cust_535,prod_631
rent_126,cust_169,prod_424
rent_127,cust_591,prod_982
rent_128,cust_259,prod_22
rent_129,cust_429,prod_735
rent_130,cust_463,prod_353
rent_131,cust_848,prod_41
rent_132,cust_896,prod_440
rent_133,cust_311,prod_236
rent_134,cust_808,prod_954
rent_135,cust_79,prod_304
rent_136,cust_313,prod_724
rent_137,cust_750,prod_638
rent_138,cust_799,prod_824
rent_139,cust_935,prod_443
rent_140,cust_529,prod_336
rent_141,cust_469,prod_50
rent_142,cust_404,prod_848
rent_143,cust_180,prod_6
rent_144,cust_407,prod_155
rent_145,cust_874,prod_247
rent_146,cust_762,prod_741
rent_147,cust_343,prod_871
rent_148,cust_433,prod_939
rent_149,cust_6,prod_338
rent_150,cust_531,prod_164
rent_151,cust_293,prod_184
rent_152,cust_224,prod_526
rent_153,cust_827,prod_397
rent_154,cust_7,prod_795
rent_155,cust_719,prod_76
rent_156,cust_80,prod_947
rent_157,cust_220,prod_952
rent_158,cust_540,prod_91
rent_159,cust_931,prod_143
rent_160,cust_847,prod_497
rent_161,cust_156,prod_651
rent_162,cust_513,prod_423
rent_163,cust_265,prod_472
rent_164,cust_505,prod_248
rent_165,cust_938,prod_357
rent_166,cust_327,prod_309
rent_167,cust_83,prod_363
rent_168,cust_938,prod_825
rent_169,cust_475,prod_216
rent_170,cust_866,prod_614
rent_171,cust_71,prod_915
rent_172,cust_63,prod_585
rent_173,cust_700,prod_35
rent_174,cust_510,prod_470
rent_175,cust_270,prod_431
rent_176,cust_420,prod_911
rent_177,cust_134,prod_1
rent_178,cust_124,prod_136
rent_179,cust_190,prod_248
rent_180,cust_14,prod_511
rent_181,cust_725,prod_527
rent_182,cust_717,prod_210
rent_183,cust_210,prod_797
rent_184,cust_660,prod_165
rent_185,cust_38,prod_716
rent_186,cust_186,prod_291
rent_187,cust_223,prod_502
rent_188,cust_310,prod_670
rent_189,cust_873,prod_187
rent_190,cust_445,prod_736
rent_191,cust_307,prod_90
rent_192,cust_614,prod_605
rent_193,cust_876,prod_289
rent_194,cust_123,prod_375
rent_195,cust_689,prod_430
rent_196,cust_905,prod_479
rent_197,cust_707,prod_23
rent_198,cust_713,prod_860
rent_199,cust_105,prod_709
rent_200,cust_773,prod_761
rent_201,cust_56,prod_910
rent_202,cust_642,prod_321
rent_203,cust_680,prod_392
rent_204,cust_362,prod_383
rent_205,cust_46,prod_597
rent_206,cust_495,prod_534
rent_207,cust_605,prod_317
rent_208,cust_110,prod_737
rent_209,cust_148,prod_95
rent_210,cust_62,prod_498
rent_211,cust_814,prod_906
rent_212,cust_96,prod_773
rent_213,cust_757,prod_790
rent_214,cust_983,prod_961
rent_215,cust_391,prod_314
rent_216,cust_485,prod_631
rent_217,cust_343,prod_311
rent_218,cust_535,prod_314
rent_219,cust_178,prod_430
rent_220,cust_593,prod_124
rent_221,cust_875,prod_151
rent_222,cust_511,prod_242
rent_223,cust_296,prod_507
rent_224,cust_760,prod_584
rent_225,cust_116,prod_759
rent_226,cust_303,prod_60
