product_id,description,product_type,quantity_available
prd0001,Lime Drill,Appliance,19
prd0002,Olive Office Chair,Furniture,10
prd0003,White Vacuum Cleaner,Appliance,9
prd0004,Silver Rice Cooker,Appliance,9
prd0005,Navy Drill,Appliance,6
prd0006,Yellow Office Chair,Furniture,13
prd0007,Teal Desk,Furniture,5
prd0008,Blue Blender,Appliance,16
prd0009,Teal Oven,Appliance,24
prd0010,Silver Blender,Appliance,17
prd0011,Purple Bookshelf,Furniture,4
prd0012,Silver Vacuum Cleaner,Appliance,2
prd0013,Purple Office Chair,Furniture,20
prd0014,Black Couch,Furniture,19
prd0015,Yellow Drill,Appliance,1
prd0016,Lime Dresser,Furniture,20
prd0017,Fuchsia Oven,Appliance,5
prd0018,Olive Office Chair,Furniture,18
prd0019,Fuchsia Office Chair,Furniture,18
prd0020,Lime Vacuum Cleaner,Appliance,20
prd0021,Black Blender,Appliance,15
prd0022,Navy Couch,Furniture,6
prd0023,Green Vacuum Cleaner,Appliance,18
prd0024,Purple Toaster,Appliance,14
prd0025,Lime Rice Cooker,Appliance,2
prd0026,Teal Vacuum Cleaner,Appliance,19
prd0027,Aqua Table,Furniture,24
prd0028,Blue Office Chair,Furniture,25
prd0029,Gray Oven,Appliance,2
prd0030,Navy Dresser,Furniture,6
prd0031,Aqua Drill,Appliance,22
prd0032,Green Table,Furniture,21
prd0033,Blue Rice Cooker,Appliance,24
prd0034,Purple Desk,Furniture,13
prd0035,Black Vacuum Cleaner,Appliance,18
prd0036,White Table,Furniture,21
prd0037,Lime Rice Cooker,Appliance,11
prd0038,Gray Desk,Furniture,7
prd0039,Green Office Chair,Furniture,1
prd0040,Purple Rice Cooker,Appliance,20
prd0041,Maroon Couch,Furniture,17
prd0042,Aqua Dresser,Furniture,17
prd0043,Olive Dresser,Furniture,2
prd0044,Green Couch,Furniture,10
prd0045,Gray Office Chair,Furniture,9
prd0046,Teal Rice Cooker,Appliance,19
prd0047,Aqua Dresser,Furniture,14
prd0048,Fuchsia Bookshelf,Furniture,15
prd0049,Green Rice Cooker,Appliance,2
prd0050,Fuchsia Office Chair,Furniture,0
prd0051,Navy Oven,Appliance,23
prd0052,Olive Vacuum Cleaner,Appliance,1
prd0053,Olive Vacuum Cleaner,Appliance,25
prd0054,Purple Office Chair,Furniture,7
prd0055,Black Office Chair,Furniture,8
prd0056,Gray Office Chair,Furniture,3
prd0057,White Table,Furniture,6
prd0058,Olive Desk,Furniture,1
prd0059,Teal Blender,Appliance,23
prd0060,Green Drill,Appliance,22
prd0061,Blue Drill,Appliance,0
prd0062,Olive Bookshelf,Furniture,25
prd0063,Black Office Chair,Furniture,10
prd0064,Black Rice Cooker,Appliance,19
prd0065,Maroon Toaster,Appliance,17
prd0066,Lime Desk,Furniture,21
prd0067,Black Vacuum Cleaner,Appliance,0
prd0068,Silver Rice Cooker,Appliance,22
prd0069,Green Dresser,Furniture,17
prd0070,White Blender,Appliance,9
prd0071,Lime Table,Furniture,1
prd0072,Yellow Vacuum Cleaner,Appliance,1
prd0073,Black Vacuum Cleaner,Appliance,9
prd0074,White Vacuum Cleaner,Appliance,21
prd0075,Blue Desk,Furniture,17
prd0076,Maroon Dresser,Furniture,3
prd0077,Teal Couch,Furniture,18
prd0078,Fuchsia Oven,Appliance,2
prd0079,Gray Blender,Appliance,18
prd0080,Green Toaster,Appliance,0
prd0081,Purple Dresser,Furniture,20
