product_id,user_id
prd0654,user0450
prd0747,user0888
prd0770,user0263
prd0762,user0311
prd0416,user0851
prd0946,user0563
prd0621,user0571
prd0875,user0665
prd0831,user0920
prd0352,user0323
prd0435,user0262
prd0651,user0582
prd0819,user0886
prd0476,user0989
prd0273,user0884
prd0099,user0557
prd0683,user0135
prd0529,user0496
prd0141,user0770
prd0201,user0564
prd0920,user0686
prd0331,user0075
prd0086,user0829
prd0130,user0252
prd0108,user0563
prd0792,user0965
prd0694,user0404
prd0752,user0016
prd0565,user0706
prd0463,user0527
prd0225,user0997
prd0641,user0268
prd0911,user0623
prd0733,user0646
prd0494,user0587
prd0820,user0812
prd0534,user0440
prd0790,user0495
prd0561,user0569
prd0410,user0648
prd0099,user0524
prd0014,user0166
prd0767,user0622
prd0848,user0268
prd0653,user0270
prd0737,user0042
prd0754,user0197
prd0346,user0149
prd0611,user0609
prd0406,user0703
prd0956,user0175
prd0077,user0285
prd0023,user0168
prd0647,user0142
prd0595,user0145
prd0996,user0094
prd0008,user0719
prd0438,user0360
prd0271,user0202
prd0569,user0491
prd0057,user0171
prd0079,user0431
prd0875,user0277
prd0389,user0711
prd0257,user0245
prd0457,user0537
prd0770,user0214
prd0565,user0622
prd0496,user0267
prd0795,user0128
prd0230,user0962
prd0456,user0180
prd0244,user0531
prd0141,user0063
prd0821,user0531
prd0686,user0160
prd0532,user0179
prd0391,user0644
prd0142,user0323
prd0808,user0720
prd0662,user0366
prd0372,user0677
prd0632,user0615
prd0287,user0358
prd0102,user0710
prd0737,user0472
prd0296,user0572
prd0973,user0574
prd0810,user0044
prd0931,user0862
prd0499,user0027
prd0863,user0377
prd0649,user0636
prd0242,user0172
prd0181,user0038
prd0662,user0185
prd0306,user0067
prd0768,user0762
prd0837,user0434
prd0358,user0034
prd0533,user0561
prd0443,user0068
prd0188,user0898
prd0562,user0317
prd0758,user0067
prd0243,user0371
prd0076,user0219
prd0169,user0875
prd0099,user0900
prd0879,user0209
prd0970,user0573
prd0215,user0523
prd0978,user0565
prd0483,user0453
prd0049,user0437
prd0755,user0197
prd0821,user0548
prd0050,user0685
prd0831,user0254
prd0503,user0978
prd0484,user0373
prd0879,user0931
prd0958,user0232
prd0729,user0645
prd0848,user0105
prd0943,user0799
prd0892,user0218
prd0633,user0952
prd0833,user0455
prd0664,user0221
prd0739,user0870
prd0353,user0187
prd0891,user0879
prd0408,user0401
prd0625,user0337
prd0815,user0657
prd0579,user0267
prd0309,user0830
prd0305,user0260
prd0183,user0197
prd0762,user0995
prd0128,user0310
prd0719,user0314
prd0052,user0252
prd0888,user0495
prd0002,user0789
prd0381,user0408
prd0320,user0502
prd0684,user0650
prd0889,user0859
prd0297,user0413
prd0324,user0722
prd0121,user0098
prd0397,user0989
prd0330,user0844
prd0045,user0542
prd0467,user0126
prd0605,user0792
prd0078,user0872
prd0963,user0650
prd0252,user0251
prd0401,user0452
prd0231,user0891
prd0601,user0684
prd0462,user0161
prd0419,user0078
prd0258,user0442
prd0505,user0725
prd0593,user0347
prd0455,user0648
prd0164,user0877
prd0872,user0722
prd0910,user0089
prd0961,user0269
prd0765,user0841
prd0305,user0530
prd0924,user0748
prd0545,user0556
prd0628,user0472
prd0028,user0268
prd0953,user0792
prd0748,user0469
prd0084,user0084
prd0590,user0742
prd0790,user0604
prd0910,user0843
prd0821,user0343
prd0395,user0841
prd0751,user0743
prd0999,user0643
prd0582,user0779
prd0206,user0055
prd0930,user0607
prd0510,user0485
prd0252,user0360
prd0157,user0340
prd0232,user0609
prd0683,user0255
prd0269,user0426
prd0578,user0254
prd0049,user0677
prd0533,user0611
prd0829,user0956
prd0768,user0398
prd0032,user0253
prd0365,user0238
prd0617,user0871
prd0743,user0688
prd0373,user0596
prd0216,user0477
prd0623,user0486
prd0761,user0865
prd0187,user0360
prd0800,user0086
prd0718,user0442
prd0020,user0742
prd0708,user0526
prd0457,user0842
prd0117,user0666
prd0011,user0200
prd0110,user0985
prd0347,user0160
prd0061,user0408
prd0853,user0054
prd0366,user0798
prd0558,user0636
prd0889,user0027
prd0399,user0920
prd0728,user0122
prd0487,user0925
prd0142,user0063
prd0096,user0549
prd0658,user0476
prd0822,user0951
prd0622,user0707
prd0006,user0227
prd0382,user0906
prd0500,user0934
prd0223,user0690
prd0413,user0518
prd0520,user0297
prd0779,user0094
prd0930,user0414
prd0647,user0755
prd0179,user0609
prd0679,user0073
prd0490,user0347
prd0117,user0889
prd0583,user0004
prd0642,user0037
prd0425,user0633
prd0268,user0409
prd0490,user0666
prd0610,user0659
prd0495,user0425
prd0662,user0728
prd0466,user0874
prd0733,user0110
prd0650,user0616
prd0180,user0359
prd0678,user0587
prd0656,user0579
prd0000,user0273
prd0111,user0803
prd0723,user0467
prd0104,user0295
prd0176,user0379
prd0991,user0276
prd0262,user0235
prd0051,user0302
prd0869,user0525
prd0952,user0907
prd0245,user0919
prd0219,user0145
prd0479,user0388
prd0165,user0220
prd0679,user0574
prd0776,user0820
prd0887,user0037
prd0536,user0295
prd0884,user0826
prd0670,user0275
prd0921,user0223
prd0100,user0414
prd0620,user0966
prd0702,user0596
prd0893,user0332
prd0138,user0224
prd0081,user0827
prd0805,user0563
prd0591,user0096
prd0398,user0868
prd0904,user0945
prd0665,user0774
prd0871,user0348
prd0967,user0126
prd0404,user0522
prd0352,user0993
prd0451,user0159
prd0136,user0756
prd0484,user0026
prd0790,user0923
prd0488,user0705
prd0163,user0144
prd0079,user0626
prd0075,user0269
prd0489,user0975
prd0725,user0089
prd0368,user0800
prd0940,user0709
prd0599,user0599
prd0308,user0057
prd0248,user0265
prd0806,user0516
prd0750,user0212
prd0509,user0412
prd0637,user0979
prd0087,user0761
prd0886,user0271
prd0856,user0572
prd0194,user0797
prd0265,user0501
prd0337,user0052
prd0892,user0114
prd0014,user0990
prd0954,user0647
prd0158,user0420
prd0535,user0092
prd0854,user0205
prd0184,user0321
prd0718,user0967
prd0672,user0030
prd0225,user0527
prd0879,user0667
prd0709,user0988
prd0536,user0261
prd0823,user0547
prd0676,user0512
prd0396,user0367
prd0381,user0302
prd0221,user0936
prd0716,user0902
prd0243,user0448
prd0573,user0642
prd0757,user0803
prd0551,user0000
prd0697,user0711
prd0603,user0597
prd0978,user0589
prd0213,user0020
prd0905,user0277
prd0613,user0573
prd0251,user0884
prd0580,user0718
prd0436,user0517
prd0961,user0016
prd0870,user0361
prd0520,user0624
prd0580,user0975
prd0013,user0924
prd0810,user0875
prd0267,user0995
prd0850,user0585
prd0347,user0343
prd0994,user0127
prd0200,user0151
prd0324,user0697
prd0481,user0021
prd0459,user0132
prd0842,user0612
prd0177,user0504
prd0914,user0308
prd0924,user0055
prd0294,user0645
prd0343,user0059
prd0343,user0832
prd0274,user0226
prd0460,user0588
prd0413,user0150
prd0294,user0427
prd0781,user0983
prd0498,user0495
prd0775,user0662
prd0716,user0532
prd0415,user0936
prd0456,user0541
prd0598,user0678
prd0266,user0948
prd0005,user0998
prd0089,user0848
prd0302,user0500
prd0901,user0265
prd0623,user0565
prd0366,user0478
prd0327,user0286
prd0852,user0431
prd0388,user0488
prd0709,user0739
prd0969,user0892
prd0201,user0234
prd0427,user0428
prd0744,user0375
prd0695,user0443
prd0061,user0656
prd0766,user0395
prd0899,user0418
prd0294,user0063
prd0581,user0129
prd0368,user0752
prd0009,user0119
prd0141,user0120
prd0254,user0894
prd0471,user0785
prd0361,user0141
prd0003,user0702
prd0221,user0418
prd0657,user0397
prd0218,user0239
prd0999,user0800
prd0521,user0123
prd0459,user0636
prd0187,user0543
prd0666,user0926
prd0938,user0573
prd0475,user0566
prd0380,user0494
prd0635,user0930
prd0134,user0730
prd0381,user0021
prd0998,user0955
prd0276,user0650
prd0034,user0113
prd0217,user0015
prd0229,user0669
prd0908,user0686
prd0861,user0176
prd0291,user0934
prd0219,user0508
prd0321,user0574
prd0628,user0323
prd0330,user0475
prd0533,user0454
prd0306,user0317
prd0955,user0938
prd0273,user0957
prd0899,user0407
prd0529,user0460
prd0580,user0973
prd0145,user0078
prd0066,user0398
prd0312,user0889
prd0348,user0110
prd0091,user0692
prd0187,user0769
prd0879,user0821
prd0130,user0356
prd0536,user0656
prd0299,user0060
prd0335,user0492
prd0855,user0358
prd0663,user0197
prd0856,user0970
prd0844,user0442
prd0232,user0760
prd0295,user0640
prd0826,user0477
prd0396,user0795
prd0185,user0397
prd0760,user0171
prd0016,user0851
prd0177,user0582
prd0584,user0597
prd0565,user0955
prd0386,user0674
prd0077,user0581
prd0435,user0609
prd0341,user0766
prd0628,user0692
prd0442,user0492
prd0866,user0425
prd0415,user0996
prd0151,user0681
prd0250,user0864
prd0432,user0497
prd0755,user0439
prd0525,user0290
prd0718,user0311
prd0025,user0433
prd0294,user0664
prd0080,user0271
prd0089,user0630
prd0636,user0453
prd0179,user0164
prd0746,user0672
prd0412,user0923
prd0815,user0465
prd0508,user0525
prd0946,user0448
prd0375,user0070
prd0378,user0986
prd0871,user0614
prd0752,user0936
prd0607,user0736
prd0190,user0219
prd0258,user0567
prd0143,user0855
prd0415,user0663
prd0866,user0445
prd0294,user0899
