product_id,description,product_type,quantity_available
prod_1,big stack of paper,paper,5000
prod_2,medium stack of paper,paper,10000
prod_3,pre-folded paper airplanes,airplane,747
prod_4,magazine cover,media,50
prod_5,internet takeover,media,7
prod_6,sample_desc_2,product_2,1522
prod_7,sample_desc_7,product_7,9361
prod_8,sample_desc_6,product_6,1001
prod_9,sample_desc_2,product_2,2580
prod_10,sample_desc_3,product_3,1936
prod_11,sample_desc_2,product_2,2416
prod_12,sample_desc_1,product_1,47
prod_13,sample_desc_4,product_4,7822
prod_14,sample_desc_5,product_5,1304
prod_15,sample_desc_5,product_5,9262
prod_16,sample_desc_2,product_2,3136
prod_17,sample_desc_2,product_2,4333
prod_18,sample_desc_4,product_4,289
prod_19,sample_desc_4,product_4,4684
prod_20,sample_desc_2,product_2,7936
prod_21,sample_desc_5,product_5,102
prod_22,sample_desc_6,product_6,4127
prod_23,sample_desc_1,product_1,8001
prod_24,sample_desc_6,product_6,9489
prod_25,sample_desc_3,product_3,1910
prod_26,sample_desc_7,product_7,6704
prod_27,sample_desc_7,product_7,2165
prod_28,sample_desc_1,product_1,3849
prod_29,sample_desc_6,product_6,9058
prod_30,sample_desc_9,product_9,407
prod_31,sample_desc_2,product_2,4222
prod_32,sample_desc_7,product_7,3816
prod_33,sample_desc_4,product_4,1475
prod_34,sample_desc_6,product_6,2382
prod_35,sample_desc_3,product_3,5249
prod_36,sample_desc_6,product_6,6104
prod_37,sample_desc_6,product_6,9010
prod_38,sample_desc_7,product_7,7786
prod_39,sample_desc_2,product_2,3814
prod_40,sample_desc_9,product_9,6799
prod_41,sample_desc_5,product_5,8020
prod_42,sample_desc_2,product_2,5398
prod_43,sample_desc_7,product_7,2067
prod_44,sample_desc_4,product_4,6011
prod_45,sample_desc_6,product_6,4288
prod_46,sample_desc_3,product_3,1162
prod_47,sample_desc_4,product_4,409
prod_48,sample_desc_9,product_9,5044
prod_49,sample_desc_6,product_6,6347
prod_50,sample_desc_2,product_2,1797
prod_51,sample_desc_8,product_8,8014
prod_52,sample_desc_2,product_2,7044
prod_53,sample_desc_9,product_9,1666
prod_54,sample_desc_8,product_8,2654
prod_55,sample_desc_7,product_7,78
prod_56,sample_desc_4,product_4,4112
prod_57,sample_desc_8,product_8,243
prod_58,sample_desc_7,product_7,7782
prod_59,sample_desc_2,product_2,384
prod_60,sample_desc_7,product_7,6816
prod_61,sample_desc_1,product_1,622
prod_62,sample_desc_4,product_4,4154
prod_63,sample_desc_2,product_2,6492
prod_64,sample_desc_7,product_7,5273
prod_65,sample_desc_3,product_3,134
prod_66,sample_desc_1,product_1,9077
prod_67,sample_desc_6,product_6,8008
prod_68,sample_desc_5,product_5,7991
prod_69,sample_desc_9,product_9,9726
prod_70,sample_desc_1,product_1,2631
prod_71,sample_desc_7,product_7,6008
prod_72,sample_desc_9,product_9,9705
prod_73,sample_desc_9,product_9,8618
prod_74,sample_desc_4,product_4,9191
prod_75,sample_desc_4,product_4,9091
prod_76,sample_desc_3,product_3,364
prod_77,sample_desc_4,product_4,5224
prod_78,sample_desc_1,product_1,2148
prod_79,sample_desc_7,product_7,4621
prod_80,sample_desc_8,product_8,9888
prod_81,sample_desc_2,product_2,7763
prod_82,sample_desc_3,product_3,3897
prod_83,sample_desc_6,product_6,3739
prod_84,sample_desc_3,product_3,5448
prod_85,sample_desc_6,product_6,3264
prod_86,sample_desc_8,product_8,9017
prod_87,sample_desc_1,product_1,2698
prod_88,sample_desc_8,product_8,7595
prod_89,sample_desc_1,product_1,5473
prod_90,sample_desc_1,product_1,7463
prod_91,sample_desc_5,product_5,7442
prod_92,sample_desc_6,product_6,5449
prod_93,sample_desc_3,product_3,7833
prod_94,sample_desc_1,product_1,1809
prod_95,sample_desc_3,product_3,5586
prod_96,sample_desc_9,product_9,993
prod_97,sample_desc_1,product_1,7883
prod_98,sample_desc_2,product_2,2614
prod_99,sample_desc_5,product_5,3682
prod_100,sample_desc_1,product_1,1924
prod_101,sample_desc_5,product_5,5187
prod_102,sample_desc_3,product_3,2914
prod_103,sample_desc_2,product_2,3885
prod_104,sample_desc_1,product_1,6238
prod_105,sample_desc_6,product_6,1920
prod_106,sample_desc_4,product_4,4418
