rental_id,customer_id,product_id
rental_1,cust_1,prod_1
rental_2,cust_1,prod_4
rental_3,cust_3,prod_3
rental_4,cust_3,prod_1
rental_5,cust_3,prod_5
rental_6,cust_3,prod_4
rental_7,cust_2,prod_1
rental_8,cust_3,prod_4
rental_9,cust_39,prod_93
rental_10,cust_81,prod_11
rental_11,cust_51,prod_17
rental_12,cust_19,prod_27
rental_13,cust_37,prod_29
rental_14,cust_6,prod_52
rental_15,cust_42,prod_77
rental_16,cust_41,prod_71
rental_17,cust_72,prod_73
rental_18,cust_36,prod_85
rental_19,cust_46,prod_86
rental_20,cust_70,prod_12
rental_21,cust_1,prod_67
rental_22,cust_44,prod_85
rental_23,cust_34,prod_79
rental_24,cust_58,prod_21
rental_25,cust_15,prod_90
rental_26,cust_1,prod_73
rental_27,cust_26,prod_57
rental_28,cust_89,prod_18
rental_29,cust_53,prod_73
rental_30,cust_66,prod_66
rental_31,cust_69,prod_22
rental_32,cust_9,prod_19
rental_33,cust_92,prod_29
rental_34,cust_25,prod_28
rental_35,cust_49,prod_34
rental_36,cust_25,prod_46
rental_37,cust_67,prod_21
rental_38,cust_92,prod_79
rental_39,cust_70,prod_100
rental_40,cust_48,prod_76
rental_41,cust_59,prod_67
rental_42,cust_25,prod_18
rental_43,cust_26,prod_76
rental_44,cust_69,prod_10
rental_45,cust_19,prod_70
rental_46,cust_7,prod_94
rental_47,cust_25,prod_51
rental_48,cust_79,prod_62
rental_49,cust_65,prod_14
rental_50,cust_50,prod_92
rental_51,cust_27,prod_62
rental_52,cust_20,prod_2
rental_53,cust_98,prod_55
rental_54,cust_21,prod_22
rental_55,cust_53,prod_69
rental_56,cust_86,prod_23
rental_57,cust_33,prod_71
rental_58,cust_54,prod_33
rental_59,cust_85,prod_15
rental_60,cust_26,prod_78
rental_61,cust_48,prod_59
rental_62,cust_66,prod_43
rental_63,cust_24,prod_33
rental_64,cust_82,prod_10
rental_65,cust_53,prod_9
rental_66,cust_85,prod_87
rental_67,cust_93,prod_100
rental_68,cust_67,prod_87
rental_69,cust_35,prod_23
rental_70,cust_98,prod_88
rental_71,cust_53,prod_60
rental_72,cust_56,prod_14
rental_73,cust_56,prod_26
rental_74,cust_17,prod_96
rental_75,cust_79,prod_72
rental_76,cust_59,prod_80
rental_77,cust_53,prod_24
rental_78,cust_70,prod_13
rental_79,cust_37,prod_7
rental_80,cust_96,prod_78
rental_81,cust_18,prod_52
rental_82,cust_31,prod_17
rental_83,cust_11,prod_15
rental_84,cust_27,prod_18
rental_85,cust_90,prod_83
rental_86,cust_56,prod_70
rental_87,cust_79,prod_50
rental_88,cust_43,prod_6
rental_89,cust_28,prod_87
rental_90,cust_23,prod_32
rental_91,cust_23,prod_43
rental_92,cust_11,prod_31
rental_93,cust_13,prod_62
rental_94,cust_5,prod_9
rental_95,cust_83,prod_22
rental_96,cust_51,prod_4
rental_97,cust_79,prod_17
rental_98,cust_19,prod_59
rental_99,cust_80,prod_9
