product_id,description,product_type,quantity_available
prd001,60-inch TV stand,livingroom,3
prd002,L-shaped sofa,livingroom,1
prd003,Dinning table,diningroom,0
prd004,Dresser,bedroom,0
prd005,Nightstand,bedroom,20
prd006,60-inch TV stand,livingroom,3
prd007,L-shaped sofa,livingroom,1
prd008,Dinning table,diningroom,0
prd009,Dresser,bedroom,0
prd010,Nightstand,bedroom,20
prd011,60-inch TV stand,livingroom,3
prd012,L-shaped sofa,livingroom,1
prd013,Dinning table,diningroom,0
prd014,Dresser,bedroom,0
prd015,Nightstand,bedroom,20
prd016,60-inch TV stand,livingroom,3
prd017,L-shaped sofa,livingroom,1
prd018,Dinning table,diningroom,0
prd019,Dresser,bedroom,0
prd020,Nightstand,bedroom,20
prd021,60-inch TV stand,livingroom,3
prd022,L-shaped sofa,livingroom,1
prd023,Dinning table,diningroom,0
prd024,Dresser,bedroom,0
prd025,Nightstand,bedroom,20
prd026,60-inch TV stand,livingroom,3
prd027,L-shaped sofa,livingroom,1
prd028,Dinning table,diningroom,0
prd029,Dresser,bedroom,0
prd030,Nightstand,bedroom,20
prd031,60-inch TV stand,livingroom,3
prd032,L-shaped sofa,livingroom,1
prd033,Dinning table,diningroom,0
prd034,Dresser,bedroom,0
prd035,Nightstand,bedroom,20
prd036,60-inch TV stand,livingroom,3
prd037,L-shaped sofa,livingroom,1
prd038,Dinning table,diningroom,0
prd039,Dresser,bedroom,0
prd040,Nightstand,bedroom,20
prd041,60-inch TV stand,livingroom,3
prd042,L-shaped sofa,livingroom,1
prd043,Dinning table,diningroom,0
prd044,Dresser,bedroom,0
prd045,Nightstand,bedroom,20
prd046,60-inch TV stand,livingroom,3
prd047,L-shaped sofa,livingroom,1
prd048,Dinning table,diningroom,0
prd049,Dresser,bedroom,0
prd050,Nightstand,bedroom,20
prd051,60-inch TV stand,livingroom,3
prd052,L-shaped sofa,livingroom,1
prd053,Dinning table,diningroom,0
prd054,Dresser,bedroom,0
prd055,Nightstand,bedroom,20
prd056,60-inch TV stand,livingroom,3
prd057,L-shaped sofa,livingroom,1
prd058,Dinning table,diningroom,0
prd059,Dresser,bedroom,0
prd060,Nightstand,bedroom,20
prd061,60-inch TV stand,livingroom,3
prd062,L-shaped sofa,livingroom,1
prd063,Dinning table,diningroom,0
prd064,Dresser,bedroom,0
prd065,Nightstand,bedroom,20
prd066,60-inch TV stand,livingroom,3
prd067,L-shaped sofa,livingroom,1
prd068,Dinning table,diningroom,0
prd069,Dresser,bedroom,0
prd070,Nightstand,bedroom,20
prd071,60-inch TV stand,livingroom,3
prd072,L-shaped sofa,livingroom,1
prd073,Dinning table,diningroom,0
prd074,Dresser,bedroom,0
prd075,Nightstand,bedroom,20
prd076,60-inch TV stand,livingroom,3
prd077,L-shaped sofa,livingroom,1
prd078,Dinning table,diningroom,0
prd079,Dresser,bedroom,0
prd080,Nightstand,bedroom,20
prd081,60-inch TV stand,livingroom,3
prd082,L-shaped sofa,livingroom,1
prd083,Dinning table,diningroom,0
prd084,Dresser,bedroom,0
prd085,Nightstand,bedroom,20
prd086,60-inch TV stand,livingroom,3
prd087,L-shaped sofa,livingroom,1
prd088,Dinning table,diningroom,0
prd089,Dresser,bedroom,0
prd090,Nightstand,bedroom,20
prd091,60-inch TV stand,livingroom,3
prd092,L-shaped sofa,livingroom,1
prd093,Dinning table,diningroom,0
prd094,Dresser,bedroom,0
prd095,Nightstand,bedroom,20
prd096,60-inch TV stand,livingroom,3
prd097,L-shaped sofa,livingroom,1
prd098,Dinning table,diningroom,0
prd099,Dresser,bedroom,0
prd100,Nightstand,bedroom,20
prd101,60-inch TV stand,livingroom,3
prd102,L-shaped sofa,livingroom,1
prd103,Dinning table,diningroom,0
prd104,Dresser,bedroom,0
prd105,Nightstand,bedroom,20
prd106,60-inch TV stand,livingroom,3
prd107,L-shaped sofa,livingroom,1
prd108,Dinning table,diningroom,0
prd109,Dresser,bedroom,0
prd110,Nightstand,bedroom,20
prd111,60-inch TV stand,livingroom,3
prd112,L-shaped sofa,livingroom,1
prd113,Dinning table,diningroom,0
prd114,Dresser,bedroom,0
prd115,Nightstand,bedroom,20
prd116,60-inch TV stand,livingroom,3
prd117,L-shaped sofa,livingroom,1
prd118,Dinning table,diningroom,0
prd119,Dresser,bedroom,0
