product_id,description,product_type,quantity_available
prod0000,Massive Mahogany Bean bag,attic,3
prod0001,Small Tin Canapé,closet,70
prod0002,Scrawny Tin Fainting couch,living room,2
prod0003,Tiny Slate Canopy bed,living room,55
prod0004,Immense Travertine Tuffet,attic,0
prod0005,Gigantic Pine Bar chair,living room,65
prod0006,Gigantic Tungsten Divan,attic,84
prod0007,Colossal Tin Bar chair,dining room,15
prod0008,Puny Lead Headboard,living room,4
prod0009,Small Tin Bar Stool,dining room,9
prod0010,Fat Magnesium Sofa,den,21
prod0011,Large Titanium Stool,dining room,36
prod0012,Large Cobalt Rocking chair,attic,3
prod0013,Great Zinc Ottoman,kitchen,0
prod0014,Microscopic Aluminum Mattress,bathroom,67
prod0015,Small Walnut Four-poster bed,den,33
prod0016,Tiny Steel Accubita,closet,83
prod0017,Little Nickel Footstool,den,52
prod0018,Miniature Copper Bar chair,kitchen,4
prod0019,Small Nickel Chesterfield,bathroom,58
prod0020,Mammoth Marble Bean bag,kitchen,86
prod0021,Microscopic Ash Davenport,closet,3
prod0022,Large Aluminum Couch,dining room,51
prod0023,Puny Marble Recliner,dining room,94
prod0024,Miniature Walnut Canopy bed,attic,22
prod0025,Short Oak Love seat,kitchen,31
prod0026,Microscopic Walnut Chaise longue,closet,79
prod0027,Colossal Marble Fauteuil,den,69
prod0028,Mammoth Steel Klinai,dining room,16
prod0029,Microscopic Titanium Fauteuil,closet,67
prod0030,Fat Ash Murphy bed,dining room,91
prod0031,Petite Zinc Platform bed,attic,9
prod0032,Little Cobalt Chair,living room,13
prod0033,Fat Titanium Fainting couch,kitchen,22
prod0034,Big Pine Divan,den,66
prod0035,Little Basalt Hammock,closet,94
prod0036,Fat Ash Rocking chair,den,42
prod0037,Scrawny Steel Couch,closet,35
prod0038,Great Quartzite Hammock,dining room,88
prod0039,Small Sandstone Ottoman,living room,43
prod0040,Scrawny Sandstone Platform bed,den,15
prod0041,Little Ash Hammock,bathroom,46
prod0042,Massive Pine Bean bag,bathroom,63
prod0043,Small Beech Rocking chair,bathroom,53
prod0044,Short Mahogany Headboard,dining room,3
prod0045,Short Adamantium Infant bed,kitchen,12
prod0046,Tiny Magnesium Bean bag,kitchen,84
prod0047,Fat Copper Canapé,den,42
prod0048,Huge Beech Footstool,closet,49
prod0049,Puny Sandstone Love seat,closet,86
prod0050,Mammoth Magnesium Bed,kitchen,76
prod0051,Huge Aluminum Bar Stool,bathroom,87
prod0052,Huge Zinc Canapé,bathroom,84
prod0053,Microscopic Iron Love seat,kitchen,5
prod0054,Scrawny Ash Klinai,den,21
prod0055,Great Marble Bar chair,living room,38
prod0056,Huge Lead Bar Stool,dining room,84
prod0057,Tall Quartzite Tuffet,dining room,27
prod0058,Tiny Nickel Sleigh bed,attic,58
prod0059,Great Adamantium Stool,dining room,20
prod0060,Microscopic Pine Daybed,bathroom,12
prod0061,Mammoth Sandstone Fauteuil,attic,85
prod0062,Immense Titanium Mattress,bathroom,51
prod0063,Tiny Cedar Klinai,dining room,48
prod0064,Miniature Slate Murphy bed,attic,23
prod0065,Big Magnesium Hammock,den,79
prod0066,Fat Beech Footstool,closet,11
prod0067,Petite Steel Accubita,bathroom,69
prod0068,Microscopic Aluminum Accubita,den,68
prod0069,Microscopic Copper Canopy bed,dining room,94
prod0070,Tall Lead Futon,attic,68
prod0071,Mammoth Beech Murphy bed,closet,32
prod0072,Short Teak Bar chair,closet,47
prod0073,Fat Bronze Footstool,dining room,77
prod0074,Miniature Walnut Four-poster bed,attic,26
prod0075,Immense Granite Platform bed,living room,62
prod0076,Colossal Beech Daybed,kitchen,51
prod0077,Tiny Elm Davenport,kitchen,49
prod0078,Immense Magnesium Fauteuil,attic,15
prod0079,Great Zinc Bean bag,living room,28
prod0080,Puny Bronze Footstool,dining room,73
prod0081,Massive Walnut Bed,den,59
prod0082,Scrawny Limestone Accubita,attic,8
prod0083,Immense Cedar Daybed,attic,73
prod0084,Fat Quartzite Fauteuil,living room,4
prod0085,Mammoth Cedar Murphy bed,kitchen,0
prod0086,Tiny Tin Bunk bed,den,40
prod0087,Puny Tungsten Murphy bed,kitchen,81
prod0088,Gigantic Walnut Bench,attic,80
prod0089,Tiny Quartzite Davenport,closet,31
prod0090,Miniature Magnesium Bar chair,kitchen,98
prod0091,Large Brass Chaise longue,bathroom,52
prod0092,Miniature Travertine Couch,attic,12
prod0093,Massive Elm Futon,living room,43
prod0094,Puny Lead Canapé,bathroom,70
prod0095,Little Steel Chesterfield,living room,24
prod0096,Short Oak Footstool,living room,62
prod0097,Great Nickel Klinai,den,55
prod0098,Large Teak Murphy bed,den,23
prod0099,Short Lead Chaise longue,bathroom,97
prod0100,Tall Tin Recliner,bathroom,2
prod0101,Miniature Quartzite Four-poster bed,closet,56
prod0102,Massive Granite Love seat,closet,10
prod0103,Puny Zinc Love seat,bathroom,6
prod0104,Puny Aluminum Tuffet,den,49
prod0105,Tall Walnut Davenport,closet,76
prod0106,Scrawny Cedar Klinai,closet,13
prod0107,Massive Mahogany Couch,dining room,90
prod0108,Colossal Tungsten Canopy bed,bathroom,12
prod0109,Small Beech Chesterfield,living room,94
prod0110,Tall Bronze Klinai,bathroom,21
prod0111,Gigantic Slate Bench,closet,4
prod0112,Petite Brass Canopy bed,bathroom,16
prod0113,Short Oak Four-poster bed,closet,18
prod0114,Immense Travertine Bench,closet,68
prod0115,Tiny Limestone Fauteuil,attic,51
prod0116,Immense Bronze Daybed,den,53
prod0117,Colossal Walnut Hammock,closet,74
prod0118,Great Elm Canapé,living room,51
prod0119,Scrawny Steel Fainting couch,dining room,85
prod0120,Colossal Walnut Platform bed,den,48
prod0121,Tall Zinc Bunk bed,dining room,50
prod0122,Scrawny Walnut Fainting couch,bathroom,71
prod0123,Puny Granite Sleigh bed,den,1
prod0124,Massive Cedar Four-poster bed,closet,75
prod0125,Little Cobalt Recliner,dining room,32
prod0126,Tall Copper Fauteuil,closet,65
prod0127,Scrawny Brass Hammock,bathroom,85
prod0128,Microscopic Steel Futon,den,78
prod0129,Petite Slate Lift chair,den,44
prod0130,Massive Travertine Canopy bed,closet,82
prod0131,Massive Marble Headboard,dining room,12
prod0132,Small Copper Sofa,closet,14
prod0133,Tiny Bronze Stool,kitchen,45
prod0134,Colossal Walnut Love seat,bathroom,82
prod0135,Tall Ash Sleigh bed,closet,16
prod0136,Gigantic Iron Canapé,living room,50
prod0137,Miniature Oak Davenport,kitchen,34
prod0138,Huge Quartzite Futon,bathroom,29
prod0139,Colossal Brass Accubita,kitchen,31
prod0140,Tiny Slate Bean bag,bathroom,2
prod0141,Tall Elm Chaise longue,dining room,75
prod0142,Immense Lead Stool,dining room,34
prod0143,Big Zinc Mattress,kitchen,1
prod0144,Miniature Zinc Stool,closet,5
prod0145,Big Bronze Infant bed,closet,11
prod0146,Short Quartzite Bean bag,attic,36
prod0147,Puny Walnut Fauteuil,kitchen,21
prod0148,Scrawny Titanium Infant bed,kitchen,66
prod0149,Short Oak Ottoman,living room,7
prod0150,Gigantic Ash Ottoman,den,92
prod0151,Gigantic Pine Mattress,attic,5
prod0152,Little Lead Davenport,living room,17
prod0153,Tall Tin Bean bag,kitchen,86
prod0154,Gigantic Tungsten Bunk bed,closet,34
prod0155,Tall Oak Bench,attic,55
prod0156,Fat Elm Sleigh bed,dining room,93
prod0157,Huge Elm Couch,attic,83
prod0158,Mammoth Slate Hammock,den,34
prod0159,Scrawny Zinc Bar chair,kitchen,9
prod0160,Puny Zinc Murphy bed,closet,76
prod0161,Immense Adamantium Daybed,kitchen,78
prod0162,Colossal Limestone Fainting couch,dining room,22
prod0163,Mammoth Adamantium Stool,living room,7
prod0164,Petite Oak Canopy bed,kitchen,37
prod0165,Big Adamantium Klinai,attic,42
prod0166,Microscopic Limestone Fauteuil,closet,44
prod0167,Tiny Ash Waterbed,den,60
prod0168,Tiny Teak Bed,den,76
prod0169,Microscopic Ash Canopy bed,attic,40
prod0170,Petite Steel Tuffet,kitchen,55
prod0171,Petite Adamantium Canapé,living room,46
prod0172,Fat Teak Mattress,den,82
prod0173,Tiny Titanium Davenport,living room,75
prod0174,Small Basalt Footstool,dining room,81
prod0175,Large Iron Murphy bed,bathroom,58
prod0176,Immense Limestone Davenport,bathroom,35
prod0177,Tiny Titanium Lift chair,living room,99
prod0178,Colossal Mahogany Bar chair,dining room,52
prod0179,Fat Magnesium Platform bed,bathroom,52
prod0180,Immense Beech Hammock,den,28
prod0181,Great Mahogany Rocking chair,kitchen,83
prod0182,Tiny Granite Canopy bed,attic,55
prod0183,Huge Steel Ottoman,kitchen,40
prod0184,Puny Magnesium Stool,attic,15
prod0185,Big Bronze Bar chair,closet,66
prod0186,Immense Nickel Four-poster bed,attic,40
prod0187,Miniature Quartzite Chair,dining room,13
prod0188,Large Cedar Fauteuil,dining room,80
prod0189,Puny Oak Tuffet,den,55
prod0190,Gigantic Pine Bean bag,den,13
prod0191,Huge Brass Chair,living room,43
prod0192,Great Adamantium Rocking chair,closet,3
prod0193,Big Steel Fainting couch,bathroom,22
prod0194,Large Zinc Chaise longue,living room,2
prod0195,Small Magnesium Fainting couch,living room,25
prod0196,Microscopic Cedar Bunk bed,attic,100
prod0197,Little Teak Fainting couch,den,61
prod0198,Petite Teak Murphy bed,den,23
prod0199,Petite Ash Fauteuil,living room,31
prod0200,Tiny Elm Daybed,kitchen,78
prod0201,Large Sandstone Ottoman,dining room,87
prod0202,Large Limestone Couch,den,68
prod0203,Great Teak Love seat,bathroom,30
prod0204,Large Sandstone Bean bag,dining room,41
prod0205,Huge Pine Klinai,den,97
prod0206,Great Oak Infant bed,bathroom,82
prod0207,Huge Ash Daybed,den,16
prod0208,Colossal Copper Headboard,kitchen,74
prod0209,Tall Tin Futon,living room,84
prod0210,Immense Titanium Waterbed,living room,9
prod0211,Petite Tin Chair,closet,27
prod0212,Microscopic Lead Chesterfield,living room,93
prod0213,Small Slate Divan,bathroom,65
prod0214,Great Lead Daybed,dining room,21
prod0215,Mammoth Cobalt Sleigh bed,kitchen,93
prod0216,Tiny Pine Sofa,den,21
prod0217,Massive Cedar Stool,attic,98
prod0218,Huge Cedar Daybed,dining room,93
prod0219,Large Iron Canapé,dining room,48
prod0220,Colossal Elm Bar chair,den,81
prod0221,Microscopic Mahogany Canopy bed,attic,24
prod0222,Immense Teak Bunk bed,kitchen,70
prod0223,Tall Mahogany Klinai,living room,89
prod0224,Small Teak Headboard,attic,51
prod0225,Gigantic Ash Canopy bed,dining room,85
prod0226,Tall Iron Accubita,living room,90
prod0227,Tiny Slate Accubita,closet,39
prod0228,Small Aluminum Bar chair,bathroom,90
prod0229,Big Travertine Chair,den,14
prod0230,Puny Magnesium Chair,closet,42
prod0231,Scrawny Zinc Divan,living room,26
prod0232,Large Sandstone Headboard,attic,85
prod0233,Petite Slate Four-poster bed,attic,17
prod0234,Tiny Copper Davenport,closet,95
prod0235,Tiny Marble Canapé,closet,65
prod0236,Huge Sandstone Tuffet,attic,45
prod0237,Gigantic Magnesium Couch,living room,5
prod0238,Scrawny Mahogany Sleigh bed,dining room,98
prod0239,Colossal Limestone Divan,den,64
prod0240,Petite Steel Divan,den,90
prod0241,Short Limestone Couch,bathroom,50
prod0242,Little Steel Murphy bed,bathroom,21
prod0243,Immense Titanium Bed,bathroom,47
prod0244,Microscopic Granite Bean bag,kitchen,45
prod0245,Immense Nickel Fainting couch,closet,0
prod0246,Small Mahogany Infant bed,bathroom,14
prod0247,Fat Zinc Canapé,dining room,25
prod0248,Microscopic Ash Bar Stool,living room,96
prod0249,Colossal Cobalt Lift chair,dining room,78
prod0250,Scrawny Nickel Waterbed,bathroom,82
prod0251,Large Sandstone Sleigh bed,bathroom,64
prod0252,Great Mahogany Bench,living room,50
prod0253,Gigantic Elm Bean bag,attic,52
prod0254,Scrawny Elm Love seat,attic,38
prod0255,Big Lead Bar Stool,den,99
prod0256,Colossal Marble Fauteuil,den,75
prod0257,Microscopic Granite Daybed,closet,20
prod0258,Miniature Elm Chaise longue,kitchen,21
prod0259,Miniature Titanium Chesterfield,den,65
prod0260,Petite Quartzite Couch,attic,27
prod0261,Immense Walnut Bar chair,den,57
prod0262,Petite Cobalt Chaise longue,dining room,86
prod0263,Large Beech Chair,den,95
prod0264,Microscopic Oak Klinai,bathroom,32
prod0265,Gigantic Beech Murphy bed,living room,32
prod0266,Mammoth Pine Chair,dining room,53
prod0267,Mammoth Zinc Bean bag,closet,75
prod0268,Tiny Quartzite Lift chair,attic,79
prod0269,Petite Pine Infant bed,bathroom,68
prod0270,Tiny Cobalt Bar Stool,closet,5
prod0271,Puny Limestone Bed,den,83
prod0272,Petite Basalt Bench,dining room,29
prod0273,Short Brass Tuffet,den,31
prod0274,Scrawny Granite Recliner,living room,69
prod0275,Petite Mahogany Bench,living room,44
prod0276,Short Magnesium Waterbed,dining room,92
prod0277,Great Marble Platform bed,bathroom,21
prod0278,Microscopic Aluminum Bench,dining room,99
prod0279,Great Marble Divan,attic,81
prod0280,Massive Adamantium Bean bag,kitchen,57
prod0281,Miniature Oak Murphy bed,den,95
prod0282,Mammoth Ash Chair,living room,92
prod0283,Small Aluminum Canapé,dining room,35
prod0284,Massive Aluminum Bed,kitchen,45
prod0285,Small Quartzite Bed,living room,61
prod0286,Scrawny Limestone Sofa,bathroom,3
prod0287,Great Nickel Davenport,bathroom,97
prod0288,Huge Bronze Couch,living room,2
prod0289,Tall Marble Chair,den,87
prod0290,Colossal Iron Klinai,closet,33
prod0291,Fat Oak Ottoman,closet,82
prod0292,Small Titanium Accubita,den,84
prod0293,Large Pine Infant bed,dining room,86
prod0294,Scrawny Travertine Fainting couch,attic,40
prod0295,Small Tin Accubita,den,96
prod0296,Short Sandstone Bunk bed,bathroom,63
prod0297,Mammoth Iron Lift chair,dining room,66
prod0298,Short Basalt Love seat,kitchen,62
prod0299,Little Travertine Murphy bed,dining room,69
prod0300,Big Granite Davenport,den,82
prod0301,Puny Magnesium Chaise longue,attic,11
prod0302,Short Granite Rocking chair,attic,94
prod0303,Mammoth Walnut Chesterfield,attic,64
prod0304,Immense Zinc Lift chair,kitchen,13
prod0305,Massive Ash Mattress,dining room,95
prod0306,Big Limestone Fainting couch,kitchen,47
prod0307,Scrawny Steel Hammock,attic,48
prod0308,Tiny Steel Footstool,closet,46
prod0309,Little Ash Ottoman,den,29
prod0310,Large Limestone Bar chair,dining room,42
prod0311,Miniature Granite Murphy bed,closet,88
prod0312,Tall Limestone Four-poster bed,bathroom,63
prod0313,Scrawny Zinc Murphy bed,bathroom,70
prod0314,Puny Brass Fainting couch,closet,41
prod0315,Fat Tin Daybed,bathroom,64
prod0316,Mammoth Magnesium Infant bed,closet,3
prod0317,Short Magnesium Bar chair,attic,48
prod0318,Fat Beech Fainting couch,living room,85
prod0319,Massive Slate Four-poster bed,bathroom,46
prod0320,Fat Titanium Bed,kitchen,5
prod0321,Short Steel Chaise longue,attic,54
prod0322,Puny Copper Bar chair,closet,4
prod0323,Immense Tungsten Rocking chair,den,10
prod0324,Great Granite Hammock,attic,25
prod0325,Massive Titanium Waterbed,closet,40
prod0326,Fat Magnesium Chair,attic,5
prod0327,Huge Oak Platform bed,den,18
prod0328,Tall Zinc Chair,dining room,57
prod0329,Colossal Oak Bean bag,dining room,37
prod0330,Colossal Basalt Bed,dining room,17
prod0331,Petite Granite Futon,den,96
prod0332,Fat Pine Accubita,living room,13
prod0333,Puny Pine Bar Stool,closet,100
prod0334,Scrawny Basalt Chesterfield,closet,46
prod0335,Mammoth Marble Stool,bathroom,4
prod0336,Scrawny Tungsten Footstool,den,53
prod0337,Short Basalt Accubita,kitchen,30
prod0338,Microscopic Steel Daybed,attic,9
prod0339,Tiny Adamantium Footstool,dining room,20
prod0340,Colossal Teak Bar chair,dining room,15
prod0341,Little Magnesium Futon,den,23
prod0342,Fat Mahogany Couch,attic,68
prod0343,Small Oak Fauteuil,bathroom,15
prod0344,Fat Lead Footstool,attic,90
prod0345,Microscopic Cedar Mattress,attic,70
prod0346,Gigantic Steel Sofa,bathroom,7
prod0347,Mammoth Beech Stool,attic,96
prod0348,Colossal Magnesium Bench,kitchen,15
prod0349,Huge Slate Klinai,dining room,34
prod0350,Small Slate Bar chair,attic,30
prod0351,Little Elm Rocking chair,living room,63
prod0352,Huge Teak Klinai,attic,78
prod0353,Petite Titanium Fainting couch,closet,22
prod0354,Large Cedar Daybed,dining room,10
prod0355,Gigantic Granite Four-poster bed,closet,74
prod0356,Large Zinc Bunk bed,living room,72
prod0357,Immense Cobalt Klinai,closet,97
prod0358,Small Copper Klinai,kitchen,7
prod0359,Large Beech Fainting couch,den,62
prod0360,Large Beech Four-poster bed,den,43
prod0361,Petite Elm Stool,kitchen,68
prod0362,Fat Titanium Platform bed,kitchen,23
prod0363,Small Brass Fainting couch,living room,90
prod0364,Microscopic Lead Accubita,dining room,96
prod0365,Tall Bronze Lift chair,bathroom,34
prod0366,Huge Titanium Rocking chair,kitchen,13
prod0367,Miniature Titanium Tuffet,den,8
prod0368,Colossal Walnut Bar chair,dining room,24
prod0369,Tiny Titanium Four-poster bed,living room,50
prod0370,Little Adamantium Infant bed,den,26
prod0371,Colossal Brass Headboard,attic,46
prod0372,Massive Elm Chesterfield,kitchen,77
prod0373,Mammoth Granite Chair,kitchen,93
prod0374,Little Ash Fainting couch,living room,5
prod0375,Immense Magnesium Footstool,kitchen,24
prod0376,Big Limestone Headboard,attic,84
prod0377,Miniature Slate Futon,attic,20
prod0378,Huge Ash Infant bed,attic,59
prod0379,Fat Ash Fauteuil,kitchen,86
prod0380,Petite Nickel Bunk bed,kitchen,36
prod0381,Little Bronze Bar chair,dining room,90
prod0382,Great Cobalt Bed,attic,58
prod0383,Huge Elm Sleigh bed,kitchen,30
prod0384,Miniature Tin Love seat,attic,33
prod0385,Gigantic Adamantium Hammock,kitchen,70
prod0386,Immense Beech Chair,living room,95
prod0387,Scrawny Brass Fauteuil,kitchen,21
prod0388,Immense Limestone Daybed,den,13
prod0389,Great Bronze Fainting couch,closet,73
prod0390,Scrawny Titanium Mattress,dining room,77
prod0391,Microscopic Iron Couch,bathroom,100
prod0392,Large Bronze Daybed,kitchen,90
prod0393,Small Adamantium Fauteuil,kitchen,83
prod0394,Great Bronze Stool,bathroom,41
prod0395,Petite Cobalt Couch,attic,11
prod0396,Miniature Lead Futon,attic,42
prod0397,Short Lead Recliner,living room,67
prod0398,Short Tin Stool,attic,62
prod0399,Great Walnut Lift chair,living room,89
prod0400,Large Iron Davenport,dining room,61
prod0401,Puny Titanium Murphy bed,kitchen,85
prod0402,Scrawny Magnesium Ottoman,kitchen,51
prod0403,Microscopic Travertine Accubita,den,97
prod0404,Microscopic Cedar Bunk bed,living room,81
prod0405,Scrawny Adamantium Fauteuil,closet,83
prod0406,Massive Ash Futon,living room,33
prod0407,Great Slate Rocking chair,living room,76
prod0408,Colossal Magnesium Rocking chair,bathroom,15
prod0409,Tall Bronze Chair,closet,45
prod0410,Little Zinc Bed,bathroom,88
prod0411,Fat Copper Hammock,den,60
prod0412,Scrawny Teak Canapé,closet,44
prod0413,Fat Marble Sleigh bed,bathroom,38
prod0414,Tiny Basalt Tuffet,dining room,48
prod0415,Immense Bronze Mattress,living room,30
prod0416,Petite Mahogany Platform bed,living room,84
prod0417,Tiny Ash Ottoman,den,2
prod0418,Petite Bronze Chaise longue,living room,16
prod0419,Short Magnesium Lift chair,living room,92
prod0420,Colossal Pine Mattress,den,26
prod0421,Tall Teak Fauteuil,bathroom,19
prod0422,Immense Travertine Tuffet,attic,94
prod0423,Gigantic Bronze Hammock,living room,83
prod0424,Little Quartzite Accubita,living room,60
prod0425,Colossal Quartzite Couch,attic,12
prod0426,Short Limestone Sleigh bed,bathroom,72
prod0427,Miniature Bronze Klinai,kitchen,16
prod0428,Massive Adamantium Waterbed,living room,20
prod0429,Massive Teak Chesterfield,dining room,49
prod0430,Mammoth Granite Davenport,den,56
prod0431,Large Marble Rocking chair,bathroom,53
prod0432,Mammoth Quartzite Love seat,closet,74
prod0433,Miniature Oak Recliner,attic,35
prod0434,Immense Brass Bar Stool,bathroom,16
prod0435,Huge Limestone Chesterfield,living room,65
prod0436,Huge Brass Bean bag,dining room,72
prod0437,Miniature Quartzite Footstool,closet,31
prod0438,Mammoth Magnesium Murphy bed,closet,31
prod0439,Colossal Magnesium Canapé,den,36
prod0440,Puny Cedar Couch,den,13
prod0441,Colossal Tin Tuffet,living room,81
prod0442,Short Brass Divan,kitchen,85
prod0443,Huge Sandstone Sofa,attic,39
prod0444,Mammoth Granite Chair,bathroom,18
prod0445,Gigantic Brass Fauteuil,bathroom,3
prod0446,Miniature Granite Chair,bathroom,8
prod0447,Massive Quartzite Bar Stool,kitchen,36
prod0448,Great Quartzite Bar chair,closet,81
prod0449,Microscopic Elm Bench,kitchen,36
prod0450,Puny Pine Love seat,attic,32
prod0451,Huge Slate Headboard,closet,90
prod0452,Immense Brass Tuffet,living room,89
prod0453,Colossal Travertine Sleigh bed,dining room,97
prod0454,Massive Teak Bench,living room,82
prod0455,Huge Limestone Bar Stool,living room,21
prod0456,Small Bronze Recliner,kitchen,31
prod0457,Mammoth Granite Rocking chair,dining room,43
prod0458,Immense Cedar Recliner,closet,30
prod0459,Mammoth Copper Futon,bathroom,25
prod0460,Massive Bronze Bench,attic,3
prod0461,Little Brass Waterbed,living room,88
prod0462,Great Mahogany Hammock,dining room,79
prod0463,Large Aluminum Ottoman,den,65
